NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
cotterill_david,37422,3680,"birmingham city ⚽️ instagram: DavidCotterill11 TC❤️",559552,7154,"What’s app 😡"
,,,,,,"I would be chewing if I didn’t get them strawberries and cream #ImACeleb #headloss"
,,,,,,"RT @MrFootyTips: Take. A. Bow.. Wayne Rooney! 😱 https://t.co/WZfZ06pPWc"
,,,,,,"RT @StanCollymore: So Man United have had several key players out for a good spell, been called boring as fook but have an 18+ better goal…"
,,,,,,"RT @IdahWaringa: Samuel Eto’o singlehandedly paid for flights to take the Cameroonian migrants stuck &amp; tortured in Libya back to their home…"
,,,,,,"RT @halfadams: She said she was just going out to get some milk... https://t.co/y7cnM0eC9D"
,,,,,,"RT @henryfraser0: Autistic artist, Stephen Wiltshire, draws 18 foot long picture of New York, from memory, after taking a 20 minute helicop…"
,,,,,,"RT @VauxhallWales: Gary Speed, never forgotten 🙏 https://t.co/X97WwsE0Sp"
,,,,,,"Blue planet with the main man #DavidAttenborough"
,,,,,,"Come on the Welsh wizard! #lloyd #XFactor"
,,,,,,"RT @SimonThomasSky: Today I am crushed with indescribable pain. Just three days after falling ill with Acute Myloid Leukaemia, my dear wife…"
,,,,,,"RT @GaryLineker: How utterly heartbreaking. Thoughts are with you and the family. https://t.co/IjaLadsdm2"
,,,,,,"RT @AdebcfcAdrian: What a good morning at wast hills training ground this morn collecting some bits for our charity evening 1st dec big tha…"
,,,,,,"#23 ⚽️🙌🏻 https://t.co/ttB0jkhcSC"
,,,,,,"I love Stanley 😂 #ImACelebrity"
,,,,,,"Definite penalty #MNF"
,,,,,,"Not a chance I’m walking across that 🙈🙈🙈 making me sweat just watching it #ImACelebrity"
,,,,,,"😂👏🏻👏🏻 https://t.co/VlU8n50ihf"
,,,,,,"RT @owainfon: To dream the impossible dream, a journey that will last an eternity #DiolchChris https://t.co/yUPVehRKvp"
,,,,,,"RT @dan_ward52: #DiolchChris 👏🏻👏🏻👏🏻 https://t.co/2He7J5hhiC"
,,,,,,"Cinema date real early!! @tanikacotterill why isn’t popcorn warm anymore 😏 #iceblast #DaddysHome2"
,,,,,,"@CheAdams14 voice notes top drawer every day 😂😂😂👏🏻👏🏻👏🏻"
,,,,,,"Much needed win for players and the fans. Well done to all the lads today 🙌🏻⚽️ #3pts"
,,,,,,"Good day out today with @tanikacotterill getting in the 🎄spirit!! 🤰🏼👫"
,,,,,,"Tv series #Sinner 😳😳😳😳"
,,,,,,"Could tell that was u. Half volley to perfection!! https://t.co/FMiISVlNEK"
,,,,,,"RT @piersmorgan: This is why I love London’s Black Cab drivers. Here they are lining up to give veterans a free lift home after #Remembranc…"
,,,,,,"David Attenborough 🙌🏻🔥"
,,,,,,"@Coppinger26 congrats on another milestone ledge 550 appearances for one club and still going strong 🙌🏻🔥⚽️"
,,,,,,"RT @Sporf: QUALITY: Lee Sharpe's story of Sir Alex Ferguson after Eric Cantona's red card vs Crystal Palace. 😂👏
(🎥 @Duncanreddevil)
https:/…"
,,,,,,"Tyson fury on insta is class 😂😂👏🏻👏🏻👏🏻 #funnyguy"
,,,,,,"@tanikacotterill 🙌🏻😘❤️"
,,,,,,"Richard spencer is a total dick https://t.co/PRYmWrZTR0"
,,,,,,"RT @UberFacts: When a secretary at Apple was late because of car trouble, Steve Jobs gave her a Jaguar and said, ""Don't be late anymore."""
,,,,,,"Louis Theroux face when he gets pushed 😂😂😂👏🏻👏🏻👏🏻 #LouisTheroux"
,,,,,,"RT @louistheroux: #MyScientologyMovie starting on #BBCtwo in about five minutes."
,,,,,,"🔥🔥🙌🏻 https://t.co/60ErMmYUzk"
,,,,,,"@Joshmwtkns 🙌🏻🙌🏻💙"
,,,,,,"RT @antanddec: Charming. You give the old razor a rest for a few days and you’re labelled ‘dishevelled’. I’ll be sure to dig out my tux nex…"
,,,,,,"🙌🏻 https://t.co/gJiDJlFgWq"
,,,,,,"Every footballer wants to be playing week in week out just because we aren't in squad don't mean we don't work hard… https://t.co/IIN7ouNIEI"
,,,,,,"If I'm not in squad does that mean I'm not allowed out with my wife? If work don't go well for u do u stay indoors… https://t.co/k3oLsWOSmE"
,,,,,,"👫💏 #chilledsundays https://t.co/UEaolFwzdL"
,,,,,,"RT @Gamal_yafai: #andstill wbaworldchampion https://t.co/ye6xdNlymV"
,,,,,,"RT @lloydjames23: 👇🏻👇🏻👇🏻👇🏻 https://t.co/izt7P8aTuo"
,,,,,,"Ace Ventura #classic 👏🏻🙌🏻"
,,,,,,"Come on united #martial ⚽️"
,,,,,,"RT @SkySportsBoxing: 9st 9lbs for the Cardiff fighter @JoeCordina_91, who gets a great reception.

BLOG: https://t.co/ZRJIi655Qv
LIVE: http…"
,,,,,,"He looks older than me and i look 45 😂😂😂😂👴🏻 https://t.co/nFfx2EGNdH"
,,,,,,"👍🏻 https://t.co/m0kkXIgzA4"
,,,,,,"Training time ⚽️🙌🏻"
,,,,,,"RT @BarryTownUnited: We’re 15 minutes from kick off and @jordancott10 returns to the starting XI!"
,,,,,,"🙌🏻 https://t.co/kBgxHpLgoW"
,,,,,,"Standard caramel macchiato ☕️ #Starbucks"
