NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
cto_movidius,3830,11454,"SW is eating the world, AI is eating SW and HW is eating AI.   Personal feed, all views expressed are my own.",140288,36,"RT @WIRED: You know about Edward Snowden, but have you heard of Nghia Hoang? https://t.co/y5AN3jVZ0h"
,,,,,,"RT @IntelAI: Understanding dark matter is getting easier, as #AI speeds up the process of identifying black holes. #Intel https://t.co/GNjZ…"
,,,,,,"RT @Reza_Zadeh: History of asymptotic progress on approximation ratio:

1982 - O(log(n))
2010 - O(log(n)/loglog(n))
2017 - O(1)

Between 19…"
,,,,,,"RT @Cork_AI: Thanks to everyone who contributed to making our first Cork_AI meetup such a great success.  Chris Johnson from @awscloud , @r…"
,,,,,,"RT @IrelandsEdge: Live Life On The Edge!
An unforgettable two days here in Dingle,
We’ve heard from some amazing people from all over the w…"
,,,,,,"RT @AngryScotland: Retweet if you’re smiling. https://t.co/vrulU5HrM3"
,,,,,,"RT @yobibit_labs: Google AIY Voice Kit now in stock. Give artificial intelligence to your maker projects with the Google AIY Voice Kit! htt…"
,,,,,,"@yobibit_labs Do let us know when you have the AIY vision kit in stock"
,,,,,,"I have 27 new followers from USA, and more last week. See https://t.co/rnTjizXBBl https://t.co/kCLKum1gHH"
,,,,,,"@mathbabedotorg @math_rachel  @AnnODeaSR @AMTomchak #Diversity ??? https://t.co/RtSV81w9Ax"
,,,,,,"RT @robferdman: I can't believe this is real, a tax break for private jet owners: ""No tax shall be imposed...on any amounts paid by an airc…"
,,,,,,"RT @IntelAI: Nearly 2 million children are exploited in the global sex trade, and Intel is using facial recognition #AI to help find them.…"
,,,,,,"RT @Intel_IRL: This week @DenisNaughten joined Intel and @sseairtricity to launch a groundbreaking #Solar  for Schools project in 5 primary…"
,,,,,,"RT @karpathy: HoME: a Household Multimodal Environment https://t.co/IdWY3N6xej looks pretty cool! vision, audio, semantics, physics, and in…"
,,,,,,"RT @ankesh_anand: Introducing HoME: a Household Multimodal Environment for AI agents.
- 45,000 diverse 3D houses
- Vision, Audio, Physics a…"
,,,,,,"RT @soumithchintala: This environment looks like a lot of fun:
https://t.co/BfuXTbqvTe"
,,,,,,"RT @fchollet: Given the introduction of tf.keras, which is more Google-driven, and multi-backend Keras, which is more community-driven, I w…"
,,,,,,"RT @mat: We spent some time with Google’s new “Clips” camera, here’s what you need to know: https://t.co/7cUSs2ZtsS"
,,,,,,"RT @blaiseaguera: Proud of our second #AIYProjects effort, Vision Kit— bringing on-device deep learning to #RaspberryPi for speed, robustne…"
,,,,,,"RT @IntelSoftware: Add computer vision to projects without the need for a cloud connection by using Google’s AIY Vision Kit, featuring the…"
,,,,,,"RT @justonpayne: Check this: on-device computer vision in a little cardboard box.  $49.  How cool is that? 

Huge congrats to the AIY team.…"
,,,,,,"RT @steministbarb: More than 10 percent of Intel Capital’s portfolio companies now are led by women or underrepresented minorities: 
https:…"
,,,,,,"RT @intelnews: #Intel and @TheCyberhawk Inspect Gas Terminal through Lens of Commercial #Drone Technology https://t.co/wxddbCvI1T https://t…"
,,,,,,"RT @jmw1123: Great example of associative memory #AI applied to banking - @BNZ #Intel Saffron: https://t.co/oERWGIWsi6"
,,,,,,"RT @Intel_IRL: The closing session of @IrelandsEdge is underway with music and conversation from Mick Moloney and Michelle Mulcahy - wonder…"
,,,,,,"The robots are coming – but will they really take all our jobs? https://t.co/lDYvSgpy9G"
,,,,,,"RT @siliconrepublic: The @esa and @RollsRoyce team up to #bring #spacetech down to Earth https://t.co/rbS1rJkGC2"
,,,,,,"RT @neurovessels: My graduate research focuses on improving diagnostic imaging of yr exact type of brain cancer but hey thx 4 voting to inc…"
,,,,,,"@meena_uvaca There are real use-cases for this technology as a safety net for misdiagnosis. There should be a ""bug… https://t.co/46r7iJUUKk"
,,,,,,"@NoMapNoCompass @Google there is only a US source referenced at present on the AIY site
I'm not aware of when the k… https://t.co/1sXkZZCJ6S"
,,,,,,"RT @Google: Take a 👀 at this! Our new AIY Vision Kit brings computer vision to your Raspberry Pi projects → https://t.co/3Aj62YppSX #aiypro…"
,,,,,,"RT @IntelAI: Google’s AIY Vision Kit features the Intel Movidius Myriad 2 VPU. Bringing computer vision to your Rasperry Pi projects. #AI h…"
,,,,,,"RT @soumithchintala: Second major flaw of the paper:
- has ""large scale hyperparameter search"" using LR [1e-2, 1e-5], Adam (See Appendix A)…"
,,,,,,"RT @ChameleonABZ: Out now: @U2 Songs Of Experience. We have it on translucent cyan blue vinyl! https://t.co/qm05yQQXMp"
,,,,,,"RT @Intel_IRL: Kicking off @IrelandsEdge 2017 in the beautiful setting of Dingle with the ever fascinating thoughts of @feraldata https://t…"
,,,,,,"RT @dromescu: Do-it-yourself #artificial intelligence https://t.co/gxJHKSaz4d https://t.co/lyFG2kGlrJ gr8 work @cto_movidius ""When Dreams c…"
,,,,,,"@MWalshIRL The core development is here and we're growing rapidlye!"
,,,,,,"@EyesOfThings @google lauches AIY deep-learning shield for @Raspberry_Pi based on @Intel_IRL Myriad2 https://t.co/PJ2iJDXghj"
,,,,,,"@google lauches AIY deep-learning shield for @Raspberry_Pi mased on @Intel_IRL Myriad2 https://t.co/PJ2iJDXghj"
,,,,,,"RT @Reza_Zadeh: Deep Image Prior: Denoising, superresolution, and inpainting with a randomly-initialized neural network.

Code: https://t.c…"
,,,,,,"RT @nigewillson: #BigData Gone Wrong ! #humor https://t.co/AFk3avWaRx"
,,,,,,"RT @Robotics_Newz: #Robots will put up to 800 million people out of a job by 2030 — and the problem will be worst in rich countries https:/…"
,,,,,,"RT @recruitsolution: Ireland has fastest growing IT worker population - report https://t.co/qoZiaqaqpr via @IrishTimesBiz"
,,,,,,"RT @culurciello: https://t.co/Te3vgvs1Pl
new machine learning hardware on Risc V"
,,,,,,"RT @WIRED: The researchers who say they broke Face ID are back with another, even more convincing demonstration https://t.co/GCcu5X4xEQ"
,,,,,,"RT @DmitryUlyanovML: ""Deep Image Prior"": super-resolution, inpainting, denoising without learning on a dataset and pretrained networks. Com…"
,,,,,,"@afd_icl Does it blend?"
