NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
deliprao,6544,15979,"Sweat: @r7dotai, @joostware and https://t.co/glRYJ15pH4
Past: JHU, Amazon (Alexa), Twitter, Google Into: Startups, #NLProc, Speech, ML, #DeepLearning, 座禅.",532652,453,"Looks like everyone In this flight is NIPS bound #sfo"
,,,,,,"@mrphilroth @rseymour Yay, Twitter!"
,,,,,,"Planning to do one run each day Mon-Fri. If you want to join on any or all of these lmk. I’ve a DM group going."
,,,,,,"@gchrupala 😍"
,,,,,,"@lreyzin Like the rest of his hires?"
,,,,,,"RT @ASlavitt: ACA enrollment ends in 2 weeks.

4.5 million Americans can get covered at NO premium. They must just apply by 12/15.

Trump d…"
,,,,,,"RT @russellhancox: Fleet Management at Scale: How Google manages a quarter million computers securely and efficiently: https://t.co/sabLJG0…"
,,,,,,"RT @gchelwa: LOL. Today's exam at the Indian Statistical Institute. See Qn 5. https://t.co/TrHHpyGCCP"
,,,,,,"Who wants to skip all the recruiting parties at #NIPS2017 and go for a run? Trying to start/join a NIPS running club."
,,,,,,"@hannawallach Sunday!"
,,,,,,"RT @IndiaHistorypic: 1984 :: Dead Bodies of People Died In Union Carbide Gas Leak , Bhopal https://t.co/T5rFMMAXC8"
,,,,,,"@gideonmann Just seeing this. Is there a link for this?"
,,,,,,"Then again, I’ve only talked to a few folks :)"
,,,,,,"My early conversations about this with investors regarding what we are doing for @r7dotai seem to go unappreciated.… https://t.co/zLWis7EMqX"
,,,,,,"RT @Scungo: @nwbrux @GreatDismal @YouTube This is our prime minister in NZ https://t.co/lj0Vr5TsbW"
,,,,,,"@bcmcmahan @Smerity What do you think we are? Statisticians?"
,,,,,,"@Smerity Which glorious paper is this?"
,,,,,,"@i_am_erip @haldaume3 There’s a statutory period for love and hate"
,,,,,,"Pyramid Scheme implemented using Racket https://t.co/ZnkjsRa4tO"
,,,,,,"@haldaume3 Working on openfst?"
,,,,,,"@yuvalmarton @srchvrs Random walks"
,,,,,,"@srchvrs He doesn’t care about a deep living"
,,,,,,"Hope everybody’s Saturday is going like Ngram’s https://t.co/yVbGPrZoaj"
,,,,,,"RT @MeganRisdal: My mom sent my photos of a poinsettia ornament she made out of punch cards in 1973. Uhh, sick. https://t.co/sv2oWhnnqz"
,,,,,,"RT @helloanand: Hire people with traits of coachability, curiosity and team play. Pedigree and certificates are overrated. #startuplife"
,,,,,,"RT @sleepinyourhat: @NYWFP @NYCMayor @nychange @People4Bernie @MoveOn @CPDAction @strongforall @WorkingFamilies @ResistHere  https://t.co/v…"
,,,,,,"RT @DOGGEAUX: zheng shi was a sex worker in Canton who was captured &amp; wedded to a pirate lord and so quickly proved her ability to command…"
,,,,,,"@culurciello With you"
,,,,,,"RT @mjntendency: Free GAN paper ideas,

You're Not GANna Like This: Deep Synthesis of Unpleasant Sounds
GAN't Touch This: Rapid Training of…"
,,,,,,"RT @legogradstudent: As a grad student, there are days when it's hard to stay motivated.

In those dark times, keep your eyes on the prize:…"
,,,,,,"RT @SashaLaundy: The best debugger ever made is a good night's sleep."
