NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
dennybritz,14696,580,"Living in Tokyo. Into Startups, Deep Learning. Ex-Google Brain, Stanford, Cal. Writing at https://t.co/7RELYa2qUO and https://t.co/CdsP5V71xQ.",716437,3734,"@hardmaru Not surprised. I think he was the one behind that unofficial @TensorFlo account before the official one took over."
,,,,,,"To all of you at NIPS this year: Please let us know if it’s living up to expectations as a replacement for Burning Man."
,,,,,,"@ch402 Thanks! That’s a great video. Now all I gotta do is buy a bigger apartment to do this in!"
,,,,,,"@ch402 Which tutorial was this from and what are your favorites?"
,,,,,,"RT @RichEverts: I was the 10,000th subscriber to this newsletter on weekly AI reports. That's pretty cool to me! Be sure to check it out.…"
,,,,,,"@tkasasagi @hardmaru At Tokyu Hands in the “random number generator” section ;)"
,,,,,,"@hardmaru I guessed most of the scores correctly. How? Just rolled a dice."
,,,,,,"@Smerity @DrLukeOR @goodfellow_ian @kaggle @stanfordnlp @CaimingXiong @hllo_wrld Yeah that’s a good point. It’ll be… https://t.co/tOFBzJqehM"
,,,,,,"@Smerity @DrLukeOR @goodfellow_ian @kaggle @stanfordnlp I don’t think it’s hard from a technical perspective. But I… https://t.co/fjNYfhutug"
,,,,,,"@Smerity @DrLukeOR @goodfellow_ian I think we talked about this before but IMO one solution is not not publish the… https://t.co/NSM9gua5fr"
,,,,,,"@Smerity @goodfellow_ian Yeah that’s the whole problem with comparing your method to what was reported in previous… https://t.co/dZSjGrVOGA"
,,,,,,"@mark_riedl Good luck getting the cuda drivers for 1987."
,,,,,,"@goodfellow_ian @Smerity Could’ve done the same on a validation set though. At least they are honest and don’t secr… https://t.co/BJNw8IQQtV"
,,,,,,"In other countries people steal vehicles for financial gain.

This guy “borrowed” a garbage truck because he didn’t… https://t.co/KRznHIuBUE"
,,,,,,"RT @HumeKathryn: Reinforcement learning is the most interesting machine learning paradigm because it most closely resembles what it's like…"
,,,,,,"It seems like you can finally switch your code over to Python 3 without feeling guilty. I never thought this day wo… https://t.co/l5Lep6KWLb"
,,,,,,"RT @mjntendency: Free GAN paper ideas,

You're Not GANna Like This: Deep Synthesis of Unpleasant Sounds
GAN't Touch This: Rapid Training of…"
,,,,,,"@LittleFunnyGeek That’s exactly my point. It’s easy *because* people have built tools that make it easy. But you co… https://t.co/JGvZejNgDK"
,,,,,,"RT @petewarden: @dennybritz I've worked on CV since 1997, and DL is the first reliable, general technique that works. There were lots of re…"
,,,,,,"“Our method is robust to the selected hyperparameters we mentioned, but not the hyperparameters tested in that pape… https://t.co/Yaf2IWgV74"
,,,,,,"@tkasasagi I think a large number of Japanese companies run purely on Excel, without any kind of specialized softwa… https://t.co/f8qV8SgapD"
,,,,,,"Crazy. This 77-year old guy from Japan creates paintings in Microsoft Excel. He started because he didn’t want to p… https://t.co/dMXWfO08TK"
,,,,,,"@ngutten But was this true for the very first neural nets? They were really slow. So many optimizations and special… https://t.co/SKvilvm8UH"
,,,,,,"@fchollet @hardmaru I agree that this kind of work makes up a large fraction of what’s currently being done DL (at… https://t.co/PKQ716R9JR"
,,,,,,"RT @fchollet: @dennybritz @hardmaru The field of DL optimizes neither for diversity nor usefulness, it optimizes for hacks that are hard to…"
,,,,,,"Okay, now this is becoming hilarious. Please remember the principles to live by: https://t.co/mEqO3ODFNd https://t.co/zSRUXLavCV"
,,,,,,"@hardmaru It’s like Evolution Strategies, but for AI techniques. We didn’t optimize for diversity so all that survi… https://t.co/0sLG027TiP"
,,,,,,"@hardmaru Totally agree with diversity. But you can do CV/NLP without DL ;) 

One way is by stop focusing so much o… https://t.co/ic4R4l8l7V"
,,,,,,"@adropboxspace Good question. One part were definitely the initial ImageNet results. Everyone wants to get SOTA, so… https://t.co/z3s5CY84nr"
,,,,,,"High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs https://t.co/rxAT0kJuMX

These GAN… https://t.co/pTV8f2Jo03"
,,,,,,"@andyjennings Oh, yeah, there’s lots of cool and useful stuff. I’m just saying that we may be overvaluing specific… https://t.co/r6Vi6XL6He"
,,,,,,"RT @CIFAR_News: Distinguished Fellow Geoffrey Hinton named one the most influential people of 2017  https://t.co/4Fa8N4nkz6 via @Bloomberg…"
,,,,,,"Maybe progress in Vision/NLP/etc is not due to neural nets, but rather due to the influx of smart researchers, lots… https://t.co/4yVSsqvl1w"
,,,,,,"RT @volkuleshov: I love this chart from the AI index report. You clearly see the peak of 80's AI hype and its slow drop-off. We seem to hav…"
,,,,,,"RT @pabbeel: NIPS Deep RL Symposium Schedule now available:  https://t.co/a2UEG3v7lf
includes over 70 contributed papers/posters, and invit…"
,,,,,,"@bryce What’s wrong? It’s by far the best phone I’ve ever had.  I think it’s great. Yes, iOS 11 is buggy, but that’… https://t.co/hK8gQVWkwF"
,,,,,,"Cool new post on the BAIR blog: Model-based Reinforcement Learning with Neural Network Dynamics… https://t.co/oApn9PQdS4"
,,,,,,"The AI Index is an initiative to track, collate, distill and visualize data relating to artificial intelligence.… https://t.co/o8TQGCk5xP"
,,,,,,"RT @mattturck: Engineers don’t want to work for management consulting firms not because they’re not interested in the subject matter but be…"
,,,,,,"RT @ankesh_anand: Introducing HoME: a Household Multimodal Environment for AI agents.
- 45,000 diverse 3D houses
- Vision, Audio, Physics a…"
,,,,,,"@mat_kelcey @hardmaru @fchollet Ah but storage is cheap. Even I can afford that!

But let’s stay positive. Now we a… https://t.co/10muNxabnP"
,,,,,,"@mat_kelcey @hardmaru @fchollet Haha I wish, @hardmaru  is the only one that can afford it. I was just wondering if… https://t.co/jktEfXmAmr"
,,,,,,"RT @Dufined: Thank you Amazon. https://t.co/4RsOnUnPsh"
,,,,,,"@mat_kelcey @hardmaru @fchollet But would you miss Borg if you had unlimited cloud credits?"
,,,,,,"RT @SweeneyABC: BREAKING: American Airlines says computer glitch allowed all pilots to take vacation over Christmas week. Now union says th…"
,,,,,,"@yoh_okuno It’s going great. Really enjoying my life here now :)"
,,,,,,"You can now use Bitcoin to buy things up to 10万円 (~$1000) in Japan's Bic Camera, a large consumer electronics chain… https://t.co/xqYKGm6pJv"
,,,,,,"RT @EricTopol: It is hard to watch the demise of US science due to blocking young talent entry into the country  https://t.co/cUeJDvlJIP by…"
,,,,,,"RT @hardmaru: @benlee @dennybritz Vanilla RNN Caffe."
,,,,,,"@alexeifinski @fchollet Not with the right features :) And if you argue that this requires “hand-crafting” those fe… https://t.co/k9IiyYbE9R"
,,,,,,"If I were to built a cryptocurrency exchange I wouldn’t account for the very improbable edge case of BTC declining… https://t.co/prNGX3Kdqs"
,,,,,,"RT @hiconcep: I can’t agree more with this from Dr. Peter Kecskemethy’s slide. Some of the #ML researches driven by non-physicians lacking…"
,,,,,,"@fchollet Then we can also go back to numpy…"
,,,,,,"RT @mark_riedl: Paper: https://t.co/Oa3m5UkNJ6
Blog post: https://t.co/SbuLJt00yt"
,,,,,,"Ok, so it seems like we’ve established that all we need are vanilla GANs and vanilla LSTMs with well-tuned hyperpar… https://t.co/H62WTDA3Sr"
,,,,,,"@ericjang11 So how do you train your network then? Or don’t use one at all?"
,,,,,,"@ericjang11 What do you recommend for RL these days? Is TF eager mode worth taking a look at or too slow?"
,,,,,,"@cepera_ang @ozansener @karpathy @slavivanov @jeremyphoward Also don’t forget that there’s a feedback loop you need… https://t.co/s50bqxfefj"
,,,,,,"@cepera_ang @ozansener @karpathy @slavivanov @jeremyphoward I used around $1/h. Spot instances are fine to play aro… https://t.co/imgHEYtiyZ"
,,,,,,"@cepera_ang 10-100k very common from what I’ve seen if you count the GPU hours for hyperparam optimization. 1M shou… https://t.co/LRFX697agZ"
,,,,,,"@edersantana @hardmaru Then they should just force everyone to register their experiments and verify them automatically ;)"
,,,,,,"@hardmaru Psst, don’t give away the constants!"
,,,,,,"@hardmaru It’s a good idea to hedge your bets. If the paper doesn’t get accepted at least you get some BTC."
,,,,,,"@deontologician Ah, this would never happen. It’ll clearly keep going up forever."
,,,,,,"Finally found a use case for BTC.

It’s now a very natural measure for Deep Learning experiments with hyperparamete… https://t.co/5HeU42pEbU"
,,,,,,"@hardmaru BTC is stable. These other currencies a volatile."
,,,,,,"It’d be around 10BTC (or $100k for those of you stuck in the past) to run this experiment on Google Cloud. Given th… https://t.co/NOfLxuVPxz"
,,,,,,"RT @sama: OH: ""The price of bitcoin is stable--it's the USD that's moving"""
,,,,,,"RT @gstsdn: ""Finally, we did not find evidence that any of the tested algorithms consistently outperforms the original one."" https://t.co/N…"
,,,,,,"RT @AndrewLBeam: Come see @drfeifei, @atulbutte, @zakkohane, Susan Murphy, @jenniferchayes, Jill Mesirov, Mihaela Van Der Schaar, Jure Lesk…"
,,,,,,"People’s life philosophies differ. These are my major principles to live by:

1. Never upgrade iOS until 4 weeks in… https://t.co/xZTJkKG5VD"
,,,,,,"deepmind/pycolab - A highly-customisable gridworld game engine with some batteries included. Make your own gridworl… https://t.co/iBs9QsuscG"
,,,,,,"RT @_ambodi: It’s hard to miss #NIPS2017 just because I am an Iranian. I always thought politics should have a limit, but apparently not th…"
,,,,,,"Thinking of switching careers and becoming a Bitcoin journalist. I figured it isn’ that hard:

if(bitcoinPrice % 50… https://t.co/FYU3lWzFq7"
,,,,,,"RT @arnicas: Had some students in AI class report on AI hype, and they presented this bullshit bingo from French journalist. https://t.co/S…"
,,,,,,"RT @kanair: A Conference Statement from Beneficial AI Tokyo has now been released, which calls for global collaboration to achieve benefici…"
,,,,,,"Because everything is a GAN, even AlphaGo. https://t.co/2jWeVfuX4a"
,,,,,,"RT @lpolovets: ""Every Dumb Start-Up Ever"" is excellent startup satire. https://t.co/tur5gSAt9y"
,,,,,,"RT @lawrennd: Machine learning publishing is about ground up community efforts that *nurture* ideas and provide zero cost open access. I lo…"
,,,,,,"Sequence Modeling with CTC - Another beautiful post on @distillpub - https://t.co/ED3550HebS https://t.co/D436Zqjzc6"
,,,,,,"RT @colinraffel: A video of my talk ""Doing Strange Things with Attention"" which I gave at AI @WithTheBest in October is now online: https:/…"
,,,,,,"The Wild Week in AI - Apple's self-driving car research; Amazon ML Solutions; Fake Net Neutrality Comments; New Wav… https://t.co/Rnm3S5CErL"
,,,,,,"@thinkmariya Yep I agree. If this was targeted towards professionals I wouldn’t feel like it’s wrong."
,,,,,,"@fchollet I guess that’s the real research question here…"
,,,,,,"For all of you who are confused: What he meant is that it’ll be recycled and its parts will be put into a Tesla or… https://t.co/khLiu9JCu0"
,,,,,,"@DoctaCloak But can you still make money through other means while spending 20-40h/week in his lab volunteering? An… https://t.co/OuNzg6AUsk"
,,,,,,"If this was an RAship or a project course and they get reduced  tuition or academic credits that’d be a different s… https://t.co/lzK3XyhK7e"
,,,,,,"I love Andrew’s courses and his explanations are among the best out there. 

But asking students, who don’t have mu… https://t.co/izYmmD1IDI"
,,,,,,"@pabbeel @arthchan2003 @ericjang11 @OpenAI But does the simulator physics engine transfer well enough to the real-w… https://t.co/VJRQDSf4AY"
,,,,,,"RT @BenedictEvans: People saying ‘bitcoin has risen since this person called it a bubble!’ remind me of people saying ‘NASDAQ has gone up s…"
,,,,,,"Looks just like gbikes in Mountain View.  @hardmaru https://t.co/UPZSJAwjJC"
,,,,,,"@cinjoncin Definitely, will need to do some reading over the next few days. Is that paper public yet? Any other rea… https://t.co/yv0Pb0t2P7"
,,,,,,"@cinjoncin Working on some trading/finance related things and looking for surrogate problems. POMDPs like Poker are… https://t.co/m4N2Ap6hSp"
,,,,,,"@cinjoncin Communication in MARL is terrible, that made me chuckle ;)"
,,,,,,"What kind of learning algorithms are used on Boston Dynamics' robots? Very interesting answer by @ericjang11… https://t.co/ZBeOCdwm6R"
,,,,,,"@hardmaru That sounds similar to learning a model. If your non-explicit “reward” is part of the observation and you… https://t.co/JwKEj2cC0I"
,,,,,,"@hardmaru And even without intermediate rewards that are still things you can use to learn faster, like auxiliary t… https://t.co/Mk9dQ89xBC"
,,,,,,"@hardmaru Yep saw that one - that’s not fair either though. There often are intermediate rewards (if you use RL) ev… https://t.co/DA24wtLdCa"
,,,,,,"@hardmaru Yeah, that’s a good point. When agents act on different time scale or asynchronously it’s not clear what… https://t.co/K6g1czZVA3"
,,,,,,"@cinjoncin Interesting… time to build something I guess. Do you know what the standard benchmarks  (like Atari) are… https://t.co/87CkJ2rogl"
,,,,,,"@databuryat I don’t like the idea of any kind of lottery system. Also, defining “diversity” by country of origin se… https://t.co/dAhEvKLRoM"
,,,,,,"Are there “standard” implementations (like OpenAI gym) of multi-agent RL environments for board games, card games,… https://t.co/xQ9SWlNlEl"
,,,,,,"@tarinziyaee Anywhere, really. IMO there is little reason to be in SF these days. So many amazing opportunities acr… https://t.co/iikKSC67J6"
,,,,,,"@Smerity @LauraDeming But I imagine you’d learn so much by drawing everything by hand..."
,,,,,,"This is system was broken before, and now it seems to be even worse. Have many friends who failed to get H1Bs as we… https://t.co/uDqquCsqVD"
,,,,,,"RT @BenedictEvans: @jackclarkSF There are more people sleeping on the street in SF tonight than in the entire UK."
,,,,,,"RT @LeonFedden: Hey, I just wrote a blog post on dimensionality reduction, comparing UMAP, t-SNE and PCA on audio. There's an interactive w…"
,,,,,,"RT @ericjang11: New blog post on Expressivity, Trainability, Generalization problems in Machine Learning, and why RL is still very unsolved…"
,,,,,,"RT @zacharylipton: I hope no self-respecting members of the ML community consider submitting to the new scammy Nature ML journal. Worth rev…"
,,,,,,"RT @_tessr: he's new to san francisco https://t.co/Ea3h5obGFG"
,,,,,,"RT @rishmishra: October -- Twitter ads for ICOs

November -- Twitter ads for attorneys to sue the ICO people https://t.co/UOGWVMu5yK"
,,,,,,"RT @PG_Zan: this might be my favorite gif https://t.co/fUa5qbTYRS"
,,,,,,"@APompliano @BenedictEvans What about shaman? 10x shaman developer! AI shaman! Senior Blockchain shaman!"
,,,,,,"RT @rivatez: Actually this is too good to not share. Due-diligence email that I just sent to an investor for a crypto/AI company trying to…"
,,,,,,"@hiconcep Yup, if you don’t want to follow or agree with the “collective delusions in SF” you’re going to have a hard time…"
,,,,,,"All of these reasons for leaving SF really resonate with me. One that’s missing is what I’d call the “startup rat r… https://t.co/C70v8ZOHJx"
,,,,,,"AI-controlled brain implants for mood disorders tested in people https://t.co/hEfOncv4xB

This sounds very cool, bu… https://t.co/U2HlpoS3bO"
,,,,,,"RT @amir_zadpoor: Read our paper (https://t.co/DLZCcfRasH) in @MaterialsToday reviewing #origami and #kirigami approaches that could be use…"
,,,,,,"RT @avdnoord: Introducing Parallel WaveNet, or how to generate 500,000 audio samples per second :). This is our generative Text-To-Speech m…"
