NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
domicdane,28849,88,,4249697,1092,"RT @gucci1017: Woke up and told myself you a King"
,,,,,,"RT @SergioRamos: Volvería a sangrar una y mil veces más por este escudo y esta camiseta.
Gracias a todos por el cariño y apoyo. En nada, de…"
,,,,,,"RT @russdiemon: Run directly at fear. Everything you want in life is on the otherside of that imaginary self built wall. Getting made fun o…"
,,,,,,"RT @HNS_CFF: 🇭🇷Well done! 👏
🇷🇺Russia, here we come! 🔥
#BeProud #Croatia #Vatreni #WCQ @EuroQualifiers @FIFAWorldCup #RoadToRussia #ZajednoD…"
,,,,,,"RT @Cristiano: A Alana Martina acaba de nascer! Tanto a Geo como a Alana estão muito bem! Estamos todos muito felizes! ❤️ https://t.co/nMT4…"
,,,,,,"The greatest boot ever made, for the greatest player ever #holygrail https://t.co/6hM7ZkJEUQ"
,,,,,,"👑 https://t.co/HOVI64e0tL"
,,,,,,"RT @Cristiano: Amazing feeling to have won this award again. Want to dedicate to my family, my friends, my teammates and coaches from both…"
,,,,,,"RT @russdiemon: Most of the time people are just mad they’re not in your position cuz they feel they would do you better than you lol they…"
,,,,,,"RT @theweeknd: always dream big"
,,,,,,"RT @russdiemon: Most romantic thing I’ve done lmao https://t.co/cWrDPDwp46"
,,,,,,"Cut to Brilliance 💎 https://t.co/AUf4lKQInD"
,,,,,,"flyknit ultra*s* 😏🔥🔥 https://t.co/VxQmScoB93"
,,,,,,"RT @partynextdoor: Let boys be boys &amp; Watch a man be a man."
,,,,,,"RT @russdiemon: Patience tastes bitter but the after taste is so sweet"
,,,,,,"RT @FloydMayweather: 50 - 0"
,,,,,,"RT @hajduk: #torcida https://t.co/SSjtRRPOzY"
,,,,,,"black out 🖤🌚👁‍🗨💣 https://t.co/hfmkSepuV7"
,,,,,,"RT @Sethrogen: Superbad turns 10 today, which makes Mclovin 35 I think."
,,,,,,"RT @MurallaBlanca: https://t.co/ixgmoOXHsl"
,,,,,,"RT @OBJ_3: In order to insult me, I must first value your opinion."
,,,,,,"RT @ShowtimeBoxing: There's a reason he went from Pretty Boy Floyd to 💰 Mayweather.

Watch #ALLACCESS: #MayweatherMcGregor Friday 10p ET on…"
,,,,,,"RT @brysontiller: don't say i changed when i finally level up"
,,,,,,"RT @russdiemon: Less pussy more progress"
,,,,,,"RT @theweeknd: my heart cold but it really beat for you though"
,,,,,,"RT @russdiemon: Instead of choosing to hate, you can choose to be inspired. Your choice, weirdo."
,,,,,,"RT @TheNotoriousMMA: The suit says fuck you https://t.co/y5pargzIsC"
,,,,,,"RT @russdiemon: Thank you Calgary https://t.co/yHoVt9fQie"
,,,,,,"RT @Cristiano: So happy to be able to hold the two new loves of my life 🙏❤ https://t.co/FIY11aWQm9"
,,,,,,"RT @Ericthomasbtc: 7.5 Billion people in the world and you let the opinion of 1 stop your good energy? You're better than that."
,,,,,,"AETERNO 👑 https://t.co/iJwSDwXv3Z"
,,,,,,"RT @realmadrid: 🙌🏆😃 #CHAMP12NS
#HalaMadrid https://t.co/qSkwGmddmq"
,,,,,,"forever unfinished 🐐 https://t.co/7nd57py0M6"
,,,,,,"RT @Totti: Grazie! https://t.co/EHpwZDcvEo"
,,,,,,"RT @realmadrid: 🚍🔥🙌 #33Ligas
¡GRACIAS, #RMFans! https://t.co/x0pBK0NxEn"
,,,,,,"RT @SergioRamos: ¡CAMPEONES! 
CHAMPIONS!
¡Vamosss carajo! 
Yesssssss!
#Diga33 https://t.co/8qDy4yOAWm"
,,,,,,"RT @russdiemon: Real ones relate. Insecure ones get mad. Always been like that and always will be like that."
,,,,,,"RT @russdiemon: Turn your real life into your dream life before you tell me anything bout what I'm doing. This is above your wavelength."
,,,,,,"RT @russdiemon: People who are too scared to go after their own dreams be tryna tell you about how you should be living in YOUR dream lol c…"
,,,,,,"RT @russdiemon: Before you critique my life just make sure youre taking your own life and dreams serious otherwise I cant take you or your…"
,,,,,,"RT @russdiemon: You can either be offended by my demeanor and my belief and outlook on life, or you can maybe learn from it and apply it to…"
,,,,,,"RT @russdiemon: I didn't stumble on any of this life. I visualized it for YEARS. Told myself over and over again what I wanted to see come…"
,,,,,,"RT @russdiemon: If u are not familiar with the law of attraction, I might come off ""cocky"" etc, but I am simply mentally/verbally manifesti…"
,,,,,,"RT @russdiemon: If you understand the law of attraction, you'll understand why I say what I say and carry myself the way I do"
,,,,,,"RT @russdiemon: I just never gave up and you shouldn't either"
,,,,,,"RT @realmadrid: ¡Nos vamos a Cardiff!
We're going to Cardiff!

🏆 #APorLa12 https://t.co/SBE9KbCvAp"
,,,,,,"""He doesn't show up in big games""
""He only scores against small teams""
""He's not the best in the world""

Shut up &amp;… https://t.co/UAiYB48h2y"
,,,,,,"all white boots are my ting 🤤#NIKEiD https://t.co/xuLmGrbPUL"
,,,,,,"one for all the critics &amp; doubters 🗣🚫 https://t.co/FDUislvMPV"
,,,,,,"Forged for Greatness ⚒🔥 https://t.co/fNVo6GqF66"
,,,,,,"RT @welcomeOVO: 3/18/2017 🌺 https://t.co/Od0DA1QFsi"
,,,,,,"RT @BigSean: Focused on the inner me, never on the enemy..."
,,,,,,"RT @Cristiano: 🏡😎☀️ https://t.co/mCrtBvFoxg"
