NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
dpkingma,2665,165,"Diederik P. Kingma. Research Scientist in Machine Learning",1713080,2921,"RT @hardmaru: Make animations interactively using Variational Autoencoders by drawing lines. Try out TopoSketch in your web browser. @dribn…"
,,,,,,"RT @dustinvtran: TensorFlow Distributions. For researchers: learn about all its features, PPL: learn how DL apps leads to new designs https…"
,,,,,,"@theokingma @3Billboards @foxsearchlight Great movie indeed!"
,,,,,,"@dendisuhubdy @tsirigoc Bizarre for me to see the book appear in your lab in Montreal! Thx for the photo!"
,,,,,,"@jackclarkSF @fhuszar :-) New episode of Black Mirror?"
,,,,,,"Congrats @avdnoord et al with Fast Wavenet! Check out the paper: https://t.co/qrnFEz44mq, great work and apparently… https://t.co/UBIRGbcBED"
,,,,,,"@akuz_me The former: the stochasticity of the hidden units only depends on weight uncertainty and the network inputs."
,,,,,,"@lhlmgr 👍"
,,,,,,"RT @DeepSpiker: gen model papers on NIPS vs AISTATS: our model has no measurable loss, but it gen. nice celeba samples (only if momentum=0.…"
,,,,,,"@yanpanlau @ilyasut Truckloads of Adams, indeed! 😉"
,,,,,,"""Fixing Weight Decay Regularization In Adam"", Loshchilov &amp; Hutter, https://t.co/02rCupdnkS. Somewhat surprising res… https://t.co/u4huiPeIiL"
,,,,,,"@DavidDuvenaud @wgrathwohl @chlekadl @Yuhu_ai_ @geoffroeder RELAXed! Well written and really cool idea. Nice practi… https://t.co/f60gwIk0h4"
,,,,,,"RT @DavidDuvenaud: RELAX!  Our new gradient estimator handles discrete variables and black-box functions.  Now going to try hard attention,…"
,,,,,,"@_SalvorHardin Nice to see it arrived in one piece! And good luck with these SW networks, pretty interesting and relevant topic!"
,,,,,,"@jnhwkim Great to hear Jin-Hwa!"
,,,,,,"@fhuszar Haha. I have no issues with the paper (except tidbit about improper prior), and of course happy that peopl… https://t.co/nKBM2cyxfx"
,,,,,,"@yaringal @davidjayharris @fhuszar @alexggmatthews I have no issues with the paper (except tidbit about improper pr… https://t.co/3dggRAJYXM"
,,,,,,"@alexggmatthews @dustinvtran PS. No issues with the rest, and of course happy that people are further looking into this subject."
,,,,,,"@chris_naesseth @dustinvtran @alexggmatthews Hi Christian, this is true, what I meant is: if you truncate q(log |w|… https://t.co/x347Nr96Ze"
,,,,,,"@alexggmatthews @dustinvtran Hi Alex, OK, let's chat over email.."
,,,,,,"@dustinvtran @alexggmatthews Their argument seems to be based on a wrong assumption that we used an improper unifor… https://t.co/rEVn1bgE9i"
,,,,,,"@SepehrAkhavan Unfortunately no video was recorded, sorry.."
,,,,,,"Slides of David Blei's talk for the mini-symposium I organized recently: https://t.co/QbuvFtlmmM https://t.co/EhxJu8QZML"
