NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
drkatedevlin,5138,12841,"Academic, @GoldsmithsUoL: archaeology, AI, HCI & sextech. Writes for @sigmascience & @amorist_the. Book: ""Turned On: Science of the Sex Robot"" out 2018.",82517,989,"@GWRHelp - trying to get BRI-PAD home to London with a tired 7yo. On 17:05 train from BRI, currently stopped at Pew… https://t.co/jJjs1sWPG6"
,,,,,,"RT @gorillaz: 🚨 Tune in NOW for We Are Still Humanz
Sunday Roast is joined by @Ciaranthapar and @Drkatedevlin to discuss the role of techno…"
,,,,,,"RT @ReprezentRadio: Up Next!.. 

@CiaranThapar &amp; @drkatedevlin join us for Sunday Roast to discuss the role of technology in modern society…"
,,,,,,"RT @A_C_McGregor: Anyone surprised that a Tory MP has no understanding of basic data security? *This* is a disciplinary offence any job.

F…"
,,,,,,"6pm! https://t.co/fWrtQUTX5H"
,,,,,,"Utterly beautiful and very moving thread from the always-inspiring @bookshaped. https://t.co/oA6J3nPmCa"
,,,,,,"RT @Rob0Sullivan: 🎶It's the most wonderful time in the rear...🎶 🎄 https://t.co/ki1KlYSgaa"
,,,,,,"RT @glosswitch: Patriarchy's ultimate self-own https://t.co/Jeg4BKUx4b"
,,,,,,"@lisadebruine @elaorleans @b3ta @DeviantArt It's by b3tan @IamHappyToast - an absolute genius at this stuff https://t.co/VVMeVt5dFt"
,,,,,,"@lisadebruine @elaorleans @b3ta @DeviantArt Here it is  :) 
https://t.co/VVMeVt5dFt"
,,,,,,"@elaorleans @lisadebruine It’s originally from @b3ta, as far as I remember."
,,,,,,"5:39am and I’m awake and reading articles on subpixel antialiasing. Just for fun, like. https://t.co/f3uIEG8XHo"
,,,,,,"RT @PJVogt: Wow. Let that sink in. https://t.co/eyo7TwIcI1"
,,,,,,"You know you’re in Bristol when your taxi meter is at £9 and you haven’t even got out of the Temple Meads traffic jam yet."
,,,,,,"Spent a couple of hours today, talking to @ohjoewalker, @isthatscully and @CiaranThapar about society and tech as p… https://t.co/TdLuij5vYW"
,,,,,,"RT @stevevsninjas: Last isthmus I gave you my chart
the very next day
you sank to your grave
This year 
a ghost ship appears 
you turned in…"
,,,,,,"I’ve just eaten a burrito doused with hot sauce and my final mouthful was full of jalapeños and I’m on a train so I… https://t.co/0N7A9N0WEE"
,,,,,,"@jamiesmart @ess_j_ess @motherboard Awww, thank you. And I don’t care what @ess_j_ess says about you, I think you’re nice."
,,,,,,"I’m officially a human! #HOTY @motherboard’s Humans of the Year 2017 https://t.co/1TQsuuMccr"
,,,,,,"@ms_s_ashcroft @motherboard It so happens I’ve written an article mentioning it too (out in January)  :)"
,,,,,,"@robmanuel Amazon."
,,,,,,"Nancy Wake, WWII Resistance courier. Once killed an SS guard with her bare hands. Led attacks on Gestapo HQ. Drank… https://t.co/W3daoMBPH9"
,,,,,,"@Scientits Yes."
,,,,,,"@p0welly @stavvers Can you see their nuts?"
,,,,,,"@stavvers Waaaaay ahead of you."
,,,,,,"@chainbear Why would you do this when you could watch any other film in the world ever?"
,,,,,,"@Davecat @samleecole LOLOLLL"
,,,,,,"@Davecat @samleecole hahaahaaa! I did think I looked like some kind of scary artificial moon."
,,,,,,"@DrLucyRogers I can't move. I may have pushed it too far with the final mouthful of garlic naan."
,,,,,,"The Software Developer Bringing Diversity to Your Reading List https://t.co/VXJJFj8ZN5 via @motherboard"
,,,,,,"This Graphene Researcher Is Making Computers You Can Wear https://t.co/LKKoY3tPbb via @motherboard"
,,,,,,"The Ocean Scientist With a Hydrothermal Microbe Zoo in Her Lab https://t.co/OU9V4qiBYP via @motherboard"
,,,,,,"Celebrated being named a top human by eating faaaaaar too much dry meat and daal baingun from Needoo's."
,,,,,,"It me! https://t.co/1TQsuuMccr"
,,,,,,"*high-pitched squealing noises* ☺️ https://t.co/jGw8nagTOH"
