NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
editorbrittany,330,3060,"Reader/editor/feminist/cardigan enthusiast. Associate Content Producer at @techreview. MA in Publishing, Emerson College",2581862,154,"RT @rachelmetz: any story that starts with the reporter in an operating room with a surgeon who's about to start brain surgery is fine w/ m…"
,,,,,,"RT @techreview: To explore 3-D printing’s role in manufacturing, join us today at 2 p.m. EST for a live, interactive conversation between @…"
,,,,,,"RT @NativeApprops: “A study out this year, found that marginalized professors spent twice as much time mentoring, recruiting and ‘serving o…"
,,,,,,"Appreciation post for Merriam-Webster's social media manager. 🌟 https://t.co/6t19aJ5eYD"
,,,,,,"@hankgreen Excellent 👌⛸🔨🏕"
,,,,,,"@EmVandermeulen @hankgreen I think it may have worked better if he signed it something like “Enjoy a cuppa! -Joe.”"
,,,,,,"@hankgreen Did I hear you right when you said “We nailed it out of the park” after the fitness blades section?"
,,,,,,"@ChelsElizab @danies394 @Dani_SerranoG @missyjkennedy You know he's not though, right? Jon Voight is the one who's her father 😆"
,,,,,,"@danies394 @ChelsElizab @Dani_SerranoG @missyjkennedy Was he runner up for “world’s flyest man”? 😂"
,,,,,,"RT @lynnecarty: The Race to Power AI’s Silicon Brains. Story by @martingiles / Illustration by @maddiejaneedgar https://t.co/TMrXHVZObV htt…"
,,,,,,"RT @techreview: This Boston Dynamic robot's backflip displays dexterity, poise, and balance—all things that have typically been lacking in…"
,,,,,,"RT @rachelmetz: Holiday shopping is a pain. Let us help with our guide to the best tech gifts! - via @techreview https://t.co/rONsbfHSBa"
,,,,,,"@Melpom4 @AhoyCaroline @philip_the_4th @MaxKriegerVG I scrolled down the thread hoping someone mentioned this Chica… https://t.co/60jubf0cjF"
,,,,,,"RT @lynnecarty: Artificial Intelligence that learns your fashion sense and picks your next outfit. Animation by the great @somethingsavage…"
,,,,,,"RT @techreview: Over 65 percent of jobs created since 2010 require at least moderate digital skill, and jobs with more digital aspects pay…"
,,,,,,"@sophiamariaa I think you're wearing it wrong."
,,,,,,"RT @carolineframke: stop mourning the work that's been tainted by shitty men and start mourning the work we lost from the people they targe…"
,,,,,,"@erinwinick Looks like an excellent choice! 😁"
,,,,,,"RT @HillaryClinton: It was a thrill to work on this project with @ElaineWelteroth.  I’m really proud of the result. I hope you enjoy it. ht…"
