NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
erichorvitz,10524,695,"Director, Microsoft Research Labs",5058,2912,"Looking forward to seeing colleagues at @PartnershipAI Open House at @NipsConference #NIPS2017 on Sun night, 12/3 6… https://t.co/q848WDjnaS"
,,,,,,"Inaugural AI Index launched. @StanfordEng story: https://t.co/wTXwgxSSQS   Index accessible here:… https://t.co/oN3ObUpc0X"
,,,,,,"First version of AI Index is out https://t.co/Qlliu9xwh0 NYTimes https://t.co/uNUOCGE6sO Expect to see metrics broa… https://t.co/7HdGVCq35u"
,,,,,,"NYTimes piece on possibility of game-changing breakthroughs in AI. https://t.co/xjddb1cGld  Jumps in recognition co… https://t.co/q14NJr4OMQ"
,,,,,,"RT @bjh_ip: Reflections on the meaningful understanding of the logic of automated decision-making by @erichorvitz from @MSFTResearch https:…"
,,,,,,"Postdoctoral position at @PartnershipAI @terahlyons https://t.co/kVw2eSPegY"
,,,,,,"@SebastienBubeck A bit--that was in honor of that French TV production. Nice filmmakers from France."
,,,,,,"@IgorCarron Sure, if we can find a good time slot."
,,,,,,"Voici une très courte video pour mes amis qui parlent français, et anglais aussi. Plusieurs réflexions sur les défi… https://t.co/kpP75H79iy"
,,,,,,"@cleverclue @TheOfficialACM Reflected over years about information-theoretic defns of arrogance vs humility of AI s… https://t.co/bTfutzYIJx"
,,,,,,"Yes, there's hope w/ building #AI sys. w/ ability to reflect about own reasoning. Here's work on reflection (""metar… https://t.co/8hWGtgBhqo"
,,,,,,"Longstanding challenges on #AI reasoning opacity.  @nytimes piece https://t.co/qqh7L7ohWZ is on explaining classifi… https://t.co/nEVKiGtCrx"
,,,,,,"Well-written @nytimes piece on difficulty w/ explaining machine learning https://t.co/qqh7L7ohWZ  Impt to note that… https://t.co/pBd31AMEWL"
,,,,,,"Great to see our Northeast family of @MSFTResearch Labs come together for conversations &amp; collaborations… https://t.co/Pv6x8JipRf"
,,,,,,"Investments in R&amp;D and technology policy around #AI should include explorations of possibilities of different kinds… https://t.co/WOvd64QP4A"
,,,,,,"Opportunities to lower CO2 emissions worldwide include efforts at our homes, offices, organizations.… https://t.co/Au8wdEGfWL"
,,,,,,"Jibo celebrated! Reflecting on creativity &amp; passion of brilliant @cynthiabreazeal, a founder and leader in field of… https://t.co/RqZLAKJj6z"
,,,,,,"Enjoyed session with visiting innovators at first #AiForEarthSummit at @MSFTResearch @lucasjoppa @BradSmi… https://t.co/eUrbG3wz2s"
,,,,,,"@ESYudkowsky That was ""would necessarily be"" malevolent--a simplification."
,,,,,,"@BanKillerRobots @TheSpinoffTV This was an orthogonal discussion stemming from a discussion months ago on short-ter… https://t.co/dNyikT91hR"
,,,,,,"@davidmanheim @ESYudkowsky David/Eliezer: Thx. Journalists simplify--removed ""idle"" from worry, versus ""getting act… https://t.co/VPpFSv8AH6"
,,,,,,"Air to ground: MSR AirSim simulator for #AI learning, planning, safety now includes autonomous cars https://t.co/X581g5wvEl @TheOfficialACM"
,,,,,,"RT @jenhensh: “Worrying means sitting on your hands. Let’s figure it out instead."" 
@erichorvitz https://t.co/ArQwMKGtcl"
,,,,,,"Article on several near-term hopes &amp; concerns with #AI applications https://t.co/QE6Fez4k1A Enjoyed discussion.  Click-seeking title &amp; photo"
,,,,,,"On threats &amp; promises of #AI. Despite attention-seeking title/photo, captures portion of recent discussion with vis… https://t.co/SLvPISjVPl"
,,,,,,"Concerns &amp; best practices on using #AI to optimize attention &amp; engagement fall under a @PartnershipAI focus on soci… https://t.co/yxc9lWWrfQ"
,,,,,,"Vigilance needed on influences of apps relying on machine learning &amp; optimization algorithms to maximize engagement https://t.co/ky9NJAdPi4"
,,,,,,"@hqz @jeffbigham @pgbovine :-)"
,,,,,,"RT @najarvg: A look at trends &amp; patterns in consumption of #FakeNews prior to the 2016 US elections and some correlations. Note: does not m…"
,,,,,,"We do not yet understand why different articles had diff time courses. More research needed. @JResearchNews… https://t.co/cvwqRHMeFS"
,,,,,,"@nature piece from former @NIMHgov dir @TomInsel on disruptors in healthcare https://t.co/CZpXB7YJRy @compcomcon @AMIAinformatics @NLM_LHC"
,,,,,,"Insight article in Nature by @TomInsel https://t.co/CZpXB7YJRy on rising directions in #healthcare.  Thanks… https://t.co/WP2HtWWzuz"
,,,,,,"RT @gpurcelljackson: The original Stanford #Bayesian Mafia. #ACMI #AMIA2017 @erichorvitz https://t.co/LhUXEJOMqz"
,,,,,,"Agree re: unfortunate headline, per ""Doomsday scenarios"" that was clearly designed to attract more attention, but a… https://t.co/rV4UQnA4YZ"
,,,,,,"Heartwarming evening in DC. Great to see so many colleagues in one place. Great photo @jessiet1023 @stanfordbmi… https://t.co/l7tPkqnLf5"
,,,,,,"@EFF Care needed w/ interpreting results. Please see p. 3, Sect. 4.3: “We caution readers against...inferring any p… https://t.co/KFw356gstV"
,,,,,,"Need to avoid causal conection. Please see page 3, Section 4.3: “We caution readers against...inferring any particu… https://t.co/RiujK2S7IA"
,,,,,,"Much to do with envisioning adverse AI outcomes and being proactive to address the possibilities https://t.co/Lz05t4KoZ6 #AI @PartnershipAI"
,,,,,,"Fabulous and award winning Hcomp work that brings AI and human insight together in support of sight impaired people… https://t.co/xYPhQjmCYL"
,,,,,,"Valuable discussions @PartnershipAI all-partners meeting in Berlin across the thematic pillars of org:… https://t.co/uMScs9yhWx"
,,,,,,"Great seeing you @martintisne and hearing your thoughts on steps forward on rising challenges--and opportunities wi… https://t.co/LZKQXL1OTa"
,,,,,,"At @PartnershipAI Berlin mtg deep dives were structured along these thematic pillars https://t.co/2FXt9zsHAS https://t.co/87WiwfzqVQ"
,,,,,,"RT @adamfourney: @SmackaT @matcatastrophe @erichorvitz @Dave_Parisi @EFF To be clear, we aren’t differentiating between ads and organic lin…"
,,,,,,"Stanford 100 yr. AI study memo called out threat to democracy &amp; freedom via uses of data to personalize manipulation https://t.co/gDV27atjUw"
,,,,,,"@justinhendrix @justinhendrix Care needed re: ""proved"" re: correlation vs. causation, but results certainly concern… https://t.co/xOfKXgbsna"
,,,,,,"We do not have video. Invoked Chatham House Rule. Wished more folks could participate.  Was a fabulous meeting.  Will be other opportunities"
