NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
evacide,47169,6193,"Director of Cybersecurity @EFF/ Tech advisor at @freedomofpress/ My tweets are my own /PGP key: https://t.co/vmHReIq794",18182,35133,"@nthcolumn @headhntr @ioerror Jake never worked for EFF. EFF’s statement about Morgan is here: https://t.co/TvGz1n0wWy"
,,,,,,"@SarahJamieLewis Paging @lizhenry."
,,,,,,"Shouting-of-the-outs to Sarah T. Roberts, who has not only been talking about content moderation since 2010, but is… https://t.co/ElWNgdhHy7"
,,,,,,"@ubiquity75 @miriamkp @jilliancyork @rmack @zeynep @zephoria @schemaly @daniellecitron Ooooh!"
,,,,,,"@ubiquity75 @miriamkp @jilliancyork @rmack @zeynep @zephoria @schemaly @daniellecitron I would like a nickel for ev… https://t.co/vfRqFepAlD"
,,,,,,"Jillian is the OG of talking about online platforms and content moderation. She has written a thing and you should… https://t.co/bVjskAk3y8"
,,,,,,"@MalwareTechBlog *incoherent screaming intensifies*"
,,,,,,"@RutheniaRus Soviet humor is indistinguishable from bad news."
,,,,,,"@SimplxeSierra @tithenai I can, but it often takes more time than people would prefer to be without their phone. Email info at Eff for org."
,,,,,,"@sorayasis There is no cloud, only other people’s voids."
,,,,,,"I used to write about infosec but now I just scream incoherently into the void."
,,,,,,"“I’ve found the malware and it’s the patriarchy.” @cooperq"
,,,,,,"@iCyberFighter What was it about my tweet that made you think this was in any way an appropriate response?"
,,,,,,"@emilymaxima @EFF Ping @jilliancyork. She has done a lot of work on this stuff."
,,,,,,"@marasawr I feel like I’ve been training for this event all my life."
,,,,,,"@NewCityofGold Yes."
,,,,,,"All I want for Christmas is a Ragnarok of the gothic shitlords."
,,,,,,"Anyone who reads this and thinks the appropriate response is to criticize the victims' handling of their abuse is w… https://t.co/ZqgBY7wN23"
,,,,,,"So this is bad. https://t.co/EZIo9hLhSN"
,,,,,,"@rgov The book and the album are both based on some documents belonging to their father."
,,,,,,"@rgov I’m digging all of Haunted right now."
,,,,,,"Don’t you mess with a little girl’s dreams, ‘cus she’s liable to grow up mean."
,,,,,,"My father has cheerfully informed me that every person he went to school with who was still in the USSR in 1986 (th… https://t.co/qAEAcDwkv6"
,,,,,,"@MalwareJake Yes, the policy is unclear. We are in violent agreement."
,,,,,,"@MalwareJake If you read the post, you can see we point out that it is unclear exactly what this means."
,,,,,,"US border agents can't search your phone for data stored in the cloud, according to policy. https://t.co/8Y76G1ntgf"
,,,,,,"Kudos to the Washington Post for fact-checking the hell out of a juicy story and exposing a Project Veritas sting o… https://t.co/adLKkf8JSu"
,,,,,,"@xor I'm hoping one of them sets up court in Avignon."
,,,,,,"@thegrugq I’ve lost my taste for grim and dystopian television for some strange reason."
,,,,,,"@thegrugq Just watch the San Junipero episode of Black Mirror and skip everything else."
,,,,,,"@thegrugq I feel like there is a much better show hiding inside of this merely okay show."
,,,,,,"I’m not going to finish watching Godless unless someone can promise me that all of the remaining episodes are devot… https://t.co/ULudlbgcGl"
,,,,,,"@3liza There's this, which is apparently going to be turned into a full length feature: https://t.co/JtTCUVn1Iv"
,,,,,,"@__apf__ @Viss Don’t get in the way of my dramatic point with your pesky facts."
,,,,,,"@SethBang Autocorrect is sometimes unkind."
,,,,,,"You know how when you lance a boil, puss goes everywhere? That’s 2017."
,,,,,,"Software engineers: if your boss tells you to write code that does something illegal, you stand to go to jail. Refu… https://t.co/dDvzz6z7Qg"
,,,,,,"ASL19’s statement on allegations against Ali Bangi, who has resigned from the organization. https://t.co/bkCTVhyc6S"
,,,,,,"Ali Bangi, Co-director of ASL19, charged with sexual assault: https://t.co/JZzFldkPHi"
,,,,,,"@lenazun Isn’t it supposed to be WWI, which is before Nazis?"
,,,,,,"@kim_crawley @ArielRobinson1 @MlleLicious @tarah @Tompromized @Snubs @SwiftOnSecurity @hacks4pancakes… https://t.co/7tECMaTG49"
,,,,,,"Hey software engineers, remember how you were going to resist the coming dystopia? You can do it by refusing to wor… https://t.co/KbrlOZqrK4"
,,,,,,"@EccentricaJones @MTJailed I hear that telling kids to say so no to drugs is really effective."
,,,,,,"This is kind of a big deal. #NetNeutrality https://t.co/ZhZY6ipPee"
,,,,,,"RT @postessive: group letters by women in support of harassers &amp; abusers are a bad look at any time and they age even worse"
,,,,,,"@hannahkuchler I will only embarrass my employer if I do on-the-fly legal analysis."
,,,,,,"@hannahkuchler Email press at eff dot com. They will hook you up with an attorney for a quote."
,,,,,,"Holy shit. https://t.co/FwxSP5jIMD"
,,,,,,"@MTJailed I see the concept of harm reduction is lost on you."
,,,,,,"Uber is the worst, part deux. Uber fired two lawyers for seeking advice related to how long corporate documents are… https://t.co/VVWZeNpJE5"
,,,,,,"Uber continues to be the worst. For those of you playing along, California has a data breach notification law. https://t.co/hCw4yAlepX"
,,,,,,"@astepanovich I’m afraid it will be called “EFF is Deeply Concerned.”"
,,,,,,"@sarahjeong I am trying to get my cat and my bicep into the same photo for a witty reply, but the cat will not cooperate."
,,,,,,"@astepanovich Enormous professional success while sporting lilac hair is the best revenge."
,,,,,,"@astepanovich Weird how men who think the office is their dating pool think the most important aspect of a professi… https://t.co/o1SVBhJdHs"
,,,,,,"@astepanovich Given how many women he’s harassed in our field, I don’t think he cares about womens’ brains much."
,,,,,,"@astepanovich No one has ever called me too nice, but shoutout to the coworker who said it was a pity I’d never get… https://t.co/d9wG38RIg4"
,,,,,,"The Russian government makes this threat every few months. I guess it’s that time again. https://t.co/hZyawoEfB3"
,,,,,,"Please enjoy Motherboard's guide to Safe Sext. It's straightforward, useful, and realistic. https://t.co/T9mk3zecCC"
,,,,,,"@GI_Fucken_Jack I’m full up on shitbags. There is no more room at the Shitbag Inn."
,,,,,,"@HackerHuntress witch hunt"
,,,,,,"What terms should I mute to save me from people’s opinions about how rape victims should deal with their rapists?"
,,,,,,"Telegram’s marketing department has much to answer for. https://t.co/P2KSlpHK6m"
,,,,,,"@laparisa @rseymour @callisto They’re a real thing."
,,,,,,"@laparisa This is already the most depressing tweet of the day."
,,,,,,"Someone I loved once gave
me a box full of darkness.
It took me years to understand
that I should have returned it for socks

#notmaryoliver"
,,,,,,"If you disbelieve women because you don’t like them and defend rapists when they happen to be your friends, you are… https://t.co/BRVxdlpfmw"
,,,,,,"How do you start making up for a lifetime of raping and assaulting women? You can start by facing the consequences… https://t.co/2hTOgZDz3P"
,,,,,,"RT @ranarahimpour: Together with my colleagues, we spoke with the Times, about more than 8 years of harassment of us and our family members…"
,,,,,,"@lenazun Just that one Lena, really."
,,,,,,"RT @EFF: ""We should not have an expectation of school districts and administrators being able to look over everything that we're doing.""

E…"
,,,,,,"@cooperq @sarahjeong @hopeconf Fuck. I’m sorry this happened to you. Cybersecurity team is boycotting HOPE until they ban John Draper."
,,,,,,"RT @matthew_d_green: Hey Skype: if you’re going to claim eavesdropping is technically impossible, you should probably build a system where…"
,,,,,,"@hacks4pancakes There is a lot more work left to do, yes."
,,,,,,"I’m glad this story is finally getting out. I hope that no one will be allowing Capn’ Crunch at their events anymor… https://t.co/Hj0YmAMOUp"
,,,,,,"RT @EFF: The US government acknowledged it needs to be more transparent about how it handles zero day vulnerabilities https://t.co/l5DzhKrH…"
,,,,,,"@DinahPoKempner I’m not sure it’s an age thing, but I don’t want to call it something that will turn people off."
,,,,,,"@AnnieGame I’m totally going to camp to learn to be more threatening."
,,,,,,"@lorenzoFB I feel these feels so much."
,,,,,,"Non-infosec people: is ""risk assessment"" less threatening/intimidating than ""threat modeling?"""
,,,,,,"@climatedynamics It is not unreasonable to suggest that climate science is different from security training."
,,,,,,"Important point from the Security Education Companion: ""Do not give people advice they are not likely to follow."" T… https://t.co/oZ17GfID6t"
,,,,,,"If you’re looking to get into security training, or to improve your training, EFF’s new Security Education Companio… https://t.co/4AoJAJiXEL"
,,,,,,"RT @AspenCyber: Live Now: @RobJoyce45 announces a new policy on cyber vulnerabilities: https://t.co/A6vyTitmuS #AspenCyber"
,,,,,,"This machine kills rock stars."
,,,,,,"@joncamfield @dejiridoo It’s better to be in the Matrix. Your clothes will be awesome."
,,,,,,"@H0tDish @malwareunicorn I am a woman in infosec and I have my own opinions. 🙄"
,,,,,,"If you’re threatened by @malwareunicorn’s assembly skills, get better at assembly, you loser."
,,,,,,"Being a woman in infosec sucks, part 6432 of an endless series. https://t.co/rGGEaX75Zy"
,,,,,,"Excellent thread. One day I will write a bot that corrects people saying stupid things about the First Amendment. https://t.co/cA5070Miea"
,,,,,,"@sanjanah @BBC_Future @Info_Activism @sophiasgaler @mozilla Only men need privacy to protect themselves from their… https://t.co/YKFUYCdR7Q"
,,,,,,"@aprilaser Wow. That is The Worst Take."
,,,,,,"@Viss @RyanStankye It's all good. &lt;3"
,,,,,,"@Viss @RyanStankye Yeah, that was not a subpoena. That was an NSL."
,,,,,,"@Viss @RyanStankye Let's just start with the fact that you can't get anything other than meta-data with a subpoena.… https://t.co/0yE0TNsoGe"
,,,,,,"@SwiftOnSecurity Vegan can still be turned into steak."
