NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
gdb,24459,831,"Co-Founder & CTO @OpenAI",11124,8359,"Nothing like using any modern video chat app to realize just how impressively reliable the traditional telephone system is."
,,,,,,"RT @OpenAI: Are you a programmer who wants to get into deep learning? Apply to our Machine Learning Fellow role: https://t.co/15Oatnkw2t"
,,,,,,"RT @OpenAI: Developing our Dota 2 system, with @gdb @sidorszymon @sama: https://t.co/VlVnwjvQ5z"
,,,,,,"@scott_e_reed Yep — we care about what you can do, not credentials."
,,,,,,"One of the authors is in high school still: https://t.co/8nLodUeEa4. We hire great talent regardless of background!"
,,,,,,"RL struggles when tasks have sparse reward. Instead learn a hierarchy of actions (shown on simple tasks for now):… https://t.co/TDaYVs4VJI"
,,,,,,"Blooper reel of a controller trained without using the randomization technique: https://t.co/vU3paLfGkd"
,,,,,,"RL algorithm and randomization technique for robot controllers, trained only in sim, which work in the real world:… https://t.co/GO3OTNjy0T"
,,,,,,"@5uger9lum @OpenAI It's the robot's first time encountering reality. I'm willing to give it a break!"
,,,,,,"OpenAI op-ed in @wsj: we messed up safety with the internet, don't make same mistake with advanced AI:  https://t.co/kqZi3ARTdp"
,,,,,,"@bombsdownpost @OpenAI And still paying the price for it today. Security is hard to backfill."
,,,,,,"@IAmMattGreen @b_cavello @OpenAI Added note to the README!"
,,,,,,"@b_cavello @IAmMattGreen @OpenAI Ah, site has been end-of-life'd — we hadn't maintained the site for over a year, a… https://t.co/xgIawOhjZE"
,,,,,,"@ytsheng @OpenAI Thanks for the report though :). We've left up a read-only snapshot."
,,,,,,"@ytsheng @OpenAI Site has been end-of-life'd — we hadn't maintained the site for over a year, and the project has f… https://t.co/WkqhmOnzGr"
,,,,,,"@ngundotra @OpenAI That's my one contribution to the video :)."
,,,,,,"AIs which adapt to their opponents strategies: https://t.co/8vj4rTQP1A. (Green agent is stronger, but red agent adapts using meta-learning.)"
,,,,,,"@prajjwal_1 @TheShaneCheek @OpenAI Ah, sorry — fixed!"
,,,,,,"@TheShaneCheek @OpenAI Code is here! https://t.co/p86VNEwYSt"
,,,,,,"Self-play is powerful because the environment (a copy of yourself) is exactly balanced for your learning. Always an incentive to improve."
,,,,,,"Just like our Dota bot, these AIs were given simple feedback: their complex behaviors were developed via self-play. https://t.co/BK01tFuEtK"
,,,,,,"@r_speer @OpenAI @deliprao Yes, TensorFlow by default is built with denormals off (ftz=true)."
,,,,,,"@wimlds Not ok — would add a Code of Conduct, but we were planning on end-of-lifing those soon anyway as we don't m… https://t.co/AhValfhrZc"
,,,,,,"Deep linear networks are not so linear after all: https://t.co/RiKwvBDzSg"
,,,,,,"@erwincoumans @hardmaru @OpenAI (Would also take a PR with an update to the README.)"
,,,,,,"@erwincoumans @hardmaru @OpenAI Updated the link on the Github repo!"
,,,,,,"@0xD1 @pfrcks @OpenAI Static export live: https://t.co/ME263PthP0. (For more details see: https://t.co/Tmdr6XUHhk.)"
,,,,,,"@erwincoumans @hardmaru @OpenAI Static export is live: https://t.co/ME263PthP0! (See also: https://t.co/Tmdr6XUHhk.)"
,,,,,,"@0xD1 @pfrcks @OpenAI Nope, the focus of the Gym project is the library — the website looks cool but hasn't been maintained."
,,,,,,"@hardmaru @OpenAI Cool idea. Any interest in running something like that?"
,,,,,,"@pfrcks @OpenAI Yes, we'll do a static export of the site. Wanted to see if there was demand for it first."
,,,,,,"@erwincoumans @hardmaru @OpenAI Will definitely do a static export given that people have been asking for it. Which… https://t.co/XsIOduUbPJ"
,,,,,,"@erwincoumans @hardmaru @OpenAI Actually, we initially only repointed DNS: https://t.co/oAsrUb9iEk. Was thinking ab… https://t.co/KbmVGnB6Hw"
,,,,,,"@imjeshwanth This is the repo I'm referring to: https://t.co/oSmp22X718"
,,,,,,"@imjeshwanth We're just hosting the repo for now! The Github repo has been the focus of the project for the past year."
,,,,,,"@wardnath Yep, the Github repo has been the focus of the project for the past year. The Gym site looks cool but hasn't been maintained."
,,,,,,"@dane @sonic Yep, this is with not very carefully tuned Wifi."
,,,,,,"Left: @sonic's newly-available fiber at my apartment. Right: Comcast. Really impressed with what Sonic's delivered… https://t.co/ns0hqcUSFb"
,,,,,,"Analysis of some of our Dota bot's games: https://t.co/IECi7VnjKQ"
,,,,,,"@martinengwicht @OpenAI The beauty of self-play is that it always gives you a gradient of improvement, no matter ho… https://t.co/lCylRt4dal"
,,,,,,"Building the Dota 2 system: https://t.co/PLX287ZRTK (complete with videos of matches vs the pros: https://t.co/SEKfcXCVi7)."
,,,,,,"@TrespassNat @mark_riedl @yoavgo Yep."
,,,,,,"@nasrinmmm @mark_riedl @yoavgo Conv nets work for vision. Need to spend extra 1-2 orders of magnitude of compute though."
,,,,,,"@nasrinmmm @mark_riedl @yoavgo If you use pixels, you'll be spending a lot of your flops on vision rather than strategy/mechanics."
,,,,,,"@mark_riedl @yoavgo Honestly wish we could have hardcoded more but 1v1 is *complicated* and most stuff must be learned."
,,,,,,"@mark_riedl @yoavgo Commented on HN about this! https://t.co/Y8NXzri0nv"
,,,,,,"Good profile of AI safety teams, including @OpenAI's: https://t.co/9VPofLZdF3"
,,,,,,"RT @DendiBoss: But really :) that's awesome what awaits us in future with all those technologies. Excited !!!"
,,,,,,"RT @DendiBoss: Bot is really fun and challenging to play against :) I am sure it is possible to beat it . But it have no room for even slig…"
,,,,,,"@DendiBoss Thank you for testing out the bot!"
,,,,,,"RT @elonmusk: Would like to express our appreciation to Microsoft for use of their Azure cloud computing platform. This required massive pr…"
,,,,,,"Our bot played under standard tournament rules — i.e. no AI-specific limitations on the rules. For example: https://t.co/xNabStSJkf"
,,,,,,"Want to help us work on Dota 5v5? We're hiring: https://t.co/El9s3HjrpK. Feel free to ping me directly (gdb@openai.com)."
,,,,,,"Kind of amazing that pure self-play works so well. No cloning, no search, just neural networks: https://t.co/hAdsyt7Q6C"
,,,,,,"Congrats to our Dota 2 team — https://t.co/i2Wc0jbLCn. Been amazing working together so far. Now onto to the next step — 5v5!"
,,,,,,"@axiom24 @DendiBoss @Arteezy @SumaaaaiL .@PajkattDota beat an earlier version of the bot; @SumaaaaiL beat a subsequ… https://t.co/fnjdcrzSks"
,,,,,,"Our AI is undefeated against the world's top professionals, including @DendiBoss @Arteezy @SumaaaaiL, in Dota 2 solo https://t.co/hAdsyt7Q6C"
,,,,,,"Our AI is about to play a top Dota 2 pro at The International: https://t.co/vEk1z154to"
,,,,,,"Training your AI to do ballet: https://t.co/IhCAQ3uND8"
,,,,,,"@geoffreyirving All depends on your vantage point! Always find it interesting when people reference C as a high-level language."
,,,,,,"@_jyan_ Always a danger :)!

In this case, issue was that container objects in my C++ protobuf wrapper would GC the… https://t.co/k8DZggqqdO"
,,,,,,"That feeling when your bug goes away by holding a dummy reference to an unused object in your high-level language bindings."
,,,,,,"Looking for software engineers to massively scale up reinforcement learning: https://t.co/YFjrqM6bOk. Feel free to ping me: gdb@openai.com"
,,,,,,"Try adding noise to the parameters of your RL algorithm. Ends up helping exploration. https://t.co/dCpveHRtvV"
,,,,,,"OpenAI researchers have access to many high-performance RL algo implementations, but PPO has become our default: https://t.co/fvXqIpRZOE"
,,,,,,"That's no desktop computer: https://t.co/eqJPnzOrGf"
,,,,,,"Finding bugs in production code = sad. Finding bugs in ML training code = happy since it means an easy way to improve performance."
,,,,,,"High-order bit on ML progress is iteration speed. Our Python library for high-performance robotics simulation:… https://t.co/iamM65n4eW"
,,,,,,"@stanfordnlp @OpenAI The VNC envs were a useful stepping stone towards the Universe idea. Glad to see others workin… https://t.co/puJCx9wOOk"
,,,,,,"@OpenAI @DeepMindAI This algorithm allows AI systems to figure out what humans want via feedback, rather than from… https://t.co/ImREwkiftW"
,,,,,,"Writing reward functions for complex tasks is hard. @OpenAI + @DeepMindAI collaboration to instead learn the reward: https://t.co/KcM91B8cVy"
,,,,,,"RT @jackclarkSF: New @OpenAI research lets us teach agents to compete, collaborate, and communicate. Creates agents w/clever teamwork https…"
,,,,,,"@nfergu https://t.co/E2mGeiaKW4!"
,,,,,,"@EmilWallner All due to @benbarry and @ludwig!"
,,,,,,"Over the past year, we've implemented and shaken out the bugs with many RL algorithms. We're now open-sourcing them: https://t.co/pbdnnHcozb"
,,,,,,"Latest work by the @OpenAI robotics team: a robot which learns by watching you do a task in VR: https://t.co/cuXfJBzoJJ"
,,,,,,"RT @OpenAI: Roboschool, open-source software for simulating robots, integrated with OpenAI Gym: https://t.co/FNPLqbb7vA."
,,,,,,"@amnoneden @OpenAI The features are entirely unsupervised. Those features are then fed into a supervised linear mod… https://t.co/BszrqupiB5"
,,,,,,"@HenkPoley Heh. I think that's actually an artifact of the dataset, which was cleaned by stripping newlines :)."
,,,,,,"The model can also be used to generate text with a desired sentiment. Pictured are samples after fixing the prefix… https://t.co/D2v71uAnFE"
,,,,,,"Train a neural network to predict the next character in text. Get state-of-the-art on a sentiment analysis dataset: https://t.co/Q4U4IorOVY"
,,,,,,"@gwern @OpenAI Yes, we're a 501(c)(3). As you mention in /r/ControlProblem, we will file our 990 later this year as… https://t.co/d2pgQrdcUs"
,,,,,,"@PrototypeNL @Mazalinker @OpenAI It is :)! Paper here: https://t.co/aMbpJDOXKk."
,,,,,,"Turns out that doing guess-and-check + hill climbing on a deep network's parameters works *surprisingly* well for solving environments."
,,,,,,"Latest work by the team: https://t.co/Rdxm2R6OUZ"
,,,,,,"@jadlimcaco Thank you! All due to @ludwig"
,,,,,,"RT @OpenAI: Attacking machine learning with adversarial examples: https://t.co/DEdoRHhwxu"
,,,,,,"RT @OpenAI: Welcome to our newest team members: https://t.co/ZJW1FsRaxD"
,,,,,,"@mphuget @OpenAI Are you referring to this post? https://t.co/Ll9IZlBg01"
,,,,,,"Defining the CTO role at @OpenAI: https://t.co/6t5yvK83Pu"
,,,,,,"GTA V integration into Universe is now open-source: https://t.co/FFgoj6U3Do. Release includes baseline agent: https://t.co/y2LloARdj5"
,,,,,,"@leonsasson @antifuchs @agmetcalf @areitz Here's a simple version I wrote a while back: https://t.co/4OLslYuzlL. Works pretty well."
,,,,,,"RT @sirajraval: New video! I just interviewed an engineer at @OpenAI https://t.co/i8HzWXVds3 #MachineLearning #nips2016 #programming"
,,,,,,"@shammas1000 @OpenAI https://t.co/6DSSQOJg0C :)"
,,,,,,"RT @wagonhelm: I made a guide for getting started with @OpenAI 's Universe and Ubuntu 16.04!  

https://t.co/xZ0Q12dSkX"
,,,,,,"@tleydn @OpenAI Not yet, but it will be!"
,,,,,,"RT @alexbhandariy: I made a comprehensive guide for getting @OpenAI's Universe up and running on mac
https://t.co/UuWcGHxrCk"
,,,,,,"@TimHaines @OpenAI Ah, we never officially supported that link :). John Schulman's thesis will have a better version of the content."
,,,,,,"@FalgunChokshiMD Not right now :(."
,,,,,,"@IngeminiDrones We are! Open positions here: https://t.co/cnmodJYROc"
,,,,,,"Universe is the most intricate and intriguing tech I've worked on. Want to work on it full-time? Ping me: gdb@openai.com — we're hiring."
,,,,,,"@SebDery In all seriousness, I think that environment can be built. Would happily take a pull request :)."
,,,,,,"@AniChikage We've just launched publicly! https://t.co/SODGDZ65kk"
,,,,,,"@aarvy91 @nicklovescode @j_gauthier @erichorvitz @awmcmu (It's posted now: https://t.co/ZFYDkfcuCt.)"
,,,,,,"Just released Universe, the AI training infrastructure we've been planning since we founded OpenAI: https://t.co/SODGDZ65kk"
,,,,,,"@ethancaballero Thanks! Send me an email?"
,,,,,,"Great job to my fellow witnesses — @erichorvitz, @awmcmu, and Dr. Steve Chien — at the first Senate hearing on AI.… https://t.co/43kewV1h1d"
,,,,,,"@elenadata @WiMLworkshop Absolutely! I wanted to point out the gender disparity, but it's also crucial to support women already in the field"
,,,,,,"(Afterwards, back to working on our reinforcement learning beta.)"
,,,,,,"Excited and honored to be testifying at the Senate today about AI: https://t.co/7OZZTYfFbR"
,,,,,,"(Wow, thanks for all the replies so far. More still welcome. I should add: please include your Github handle!)"
,,,,,,"I'm looking for beta testers for some new reinforcement learning software. Ping me if interested: gdb@openai.com."
,,,,,,"@Kingwulf @OpenAI Just switched to Py3 actually :). Will talk about how it went once we've had longer to see the effects."
,,,,,,"@AlexLittleDice @OpenAI Feel free to email me directly: gdb@openai.com!"
,,,,,,"(Our infrastructure efforts are led by @vmcheung and @jonasschneider. If you'd like to work with us, get in touch: gdb@openai.com.)"
,,,,,,"Deep learning infrastructure: https://t.co/Z9xKwz0g8u, for practitioners and the merely curious. Bonus open-source release included!"
,,,,,,"@tophe @OpenAI No one working on it currently!"
,,,,,,"@juliankmazo @OpenAI No livestream — the majority of the value is mixing and mingling with the participants! You may find the Gitter useful."
,,,,,,"Conferences drive a lot of progress in machine learning. We think it's worth experimenting with different formats: https://t.co/9UyyXvWS3g"
,,,,,,"Extremely excited to welcome our newest team members: https://t.co/c2boseFg1Z."
,,,,,,"@lukedormehl @OpenAI Feel free to email: gdb@openai.com."
,,,,,,"@markvitals @OpenAI Not top of the list, but definitely at some stage. Would be happy to see third parties building them in the meanwhile!"
,,,,,,"@balupton @OpenAI Good ways to get involved: https://t.co/Klu44UJUnC, https://t.co/cvaqgn5sRg. We'll have more in the near future!"
,,,,,,"RT @elonmusk: Would like to thank @nvidia and Jensen for donating the first DGX-1 AI supercomputer to @OpenAI in support of democratizing A…"
,,,,,,"@dennybritz @OpenAI Haven't seen any, nope. Would be happy to merge some!"
,,,,,,"@Piyush3dB @OpenAI Just in San Francisco!"
,,,,,,"@dmarthal @OpenAI Just in San Francisco!"
,,,,,,"@christiansv12 (For deep learning, not for ML more broadly.)"
,,,,,,"@christiansv12 Python alone should be sufficient these days!"
,,,,,,"@christiansv12 You should read this: https://t.co/PVY10L4A4U"
,,,,,,"@edersantana @OpenAI You joke but... stay tuned :)."
,,,,,,"So I'd also love to talk to software engineers interested in advancing the state of AI. Versatility and flexibility are key. gdb@openai.com"
,,,,,,"While these projects calls for machine learning experts, software engineering is increasingly a bottleneck for our more developed projects."
,,,,,,"Looking for people excited about leading some important new projects: https://t.co/Ll9IZlBg01."
,,,,,,"@breuderink @OpenAI So that way it becomes impossible to just hardcode in the answers."
,,,,,,"@breuderink @OpenAI Generally those are hardcoded solutions. We're moving to a model were evaluation is measured as performance across envs."
,,,,,,"(Much more common: that feeling when your model refuses to learn, even though you've checked everything five times.)"
,,,,,,"That feeling when your model starts learning."
,,,,,,"@JarmonCody Probably not anytime soon :(."
,,,,,,"@LennyKhazan @OpenAI Appetizers but not serious dinner food."
,,,,,,"RT @OpenAI: Concrete AI safety problems: https://t.co/G1rOUIaVSF"
,,,,,,"@mphielipp @JarmonCody @OpenAI There are a number of OpenAI researchers around, but no specific events!"
,,,,,,"What we're working on @OpenAI: https://t.co/tl8bH6fzLa. (Like these goals? You can work on them too: https://t.co/cnmodJHgWE.)"
,,,,,,"@JarmonCody @OpenAI No agenda / presentation; just mingling!"
,,,,,,"RT @OpenAI: Attending ICML? Come to our OpenAI meetup this Thursday from 7-10p at District M (700 8th Avenue)."
,,,,,,"Just arrived in NYC. Looking forward to a great ICML :)!"
,,,,,,"@shaunak38 @OpenAI We don't, but you might want to look at @deeplearning4j!"
,,,,,,"@modeless @OpenAI (Done!)"
