NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
glichfield,9726,231,"EIC/Chief Cocktail Officer @techreview. Alumnus @qz, @datasociety, @TheEconomist. London➞Mexico City➞Moscow➞Jerusalem➞NYC➞Boston. All opinions etc etc",15491,1094,"@jtemple Thanks! If you see a guy looking lost and trying to reattach decals to his face that's probably me"
,,,,,,"@ColmCasey @adrianweckler The Viola-Jones algorithm, details here https://t.co/s7x4Ixa5GG I don't know if it's what… https://t.co/zPU7ztSuwt"
,,,,,,"@lmirani The other Cambridge only wishes it had something as good as @techreview"
,,,,,,"Office envy https://t.co/npO9msNXes"
,,,,,,"RT @RosemaryHKelly: Today is our new Editor-in-Chief, @glichfield's first day at @techreview. He just walked into the building fresh out of…"
,,,,,,"Sign up for @AkshatRathi’s series on carbon capture, The Race to Zero Emissions, on @qz over the next two weeks https://t.co/A1yXCG2EAB"
,,,,,,"Good morning, Cambridge. https://t.co/aQMaVRV62x"
,,,,,,"What genius said ""I know, we need a GIF of pictures of places where people make laws"" https://t.co/DuJq64tEyj"
,,,,,,"@lmirani @qz time to get going on that branded vodka"
,,,,,,"@joonian @missanabeem @qz I updated the cocktails spreadsheet before I left so I've done my bit"
,,,,,,"@felixsalmon You might still be a brain in a vat though"
,,,,,,"@lmirani @mims Power is seductive"
,,,,,,"@olifranklin @heidilegg @mims @nxthompson I couldn’t possibly comment on what a smart publication will do 😉"
,,,,,,"@brianeha Drop-down menu
“Bring about End Times
In 5 minutes
In 10 minutes
In 30 minutes
In 1 hour 
In 24 hours
In 1 year
In 5 years
Never“"
,,,,,,"@olifranklin @heidilegg @mims @nxthompson Several have. I think low adoption is because for existing media it start… https://t.co/QKmj3UuDu1"
,,,,,,"@mathewi @mims @rUv @nytimes @decorrespondent Then farewell to the papers and hello upstarts"
,,,,,,"@mathewi @mims @rUv @decorrespondent There the implicit contract with readers is: pay us and you get to shape the j… https://t.co/tiBsCxmYtc"
,,,,,,"@mathewi @mims @rUv @nytimes So can they rebuild it from scratch? I’m curious if something like the… https://t.co/UK3RbQbrBa"
,,,,,,"@mathewi @mims @rUv @nytimes It was “not clear whether paywalls will work” for NYT, WSJ et al either for a long tim… https://t.co/a13adB99FB"
,,,,,,"When you're browsing your calendar app's settings and discover it was made by eschatologists https://t.co/c6RGHmYjYI"
,,,,,,"RT @amywebb: 8 - At Oxford, one of the world's top universities, students are paying $12k a year, all inclusive.

Once you factor in tuitio…"
,,,,,,"RT @datasociety: NEW: Due to overwhelming demand, @datasociety is pleased to announce a SECOND media workshop on January 10 https://t.co/mr…"
,,,,,,"Cc @GiladRosner https://t.co/vMVoovhW72"
,,,,,,"RT @anhistorian: In honor of Thomas Friedman’s latest love letter to Saudi here is 70 years of the NY Times describing #Saudi royals in the…"
,,,,,,"@kiwipeso @jeffjarvis @doctorow @vodafoneNZ However, Andrew, the concern over here is that this existing discrimina… https://t.co/SpXRO8dNwy"
,,,,,,"@kiwipeso @jeffjarvis @doctorow @vodafoneNZ Indeed, T-Mobile in the US will pay for your Netflix subscription. Isn’… https://t.co/mqvL8kOtJG"
,,,,,,"@Eaterofsun @jukevox @ArmsControlWonk @johnbattelle @jheil @djasonpalmer @jetjocko @rob_carlson @RegalRogue… https://t.co/Osicmg8DnZ"
,,,,,,"@jukevox @ArmsControlWonk @Eaterofsun @johnbattelle @jheil @djasonpalmer @jetjocko @rob_carlson @RegalRogue… https://t.co/0HZSuAJAg5"
,,,,,,"@jukevox @ArmsControlWonk @Eaterofsun @johnbattelle @jheil @djasonpalmer @jetjocko @rob_carlson @RegalRogue… https://t.co/YeA62gpMVA"
,,,,,,"@jackclarkSF @robinsloan @techreview No but great idea, will adopt it for future job candidates"
,,,,,,"@robinsloan Thank you. It’ll be hard to find another one"
,,,,,,"@AkshatRathi @spignal Granted, and I also think the airbnb rep did a poor job of countering. He didn’t really know… https://t.co/Wn12QCfOJ2"
,,,,,,"RT @jeffjarvis: @glichfield @doctorow Don't have data from there or Portugal. The problem is that it's an unknown-unknown: How many new ser…"
,,,,,,"RT @TimFernholz: Why do the highest-earning Americans need a tax cut?
https://t.co/FPIPTBNFfG https://t.co/SU40d1aUBt"
,,,,,,"Masterclass in aggressive interview technique: cut off evasive answers, pivot questions to focus on weak points, ma… https://t.co/4iRz1nw3eh"
,,,,,,"@AkshatRathi Somebody must have modeled this"
,,,,,,"@stevelevine @jayrosen_nyu Why misleading? Is power only power when it’s exercised consciously and deliberately?"
,,,,,,"@AkshatRathi I’m sure there is some law of statistics that makes this broadly true for any marketplace of ideas, tastes, or opinions"
,,,,,,"@doctorow @jeffjarvis Do you know if there are data on how this affects internet use habits? (Hypothesis: not so mu… https://t.co/1uToACDuJq"
,,,,,,"@stevelevine That is, is it still 20 (albeit different) people or has the power become more dispersed. (cc @jayrosen_nyu )"
,,,,,,"@stevelevine Right. My question is whether this is as true now as it was then or whether the internet has changed things"
,,,,,,"Joan Didion in 1996. Is it still true today that ""at most 20 people [in the media] run [i.e. set the agenda for] an… https://t.co/sVv3nLB8ej"
,,,,,,"@JRosenworcel great op-ed, but you missed an opportunity by not telling people *how* to reach out to the FCC. What’… https://t.co/kTY0VLkUbA"
,,,,,,"They start them on the beer young in Savannah https://t.co/NVwFjXbp1y"
,,,,,,"@Eaterofsun @jukevox @ArmsControlWonk @johnbattelle @jheil @djasonpalmer @jetjocko @rob_carlson Great minds, Oli. https://t.co/qvBqgSrP5O"
,,,,,,"That’ll do for an epitaph https://t.co/guCyTwyy5a"
,,,,,,"@om @techreview @bramsonboudreau Thank you Om"
,,,,,,"“There’s such divinity doth hedge a king, that treason can but peep to what it would.” Hamlet, IV/5. (h/t prof. Gor… https://t.co/sx0kVHK5X1"
,,,,,,"One of the traditions I started at @qz was the weekend mini-essay: 300 words, tops, on a big news subject of the we… https://t.co/qP5QNTbQYy"
,,,,,,"Want to buy an internet-connected gadget this  holiday season? Read this first https://t.co/P5kRgwJt5n"
,,,,,,"@mcwm You’ve finally discovered the birthing pods where I am absorbed and regenerated every night"
,,,,,,"@bramsonboudreau @mcwm @qz Actually “list of ideas I’m taking with me to @techreview”, sorry mike"
,,,,,,"@RachelFeltman @techreview @bramsonboudreau Thank you Rachel, your check is in the mail"
,,,,,,"@ramez @techreview Thank you Mez"
,,,,,,"Theat moment when you discover you were actually a Replicant https://t.co/NL9T1zlC3G"
,,,,,,"RT @zoeschlanger: It's @glichfield's last day at @qz and we are all bereft, but he's giving a cocktail lesson so that we don't become a god…"
,,,,,,"RT @TimFernholz: We bid adieu to the brilliant @glichfield tonight as he becomes EIC of @techreview. He was critical to making @qz what it…"
,,,,,,"@lmirani @TheEconomist That *is* a sign of the times"
,,,,,,"""The only good thing about having a president who has spoken at length about his sexual predilections is that we ha… https://t.co/z7FYJ2vBn7"
,,,,,,"So proud of @mashagessen for winning the National Book Award. Поздравляю, любимая!  https://t.co/Aibp38Ct7n"
,,,,,,"@emilybell @techreview @bramsonboudreau Thank you"
,,,,,,"@dsilverman Following @dsilverman"
,,,,,,"RT @Media_Moves: Come December, @glichfield will serve as editor in chief of @techreview!"
,,,,,,"RT @missanabeem: .@qz’s entrance Q is also emotional over @glichfield’s departure. It’s going to be a tough week for us all, fake foliage g…"
,,,,,,"RT @mcwm: .@glichfield made a list of things he’s going to miss about @qz 

It was a bit long https://t.co/5QsvIxIo3m"
,,,,,,"My favorite part (1:55) is the host trying to get him off the topic by saying ""Eric, let's not beat about the bush.… https://t.co/ysNuxNEwrB"
,,,,,,"@Eaterofsun @BenedictEvans any great examples of tech essays you’d point to as a model?"
,,,,,,"RT @AkshatRathi: Why is space near the sun so cold? Promise @glichfield answers it better than @BillNye. https://t.co/4fV4p7cxs2"
,,,,,,"@tomcoates A ∩ B = ∅"
,,,,,,"@emikolawole @techreview Thank you Emi!"
,,,,,,"👏🏻 👏🏻 👏🏻 We edited Louis C.K.’s “apology” to make it a real apology https://t.co/5lRwxPN84u"
,,,,,,"This is how you turn your country into Uzbekistan in one easy step https://t.co/15RxqDpqLp"
,,,,,,"@maggieshiels Well thank you :)"
,,,,,,"@audrainaustin @qz @bramsonboudreau Thank you Audra!"
,,,,,,"@mariaramirezNY Hasta pronto!"
,,,,,,"@wblau @techreview @bramsonboudreau Thank you, Wolfgang!"
,,,,,,"@camsydcbr Yessir."
,,,,,,"RT @techreview: We're thrilled to announce @glichfield as MIT Technology Review's new editor-in-chief. “Gideon is a seasoned journalist wit…"
,,,,,,"@mcwm @MddeH only ediots need ediotrs"
,,,,,,"@ChrisFaile @qz That is one of the many things I am going to have to learn"
,,,,,,"@marcbain_ @marcbain_ Best Buy"
,,,,,,"@robferdman @qz Thank you!"
,,,,,,"@AkshatRathi @qz And I will miss you, and watch with pride from afar"
,,,,,,"@jfsklar Likewise, Julia: Thank you!"
,,,,,,"@triiimit @techreview Thank you, Tom—looking forward to joining the crew."
,,,,,,"@amywebb @techreview Thank you Amy!"
,,,,,,"RT @craig_walmsley: @techreview @glichfield  https://t.co/SD0e72UJLX"
,,,,,,"@justinhendrix @techreview @qz Thank you, Justin, not least for all the ways you've made me think harder about these very issues"
,,,,,,"@Shadling Why, you get them free with one of these :) https://t.co/RoKbJe5i2d"
,,,,,,"@qz Updated link: https://t.co/qdScBH09go"
,,,,,,"@KarenAttiah Thank you!"
,,,,,,"@genarolozano Gracias, querido Genaro!"
,,,,,,"@newley @qz Thank you, Newley"
,,,,,,"@kvox Thank you, Karen!"
,,,,,,"@davidmcooper @qz Thank you!"
,,,,,,"@ElizDonov @qz Thank you!"
,,,,,,"@MatthewPhillips @qz Now smoldering with added decals."
,,,,,,"@fromedome @qz Thank you!"
,,,,,,"@jmcduling @qz Thank you John, especially considering what I used to do to your copy"
,,,,,,"@marshallk @davegershgorn @qz Thank you—looks like the tweet was deleted. Here's an updated one. https://t.co/qdScBH09go"
,,,,,,"Leaving @qz, which I helped build from zero, is one of the hardest choices I've ever made, and I will miss the plac… https://t.co/66uUAEewYt"
,,,,,,"As someone who has never understood how people can like the taste of beer, I endorse this message. https://t.co/XfGQK5OVtC"
,,,,,,"I share this skepticism. Here's the 24,000-book library of Carlos Monsivais at Mexico's national library, which I'v… https://t.co/IecLfqg4a0"
,,,,,,"RT @qz: The company linking Wilbur Ross to Putin cronies has a key role in Trump’s energy plan https://t.co/QmRgMhNgz1"
,,,,,,"I briefly became totally obsessed with mattresses. https://t.co/hSuyerT7LT"
