NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
hsu_steve,3444,3,"physicist, startup founder, blogger, dad",1561,2967,"CMSE (Computational Mathematics, Science and Engineering) at MSU: New department, created in just a few years. Rese… https://t.co/e07aNBKS4B"
,,,,,,"IQ (Institute for Quantitative Health Science and Engineering) at MSU
https://t.co/q9pP9sh4he https://t.co/3HUoPWyPLt"
,,,,,,"@SichuLu @fchollet 1. Returns to cognitive ability continue to increase beyond IQ of typical scientists… https://t.co/ktJ33jeOd3"
,,,,,,"The nuclear physics of neutron star mergers at MSU's FRIB (Science Magazine): ""The accelerator at the Facility for… https://t.co/fJKnlEZmRX"
,,,,,,"@NobodysMonopoly Serious US strategists need to be America-centric..
1. ME ex-Energy not a top priority for US
2. M… https://t.co/TdrNkVIehw"
,,,,,,"Remarks on the Decline of American Empire: strategic blunders and civilizational decline as a peer competitor rises… https://t.co/Vwu37NmjAJ"
,,,,,,"@gwern Thx!"
,,,,,,"DOJ invokes Title VI of Civil Rights Act against Harvard admissions. Harvard refused to supply admissions data to D… https://t.co/aZ8BXDCzLB"
,,,,,,"MSU Global Impact Initiative: 100 new faculty positions, mostly filled in last 3y. $300M+ in new research buildings… https://t.co/hYDudxyMYW"
,,,,,,"Robot Overlords and the Academy: coding bootcamps arrive at my kids' middle school before we can implement at unive… https://t.co/4Dc51cZbJk"
,,,,,,"Bloomberg / New America Foundation study on the Future of Work. https://t.co/aDd4TqHu5L"
,,,,,,"Behold, the Super Cow (Vice News video)
https://t.co/QVQ2yiF9xC"
,,,,,,"@feross It was my pleasure. What a great group... All the best :-)"
,,,,,,"I'm in Mountain View -- talks at 23andMe and at Stanford today. https://t.co/qrhwcpuR0J https://t.co/sZ4lN6WYa7"
,,,,,,"Pocket AI from Beijing and Smartphones: TPU-lite in Huawei flagship phone? Things I learned shopping for new mobile. https://t.co/RoFNiEJAPW"
,,,,,,"@SichuLu @TooheyMatthew @x0x0x00x0x0 @TundeOlusa @DrDebraSoh @AdamCatalyst You are welcome. Too bad no one has foll… https://t.co/AkoOpue5KT"
,,,,,,"@clinpsychbook Theoretically, could select only upward fluctuations from parental midpoint. But note GP is focused… https://t.co/RlTsiwsxge"
,,,,,,"The Future is Here: Genomic Prediction in MIT Technology Review  https://t.co/2bGoAyOB0M https://t.co/CBKixxixxV"
,,,,,,"The Physicist and the Neuroscientist: A Tale of Two Connectomes. 
https://t.co/QNDutEGheX"
,,,,,,"AlphaGo Zero: algorithms over data and compute. No training data - self play algos create best Go program.… https://t.co/jRIuzZbwCt"
,,,,,,"Steven Weinberg: What's the matter with quantum mechanics? Video of a 2016 popular lecture. 
https://t.co/hbDfcLB1yB"
,,,,,,"Talking Ta-Nehisi Coates, Seriously? https://t.co/yI9CrcJPcn"
,,,,,,"Super Green Smoothie: recipe + budget Android buying tip :-)
https://t.co/A0JuB0U0of https://t.co/hKvXNyKK4G"
,,,,,,"Blade Runner 2049: Demis Hassabis (Deep Mind) interviews director Villeneuve
https://t.co/5pL5RCWVBq https://t.co/HmGnIOEa82"
,,,,,,"Information Theory of Deep Neural Nets: ""Information Bottleneck""
https://t.co/ZzOOg3Rw9E"
,,,,,,"A Gentle Introduction to Neural Networks: Almost everyone will be able to follow this simple video!
https://t.co/ie9QEWyDx7"
,,,,,,"Geopolitics of US Global Decline: Beijing and Washington Struggle over the World Island (Alfred McCoy UW Madison)… https://t.co/5Y9CgClISR"
,,,,,,"The Vector Institute (Toronto): named by Geoff Hinton -- ""thought vectors""!
https://t.co/EUlVnIGSyE https://t.co/asdgPoYQdv"
,,,,,,"Feynman, Schwinger, and Psychometrics. (Forgot the link in earlier tweet 8-)

https://t.co/VQGfYdpraW https://t.co/4sn5Lwu4X0"
,,,,,,"Feynman, Schwinger, and Psychometrics. https://t.co/m14k14Q3zh"
,,,,,,"Every American should watch The Vietnam War. Sadly, wisdom acquired through tragedy can be lost in just 50 years. 
https://t.co/Poqmr2Z8X8"
,,,,,,"@gwern I like it :-)  Complex Traits: Many loci, each of small effect, so hard to find. But final predictor could still be powerful."
,,,,,,"@cecilejanssens @DrMJoyner @StuartJRitchie @biorxivpreprint @DrKhouryCDC Science by tweets bad 8-) perhaps email me… https://t.co/xmxcuykSFM"
,,,,,,"@cecilejanssens @DrMJoyner @StuartJRitchie @biorxivpreprint @DrKhouryCDC Fig has actual heights but calculated r~0.… https://t.co/zjzlJe2AkJ"
,,,,,,"@hjwoo I'm referring to the common SNP portion of MH. Nonlinear effects, rare variants, etc. will supply even more h2 eventually..."
,,,,,,"Genomic Prediction Of Human Height: predictor trained ~500k genomes; accuracy ~few cm! No Missing Heritability.
https://t.co/qummLwsTQF"
,,,,,,"Phase Transitions and Genomic Prediction of Cognitive Ability: need a million genomes, use L1-penalization.

https://t.co/jasuv0fpNK"
,,,,,,"Bannon Unleashed: segment not shown on 60 Minutes. Denounces racism, endorses Citizenism and Economic Nationalism. https://t.co/UArK3Kuwe8"
,,,,,,"Varieties of Snowflakes: New Yorker ed. David Remnick discusses Antifa (w/Mark Bray) and free speech at Berkeley.
https://t.co/bhVoKir9rn"
,,,,,,"BENEFICIAL AI 2017 (Asilomar meeting): great videos of talks/panels with Bengio, Hassabis, LeCun, and many others.
https://t.co/obzWQ94kLc"
,,,,,,"@frickwright Sure, happy to. My email address is here: https://t.co/Cf7i5mCgnx"
,,,,,,"DeepMind and StarCraft II Learning Environment: video games provide rich virtual environments for machine learning. 
https://t.co/8etHWtBhRB"
,,,,,,"Peter Lax on vN: ""..his brain was more powerful than anyone’s.. He understood in an instant.."" (video interview)

https://t.co/jH9RPfTKdp"
,,,,,,"Normies Lament: Best book on Alt-Right is Angela Nagle's Kill All Normies. Long podcast at link. https://t.co/mmFDgpOZxz"
,,,,,,"Job Opening in Computational Genomics: VC-funded genomics startup  
https://t.co/memwmVlp2T"
,,,,,,"Ninety-nine genetic loci influencing general cognitive function: It's happening! Can't stop scientific progress...… https://t.co/NLmJKFrikq"
,,,,,,"Chinese Social Media Notices US Cultural Revolution: joke circulating in social media... baizuo!… https://t.co/X70k8CxIzx"
,,,,,,"@harpersnotes See post. Of course they will denounce Alt-Right, KKK, Nazis, etc. Huge chunk of voters in last elect… https://t.co/g2ziA34dP2"
,,,,,,"The Bannon Channel: 1. Economic Nationalism 2. No foreign wars 3. Reform immigration 4. Stop PC excess. Mercer FTW.… https://t.co/HBvx4f9loM"
,,,,,,"Nature on embryo selection in China: ""Chinese word for eugenics, yousheng, is used explicitly as a positive ..""… https://t.co/VXmgBbCgrv"
,,,,,,"@fratribus @nastyoldmrpike @DiLeed @Ezzy_moon @MegRoughley @RobbieShilliam @MrPatelsawesome @angelimanza… https://t.co/gJ2lhrWHNj"
,,,,,,"@fratribus @nastyoldmrpike @DiLeed @Ezzy_moon @MegRoughley @RobbieShilliam @MrPatelsawesome @angelimanza… https://t.co/PLLaAsmIiq"
,,,,,,"@L1ghtmar3 Dota-bot could use some tweaks, but still impressive.. AlphaGo v1 reportedly also had weaknesses to certain lines of play."
,,,,,,"Meet the Bot: OpenAI and Dota 2. OpenAI bot plays complex combat game = human pro. Workplace bots inevitable.

https://t.co/ZR4m4qoOqv"
,,,,,,"@ms_peaceweaver @rjhaier @AngelaDSaini @toadmeister @jamieamartin1 @BBCRadio4 Hopefully science and democracy will… https://t.co/KcH2RBi0vi"
,,,,,,"@ms_peaceweaver @rjhaier @AngelaDSaini @toadmeister @jamieamartin1 @BBCRadio4 So you want to override democratic pr… https://t.co/SfGMuywwY9"
,,,,,,"@ms_peaceweaver @rjhaier @AngelaDSaini @toadmeister @jamieamartin1 @BBCRadio4 Countries should decide via democrati… https://t.co/iTHykSTmFl"
,,,,,,"@rjhaier @AngelaDSaini @toadmeister @jamieamartin1 @BBCRadio4 2. Then read JHU bioarxiv paper that started this thr… https://t.co/HlimcPhy5F"
,,,,,,"@rjhaier @AngelaDSaini @toadmeister @jamieamartin1 @BBCRadio4 1. ""Science journalist"" should apologize and educate… https://t.co/HwvBsiFD4P"
,,,,,,"@rjhaier @toadmeister @AngelaDSaini ?Saini will attempt smear you too over Blank Slate? Cog ability partially herit… https://t.co/UstJpIJ8eC"
,,,,,,"@browserdotsys @gwern ..more efficient methods ..discover nearly all the variants given sample size of ~1M.. too co… https://t.co/gHUM1qwAAb"
,,,,,,"@gwern Limiting factor is still good cognitive phenotype data."
,,,,,,"@gwern Nice! Everything I've seen is still consistent with ~10k causal variants and ~million sample size to ""solve""… https://t.co/YodJQfCVp8"
,,,,,,"Stanford Medical School 2017 spring magazine -- overview of cognitive diffs between men and women. Journos pls read!
https://t.co/1TNae5itna"
,,,,,,"@ytspar Yes, I watch the show. Media paint Damore as a brogrammer but neither he nor Hendricks are."
,,,,,,"Behold the Brogrammer: James Damore (Bloomberg video). Reminds me of Richard Hendricks of HBO's Silicon Valley.… https://t.co/oH2Aj6CEeq"
,,,,,,"@ctitusbrown Click through to read analysis of one employment law professor ..."
,,,,,,"Damore vs Google: Trial of the Century? Verboten topics! His memo asserted illegal discriminatory practices.… https://t.co/4LWnG2l2Dw"
,,,,,,"In the matter of James Damore, ex-Googler: If I worked at Google, would this tweet / blog post get me fired?… https://t.co/Z3PyANes0N"
,,,,,,"Robots taking our jobs: empirical evidence on the impact of robots  -- this time it's different?… https://t.co/ZDeiWVWiU7"
,,,,,,"China's rise in Science and Engineering indicators (NSF): US/PRC each ~30% of global value-add tech manufactures.… https://t.co/r8Q6q6PGag"
,,,,,,"@compbiologist @michiganstateu @jianrong03 @CMSE_at_MSU @MSUnews @msuresearch @PhDCareersMSU @MSU_NatSci… https://t.co/GuQGbjVIBk"
,,,,,,"Like little monkeys: How the brain does face recognition. Individual neurons perform feature detection.

https://t.co/5qUIvJVJoM"
,,,,,,"First Human Embryos Edited in U.S. (MIT Technology Review): “many tens” of human IVF embryos used in experiment.… https://t.co/pkDnioFnWu"
,,,,,,"Natural Selection and Body Shape in Eurasia: human diversity isn't just due to founder effects and genetic drift.

https://t.co/epH7Wl06zd"
,,,,,,"Genetics of coronary artery disease: few hundred variants capture ~20% heritability. Pleiotropy, balancing selection
https://t.co/KzEFcWF1NU"
,,,,,,"Don't Touch the Computer: when should humans override algorithms?

https://t.co/u9wUedYwdE"
,,,,,,"Genetic variation in Han Chinese population: N-S gradient dominates variation.

https://t.co/QmlItygqme https://t.co/LSQCu2Cotw"
,,,,,,"The Loveless (1982) and Born to Run: nihilistic biker art movie directed by Kathryn Bigelow, star Willem Dafoe. 

https://t.co/K72kZqeJIV"
,,,,,,"Superhuman Relational Reasoning (DeepMind) -- video.

https://t.co/kI2OGSzBgx"
,,,,,,"Probing deep networks: inside the black box (video)

https://t.co/6mWS0NhzvL"
,,,,,,"Politico: Trump could have won as a Democrat  

https://t.co/SZhA8kHOO4"
