NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
iBarcelonaBoy,2030,2082,"If you follow me then with you, if you don't then without you, but I'll continue to support The GOAT Messi & BARÇA. #ForçaBARÇA",2353,4698,"A Big ""L"" For Valencia Fans

. . . On Behalf Of Jordi Alba 😉

#GetafeValencia https://t.co/6bgrmHiQNL"
,,,,,,"My Enemy's Enemy is my FRIEND

LOVE YOU @GetafeCF VAMOS!"
,,,,,,"Dear Cules

Your Beloved BARÇA is . . . .

5 POINTS Ahead Of Valencia
6 POINTS Ahead Of Atletico
8 POINTS Ahead Of Madrid

#ForçaBARÇA"
,,,,,,"FULL FUCKING TIME

GETAFE 1-0 VALENCIA

#GetafeValencia"
,,,,,,"THANK YOU GETAFEEEEEE

#GetafeValencia"
,,,,,,"GETAFE Taking Their Time 😁

#GetafeValencia"
,,,,,,"Perejo hits the woodwork. 

#GetafeValencia"
,,,,,,"GOLAAAAZZZOO

GETAFE 1-0 VALENCIA"
,,,,,,"HT - Getafe 0-0 Valencia

#GETVAL"
,,,,,,"Ramos To Referee After Getting The Red Card :-

RAMOS: ""You booked me, Papa Perez out there saw this. He will kidna… https://t.co/AgJB4N1HLa"
,,,,,,"GOAT Messi Hits The Woodwork 11 Times This Season As Of Now . . . https://t.co/IwgrhGCESf"
,,,,,,"Are you mad bro ? Has he ever got a red card in his entire career ? https://t.co/uwdpNJauRh"
,,,,,,"Karate 😛 https://t.co/hHIwT2PBzS"
,,,,,,"AS I ALWAYS SAY . . . 

KARMA is a serious BITCH

SO CULES, KEEP CLAM !!!"
,,,,,,"OUR LEAGUE DOMINANCE ENDS HERE!

FUCK YOU @LaLigaEN MOTHERFUCKERS"
,,,,,,"2 DIFFERENT GAMES

2 DIFFERENT MISTAKES

1 VICTIM, 1 LEAGUE

💩 @LaLigaEN 💩 https://t.co/KxCAiseeIA"
,,,,,,"Dear Cules, This is how your team dropped 4 POINTS.

FUCK YOU @LaLigaEN https://t.co/WbTKy0AOq5"
,,,,,,"REST LUIS FOR FEW DAYS YOU PUTAAAAAAS"
,,,,,,"💩 @LaLigaEN 💩 https://t.co/FCVbbWfPzM"
,,,,,,"GOAT Messi is ONE assist away from his 200th assist as a Barcelona player. So far 199 in 603 games. https://t.co/9xEPu7SnUi"
,,,,,,"Our lineup against Celta Vigo

#ForçaBARÇA https://t.co/yx5ioRwB7g"
,,,,,,"MARCA: Deulofeu and Semedo to miss Celta Vigo match. Roberto most likely to swap with Semedo.

Valverde: ""It's true… https://t.co/ZBBZMHNoPh"
,,,,,,"BARÇA look to extend year long winning streak at home in La Liga.

Last year on Dec 3rd, RMA drawn 1-1 against BARÇ… https://t.co/S3tbxwNGjq"
,,,,,,"Time (CET) Date &amp; Venues of ARG's Games In WC 2018:-

16 June
🆚 Iceland 14:00 @ Moscow

22 June
🆚 Croatia 19:00 @ N… https://t.co/2RBHVSzTmk"
,,,,,,"Dude @GaryLineker You Literally STOLE The Show... 😁 https://t.co/Jiu6jYgEH1"
,,,,,,"GROUP D

LIONEL MESSI
ICELAND
CROATIA
NIGERIA

#WorldCupDraw"
,,,,,,"ARGENTINA's FIRST WORLD CUP 2018 GAME WILL BE AGAINST ICELAND.

#WorldCupDraw"
,,,,,,"Gary Linker: ""Diego (Maradona) has always been good with his hands."" #WorldCupDraw

I'M SCREAMING 😂"
,,,,,,"ARGENTINA in GROUP D"
,,,,,,"Just saw Maradona 💩 My eyes are bleeding now.

#WorldCupDraw"
,,,,,,"Vladimir Putin (when Argentina's World Cup qualification was looking impossible):

""I hope Argentina is classified… https://t.co/z6VHRx4vUK"
,,,,,,"FC Barcelona Team in 1903

#ForçaBARÇA https://t.co/66CZ7z05fc"
,,,,,,"MOST TITLES IN THE WORLD (91)

MOST TREBLES IN THE WORLD (2)

MOST GOLDEN BOOTS IN THE WORLD (6)

MOST BALLON D'ORS… https://t.co/7BW9FbBDpo"
,,,,,,"Valverde: ""Eliminating Murcia in this way makes me appreciate how far we've come. Even though the format of the tou… https://t.co/rroXdeoBTz"
,,,,,,"DENIS SUAREZ: ""On a personal level I'm very satisfied. I try to take advantage of my chances to get more of them, a… https://t.co/IWjBmikLqW"
