NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
jack_regan,779,233,"Associate Producer @CNNTech • @SyracuseU Alum • jack.regan@cnn.com",756093,370,"RT @Disney: The #Incredibles2 trailer is here. See the film in theatres June 15, 2018. https://t.co/cTZIkWeDK5"
,,,,,,"RT @jhrubin: Great to see former @SIDEARMSports and @SyracuseU alumni @jack_regan. Awesome visit to @CNN in NYC with our @iSchoolSU student…"
,,,,,,"RT @Asher_Wolf: This is a hotel. You're building a hotel. https://t.co/A1Ud3AqURa"
,,,,,,"@kerrymflynn This seems like not a thing"
,,,,,,"New @st_vincent: 👍🏼 https://t.co/MP2NT48hP5"
,,,,,,"Virgin + Hyperloop One = Virgin Hyperloop One https://t.co/z8X5p1Ebg1 https://t.co/Drawwtzcli"
,,,,,,"A tale of two... @ New York, New York https://t.co/ocan7ZoQHi"
,,,,,,"@HeyLisaMichelle @TomKludt no no no no no no"
,,,,,,"@HeyLisaMichelle @TomKludt Gum"
,,,,,,"@HeyLisaMichelle @TomKludt NO"
,,,,,,"RT @Snoodit: Apple effectively just scrapped a 4-show deal with The Weinstein Co for Michael Jackson, Elvis, Prince and Frank Sinatra minis…"
,,,,,,"@marinarachael @Snapple News to me…"
,,,,,,"🔥 https://t.co/pqw98Rpxvg"
,,,,,,"RIP https://t.co/S1vRxoraN2"
,,,,,,"New @charlieputh is good"
,,,,,,"RT @kerrymflynn: Apple gave Uber the keys to your iPhone screen, and it was all super shady https://t.co/idhzdfYecZ"
,,,,,,"In my life, I don’t know that I’ve been as obsessed with anything as much as @verge is with headphone jacks…"
,,,,,,"@Moss_Cohen @ramyzab @jack__regan Tagged the wrong Jack, Moss"
,,,,,,"RT @ramyzab: And I got a colorful aura like I got neon guts. 📸: @jack__regan https://t.co/XvNhoDEYoC https://t.co/sYGRe0JQch"
,,,,,,"@heatherkelly This tweet is too much for me"
,,,,,,"🔥 https://t.co/9Z8lLtlNLC"
,,,,,,"@mcwm Depends… was it made this morning?"
,,,,,,".@Roland_US has revived the legendary 808 drum machine after 34 years. @Ramyzab and I made a thing https://t.co/Y11MNecN7J"
,,,,,,"@tweetbot I realize I can open up my timeline in a separate window and then close the main window, but it feels like sort of a hack.."
,,,,,,"@tweetbot Any thoughts on an option to hide the sidebar on the Mac version? Things get cramped awfully fast on a 12” MacBook"
,,,,,,"Wow https://t.co/LAT3NRz3Tp"
,,,,,,"RT @amandaameer: ""I’m sorry, but the old Megyn can’t come to the phone right now."" https://t.co/TdJtmoPO9H"
,,,,,,"This is… an opinion https://t.co/2Z50olWk8R"
,,,,,,"@kerrymflynn That’s a random google image fyi"
,,,,,,"@kerrymflynn All the psychological high I need https://t.co/uk1hyyxdlG"
,,,,,,"@kerrymflynn ughhhhh"
,,,,,,"@kerrymflynn hot take of the day"
,,,,,,"@kerrymflynn Iced coffee &gt; hot coffee"
,,,,,,"Yes. https://t.co/4SIAilTQRH"
,,,,,,"RT @mcwm: …until the Pixel 2

…and then the iPhone X https://t.co/j3vXW3a2lN"
,,,,,,"RT @benthompson: Is this the worst piece of analysis of all time?

https://t.co/5V5XmWZh4h"
,,,,,,"RT @kumailn: Classic good news/bad news. https://t.co/fybtep4DEL"
,,,,,,"RT @tim: Nestle is buying Blue Bottle Coffee, in a deal that values the hipster-friendly California company at over $700m https://t.co/R91f…"
,,,,,,"RT @BradEllis: Dudes, the white pads and watch stand bases match the curve of the table that matches the curve of the building. https://t.c…"
,,,,,,"RT @katehinds: The NYC subway experience, in one photo https://t.co/KsouIhYXtf"
,,,,,,"RT @kerrymflynn: Winner for best email intro https://t.co/P7IGtnUb8X"
,,,,,,"@frankpallotta Always starting fights, Frank"
,,,,,,"Obsessing over this @brasstracks song https://t.co/B03jLVAu6c https://t.co/gHw6HLMfmH"
,,,,,,"RT @concreteniche: Hello old friend @SusanKare https://t.co/tpvbH1DyEJ"
,,,,,,"Surprised this isn’t in the box https://t.co/SgPq68huK5"
,,,,,,"Or @LaurieSegallCNN will just start stealing my wireless charging pad… https://t.co/WTTwKmPwZ7"
,,,,,,"RT @vinnycrack: T-pain was only 22 when he rhymed mansion with wiscansin https://t.co/0DNoHE0sN7"
,,,,,,"RT @SavedYouAClick: nah https://t.co/DenMQ3ggUw"
,,,,,,"This new @GeorgeMichael / @nilerodgers song is good https://t.co/6FLhc6Exoi"
,,,,,,"Does literally any company consider themselves what they clearly are? https://t.co/vSUppDfjxT"
,,,,,,"@HeyLisaMichelle brb, need to go vomit"
,,,,,,"@RaviCNN Ha, honestly I’d take any tech pitch over this… https://t.co/0l3yGa8uKL"
,,,,,,"If I get one more holiday gift guide pitch, I’m going to lose my mind."
,,,,,,"RT @mattyglesias: Stop erasing our history https://t.co/kiuU7no7st"
,,,,,,"RT @sorkinese: I want something good to happen before the day's over."
,,,,,,"RT @gknauss: ""USAF"" is the Air Force and not ""United States as Fuck.""

Though I saw it on a hat at the state fair, so maybe it's both."
,,,,,,"@heatherkelly hahaha"
,,,,,,"@heatherkelly Check your voicemail once in a while?"
,,,,,,"Don’t forget to put on your eclipse glasses first! https://t.co/TTtC1A8iXG"
,,,,,,"When did Harman Kardon start making food processors? https://t.co/oHOhkpBUFo"
,,,,,,"RT @pourmecoffee: *starts podcast about series about show* https://t.co/00M82664h6"
,,,,,,"RT @minapjohnson: I love following @MerriamWebster https://t.co/hYnGLGRkAv"
,,,,,,"My new favorite pitch: trendy bouillon cubes for millennials https://t.co/97phjPu6aq"
,,,,,,"Time is a flat circle https://t.co/CNEL8djkYJ"
,,,,,,"@DaniellaMicaela Better than when I forget paying is a thing"
,,,,,,"RT @laurenthomasx3: It's real, y'all. @WholeFoods @amazon https://t.co/QiRBm2ulHe"
,,,,,,"RT @samuelcnn: WSJ says despite the below tweet, HP CEO Meg Whitman made a presentation to Uber's board this weekend 👇 https://t.co/q0fCyUf…"
,,,,,,"@HeyLisaMichelle Don’t even know where to begin. Loved that thing"
,,,,,,"4/4s https://t.co/3jQPWE9bfg"
,,,,,,"RT @TheBAsnyder: During #Harvey this morning one of ATX's most beloved BBQ institution went up in flames https://t.co/7hI4OW3kTg"
,,,,,,"RT @CaseyNewton: Just IMAGINE if iPhones blew up and Tim Cook was incapacitated and his son took over the company and was arrested for embe…"
,,,,,,"RT @viticci: Very nice: when sharing AMP pages to iMessage or Reading List, iOS 11 Safari automatically removes AMP’s crap from the URL. Go…"
,,,,,,"@frankpallotta I mean… music is already media?"
,,,,,,"Jealous https://t.co/9u4grVjUis"
,,,,,,"It’s here. It probably won’t kill you. https://t.co/aGARGBo8RI"
,,,,,,"Figure it out https://t.co/Bq4cniwwhd"
,,,,,,"@RaviCNN Contrarianism at its finest"
,,,,,,"This is an unequivocal NO. https://t.co/p8r9O6kAFu"
,,,,,,"@mekosoff The two reasons I need cash — laundry and barbers"
,,,,,,"@mekosoff I legitimately think cash should be outlawed"
,,,,,,"@kerrymflynn I’m actually getting anxious on your behalf"
,,,,,,"@kerrymflynn Sometimes better than the playlists"
,,,,,,"@kerrymflynn Two streaming services is too much for me… I get too disorganized haha. Check out the Soundsystem radi… https://t.co/YiUfEMBbOt"
,,,,,,"@kerrymflynn Hahaha I’ve gone the other way and embraced it. My current Apple Music includes my entire iTunes libra… https://t.co/Cw9uO5jLFA"
,,,,,,"@kerrymflynn Haha I mean yeah you’re right. iTunes is sooo bloated at this point"
,,,,,,"@kerrymflynn Though they never renamed iTunes so…"
,,,,,,"@kerrymflynn Putting it all in one service makes sense to me but seems inevitable they’ll have to rename it…"
,,,,,,"This seems fine https://t.co/4ks7oJBjlk"
,,,,,,"RT @Kantrowitz: ""E-greetings to you,"" is uniquely bad https://t.co/Grp8V1YSjg"
,,,,,,"Thank you! So cringe-worthy https://t.co/deZYeYhKJq"
,,,,,,"RT @internetofshit: when your thermostat decides on its own sick tunes https://t.co/mAw0eHgiqa"
,,,,,,"YES https://t.co/sePjy1fsYB"
