NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
janetmock,156941,16075,"NYT bestselling AUTHOR: #RedefiningRealness & #SurpassingCertainty. HOST: @NeverBeforePod. COLUMNIST: Allure. FOUNDER: #girlslikeus. 👀  https://t.co/8pHX93Vvr4",426222,60725,"RT @fight4merci: Read. Share. Tell the @BrooklynDA that you stand with Merci Chrisette and demand no prison time. #Fight4Merci #BlackTransL…"
,,,,,,"Hailie &amp;
Indya &amp;
Dominique &amp;
Angelica &amp;
M.J. 
a dream to write for these talented af black &amp; brown trans women.… https://t.co/0uDi6UnemO"
,,,,,,".@AmazonVideo &amp; @transparent_tv  lauds itself for being a beacon for trans talent so it's not outrageous to expect… https://t.co/z47bHxfK4D"
,,,,,,"RT @tatianamaslany: Standing with you @tracelysette. Thank you for your bravery on screen and off. https://t.co/aWEPg6BHqy"
,,,,,,"I, too, have rolled my eyes to move on &amp; survive, believing no one would believe me. I hear you, believe you &amp; appl… https://t.co/7QuXM97LyE"
,,,,,,"@SerenaSonoma 👸🏾❤️❤️❤️❤️❤️❤️👸🏾"
,,,,,,"@SerenaSonoma ❤️ you!"
,,,,,,"RT @them: Ten trans, nonbinary, and gender-nonconforming artists and poets of color joined forces to create beautiful art as part of @FwdTo…"
,,,,,,"#GetCovered and #EnrollByDec15! https://t.co/CHEWp2607R"
,,,,,,"RT @lifemotto: This is the most valuable lesson Michelle Obama taught Janet Mock https://t.co/IAesZkkKUy"
,,,,,,"Spent the morning with two luminaries ❤️ @IssaRae and @pfpicardi. https://t.co/h8ZCj5DXH8"
,,,,,,"@likaluca Thank you for doing the interview. Can’t wait to read it!"
,,,,,,"Covering @riposte magazine’s latest. Peep inside of issue 9, on newsstands this month. https://t.co/YQwsp07H6y https://t.co/1LjaYdr5E4"
,,,,,,"RT @RaquelWillis_: So proud of movement auntie, Andrea Jenkins, who became the first openly trans woman of color elected to the city counci…"
,,,,,,"RT @1demerith: Congrats @pwcdanica! Glad to see more #girlslikeus in office! https://t.co/zKZM4edZuG"
,,,,,,"RT @kalpenn: In case you feel like doing something more than #ThoughtsAndPrayers, there's an election on Tuesday. 
https://t.co/ltbh5TwSgt"
,,,,,,"RT @GabbyGiffords: I am praying that our lawmakers find the courage to face our nation’s gun violence problem. This must stop. #SutherlandS…"
,,,,,,"RT @steenfox: I'm broke &amp; depressed and I've never killed anyone. https://t.co/Et58AtrkjZ"
,,,,,,"Paying respect to the OG 👸🏽🐝 https://t.co/40bDk1NuM8"
,,,,,,"@JasmynBeKnowing One of the most legendary black girl sprays. https://t.co/oHNqcaad4o"
,,,,,,"@MunroeBergdorf Get it sis!"
,,,,,,"RT @MunroeBergdorf: Slay on your own terms... @MISSGUIDED #KeepOnBeingYou. https://t.co/QTmZmKTBoo"
,,,,,,"RT @EW: Go behind-the-scenes of our #CrazyRichAsians cover shoot with @constancewu and @henrygolding: https://t.co/b7dResj7fP https://t.co/…"
,,,,,,"RT @YaraShahidi: Grow-ing up✨ https://t.co/wGRswqFmKK"
,,,,,,"I echo @museummammy in @them vid w @reinagossett: “I want there to be so many more Reina’s.” https://t.co/vG2KzotyWC"
,,,,,,"""A common, benign phrase used daily by Muslims esp during prayer is now understood as code for 'It was terrorism.'"" https://t.co/MlkOmMkhpG"
,,,,,,"@reinagossett @1demerith So much love for you both."
,,,,,,"RT @1demerith: Re-reading @janetmock amazing piece on the work of @reinagossett this morning for inspiration. #transexcellence https://t.co…"
,,,,,,"Give @ConstanceWu all the covers. https://t.co/96cpSvISKN"
,,,,,,"Gushed over 👸🏾 @MichelleObama in the new collection “Courage Is Contagious” and @time shared an excerpt. https://t.co/Kv2ZZ5Lvug"
,,,,,,"👸🏽🐝 in the 🦁👑. https://t.co/pveyN45Rd5"
,,,,,,"""Tell the paparazzi get the lens right."" https://t.co/WbVXIcOwEq"
,,,,,,"RT @lennyletter: ""Our country is run by a class of white men who don't understand the problems of needing and not having."" https://t.co/XrC…"
,,,,,,"Always and forever. I ❤️ NY. https://t.co/0ZPxXR5Hb1"
