NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
jordan327,3942,20886,"early riser for @cnnmoney, writing for #CNNMoneyStream",24471,384,"RT @MissBrittHayes: Meryl Streep's magnificent caftan in The Post makes her look like the angel from Nancy Meyers' christmas tree came to l…"
,,,,,,"@ilphil @IanReelDeal https://t.co/oR7IPndfOl"
,,,,,,"Love 2 read the mobile web https://t.co/1CitxRkI5T"
,,,,,,"RT @JakeSherman: Bill Clinton actually didn’t say this. It was James Carville. https://t.co/nX8RYY0C2x"
,,,,,,"isn’t this the only thing tourists do in new york? https://t.co/AZNkduzw0F"
,,,,,,"Command+F “American Woman"" https://t.co/6n2Xo75epS"
,,,,,,"RT @Acosta: A lot of empty seats at WH tree lighting ceremony 😳 https://t.co/epT2gwxBoD"
,,,,,,"Felt the earthquake in Park Slope — the second time this week I’ve been shook"
,,,,,,"@mauriellom Oh yeah, he saves the good stuff for the posts."
,,,,,,"@noahsolo no comment…."
,,,,,,https://t.co/2jMOtLr6Zm
,,,,,,"The Instagram algorithm strikes again https://t.co/Y2JUPLmNf3"
,,,,,,"@ilphil more tough CT news https://t.co/e2HK2b5eEB"
,,,,,,"@johannacox did you see her totally good “Me Too” comments?"
,,,,,,"replace Matt with Meredith Viera"
,,,,,,"one year ago today: https://t.co/2dV18a10lA"
,,,,,,https://t.co/SfMQhsTu13
,,,,,,"turn on CBS https://t.co/UxSTeyLt84"
,,,,,,"can’t wait for my “crock pot Express” to be delivered tomorrow https://t.co/4aJAZXQVZs"
,,,,,,"RT @MiaFarrow: No @realDonaldTrump - @CNN conveys real news. And @cnni is the jewel in the CNN crown with courageous journalists -(such as…"
,,,,,,"the only universe I marvel at ;) https://t.co/dePjBVF7UY"
,,,,,,"@wirecutter Any good deals on dual-zone mini fridges?"
,,,,,,"@mauriellom (Instagram)"
,,,,,,"@mauriellom Uh Mark’s story....."
,,,,,,"thankful for Mark Consuelos being employed on Riverdale, a show I watch"
,,,,,,"@mauriellom the best part of Thanksgiving is Mary Carillo"
,,,,,,"good morning from a 3:45 am wake up where I had a dream that CBS This Morning replaced Charlie Rose with Erika Jayne"
,,,,,,"RT @CNNnewsroom: Charlie Rose's former co-anchor @EricaRHilll tells @BrookeBCNN that she was only allowed to ask a question if Rose pointed…"
,,,,,,"How to Talk About the AT&amp;T-Time Warner Merger at Thanksgiving Dinner"
,,,,,,"@michcoll Where’s the lie?"
,,,,,,"Think Pink is lip-syncing"
,,,,,,"@WirecutterDeals any decent deals on 60 inch TVs?"
,,,,,,"Carole wore the hair better https://t.co/kZ1G09lCMX"
,,,,,,"AMA’s Red Carpet show is....good https://t.co/CluiEBW6oi"
,,,,,,"@notbrendan @idkidk Shipping* 🤦🏼‍♂️"
,,,,,,"@notbrendan @idkidk Omg that’s right!!!! I’m done shopping them"
,,,,,,"@notbrendan @idkidk I hope they still are! Queens of being boring but watchable!"
,,,,,,"@idkidk Honestly all RHOBH episodes should just be a crossover"
,,,,,,"@idkidk Omg yes so iconic I forgot: https://t.co/ch95nwk8yR"
,,,,,,"@idkidk Didn’t Yolanda (maybe?) or Brandi have a lunch with some RHONY too yearsssss ago?"
,,,,,,"@cameronscheetz Mark Cansuelos is daddy"
