NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
katieronaldo7,43233,52868,,978402,206,"Love that line-up 👌🏼 #MUFC"
,,,,,,"Thanks for 43k 👍🏼❤️"
,,,,,,"@gabriele_biondo 😭😭😭"
,,,,,,"RT @FabrizioRomano: Respect for you, Gigi Buffon.

You don’t deserve to leave Italian National team this way.

Legend. 🇮🇹❤️ https://t.co/IU…"
,,,,,,😡😡😡😡😡
,,,,,,PATHETIC
,,,,,,"Inspirational young man - Mo. His story had me in tears of sadness but he had me in tears of laughter. What a character! #PrideOfBritain"
,,,,,,"TV shows to watch?"
,,,,,,GGMU
,,,,,,"RT @LukeWilliams22: When you're on the plane and you've forgotten your son https://t.co/g6j1gsmJe3"
,,,,,,"@Asif9707 Don’t start 🙄"
,,,,,,"Where is Mata?"
,,,,,,"@AdamWSweeney Ummm... Jose shows Klopp how to not get battered by/beat Spurs?"
,,,,,,"@MessiCuIe Don’t give up the streak"
,,,,,,"@jonmikesav8 Always has been?"
,,,,,,"@MufcJ He’s not getting the chance!"
,,,,,,"RT @FriendsComedy: ""SO NO ONE TOLD YOU LIFE WAS GONNA BE THIS WAY. YOUR JOB'S A JOKE, YOU'RE BROKE, YOUR LOVE LIFE'S D.O.A"" https://t.co/tN…"
,,,,,,"RT @Rumi_Quote: Feel the sweetness in your own heart. Then you may find the sweetness in every heart."
,,,,,,"RT @Dunia_Interisti: Icardi's hattrick vs Milan https://t.co/WxZLi55uE8"
,,,,,,"RT @DazzaDavies: Imagine being 7 pts behind after 8 games, having 1 league cup in 11 yrs &amp; no league title in 27 yrs &amp; having a pop at Utd’…"
,,,,,,"RT @ManUtd: Off to Lisbon! 🇵🇹✈️ #UCL https://t.co/oBASsA3BNc"
,,,,,,"@joshuaradin Always Bruce Springsteen."
,,,,,,"RT @jules_su: there is something seriously wrong with this man's brain https://t.co/p5ZkU5yjB1"
,,,,,,"@RedDevilBible Matić, Herrera, Mata."
,,,,,,"@Asif9707 Herrera?"
,,,,,,"@MessiCuIe Seriously?"
,,,,,,"RT @jimbolee12: Daddy’s hard work has paid off, ha ha...just amended a few words in the Zlatan song. Not bad for a 3.5 year old ha ha @sarm…"
,,,,,,"@SaveItLikeNavas @MessiCuIe Idk sorry :("
,,,,,,"@MessiCuIe @ClaMarchisio8 My mum &amp; I just discussed this. 😍😍😍"
,,,,,,Asdfghjkl
,,,,,,"RT @ManUtd: .@AnderHerrera got off the mark with his first #MUFC goal three years ago today! https://t.co/pGzxFRBsGk"
,,,,,,"@MessiCuIe @AndrewKanatsky @ForzaManUnited Looool"
,,,,,,"@MufcJ Is it the Saturday lunchtime ko ?"
,,,,,,"@MessiCuIe @TheLoniaFCB Don't ask me! 😂"
,,,,,,"RT @AntoGriezmann: 🤙😀🤙 https://t.co/9b1ud0BwVR"
,,,,,,#whereisjimwhite
,,,,,,"@MufcJ And a top player they're going to have to give away for FREE next year..."
,,,,,,"Matheus Pereira ❤️"
,,,,,,"@markeaglefield @Ticketmaster @TMfanSupport @springsteen Whaaat?"
,,,,,,"RT @_Jack_Gibson: Please vote for St Tudy Playground to win a £25k community award from the One Family Foundation 

🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻

https…"
,,,,,,#BartomeuDimiteYa
,,,,,,"EPL 2017/18 prediction:
1. Man Utd
2. Man City
3. Chelsea
4. Arsenal"
,,,,,,"@jonmikesav8 George"
,,,,,,"RT @AntoGriezmann: ... https://t.co/EfkhwWSr10"
,,,,,,"RT @ManUtd: #MUFC is delighted to announce the signing of Nemanja Matic from Chelsea on a three-year contract. https://t.co/AH5KfCr9ZI #Mat…"
,,,,,,"Yessssss England! #ENGFRA"
,,,,,,"RT @ChampionsLeague: This @ManUtd midfield 👌

Your favourite? 

#UCL #FlashbackFriday https://t.co/pZPDtwuulP"
,,,,,,"RT @juanmata8: Every 1k RTs I'll give 1 away 😉 https://t.co/ivVt0Yf36r"
,,,,,,"RT @juanmata8: We see you 👆🏻👀😜 @ManUtd #MUTOUR https://t.co/hCE0SHLPc1"
,,,,,,"RT @lucynolann: Uk train fares https://t.co/Ti6nLF1YsA"
,,,,,,"😭😭😭 https://t.co/PLc4lwyrlp"
,,,,,,"RT @adnanjanuzaj: I will always have love for @ManUtd https://t.co/mCdC2giPsF"
,,,,,,"@JakeAGriff 😒"
,,,,,,"RT @IAmJermainDefoe: Sleep tight little one... 💙 https://t.co/iGqLXdvlVi"
,,,,,,"RT @ManUtd: #FarewellToALegend

@WayneRooney is leaving #MUFC to return to Everton: https://t.co/QQrxKB2wo4

Thank you, Wayne, from all of…"
,,,,,,"😭😭😭 https://t.co/5gCEDc9t51"
,,,,,,"Would rather Morata over Lukaku. £75m is ridiculous!"
,,,,,,"No way should Pogba get captaincy. He's already too big for his boots. Herrera or Mata for sure. #MUFC"
,,,,,,"WHAT THE HELL"
,,,,,,"What's the name of that Italian journalist that people always tweet about"
,,,,,,"@JakeAGriff I'd rather have youth than those last three. Well, I suppose Young is a decent squad player, but the ot… https://t.co/buV9QyRJPy"
,,,,,,"RT @BolsoverBeast: Question: What does £1bn buy?
Answer: 10 votes and a tenuous grasp on power.  #dupcoalition"
,,,,,,"Anyone have a pic of Utd rumoured kit 17/18?"
,,,,,,"@MessiCuIe I don't think Ronaldo got married this week 😶"
,,,,,,"Schneiderlin, Darmian, Morata, Griezmann, Jones... any others?"
,,,,,,"Are all footballers getting married this week or...?"
