NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
kimstachenfeld,577,135,"Neuroscience grad student at Princeton + DeepMind scientist. Likes learning and hippocampi and other things brains have and do, too.",20692,240,"RT @nathanieldaw: Our (@marcelomattar's) new theory of which decision computations to do when, explains place cell replay and model-based p…"
,,,,,,"@AdaptiveAgents Cool!"
,,,,,,"RT @evanrussek: Our paper on the successor representation as a mechanism for model-based RL is out - with @criticalneuro @gershbrain @natha…"
,,,,,,"RT @ChrisBaldassano: I'm currently recruiting for the founding members of my lab, starting next year - please RT, and follow my lab account…"
,,,,,,"@RaymondRChua @DeepMindAI @NatureNeuro https://t.co/wTXMCNHRwl"
,,,,,,"@muktabh @DeepMindAI @NatureNeuro Full text: https://t.co/wTXMCNHRwl"
,,,,,,"RT @JamesWardAntony: Competitive learning modulates memory consolidation during sleep. My latest with @radiohedzz, Paula Pacheco, @kap101,…"
,,,,,,"MIT tech review wrote a post about our recent paper! https://t.co/bevUyWfc0d"
,,,,,,"RT @NeuroCellPress: Fully automated spike sorting - Frank lab. Free featured: https://t.co/qCGoGT2i3W"
,,,,,,"RT @PrincetonNeuro: Two research labs in PNI are part of the new @IntlBrainLab, studying how brains make choices: https://t.co/uBgmQZCsqS h…"
,,,,,,"RT @mariam_s_aly: I'm recruiting grad students to start in Fall 2018 @ColumbiaPSYC! If interested, e-mail me to introduce yourself! :) http…"
,,,,,,"International multi-lab multi-discipline collaboration in neuro to study foraging. Pretty exciting! https://t.co/dEBkW09pJA"
,,,,,,"RT @CSHL: ""The reason it’s worth addressing is in the proverb: ‘alone we go fast, together we go far’,” says @anne_churchland➡️https://t.co…"
,,,,,,"RT @criticalneuro: Offline replay supports planning. My favorite fMRI project with @ptoncompmemlab @arossotto @nathanieldaw https://t.co/Aa…"
,,,,,,"Our new paper! Predictive representations in hippocampus: https://t.co/ZXvyEqjdHy"
,,,,,,"RT @DeepMindAI: RL meets neuroscience in our new @NatureNeuro paper: the hippocampus as a predictive map https://t.co/XrebyL0298"
,,,,,,"DeepMind's blog post about our paper on predictive representations in hippocampus! https://t.co/uYJA1PyglT"
,,,,,,"@DuzelLab @david_berron Yay! Congrats David!"
,,,,,,"RT @AnnaSchapiro: Our latest preprint! Prioritized replay of individual items in the human hippocampus at rest that only predicts memory ac…"
,,,,,,"@criticalneuro Sounds awesome. Conference looks great too. Wish I could go this year :("
,,,,,,"RT @behrenstimb: Very cool to see this out.   Dorsal hippocampus contributes to model-based planning https://t.co/ixu11jJKLa"
,,,,,,"RT @neuroecology: Dinosaurs left the Paris Accords too

(by @PoorlyLines) https://t.co/dI5uTJV2g5 https://t.co/g0SJaOcFqi"
,,,,,,"RT @m_j_gruber: our new pre-print is out: human hippocampal-prefrontal theta phase synch. with Nikolai Axmacher and @CharanRanganath https:…"
,,,,,,"RT @david_berron: Our new paper with @paula_vieweg and L Wisse on MTL segmentation at 7T is online https://t.co/JMpSZfzu41 @Allen_Institute…"
,,,,,,"RT @Social_CHAN_ge: Dad tracks son’s #FirstWords in excel; reveals kids’ astronomical learning curves. Thanks Penn Collins. #WordGap https:…"
,,,,,,"RT @DeepMindAI: Very proud to see @janexwang in @Forbes | Meet These Incredible Women Advancing A.I.Research https://t.co/AnIT5j77ON"
,,,,,,"RT @TahaYasseri: A great demonstration of why we need to plot the data and never trust statistics tables! https://t.co/JyUb57v0or https://t…"
,,,,,,"@nyimapema Fant-asia for short"
,,,,,,"RT @mona_garvert: Hippocampal-entorhinal maps of discrete, non-spatial relational knowledge. New paper with @behrenstimb at @eLife, https:/…"
,,,,,,"RT @neuroecology: The Big Ideas in Cognitive Neuroscience, Explained
(by @sarcastic_f) https://t.co/EGDfxDZN3j"
,,,,,,"RT @SamWangPhD: I realize we are all desensitizing, but note this attempt to delegitimize the free speech of the opposition. An authoritari…"
,,,,,,"RT @BClarkLabUNM: New work from @hugospiers: Hippocampal and prefrontal processing of network topology to simulate the future https://t.co/…"
,,,,,,"@nstachen yep, republican in Congress who wants to challenge the budget, that seems useful for stuff."
,,,,,,"That's something. https://t.co/65x68cqxyu"
,,,,,,"RT @mariam_s_aly: Perturbation of old knowledge precedes integration of new knowledge https://t.co/8RHH4LlWSS"
,,,,,,"RT @fermatslibrary: A visualization of chaos: 41 triple pendulums with very slightly different initial conditions https://t.co/CTiABFVWHW"
,,,,,,"RT @neuroecology: #Cosyne17, by the numbers https://t.co/eUtjJKlzna https://t.co/CmkYP5L7L7"
,,,,,,"Talk @LJDM1 today! https://t.co/z5n7Wnp5ya"
,,,,,,"Sign up to organize or help organize a sister march! #ScienceMarch  https://t.co/DaNtCNpw93"
,,,,,,"@LHuntNeuro @PLOSBiology @datadryad Awesome - open data, like a boss!"
,,,,,,"Cool work on the relationship between drawing and visual concepts, featuring neural networks for psychology by… https://t.co/iAj2Z8sI73"
,,,,,,"RT @tejasdkulkarni: Successor Representations for transferring knowledge between multiple tasks and goals -- https://t.co/6rA0eIUVwL"
,,,,,,"@aidanhorner proud to have closed out your paper-year!"
,,,,,,"We made a paper! https://t.co/jepKuImcGW"
,,,,,,"RT @aidanhorner: The neural and computational bases of semantic cognition https://t.co/CBS2Uj9Gcr Important review paper"
,,,,,,"RT @mariam_s_aly: Stabilization of hippocampal context representations emerges gradually with exposure to different environments https://t.…"
