NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ktmarierichards,257,54,"Public Engagement & Comms @DeepmindAI 💫 Tweets are mine 💁",74124,13,"RT @Londonist: The angels are back and Regent street is looking very festive. https://t.co/4AlgPnDEZZ https://t.co/8goJpfvp5e"
,,,,,,"“Rebooting the Brain” by @bryan_johnson https://t.co/tFvEqhCdaV"
,,,,,,"RT @womensart1: Japanese sculptor Sayaka Kajita Ganz, wild horse sculptures from recycled materials #womensart https://t.co/4Hmi6J2BRG"
,,,,,,"RT @JustinTrudeau: AI is changing our world &amp; we need to make the decision to not only keep up, but lead – start-ups at #mkt4intel are doin…"
,,,,,,"RT @AINowInstitute: Our 2017 Research Report is now live! Includes 10 urgent recommendations for the AI field in high stakes domains. https…"
,,,,,,"RT @NicholasGuyatt: ""Remember that black student yesterday, the one on the front cover, who was attacking white authors? Yeah, we made that…"
,,,,,,"RT @marsdenmaths: Thanks Ms Riley from Bletchley Park for visiting with an Enigma Machine yesterday.  Year 9 loved it#STEM#Ultraprogramme@b…"
,,,,,,"RT @latticecut: Great launch of @PartnershipAI yesterday ft @DeepMindAI @OpenAI  @mustafasuleymn Looking forward to Day 2 @ @uclcs @UCLSoM…"
,,,,,,"RT @dennybritz: The Wild Week in AI - AlphaGo Zero; Uber's DL framework; Intel releases new DL chips; and more https://t.co/KIT46qDtBh"
,,,,,,"RT @MrThreatFinder: #AlphaGo a beautifully poetic documentary of @DeepMindAI redefining and challenge humanities understanding of technolog…"
,,,,,,"RT @thereaIbanksy: ""A dog doesn't care if you are rich or poor. All he knows is that he loves you very much."" https://t.co/rKjbP2yhLv"
,,,,,,"RT @WIRED: These little bots swarm like ants to build structures: https://t.co/ywNnl954FS https://t.co/ZoDKQxQl32"
,,,,,,"RT @FrankPasquale: Companies ""prefer to keep themselves — &amp; their users — in the dark by not auditing their systems” https://t.co/tXA4vURiZJ"
,,,,,,"Does Even Mark Zuckerberg Know What Facebook Is? https://t.co/Sv9HGCTCyZ via @selectall"
,,,,,,"RT @dennybritz: The Wild Week in AI - Theano development ends; New Microsoft ML services; Sketch + Style to Paints; and more https://t.co/l…"
,,,,,,"RT @davegershgorn: New Apple ML blog on recognizing Chinese characters with deep learning

https://t.co/5MPc30C1GL https://t.co/tNuWSiEDnE"
,,,,,,"RT @elluba: I just wrote up my latest #creativeAI newsletter 🤖😜 #AI Read here: https://t.co/rmXVvqJ8W0 https://t.co/AOehLLcD16"
,,,,,,"RT @Kasparov63: My new article in Fortune: A brave new world in which machines do things humans do not know how to teach them to do. https:…"
,,,,,,"RT @Dominic1King: Really proud @DeepMindAI can support @ivanbeckley to follow his dream to combine medical studies with data science https:…"
,,,,,,"RT @NandoDF: Machines learn new ways of learning. CIFAR interview. https://t.co/HX0HIUXtY1"
,,,,,,"Facebook’s war on free will https://t.co/JrHe7L5qmU"
,,,,,,"RT @alphagomovie: Go check out the official trailer for @Tribeca hit AlphaGo https://t.co/SchHT4vjO8 #alphago #alphagomovie ⚫️⚪️"
,,,,,,"RT @betaorbust: For the record: that's not a ""strong work ethic."" 
That's exploiting young unattached engineers and spinning it as ""team cu…"
,,,,,,"RT @mustafasuleymn: No women??? Seriously?!?! https://t.co/rMbSNXwVI1"
,,,,,,"AI holds promise of improving medical diagnoses https://t.co/L10UvQwAsh via @WSJ"
,,,,,,"In the Age of AI, We Shouldn't Measure Success According to Exponential Growth https://t.co/clmBelRA1L via @Futurism"
,,,,,,"RT @dannysullivan: According to this @TechCrunch photo, the iPhone X will cost one human life. https://t.co/1NHMoGCucq"
,,,,,,"RT @vukosi: What a turnout at the Deep Learning Indaba. On a Sunday!!! #DLIndaba17 https://t.co/mkfXrCShR9"
,,,,,,"AI can liberate humans to lead happier lives, if we get it right https://t.co/zaMdahirmi via @CityAM"
,,,,,,"RT @PeterSinger: Toby Ord, sets out his views on why the long-term future of humanity matters more than anything else: https://t.co/W5J7ucC…"
,,,,,,"RT @DeepLearn007: Deep Learning for Newbies
#AI #MachineLearning #DeepLearning #ML #DL #tech 
https://t.co/hePCuufHxl https://t.co/X3p9j0AV…"
,,,,,,"RT @drfeifei: And ur point is, @elonmusk? Let's focus on making the world a better place by partnering on responsible &amp; benevolent technolo…"
,,,,,,"RT @thetimes: A group of codebreakers who helped to defeat Hitler were reunited at Bletchley Park yesterday https://t.co/3mmbO8Q97C https:/…"
,,,,,,"RT @MateuszOnAI: Our work on a challenging 'relational reasoning' (@dnraposo, @santoroAI, @dgtbarrett ) got accepted to @NipsConference as…"
,,,,,,"“Sensationalist reporting of complex issues is creating an echo chamber of hysteria."" https://t.co/U9X7Dtmp2R"
,,,,,,"RT @irenetrampoline: machine learning and healthcare in 2017: what i learned at #mlhc2017: https://t.co/7QNFMyWfIt https://t.co/h5WAt4LDBO"
,,,,,,"RT @jackclarkSF: From today's Import AI https://t.co/SUxJFcpmwH https://t.co/VF0UosLzVJ"
,,,,,,"Well worth a read, some very interesting ideas: Opinion | How to Regulate Artificial Intelligence https://t.co/NBvllTIOZh"
,,,,,,"RT @JanelleCShane: Since we now have an AI researcher as a perfume model, why not some neural network generated fragrances? https://t.co/g9…"
,,,,,,"RT @pabbeel: Vlad Minh at DeepRLBootcamp: Everything in Deep RL is still exciting. Nothing is solved. @VladMnih https://t.co/3W73XOXeXm"
,,,,,,"RT @randal_olson: When people tell you that AI is going to take over the world, keep in mind that this is state-of-the-art #ArtificialIntel…"
,,,,,,"RT @mpshanahan: Touching and thought-provoking story. Have thought about this sort of thing a bit. Not sure what I feel about it https://t.…"
,,,,,,"Our new blog went live today on the significance of bringing the fields of neuroscience and AI together. https://t.co/EUWgS2e8lw"
