NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
leisureleagues,3584,7941,"The Worlds Largest 5, 6 and 7-a-side Football League Provider. Visit https://t.co/WQ12mbxI67 or call 0333 123 2340",459874,1392,"Putin has decided to boycott the draw and just pick the groups himself #WorldCupDraw https://t.co/gC5P0BFOFL"
,,,,,,"This months #PartnerOfTheMonth features Adam from @RugbLeagues https://t.co/tnnzW0pDX5 https://t.co/1kxNgryQZs"
,,,,,,"RT @NathanRedmond22: Just to clear a few things up for those wondering. Funny old game isn’t it. https://t.co/xUSr99MVeE"
,,,,,,"Happy #WorldCupDraw day!! https://t.co/CwnLEI22tO"
,,,,,,"RT @brfootball: #WorldCupDraw https://t.co/fT3POzWC0G"
,,,,,,"RT @Carles5puyol: I’m with the presenter of the #Russia2018 World Cup draw. You may also know him as being one of the World Cup’s top score…"
,,,,,,"Hopefully the first of many Jimmy https://t.co/9ii62RZ0Ws"
,,,,,,"RT @Sporf: Happy 57th Birthday @GaryLineker 🎉

📅 Club Games: 460
⚽️ Club Goals: 238

🦁 England Caps: 80
⚽️ England Goals: 48

Legend 👏 http…"
,,,,,,"RT @BigSportGB: Happy Birthday to Ryan Giggs, the man who ran through half the Arsenal side to score the greatest FA Cup goal of all time 🔥…"
,,,,,,"RT @FootyAccums: Roberto Carlos has admitted his famous free-kick against France was wind-assisted. ""The ball was going completely wide but…"
,,,,,,"RT @ChampionsLeague: Griezmann topped the poll with 33% of the vote 👏 https://t.co/DvNYHLs1Kn"
,,,,,,"RT @Sporf: 6 years ago today, football lost Gary Speed, aged 42. 🙏

Gone but never forgotten. RIP 🌹 https://t.co/AzW1ahKWXV"
,,,,,,"RT @LeisureLeagueGL: Are you ready to enter a team?

The best small-sided football league (@leisureleagues ) is coming to Cheltenham and Th…"
,,,,,,"https://t.co/Zmy6WvZ94n Here's the story of one of our most charity conscious teams https://t.co/WC5GbVszje"
,,,,,,"Happy #BlackFriday to celebrate we're offering #FREE ENTRY on selected 5/6 &amp; 7-a-side football leagues across the U… https://t.co/NmuQnEI1RV"
