NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ma_salmon,2779,17932,"PhD in stat. 💙#rstats. Onboarding co-editor at @rOpenSci. #rladies. Member of @rweekly_org team. 🔎a remote data scientist /research software engineer position",1111,302,"@Open_AQ @amrit_sharma @StefanieButland any tip from your cohort?"
,,,,,,"@Data_Sue_ATX @rweekly_org If you see a 👶 coding please tell me 😂 I assure you newcomers are good at sharing, curre… https://t.co/J2i3DXO7XJ"
,,,,,,"@kearneymw how does one query tweets citing one tweet? https://t.co/iITYqB9DvB"
,,,,,,"RT @MilesMcBain: I don't know why I limited this to software. It's the same for blogs/podcasts/videos."
,,,,,,"RT @MilesMcBain: So if you get some mileage out of someone's FOSS project or #rstats package, don't underestimate the value your feedback h…"
,,,,,,"RT @MilesMcBain: It's incredibly motivating it is to hear feedback that people are enjoying your work, it literally becomes the fuel for th…"
,,,,,,"RT @dirk_sch: Finally merged it 🎉: `ompr` now experimentally supports modelling large mixed integer linear programs. E.g. a TSP model with…"
,,,,,,"@chucheria you'll like this https://t.co/jBiklbkhSU"
,,,,,,"RT @eric_bickel: Finally - my most involved (and rewarding) side project to date is posted: Using #ArtificualNeuralNetworks To Predict Euth…"
,,,,,,"@rOpenSci @TimothyHyndman @mitchoharawild @earowang nice job, all three of you!"
,,,,,,"I had missed the icon #rstats R package, product from the @rOpenSci #ozunconf17, but now that I've found it I'll ma… https://t.co/tjyEiiABlA"
,,,,,,"@rushworth_a @RSSGlasgow1 Thanks for sharing, looks like an interesting talk!"
,,,,,,"@kara_woo I suppose that your mother has already shared this with you 😉 https://t.co/GBjgwHRrHC"
,,,,,,"@Data_Sue_ATX You could start blogging about these things you see or contributing to @rweekly_org https://t.co/UthNUJvfb4 ☺"
,,,,,,"@sad_academic @kierisi created a learning community around the ""R for data science"" book"
,,,,,,"@mdsumner If you want even more feedback open an @rOpenSci pre submission enquiry because this sounds like a good fit to me 😉"
,,,,,,"@omaymas_ it reminds me of your tweets from yesterday ☺ https://t.co/EVbf67pMOb"
,,,,,,"@d4tagirl @_ColinFay @ExpectAPatronum once promised she'd explain how to get a random number by making a cat walk on the keyboard 😀"
,,,,,,"@_ColinFay @d4tagirl Is it your birthday? You don't even use your daughter's birthday?!"
,,,,,,"RT @dirk_sch: A use case for rpicosat ;) https://t.co/YktUlDsBp9 #rstats https://t.co/h5kFj0Mv0X"
,,,,,,"@thomasp85 @svt sounds... interesting :-D is the actor Mads Mikkelsen?"
,,,,,,"@thomasp85 @svt I have no shame watching this one which is clearly for kids ahahah. How are the Danish ones? Is the grown-up one great?"
,,,,,,"RT @frod_san: See thread for very useful #rstats pkgs for data cleaning and validation https://t.co/9W1aHZnAbe"
,,,,,,"Need one single good reason to learn Swedish? 🇸🇪 The lovely tradition of the Sveriges Television's Christmas Calend… https://t.co/882zYzKXDc"
,,,,,,"@privefl @jimhester_ @rctatman Merci, I'll try that"
,,,,,,"@GaborCsardi @jimhester_ @rctatman Yep html but thanks!"
,,,,,,"@jimhester_ @rctatman results='asis' isn't pretty"
,,,,,,"@OmaymaS_ wise woman"
,,,,,,"@jimhester_ @rctatman how do you present the results of #rstats available::available in a RMarkdown (xaringan) pres?"
,,,,,,"@londonaesthetik Oh no now I understand your tweet lol"
,,,,,,"@londonaesthetik The purrr package is easier, see this tutorial https://t.co/e8kcAFV2y7"
,,,,,,"@IanPhilipsITS @robinlovelace @ITSLeeds @sustrans @EPSRC Really pretty viz! I 1st thought it was biological stuff under the microscope!"
,,,,,,"RT @RLadiesDC: For your #rstats holiday wish list consideration 🎁🍪https://t.co/dXYEAYXpzK https://t.co/caQu53Czy8"
