NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mchui,8738,2371,"Partner @McKinsey Global Institute (@McKinsey_MGI) leading research on the impact of technology trends. Opinions expressed are my own",369574,113,"@mayoredlee https://t.co/IVrOCNTMpq"
,,,,,,"RT @mayoredlee: As the Fed Gov moves forward with their goal to widen the digital divide, #SF is laying down the ground work to create affo…"
,,,,,,"RT @qhardy: Shape of things to come? Training AI to colorize b&amp;w photos, based on painstaking human work - who really can claim the process…"
,,,,,,"#productivity #automation #competition https://t.co/8XPDOFCLDJ"
,,,,,,"RT @erichorvitz: Well-written @nytimes piece on difficulty w/ explaining machine learning https://t.co/qqh7L7ohWZ  Impt to note that #AI tr…"
,,,,,,"RT @PartnershipAI: #NIPS2017 Attendees:  PAI Open House Sunday 12/3, 6-8pm, Room #103-C, Long Beach Convention Center. Be sure to stop by!…"
,,,,,,"RT @paulmozur: Hypocrisy free zone at Wuzhen. The special wifi here gets us around the Great Firewall. So in China it's only at the World I…"
,,,,,,"RT @hardmaru: You know AI is a bubble when Intel invites Flo Rida to perform at their NIPS party https://t.co/Psyqlt8vcl"
,,,,,,"RT @nytimes: What share of people would actually get a tax cut? Here's an answer for the rich, middle class and poor. https://t.co/0RQLtZe4…"
,,,,,,"RT @TGlobePost: Citing Sovereignty and 'America First' Policy, the U.S. Withdraws from Global Pact that Upholds Rights of Refugees https://…"
,,,,,,"RT @sarahkliff: Tax reform looks near identical to skinny repeal when you look at coverage loss.

And remember, Sen. Lindsey Graham called…"
,,,,,,"#AITalentWars https://t.co/jYQ9duRkRC"
,,,,,,"Via @Liz_in_Shanghai @joshchin Companies including @AlibabaGroup @QQTencent @Baidu_Inc are required to help China’s… https://t.co/8WuBKAacXH"
,,,,,,"RT @guy_levin: Much reporting about automation misses the key point - @McKinsey_MGI also forecast work creation that can offset displacemen…"
,,,,,,"RT @GabelKaty: https://t.co/l47Ue4yHPf"
,,,,,,"RT @DigitalMcKinsey: New from @SusanLund_DC @mchui @ryanko @JonathanWoetzel @parul_batra  James Manyika and Saurabh Sanghvi: What the futur…"
,,,,,,"RT @thesuniljain: Robots/AI threat 2 existing jobs probably just as much as automobiles/computers were in the past says @McKinsey_MGI May e…"
,,,,,,"RT @McKinsey_MGI: ""We talk about lifelong #learning, but in the next five to 10 years, we’ve actually got to make that a reality—it will re…"
,,,,,,"RT @SteeleAndUngar: .@McKinsey_MGI's @mchui on mitigating the coming wave of automation - ""How do we continue to re-train people in the mid…"
,,,,,,"RT @GabelKaty: In other words: bring back @Google Reader"
,,,,,,"RT @volkuleshov: I love this chart from the AI index report. You clearly see the peak of 80's AI hype and its slow drop-off. We seem to hav…"
,,,,,,"RT @dpatil: This is insane. Price of insulin prescription doubled between 2012 and 2016
In Maine it will cost you $865 per prescription. An…"
,,,,,,"RT @EricHolthaus: This is important. Cities may not listen to scientists, but they'll listen to the banks. Bond markets are quite possibly…"
,,,,,,"RT @McKinsey_MGI: There will be plenty of jobs in the future: You just won’t be able to do them 
@CFair1 https://t.co/LBK6rtEWOA"
,,,,,,"#Science! https://t.co/TB1Ue7dldX"
,,,,,,"RT @SusanLund_DC: #Automation may replace millions of #jobs in the next decade. Managing the transition for workers will be the critical ch…"
,,,,,,"#AI #explainability https://t.co/XHM9AOFSt7"
,,,,,,"RT @McKinsey_MGI: In a world where the role and meaning of work is vastly different, how can we prepare today? Share your thoughts with #ne…"
,,,,,,"RT @Lenny_Mendonca: “”It's a Marshall Plan size of task,"" @mchui , lead author of the @McKinsey_MGI report”. 

Exactly right and we’ve done…"
,,,,,,"RT @WhitneyZim: Retraining and labor mobility are two of the top societal issues of the next two decades.

Find and eliminate friction, und…"
,,,,,,"RT @ChurchillClub: Up to 30% of hours worked globally could be automated by 2030 in an early automation adoption scenario, comments @mchui…"
,,,,,,"RT @McKinsey_MGI: We have to think far more boldly about what we do in this age of technological change and how to ensure it benefits every…"
,,,,,,"RT @McKinsey_MGI: @ZoeBairdMarkle The potential for creating businesses that enable people to compete on skills rather than degrees is enor…"
,,,,,,"RT @timoreilly: New @mckinsey report says it all: Rising consumer income is the largest source of job creation. So why are we optimizing fo…"
,,,,,,"Via @stevelevine ""The economy of most countries will eventually replace the lost jobs, the study says, but many of… https://t.co/s6FuWCl72X"
,,,,,,"RT @MuhammadLila: Remember the Afghan Girl's robotics team that was initially denied entry to the US?  They just won the biggest robotics f…"
,,,,,,"RT @McKinsey_MGI: @mchui: Up to 30% of hours worked globally could be automated by 2030 but will vary greatly by country and by what action…"
,,,,,,"RT @McKinsey_MGI: “Technology will change everyone’s job going forward.” @Mchui emphasizes investing in people in age of #automation https:…"
,,,,,,"RT @Lenny_Mendonca: Fascinating discussion on jobs outlook in the #newworldofwork @McKinsey_MGI @mchui @ChurchillClub https://t.co/U7NDn8eO…"
,,,,,,"RT @AndrewYNg: The Wall Street Journal just joined the debate on whether radiologists should worry about their jobs. @greg_ip https://t.co/…"
,,,,,,"RT @AAubrecht: Always appreciate insights from @McKinsey_MGI. @mchui introducing #newworldofwork.  Thank you #ChurchhillClub for hosting! h…"
,,,,,,"RT @Gizmodo: Study estimates that Pokémon GO has caused more than 100,000 traffic accidents
https://t.co/ZyY04qagpG https://t.co/dn6PmMalR7"
,,,,,,"RT @AndrewYNg: Here's our full paper on improving palliative care with deep learning. Neural net with 18 hidden layers inputs EHR, estimate…"
,,,,,,"RT @chr1sa: The last two ""AI"" company pitches I got were literally using the standard @TensorFlow demos, unmodified.  Are there any VCs out…"
,,,,,,"RT @mims: The 6 Laws of Technology Everyone Should Know https://t.co/Qt1Y3Z9wZS"
,,,,,,"RT @StanfordLaw: Can 3-D printed “mini organs” test our drugs? SLS’s @HankGreelyLSJU explains the skepticism some may have of the research…"
,,,,,,"RT @Techmeme: YouTube says it has terminated 270+ accounts, taken down 150K+ videos, removed ads from ~2M videos over past week as it purge…"
,,,,,,"RT @zacharylipton: Good enough to get a grad degree at Stanford and an offer at Google but not good enough to get an H1B. What happened to…"
,,,,,,"RT @ManhattanInst: Four cities account for 52% of U.S. venture capital investment. https://t.co/NvZP4Q0dWq via @urbanophile https://t.co/I9…"
,,,,,,"RT @mims: So there is a company in China that does nothing but clone LEGO sets https://t.co/lVHNOsm7bi"
,,,,,,"RT @greg_ip: Two views on AI and radiology, by @EricTopol (I wrote about this here: https://t.co/UKflkFUVSi) https://t.co/ETo16mzG7S"
,,,,,,"RT @barrysilbert: UPDATED:
Bitcoin market cap ($150 billion) as a percent of gold in circulation ($7.5 trillion) = 2% https://t.co/FmsfpSXt…"
,,,,,,"RT @eashman: AWS has announced new PDP-11 instances. Useful for airlines and Motor Vehicles departments looking to move to the cloud withou…"
,,,,,,"RT @LexisNexis: Bar Exam Question for the Year 2030: “If a robot kills, is it murder or product liability?” https://t.co/N6ji58hQKY via @sl…"
,,,,,,"#SmartCities #opendata https://t.co/zWHSPdvxut"
,,,,,,"Via @collinskeith Since the beginning of 2017, @Android phones have been collecting the addresses of nearby cellula… https://t.co/vX1jAimgYO"
,,,,,,"Via @StephenNellis Research by @Apple on self-driving cars has been posted @arxiv, in what appears to be the compan… https://t.co/9388AdJ0sW"
,,,,,,"Via @EmilyZFeng #China has set aside Rmb100bn ($15bn) to fund labour #retraining efforts and early retirement progr… https://t.co/UmnVv0i10T"
,,,,,,"RT @Miles_Brundage: Interesting twist on the US/China AI situation is that unlike American companies, Alibaba* continues to publish AI pape…"
,,,,,,"RT @mims: the internet was supposed to democratize communication and it did, turns out what a lot of people like to communicate about is ha…"
,,,,,,"RT @GHideas: Business schools now getting in on  #datascience, machine learning w 1 yr tech MBAs https://t.co/psO04eWKXN #AI #education #bi…"
,,,,,,"RT @greenfield64: This is an extraordinary cry of despair, especially given Gen. Hayden’s career and staunchly conservative views. https://…"
,,,,,,"RT @isegev: Artificial intelligence in business: Separating the real from the hype https://t.co/gI3OZYKnQ0 via @McKinsey"
,,,,,,"RT @AndrewYNg: AI/robotics are technologies, and are different from food/drugs/... which are industries. We need new regulations for food/d…"
,,,,,,"RT @WIRED: Move fast and build (physical) things https://t.co/M2sKKwCO63"
,,,,,,"RT @WIRED: Uber paid a $100,000 ransom to its hackers to keep the breach quiet https://t.co/pWsiH9GbXK"
,,,,,,"RT @nxthompson: Actual human commenters are 99% in favor of keeping net neutrality. Fraudulent bots, however, side with the head of the FCC…"
