NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mic,187114,13448,,29108,48800,"RT @AlexfromPhilly: Real Housewives just can't stop with transphobia and homophobia... Hoping @Andy goes in during the reunion. Last year,…"
,,,,,,"Report: Operative with NRA ties offered Trump campaign “Kremlin Connection,” meeting with Putin… https://t.co/mfdOFwVrR7"
,,,,,,"Lots of Trump tweets this morning. Here's what they all mean. https://t.co/4ymUnqXIzX https://t.co/obv3Sc77Ej"
,,,,,,"This week in Trump-Russia news: Well, that escalated quickly, didn’t it? https://t.co/Gb8xRksFxE https://t.co/y9Z4rUkMk1"
,,,,,,"Trump’s tweet about Michael Flynn may have changed what we thought we knew about the entire chain of events. Here's… https://t.co/Q8lrpiv6GF"
,,,,,,"Here’s an idea: How about making women the face of the Oscars? https://t.co/K0L1vfIC5V https://t.co/pvnWoQmvgM"
,,,,,,"While you weren’t looking: 5 things Trump’s Cabinet did this week while everyone focused on taxes… https://t.co/I6jAOKPf6l"
,,,,,,"You might see Bill Murray at this Charleston neighborhood shop — he’s a regular, and there's even a dish named afte… https://t.co/QojH5b2mgL"
,,,,,,"In Maine, Susan Collins’ “yes” vote on tax plan brings devastation https://t.co/LRC1ajVCo6 https://t.co/STO5sOwLF4"
,,,,,,"Trump “very happy” after Flynn plea: “There’s been absolutely no collusion.” https://t.co/dzOZeZ7M24"
,,,,,,"The Senate has passed its sweeping tax reform bill. Here are 5 key ways the plan will affect you… https://t.co/3daajdDFZQ"
,,,,,,"Congressman: Kushner’s security clearance should be revoked over Flynn Russia contacts https://t.co/v1MB5kZ9xC https://t.co/4cWumv4vCv"
,,,,,,"In the wake of recent mass shootings, pro-gun legislation is still making its way through Congress… https://t.co/b7adjj8K35"
,,,,,,"BREAKING: The Senate has passed the Republican tax plan. It will increase the deficit by $1.4 trillion and slash th… https://t.co/ZckQ5K1AU2"
,,,,,,"Neo-Nazi wealth is rapidly growing. Why? Bitcoin https://t.co/uh0T7Mp8bn https://t.co/rgbCh52Ra4"
,,,,,,"What Melania Trump wore her 45th week as first lady — to the Christmas Tree lighting and more… https://t.co/Ot87PI3xTp"
,,,,,,"RT @JackSmithIV: @bambenek By far the most bitcoin rich neo-Nazi is weev, who took in thousands upon thousands in profit even as he withdre…"
,,,,,,"RT @JackSmithIV: We tabulated the data from a bot designed by @bambenek, whose next project is trying to chart the possible network of dono…"
,,,,,,"RT @JackSmithIV: In the case of Counter-Current, publisher of books like ""White Nationalist's Guide to the Movies,"" simply holding a balanc…"
,,,,,,"RT @JackSmithIV: White nationalists are turning toward bitcoin, and it's making them an absolute fortune, often thousands of dollars a day.…"
