NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
missalanawood,633,903,"Designer working at Deepmind. Proud to have worked for ustwo and Moodnotes.",3721,173,"Why no AI yet in Streams? Great explanation by Dom King our clinical lead https://t.co/aAMnSkrH2m"
,,,,,,"RT @DeepMind_Health: Are you a healthcare professional? Want to be involved testing our healthcare app, Streams? If so, sign up here: https…"
,,,,,,https://t.co/IvWzwBCsx2
,,,,,,"RT @DeepMind_Health: Want to know more about Streams and its impact? Here's Sarah Stanley, consultant nurse at The Royal Free: https://t.co…"
,,,,,,"RT @DeepMind_Health: We collaborate closely with healthcare workers to build Streams. We’re looking for professionals to give feedback here…"
,,,,,,"@adamtaylo @dnfisher Follow simply secure in slack or projects by if aka @sarahtgold"
,,,,,,"@in2scienceUK @DeepMindAI What an impressive group of individuals! They asked excellent questions."
,,,,,,"RT @in2scienceUK: @missalanawood talks to #in2scienceUK students about DeepMind design, the importance of #STEM and key team principles of…"
,,,,,,"RT @al_sal: Ever wondered what it's like joining @adaptivelab? Here are some words I wrote on the subject https://t.co/AnfyFdBHD9"
,,,,,,"RT @FCC_UK: .@innovateuk launches new £8m #digitalhealth fund to tackle #NHS challenges. https://t.co/IQUX0jaPhu"
,,,,,,"RT @deliprao: I took responsibility of reviewing the submissions for top 3 positions. This was the cleanest solution by far. https://t.co/I…"
,,,,,,"@jaminriedel kaboom"
,,,,,,"@jaminriedel top 3 in nlp ml competitions 💥👏🙌 https://t.co/oKMEz8BdPC"
,,,,,,"How Britain voted at the 2017 general election https://t.co/bc5EX0bn8B"
,,,,,,"@demgerolemou @Design_Week @ustwo But you are already a star?! :)"
,,,,,,"@b_niranjan Interesting. Were the students working on the official fake news challenge stage 1? https://t.co/NvWvw239FU"
,,,,,,"@_gianpi_ @tranhelen @yujinhan @ayeshamoarif @imcatnoone Thanks @_gianpi_ https://t.co/l2MxqDkS44"
,,,,,,"@martin_stolz @gog3tcreative @nunosans @demgerolemou @beardandspecs @isabellebargh   https://t.co/WuIArwqQa6"
,,,,,,"Contrast @beardandspecs @isabellebargh @gog3tcreative @demgerolemou @nunosans  https://t.co/7WBZ2CFrmE"
,,,,,,"RT @thulme: DeepMind's Streams app is reportedly 'saving NHS nurses two hours a day' (via @ediggs) https://t.co/qz8R07KFJV"
,,,,,,"RT @RCPLondon: In their own words: doctors’ experiences on the NHS frontline #missionhealth https://t.co/7aBNAj4oYC https://t.co/QgNL7z340s"
,,,,,,"RT @mustafasuleymn: Really excited to see the early signs of improved patient care with our app, Streams, being used at @RoyalFreeNHS https…"
,,,,,,"Proud of @Rikkekoblauch on launching Steps: Beat social anxiety with small challenges via @flarup on @ProductHunt https://t.co/VG3r5zYClv"
,,,,,,"RT @flarup: Good people doing good. @Rikkekoblauch &amp; @fabianehlert is working on @thestepsapp to help people overcome anxieties https://t.c…"
,,,,,,"RT @edrickdorian: Wow...can't make this stuff up, folks. ""Already life changing in two weeks..."" @moodnotes #cbtworks https://t.co/8X9GTjNo…"
,,,,,,"RT @richardbranson: Three unlikely starting points for social entrepreneurs https://t.co/hk9XliFth7 https://t.co/yzRq8jZLrI"
,,,,,,"RT @HealthEugene: In Brazil, 9 in 10 doctors use WhatsApp to talk to patients https://t.co/fZmq8Pyl2k via @CityAM #digitalhealth"
,,,,,,"@ylibatsya @gog3tcreative he would win any contest hands down https://t.co/4KmJf9QaVZ"
,,,,,,"Congratulations @ctrlgrp on launching this awesome platform https://t.co/yHoryScnCe"
,,,,,,"RT @tritanco: Take a look at the Top VCs in mobile. @kpcb coming in at #1 https://t.co/Qbl0GLBIkW #startup #venturecapital #vc https://t.co…"
,,,,,,"RT @AliRogan: .@mustafasuleymn #kfdigital16 we want to employ tech in real time to do better prediction and intervention. https://t.co/0SxI…"
