NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mo_brouillette,777,444,"Science journalist. Tweeting about health, science and more. Bylines: @sciam @newscientist, @techreview, @scienceNOW #binders",339900,149,"Some great context on how the left is becoming the right in terms of free speech...https://t.co/ob6N7mTZrF"
,,,,,,"RT @greenfield64: Okay, I get that the Trump-NFL fight gets tons of coverage, but why Puerto Rico is not THE massive focus of the media now…"
,,,,,,"Plant people, can you name this plant? https://t.co/Aqj69xmxVU"
,,,,,,"Amazing story @emilylmullin about a company that can transfer DNA from older infertile women into younger women's e… https://t.co/jfxwaorxX6"
,,,,,,"Thanks @teamrework! https://t.co/T7x1AowFFl"
,,,,,,"Future of healthcare is digital &amp; not FDA approved https://t.co/NARwyxudaJ But I wonder if standards are lower for software ""devices""?@edans"
,,,,,,"@AChang007 thinks the most exciting 25 years of medicine are coming up thanks to new exciting technologies #AI #deeplearning #reworkHEALTH"
,,,,,,"One day you may not want to go to a doctor that doesn't use AI as a decision support tool #reworkHEALTH #AI #deeplearning"
,,,,,,"Wrapping up the deep learning health care summit #reworkdl learning how AI will fit into healthcare#AI #deeplearning https://t.co/PTnJwqdMD5"
,,,,,,"Here's what Republicans would do if they were being honest about preexisting conditions - Business Insider https://t.co/NtSrv0DHff"
,,,,,,"RT @biotweeps: #Finfact: In fact, RAYS also leap out of the water! It's not 100% known why they do this. https://t.co/IbyhsOnPHD"
,,,,,,"@emilylmullin Congratulations! Have a wonderful time... bio news can wait!"
,,,,,,"@ExponentialView @azeem thanks for reading!"
,,,,,,"RT @ilparone: ""In the case of black-box medicine, doctors can’t know what is going on because nobody does"" https://t.co/Xb5X6WXS5c by @mo_b…"
,,,,,,"Meteorites can tell us about the solar system's beginnings...if we can find them https://t.co/TynulFNU4k... fascinating read by @sophurky"
,,,,,,"RT @markpun: #DeepLearning Is a #BlackBox, but #HealthCare Won’t Mind
by @mo_brouillette
#Agorithms to #diagnose #disease as #acc…https://t…"
,,,,,,"RT @GoatsThatStare: Scientists have worked out how dung beetles use the Milky Way to hold their course
https://t.co/0DncQOPLDy https://t.co…"
,,,,,,"March for Science is On!! Following live blogging from @statnews here https://t.co/8t4rs5Jgcj"
,,,,,,"Canyonlands National Park! #desertlife #solitudeisbliss #naturelove https://t.co/LNOp6EaFkX"
,,,,,,"#newspaperrock National Monument in Utah. Headline (circa 17AD) reads: area man invents wheel… https://t.co/j9ItKCnn31"
,,,,,,"How did water get so cheap? IT ISN'T!! Check out my fellow @ijnr_connect fellow @davidbschultz dispell the myth: https://t.co/2DY2ja4ODE"
,,,,,,"Lake Erie is angry this morning #INJR_H2O https://t.co/1VVz2EhNpi"
,,,,,,"RT @RinaWrites: Ugh, the myth of #vaccine damage rears its ugly head again - on InfoWars. Disturbing story by@juliaoftoronto https://t.co/l…"
,,,,,,"RT @ElleSacc: It feels like Friday but it's only Thursday, EXPLAIN THAT, SCIENCE."
,,,,,,"RT @NidhiSubs: In Flint, MI, this morning, where the streets are still #ijnr_h2o https://t.co/epp7bDilPE"
,,,,,,"Getting the 411 on bottled water in Ontario...activists say water is scarce, Nestle disagrees, lack of data persists https://t.co/XmWlNHtxT5"
,,,,,,"RT @adamhint: Joan Rose, @michiganstateu - only 30% of Americans know where their drinking water comes from, 5% where wastewater goes #ijnr…"
,,,,,,"Today in Flint the work continues replacing corroded lead pipes...18,000 to replace in all #FlintWaterCrisis https://t.co/ptCK2aJKf4"
,,,,,,"@AngieMcWriter yes! Packing extra hand sanitizer :)"
,,,,,,"Packing for my journalism fellowship about drinking water... what does one wear for a tour of the sewer system under the city of Cleveland?"
,,,,,,"RT @Noahpinion: I swear to God, the sight of people with deadly diseases crowdfunding their health care is the most dystopian thing about A…"
,,,,,,"RT @realavivahr: ""And what balloon animal do you want, little girl?"" https://t.co/a0ODRheSUI"
,,,,,,"@REhrenberg thanks for reading"
,,,,,,"RT @REhrenberg: Researchers scour #herbarium specimens to make perfumes w scents of extinct plants https://t.co/iottJZYhXY by @mo_brouillet…"
,,,,,,"RT @BatichiKristen: I always forget conch snails have the best eyeballs. They don't even look real. https://t.co/nUNYZ3T5Ag"
,,,,,,"RT @DanBarryNYT: Spontaneous human combustion happens all the time; it's just not widely reported: ""Lawyer’s pants erupt in flames""  https:…"
,,,,,,"RT @liviecampbell: But did you see the newborn otter twins?! @OliviaMesser https://t.co/joH8Myyhm0"
,,,,,,"RT @HillaryClinton: On #InternationalWomensDay I'm thinking about this young girl, &amp; all the others like her out there. 💪✨ https://t.co/u1f…"
,,,,,,"RT @HalfOnionInABag: Obamacare vs. GOP replacement https://t.co/cD3MRRl9WL"
,,,,,,"I've never had a goat show up at my front door before! But this morning I got two?? https://t.co/ttzD7uVffK"
,,,,,,"RT @davidgross_man: Imagine if u honestly uncovered a Watergate-level scandal abt yr own presidency, but then 30 min later got bored &amp; star…"
,,,,,,"Thank you @kristenvbrown for this thoughtful piece debunking Trump's bogus claims about the FDA https://t.co/59jAh52Uvu"
,,,,,,"Our brains have to critical periods during which emotional trauma can do lifelong harm @vivian_giang https://t.co/d6OV0uyYtj"
,,,,,,"Thanks @emilylmullin for this fascinating read about a mind-reading device can help those with debilitating strokes https://t.co/aoPNknvXTh"
,,,,,,"RT @RogueNASA: This man is a hero. https://t.co/hNPsclEObg"
,,,,,,"RT @VicenteFoxQue: Donald, don't be self-indulgent. Mexico has spoken, we will never ever pay for the #FuckingWall. https://t.co/a79WDY5vlv"
,,,,,,"RT @SenJohnMcCain: .@POTUS can sign whatever executive orders he likes, but the law is the law - we're not bringing back torture https://t.…"
,,,,,,"RT @shawnigan1: Canada almost fell on this same sword with Harper as PM.
Do everything you can to fight this censorship! https://t.co/9yd36…"
,,,,,,"RIP Mary Tyler Moore https://t.co/7xEBlBqB0o"
,,,,,,"Nice words by @DanBarryNYT and a reminder that ""that a country riven by dissent can come together. It has before."" https://t.co/zbftSvuABW"
,,,,,,"RT @ScienceMarchDC: Are scientists going to march on Washington? Yes we are! https://t.co/9MzZVgiQ7Q"
,,,,,,"The latest in the war on truth and science ... https://t.co/thsC4GrdOq #standupforscience"
,,,,,,"RT @LDMay: This guy has it straight! #WomensMarchOnWashington https://t.co/Mi9Jgc8H7Q"
,,,,,,"RT @A_single_bear: Fact: I am a bear.

Alternative fact: I am not a bear.

(I am a bear.)"
,,,,,,"RT @thenoahkinsey: So I was planning to boycott 3 Doors Down for playing Trump's inauguration, but then I realized I'd already been boycott…"
,,,,,,"RT @googergieger: Winner! https://t.co/mXUb57PUY7"
,,,,,,"RT @BettyFckinWhite: Do we hear which of the 12 Districts we're in on January 20th?"
,,,,,,"RT @qikipedia: The world's smallest bat, the bumble bee bat, weighs just a bit more than a paper clip. https://t.co/2Q16hYQVpw"
,,,,,,"RT @chimpaparazzi: Can #data transparency improve #primate #welfare? @sciam @mo_brouillette @ChimpHaven #science #research #OpenData 🐵 http…"
,,,,,,"When I'm not procrastinating by reading fake news I'm reading this... it's damn good! https://t.co/VownEupWpb"
,,,,,,"yes https://t.co/PSp7eDjw2D"
,,,,,,"Cool https://t.co/D7oqE3npK7"
