NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mxlearn,22635,4,"/r/MachineLearning: Research, News, Discussions, Software @ Machine Learning, Data Mining, Text Processing, Information Retrieval, Search Computing and alike",1057,1642,"[P] Convolutional Neural Networks for Sentence Classification(TextCNN) implements by Tensorflow 1.4 https://t.co/poaV75qaf4"
,,,,,,"[P] ICLR OpenReview Explorer: Sort/filter papers by average review score (plus some pretty charts) https://t.co/o28eI4mghY"
,,,,,,"[D] Nepotism in ML https://t.co/Sq7plIUoTS"
,,,,,,"[D] PC build for ML Research https://t.co/21TRFTNbdW"
,,,,,,"[P] Essential Guide to keep up with AI/ML/CV https://t.co/6i5FDb2t6V"
,,,,,,"[P] What is Natural Language Processing? Get started https://t.co/iXiQSPlZsp"
,,,,,,"[P] TopoSketch https://t.co/3JZMgMySlZ"
,,,,,,"[D] Training a multi-class image classifier https://t.co/FY49D95sVU"
,,,,,,"[D] What is the most significant thing you've learned in the past month ? https://t.co/beoK7oeHQK"
,,,,,,"[P] TOROS N2 - lightweight approximate Nearest Neighbor library which runs faster even with large datasets https://t.co/7bTsAaE7PK"
,,,,,,"[P] Remember the agent that mastered Lunar Lander? It learned to win Atari Pong without CNN, in one day, on CPU in… https://t.co/AFOcpHArQ4"
,,,,,,"[R] Learning to Learn without Gradient Descent by Gradient Descent https://t.co/kPSmaUjQqE"
,,,,,,"[P] Keras text classification library https://t.co/JFwNgoZL4m"
,,,,,,"[R] Neural Motifs: Scene Graph Parsing with Global Context https://t.co/XdIj711BhS"
,,,,,,"[R] Embodied Question Answering - a dataset of grounded questions, end-to-end-trained reinforcement learning agents… https://t.co/uWMxeaEGAx"
,,,,,,"[N] Google, Amazon Are Offering AI/ML Consulting Services https://t.co/ACLKlmG6yG"
,,,,,,"[D] The ML Stack at Windfall Data https://t.co/BAQQCNitQH"
,,,,,,"[D] Attention mechanisms on bounding box in images for feature extraction https://t.co/Ea8ZgF6yRQ"
,,,,,,"Is there a way to input specto-temporal data into a self organized map in Python/Tensoflow? [Project] https://t.co/6csc1KDh82"
,,,,,,"[D] Looking for papers on treating regression as classification vs. just regression https://t.co/I1VaLAvtht"
,,,,,,"[D] The reasons why reparameterization trick has lower variance than REINFORCE? https://t.co/yDf9w4H81F"
,,,,,,"[R] Relation Networks for Object Detection (a fully end-to-end object detector) https://t.co/mbZWrs1K6B"
,,,,,,"[P] My implementations of neural algorithms - multilayer perceptron, neural gas, Kohonen SOM https://t.co/xEZBKu2gpo"
,,,,,,"[N] AWS Lambda to support Go https://t.co/KnFc4ngJKV"
,,,,,,"[R] Neural Text Generation: A Practical Guide (best practices for Seq2Seq models) https://t.co/4cyUibJXW5"
,,,,,,"[P] Receptive field estimation for Keras and Tensorflow https://t.co/fjb3jCFL5u"
,,,,,,"[R] Model-based Reinforcement Learning with Neural Network Dynamics https://t.co/LPjgm7Sc5O"
,,,,,,"[N] Announcing the AIY Projects Vision Kit (X-Post /r/RaspberryPi) https://t.co/sbwH7j3ref"
,,,,,,"[R] The impact of mutation on genetic algorithm https://t.co/g3tZm8pLWA"
,,,,,,"[R] Analyzing 1000+ Greek Wines With Python https://t.co/2Mo6bhwkzn"
,,,,,,"[P] My first blog post: a summary of ""First-order Methods Almost Always Avoid Saddle Points"" https://t.co/HHpEBxlNVU"
,,,,,,"[P] Deep Learning Framework Benchmarks https://t.co/yovBp8Jb0D"
,,,,,,"[D] Weighing softmax predictions based on the validation set confusion matrix, does it make sense? https://t.co/SbP1z4JDpw"
,,,,,,"[R] From Imitation to Prediction, Data Compression vs Recurrent Neural Networks for Natural Language Processing. https://t.co/0l3LaLTB4Y"
,,,,,,"[R] Clustering of Time Series Subsequences is Meaningless: Implications for Previous and Future Research https://t.co/cul46iw275"
,,,,,,"[D] Does machine learning with a GeForce GTX GPU in a Linux virtual machine work? https://t.co/x7xjQep0gX"
,,,,,,"[D] Glossary: Machine Learning Terminology For Beginners https://t.co/xDy905AKs1"
,,,,,,"[D] Is there an AI that outputs music in the style of a target composer? https://t.co/kRsen4J4NN"
,,,,,,"[P] Dynamic Routing Between Capsules - full PyTorch implementation with visualizations https://t.co/Ge78nIVruK"
,,,,,,"[R] [1711.08920] SplineCNN: Fast Geometric Deep Learning with Continuous B-Spline Kernels https://t.co/F6xNDY2kSh"
,,,,,,"[P] Glance at Reinforcement Learning - Introductory Course https://t.co/jgsCrJIiCF"
,,,,,,"[R] Learning to Segment Every Thing https://t.co/pxJbEuMTJ4"
,,,,,,"[D] Probability assessment for the output node https://t.co/godkrjNQ6w"
,,,,,,"[N] Publicly available fMoW baseline code still in top 3 ($100k prize purse) -- ~1 month left https://t.co/MJIMAsf9oP"
,,,,,,"[D] Dress code at NIPS? https://t.co/nE2MhhkG0Q"
,,,,,,"[R] DeepMind Pycolab: A highly-customisable gridworld game engine https://t.co/jcgkLRDEzG"
,,,,,,"[P] Mixture Density Networks https://t.co/ZAxLyGBCVU"
,,,,,,"[R] Specifying AI safety problems in simple environments | DeepMind https://t.co/lf7gZ1wh8b"
,,,,,,"[R] Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples https://t.co/OmIc99BpD9"
,,,,,,"[D] Pros and Cons between Malmo and DeepMind Lab ? https://t.co/rdo40ZE8MY"
,,,,,,"[P] Looking for a co-author to write a GAN book https://t.co/6DBZKTSqtD"
,,,,,,"[R] CondenseNet: An Efficient DenseNet using Learned Group Convolutions https://t.co/GHk5cxQXRb"
,,,,,,"[R] Binary Logical Networks, a fundamentally different approach to backpropagation (Work in Progress, essential cod… https://t.co/yM9g0JHHwv"
,,,,,,"[R] On the Impossibility of Supersized Machines https://t.co/FcJ9e47PIb"
,,,,,,"[P] download and preprocess VOC dataset with 1 line of code. https://t.co/m765FgBpmw"
,,,,,,"[R] [1711.08646] IVE-GAN: Invariant Encoding Generative Adversarial Networks https://t.co/5CgLUz02yd"
,,,,,,"[D] What are the openly available courses/videos on online learning https://t.co/WgUKq4nNjz"
,,,,,,"[P] Finding Magic: The Gathering archetypes with Latent Dirichlet Allocation https://t.co/ATI8YclJk8"
,,,,,,"[R] Dataset with audio of voice and labeled ""important"" sections https://t.co/NgPgCIfrBf"
,,,,,,"[D] elon musk posted fearmongering/overhype AI tweets again (－‸ლ) ; how can we keep him from spouting fake news… https://t.co/qSrICfgkcN"
,,,,,,"[P] Autodiff library in ~50 lines of code https://t.co/C4JhqrDcWI"
,,,,,,"[D] Multiple sequence prediction (LSTM) https://t.co/e2Ode4EI1L"
,,,,,,"[R] StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation https://t.co/v4s2Kl4vvm"
,,,,,,"[D] Anyone else out there applying to graduate school for Machine Learning right now? (year two) https://t.co/YTQK6f5Cyg"
,,,,,,"[D] Why do we use gumbel softmax instead of simple softmax for discrete cases? https://t.co/iCZEuiEgBU"
,,,,,,"[P] Parametric tSNE implemented in Python using Tensorflow https://t.co/PKPRQeQn66"
,,,,,,"[P] OSQP: a new first-order solver for large-scale quadratic programs https://t.co/nK1Wqhd954"
,,,,,,"[Project] Python: Building and Simulating a Password Hack!! https://t.co/ein7FpLpFB"
,,,,,,"[P] Crayon: A framework for using Tensorboard with a RESTful API in any language https://t.co/Bnb0uPSyRH"
,,,,,,"[D] What is the best method for sentence classification that has full of short text? I tried attention on top of LS… https://t.co/xnLr8maueU"
,,,,,,"[D] How does posterior collapse in VAEs happen? https://t.co/NSujvEdb7z"
