NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
nathanieldaw,1798,504,"Neuroscience prof. But I think Twitter is an absurd platform for professional communication; thus I strive to use it thoroughly unprofessionally.",18738,1113,"Every time the other Nathaniel Daw tweets I have this weird moment of dissonance and confusion. Glory to the empire… https://t.co/5iwU0tJlpU"
,,,,,,"@psychNerdJae @leorhackel @michaelJAwohl @jayvanbavel This article is yet more evidence for my transracial Szechuan identity."
,,,,,,"@arossotto like you needed showing."
,,,,,,"RT @behrenstimb: This is an amazing opportunity for Early Career Researchers. UCL is an awesome place to do neuroscience and @WTCN_UCL is a…"
,,,,,,"I just want to note that all universal New Yorker cartoon captions known to science also work with this photo. To w… https://t.co/lmK6xK2ruG"
,,,,,,"Our (@marcelomattar's) new theory of which decision computations to do when, explains place cell replay and model-b… https://t.co/MrIx7sadR3"
,,,,,,"@ItsNeuronal @jpillowtime @BaselessPursuit My experience has been in line with the hype: 10-20x speedup over reason… https://t.co/0FkSBXc7KP"
,,,,,,"@BaselessPursuit @jpillowtime Of course compiler can't know big picture meaning. But well designed language (not Ma… https://t.co/7zNaBLTkoO"
,,,,,,"@BaselessPursuit @jpillowtime Not mutually exclusive of course. Much as I'd love for technology to put Jonathan out… https://t.co/Ww1u3sv1dn"
,,,,,,"@jpillowtime Next time you want to speed something up 10x, just run it in Julia instead of Matlab."
,,,,,,"I got the same call, but I found the Nigerian accent and the request for my social security number awfully suspicio… https://t.co/7DYSz3MVy1"
,,,,,,"@jpillowtime That kind of un-American talk might have been tolerated under the Osama administration, Pillow. But th… https://t.co/Br10J1Zajd"
,,,,,,"@todd_gureckis @arossotto What do I look like? A copy editor?"
,,,,,,"@todd_gureckis Busted!"
,,,,,,"@CFCamerer @BW What a classic example of loss aversion / sunk cost / etc. Perfect for teaching, sad for company."
,,,,,,"@arossotto Your prediction is preregistered and timestamped."
