NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
neilhimself,2676057,3899,"will eventually grow up and get a real job. Until then, will keep making things up and writing them down.",227582,49346,"For Sandman, either start with Preludes and Nocturnes, or with vol 1 of the Absolute Sandman or vol 1 of the Sandma… https://t.co/GDdaQHN2kO"
,,,,,,"You are welcome! https://t.co/xD9qyEvI43"
,,,,,,"@roganhamby @inannamute No, I misunderstood the ""branching left and right"" in the previous tweet, and have had so m… https://t.co/2tupSXLz3v"
,,,,,,"@WalkerABQ @gothytim @RealGDT @actordougjones I haven't seen the Blade Runner film. But if you aren't seeing The Sh… https://t.co/40Q4x5H7k1"
,,,,,,"Excellent. I'm glad they are being found and loved. https://t.co/xF46fojzsA"
,,,,,,"RT @MarcelvanDriel: @neilhimself This was in a Dutch newspaper this week (you may want to refresh your Dutch a bit :)) https://t.co/XPiMwEb…"
,,,,,,"@inannamute @roganhamby Start reading Sandman top left to right, then down the page ending at bottom right. Scan ea… https://t.co/DArv3JmgpO"
,,,,,,"@epiktistes I don't know. I never got to read it the first time."
,,,,,,"I'm sorry you had to sell them but so happy they helped when you needed them. https://t.co/OS382g57Pt"
,,,,,,"@TeachMeJordan Yes, I won't. I've been making GOOD OMENS, which has taken all my scriptwriting time."
,,,,,,"You should do. I'm just glad that it still stands up, 30 years after I wrote the first issue. https://t.co/A1u1TypGlu"
,,,,,,"RT @james_shields: @neilhimself As Gene Wolfe once wrote... https://t.co/AVe8x07mfg"
,,,,,,"RT @MeasurelessLiar: I've been on this @GreyhoundBus for three hours, am about to miss my connection to Philadelphia due to the driver bein…"
,,,,,,"@Jstn9 Nope. Just the names of all the people who made what you saw going past."
,,,,,,"I'm glad. I hope SANDMAN is something that changes as you age and change yourself. https://t.co/ua4XzDPcWW"
,,,,,,"@SusiB348 @WHSmith not yet."
,,,,,,"@ThatHellblazer @sanarose @RealGDT @actordougjones alas."
,,,,,,"RT @MJMcKean: @neilhimself Raindrops, clearly."
,,,,,,"It really is. https://t.co/wUAbOtztk9"
,,,,,,"RT @destructo9000: The Shape Of Water is utterly beautiful. Amelie meets The Creature From The Black Lagoon in the world of Gillian's Brazi…"
,,,,,,"@alfonsocuaron It was so beautiful, so moving, so wise."
,,,,,,"@ramriot Nope."
,,,,,,"I don't stealth-sign a lot on Railway Stations, but the main @WHSmith on Victoria station now has its books by me,… https://t.co/vsmZRojyo8"
,,,,,,"@svikashk The Graveyard Book?"
,,,,,,"@Roze_Wild @LuciferonFOX He's from SANDMAN."
,,,,,,"@thievesguildbiz buyyyyy itttttt"
,,,,,,"RT @uizuro: On my way home from @TokyoComicCon. Picked up my commission from @davidmackkabuki and guys... I’m blown away. I requested Door,…"
,,,,,,"RT @edpimenta: A different take on Anansi tales from @neilhimself 's. Very much worth reading, I mean, listening. https://t.co/lOYLpT5iqH"
,,,,,,"RT @BBCRadio4: Anansi Boys by @Neilhimself . Coming to Radio 4 this Christmas. See the cast here: https://t.co/imIPTg311C https://t.co/XOZf…"
,,,,,,"@KalleBalikblek Gran."
,,,,,,"RT @MargreetdeHeer: When asked about a life-changing work of art, I answered: Sandman, and explained how @neilhimself's Lucifer lured me fr…"
,,,,,,"Also, pro-Tip: if you sit and watch all the credits at the end of THE SHAPE OF WATER it gives you time to compose y… https://t.co/FDz1HqTlF2"
,,,,,,"This morning I saw THE SHAPE OF WATER. It is definitely my movie of the year. I need to live longer before I decide… https://t.co/TD3eMwPdKz"
,,,,,,"RT @joshgroban: WHY DIDNT ANYONE TELL ME IT WAS WORLD WOMBAT DAY good god I love these little monsters https://t.co/cLKIzbR1AO"
,,,,,,"RT @Refugees: The refugee orchestra is more than a performance - it's proof of the talent refugees can share with their new homes. https://…"
,,,,,,"RT @guardianculture: Library closures mean lonely people will be left out in the cold this Christmas time https://t.co/A6cjF1gn0L"
,,,,,,"@PVBuk How you say it."
