NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
neiltyson,10499999,0,Astrophysicist,1430064,5164743,"Last one…

The Super Moon will fit easily in the field of view through a simple drinking straw. Try it."
,,,,,,"And another?

For the Super Moon to look big in a picture requires a substantial telephoto lens. Try one with just… https://t.co/6ijZbprwSd"
,,,,,,"Want another?

This month's “Super Moon” is 1% brighter than last month’s non-Super Moon."
,,,,,,"if a 16.1 inch pizza is “super"" to you, compared with a 16.0 inch pizza, then we have an issue of vocabulary.."
,,,,,,"If last month’s Full Moon were a 16.0 inch pizza, then this month’s “Super” Moon would be 16.1 inches.  I’m just saying."
,,,,,,"FYI: The very concept of a Super Moon is an embarrassment to everything else we call super:  Supernova, Supercollid… https://t.co/BAsNbeorTV"
,,,,,,"JUST POSTED: Explore #Artemis on @StarTalkRadio w/ @AndyWeirAuthor (Author of The Martian) On @ApplePodcasts &amp;… https://t.co/h8hd349fz0"
,,,,,,"@abnormalreturns Do you know my Mother?  She says the same thing."
,,,,,,"Likely half of all cave people died by age 12 from now-preventable causes. Insight not lost on the @NewYorker's Ale… https://t.co/cxBuNuMHmg"
,,,,,,"A Lunar Eclipse flat-Earther’s have never seen. https://t.co/HuApDwa85n"
,,,,,,"@AliceRadley Yup. Good memory. Two or three chapters of Astrophysics For People In A Hurry appeared in other forms over the past 20 years."
,,,,,,"@Johnn128 Thanks! Will alert the publisher."
,,,,,,"Gravity indeed. But the “or some shit” also includes surface tension (soap bubbles) and the second law of thermodyn… https://t.co/m2d6lpoZmJ"
,,,,,,"FYI: Chapter 8 of 12: “On Being Round” explores how physical laws conspire to favor spheres in the universe.… https://t.co/WK4ujmWeeA"
,,,,,,"If I were a dead Salmon, I’d want to be Gravlax https://t.co/xrnuzpKmNt"
,,,,,,"@patricktmusic : - )"
,,,,,,"@LewiDee72 We revolve around the center of the Milky Way. Meanwhile, the Milky Way and the Andromeda Galaxy will co… https://t.co/eBncZIPMl8"
,,,,,,"My sister’s mutt Luna has strong opinions about who should win at @TheNatlDogShow. I’ve seen some humans do this to… https://t.co/XUeI0IpDcM"
,,,,,,"Is it just me, or does the Tardigrade (from the neck down) resemble Miyazaki’s “Cat Bus” in his Totoro film. https://t.co/43feE1E9GL"
,,,,,,"The pudgy, lovable, mildly creepy, microscopic  Tardigrade “WaterBear” would make a most excellent @Macys Thanksgiv… https://t.co/5Vr3o6AEI4"
,,,,,,"If Classical Music concerts had progress bars, then people unfamiliar with the piece would never be confused when to clap at the end."
,,,,,,"@ChipLaFrazia Good to know. But emphasis on “…don’t tend to come from…"""
,,,,,,"@swettjc Emphasis on “…don’t tend to come from…"""
,,,,,,"@sjeh07 You are making an error in reading comprehension, sir. Emphasis on “…don’t tend to come from…"""
,,,,,,"States where Blues Singers don’t tend to come from: Maine, Vermont, Connecticut, Minnesota, Montana, Utah, Colorado, Oregon, Hawaii."
,,,,,,"@b_sinc Released only one month after my book. So their cover was surely designed independently. But even so, I’d h… https://t.co/FZpfrDVP4B"
,,,,,,"I sometimes wonder if Chimps and Monkeys would be impressed with human trapeze artists."
,,,,,,"This is what happens when you name your kid Orion and give him the StarTalk Book on his 3rd birthday: [Video; 6min] https://t.co/ssmT1bKGm4"
