NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
nowthised,6892,8265,"SVP Premium Content @cnn; fmr. EIC @nowthisnews, EP @abc; admirer of @aokphoto",383013,1168,"RT @CNNPolitics: Sen. Mark Warner, the top Democrat on the Senate intel committee, says the Trump team ""can't distance themselves"" from Mic…"
,,,,,,"RT @blathnaidhealy: Proud of @elizamackintosh, @nickthompson and team's work on this mobile-first interactive on Greenland. See how the isl…"
,,,,,,"RT @CNN: The updated docket describes this court proceeding as a “plea agreement” hearing. Flynn is expected to plead guilty to lying to FB…"
,,,,,,"RT @CillizzaCNN: ""This appears almost certainly to be a guilty plea by Michael Flynn."" -- @JeffreyToobin"
,,,,,,"RT @CNN: Flynn is the first Trump admin official and the fourth connected to the campaign to be charged as part of Mueller's investigation…"
,,,,,,"RT @CNN: Special counsel Robert Mueller has charged former Trump national security adviser Michael Flynn with ""willfully and knowingly"" mak…"
,,,,,,"RT @CNNPolitics: BREAKING: Michael Flynn charged with one count of making a false statement https://t.co/RLacgvfi68 https://t.co/cHuCB6ugxJ"
,,,,,,"RT @brianstelter: Rolling breaking news coverage now on all the cablers... https://t.co/NT2WeYmALf"
,,,,,,"RT @jimsciutto: Breaking: Robert Mueller has charged former Trump national security advisor Michael Flynn with “willfully and knowingly” ma…"
,,,,,,"RT @CNNPolitics: A Trump campaign email calls Democrats ""America haters"" https://t.co/UQtSlx9HTN https://t.co/ChJMO1XqPH"
,,,,,,"RT @brianstelter: Scoop: Vice Media fired three employees today amid a probe into sexual harassment and improper workplace conduct https://…"
,,,,,,"@KFILE @morsea Proud moment"
,,,,,,"RT @CNNPolitics: This is what Trump sees when he opens his Twitter feed https://t.co/8OTYKbb43y https://t.co/rKv0f76YTf"
,,,,,,"RT @CNNMoney: @brianstelter Lauer was fired after an employee filed a complaint about ""inappropriate sexual behavior in the workplace"" http…"
,,,,,,"RT @CNNMoney: Read NBC News Chairman Andy Lack's statement on Matt Lauer's firing: https://t.co/QzKR3TfcWy https://t.co/u62VGt0zdJ"
,,,,,,"RT @brianstelter: For several weeks, rumors have swirled in the TV news business about a damning story in the works about Matt Lauer. https…"
,,,,,,"RT @AmyJBrittain: My heart was racing while watching this video. @mccrummenWaPo is an absolute pro in a difficult, high-pressure situation.…"
,,,,,,"Thanks @ChristineRomans + @richardquest for bringing @CNNMoney to a whole new audience! https://t.co/Nimmg7biPo"
,,,,,,"Our @CNN headline: 'Poor Americans Would Lose Billions Under Senate GOP Tax Bill' https://t.co/bazICuWiaa via… https://t.co/dDkHI6m88r"
,,,,,,"RT @CNNPolitics: Challengers are back at the Supreme Court hoping to block the latest travel ban https://t.co/ggbJsR6nYT https://t.co/YWHFe…"
,,,,,,"RT @CNNMoney: Here's what all the kids want this year:
https://t.co/bpYVhyvYsz https://t.co/07iu8Z6Yre"
,,,,,,"RT @NewDay: Anthony Scaramucci defends Trump's ""Pocahontas"" jab at Sen. Elizabeth Warren: ""She's been nasty to him and he's been concurrent…"
,,,,,,"RT @CNNPR: @realDonaldTrump It's not CNN's job to represent the U.S to the world. That's yours.  Our job is to report the news.  #FactsFirs…"
,,,,,,"RT @Fahrenthold: What we know...
--@realdonaldtrump name taken off hotel in Toronto, apts in NYC, hotel in SoHo.
--19 charities quit Mar-a-…"
,,,,,,"RT @jmsummers: NEW tonight: An attorney for Rep. John Conyers tells me he will not resign. More TK."
,,,,,,"RT @CNNOriginals: Ricci. Uni. Sea urchin. Call it what you want, but it’s incredible. Southern Italy, this Sunday. #PartsUnknown with @bour…"
,,,,,,"RT @EricLiptonNYT: NYT SCOOP: Trump Organization Will Walk Away From Its Struggling SoHo Hotel in New York @benprotess @SteveEder https://t…"
,,,,,,"RT @ryanstruyk: Would you still consider voting for a candidate accused of sexual harassment by multiple women? (via new @QuinnipiacPoll)…"
,,,,,,"RT @CNNMoney: .@NorahODonnell on @CBSThisMorning: This has to end. This behavior is wrong.'
https://t.co/aYOz8m9Z0P via @brianstelter https…"
,,,,,,"RT @TomKludt: PBS suspending Charlie Rose. Full statement here: https://t.co/zSu11bye04"
,,,,,,"RT @CNNMoney: The Justice Department is set to file a lawsuit to block AT&amp;T's takeover of Time Warner. AT&amp;T says it is preparing a response…"
,,,,,,"RT @CNNPolitics: President Trump swipes at Sen. Jeff Flake on Twitter and calls his career ""toast"" https://t.co/sQK1QVuAX9 https://t.co/vMD…"
,,,,,,"RT @CNNPolitics: Trump calls on the NFL to suspend Oakland Raiders running back Marshawn Lynch https://t.co/X3YrvIbb0k https://t.co/FGFgnp1…"
,,,,,,"RT @CNNPolitics: Sen. Bob Menendez: ""To those who were digging my political grave so they could jump into my seat, I know who you are and I…"
,,,,,,"'Sessions sounded less like a man trying to protect the rule of law than one trying to protect his job' -… https://t.co/wMXxnfZgIA"
,,,,,,"RT @CNNPolitics: President Trump goes after basic democratic norms and Attorney General Sessions tiptoes | Analysis by CNN's Joan Biskupic…"
,,,,,,"RT @Hadas_Gold: Voice of America says they’ve placed on leave and are investigating reporter who allegedly posted racist and sexist screeds…"
,,,,,,"“No president should fear public scrunity of his program.  From that scrutiny comes understanding; and from that un… https://t.co/epNymBcmfg"
,,,,,,"“Our liberty depends on the freedom of the press, and that cannot be limited without being lost” - Thomas Jefferson"
,,,,,,"RT @juliaioffe: We've now updated the story with @ByronTau's great catch: @realDonaldTrump tweeted about the release of Podesta's emails *1…"
,,,,,,"RT @juliaioffe: SCOOP: Turns out Donald Trump, Jr. corresponded with Wikileaks during the 2016 presidential campaign. My latest. 
https://t…"
,,,,,,"RT @brianstelter: “No one in the comms department knew a random reporter was walking around the West Wing. This is why people think we’re a…"
,,,,,,"RT @CNNPolitics: Roy Moore says he will sue the Washington Post over its report alleging he pursued sexual relationships with teenagers — i…"
,,,,,,"RT @KateBennett_DC: ...meanwhile, before we left China... https://t.co/JGqXZLGB3H"
,,,,,,"RT @jaketapper: Trump says he believes Putin's election meddling denials @CNNPolitics https://t.co/5pH2xllLIu"
,,,,,,"RT @alexburnsNYT: ""I'm sure in the next four weeks, they're going to come out with another article"" – Roy Moore, saying on the radio what e…"
,,,,,,"RT @pkcapitol: Reminder: One week ago (+3 hours ago) @RandPaul was brutally assaulted, breaking 6 ribs, several of which were displaced, le…"
,,,,,,"RT @CNNPolitics: The government releases another trove of files related to the assassination of John F. Kennedy https://t.co/c74Y8P2Ymi htt…"
,,,,,,"In a way, @frankpallotta, @taylorswift13 is looking at you https://t.co/MqGiJ0FDfL"
,,,,,,"RT @JayCarney: I once had to tell Chinese officials that Pres. Obama would not show up for the press avail unless there would be a Q&amp;A. The…"
,,,,,,"Deeply appreciate the years you spent with us @CNNPolitics + @CNNMoney - we'll miss your incredible and important w… https://t.co/NnASJGqKUp"
,,,,,,"‘Sources on both sides disagree about who brought up what’ - @brianstelter @CNNMoney @ReliableSources 

https://t.co/QVIr7SLn9M"
,,,,,,"RT @CNN: One year after 2016, @RonBrownstein looks at the factors contributing to America’s political divide | STATE magazine https://t.co/…"
,,,,,,"RT @CNN: New CNN poll finds:

■ Just 40% think Trump can bring the kind of change the US needs
■ Almost 7 in 10 call the US economy ""good""…"
,,,,,,"RT @Fahrenthold: Great story, and another sign of what @realdonaldtrump's presidency is doing to Trump properties (which are mostly located…"
,,,,,,"RT @ryanstruyk: Only 24% of Americans — and 55% of Republicans (!) — say world leaders have respect for Donald Trump via new @CNN poll just…"
,,,,,,"RT @oliverdarcy: ""Threatening Turner is a fig leaf for threatening CNN"" https://t.co/nnQGci38gB"
,,,,,,"RT @brianstelter: According to 2 sources, the DOJ is demanding that AT&amp;T divest all of Turner -- which is the unit of Time Warner that incl…"
,,,,,,"RT @CNNMoney: DOJ to AT&amp;T: Sell major assets, potentially CNN, or get ready for legal battle
https://t.co/Jf44CtO6RY https://t.co/LUwbrn1m49"
,,,,,,"RT @aoktravels: Enjoyed watching @KLM #747 land at LAX yesterday. Going to miss flying on this plane! https://t.co/5cVvuyKvXl"
,,,,,,"RT @CNNPolitics: BREAKING: Democrats will sweep in Virginia, claiming victories in the governor, lieutenant governor and attorney general r…"
,,,,,,"RT @CNNPolitics: BREAKING: Democrat Phil Murphy will win New Jersey’s governor race, CNN projects https://t.co/9RJ8VP7s0Q #CNNElection http…"
,,,,,,"RT @CNNPolitics: Democrat Phil Murphy is elected governor of New Jersey https://t.co/acu67R5KRe https://t.co/RTf7aQcosp"
,,,,,,"RT @CNNPolitics: BREAKING: Democrat Ralph Northam will win Virginia’s governor race, CNN projects https://t.co/9RJ8VP7s0Q #CNNElection http…"
,,,,,,"RT @ryanstruyk: A whopping 78% of voters who named health care as their top issue voted for Ralph Northam in Virginia, according to exit po…"
,,,,,,"RT @CillizzaCNN: My guide on what to watch for tonight in Virginia

https://t.co/1nrgud8whw"
,,,,,,"RT @CNNPolitics: These are the races CNN is watching:

Virginia governor race
Virginia lieutenant governor
Virginia attorney general
New Je…"
,,,,,,"RT @CNNPolitics: Polls have closed in Virginia, where voters are choosing a new governor #CNNElection https://t.co/9RJ8VP7s0Q https://t.co/…"
,,,,,,"RT @ryanstruyk: Vote among women in Virginia via @CNN exit polls --&gt;

2017: Northam +19
2016: Clinton +17
2014: Warner +12
2013: McAullife…"
,,,,,,"RT @CNNPolitics: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/gqZrysQWuA htt…"
