NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
nvca,15087,2084,"The National Venture Capital Association (NVCA) is the venture capital industry’s trusted source for advocacy, professional development and industry research.",625,428,"RT @skupor: Thanks to @nvca for fighting on behalf of immigrant entrepreneurs https://t.co/v0XYVcVF8i"
,,,,,,"We just won our lawsuit against @DHSgov over delay of the International Entrepreneur Rule! That means the #IER is g… https://t.co/1qRxzd6l5k"
,,,,,,"NVCA members, check your inbox for our Series #DC newsletter w/ exclusive #TaxReform &amp; #startup #policy analysis. N… https://t.co/YkXAtTKQSU"
,,,,,,"@gabosama @TrishaThadani @kpcb @sfchronicle Hi @gabosama! The sources are below:

https://t.co/p2flUhQ1Qz… https://t.co/KlOrurgGeh"
,,,,,,"Join your #VC peers for the NVCA-WAVC Annual Luncheon on Dec 6, which brings together VC leaders in the heart of… https://t.co/RTBWSVCX27"
,,,,,,"What's the future look like for #Immigrant #Entrepreneur policies like the International Entrepreneur Rule (#IER) u… https://t.co/lZzEd1q0Kq"
,,,,,,"RT @500Startups: NEXT WEEK! @500Startups PreMoney investor conference with @nvca @foundersfund @upfrontvc @bluerunventures and more! Lineup…"
,,,,,,"Topics covered at the Stanford/NVCA #VC Symposium at @StanfordLaw in March: governance challenges; best practices i… https://t.co/Jth8iWkPXG"
,,,,,,"The NVCA model legal documents &amp; sample #HR policies are available for free for #VC's, #startups &amp; #entrepreneurs.… https://t.co/hqQugX9hXX"
,,,,,,"RT @nighthaque: My @nvca colleagues are in SF/SV next week for 2 events! Join us &amp; the VC community to 1) discuss immigration policy https:…"
,,,,,,"RT @evanepstein: Check out new Stanford/NVCA Venture Capital Symposium at @StanfordLaw on March 13-14, 2018: https://t.co/LrQjWGKD9Q If you…"
,,,,,,"The @Stanford-NVCA #VentureCapital Symposium just launched! The symposium offers practical guidance &amp; education on… https://t.co/74xdVdSdRo"
,,,,,,"Join us for a panel discussion on ""Immigrant Entrepreneurship in the #Trump Era"" at @kpcb on 12/5 in San Francisco… https://t.co/315PUs4XXa"
,,,,,,"Through Q3 of this year, #Birmingham has seen 51M in #VentureCapital investment into local #startups through 8 deal… https://t.co/YaAqd9qP0T"
,,,,,,"Experience an amazing keynote address from Ray Mabus—former Secretary of the #Navy &amp; Governor of #Mississippi—at th… https://t.co/C4FqCPnHcp"
,,,,,,"""It's great that Ivanka Trump is promoting entrepreneurship in India, but the administration's action on the Intern… https://t.co/reEmVTJElK"
,,,,,,"Why do #Immigrants to the #USA make such great #entrepreneurs &amp; #startup founders? Find out in @ProfAdrianFurnh's e… https://t.co/OwseZTx03W"
,,,,,,"NVCA members, are you subscribed to our Series #DC newsletter filled with exclusive #VC &amp; #startup #policy analysis… https://t.co/kppZv9vQuM"
,,,,,,"Learn about the top trends in the #VentureCapital industry from these 16 key charts from the Q3 @PitchBook-NVCA Ven… https://t.co/1na7Hm4x8h"
,,,,,,"Read the amazing story of how an #AfricanAmerican #VC went from the projects of Brooklyn to investing in #startups… https://t.co/4y2egQzcfL"
,,,,,,"Want to know how NVCA's #immigration lawsuit against @DHSgov over the International Entrepreneur Rule is going? Get… https://t.co/zLlbGlFqqh"
,,,,,,"Get ready for our #CVC &amp; #VC reception in Houston with @GE_Ventures on December 7. Learn more and Register:… https://t.co/t5UE9llgEO"
,,,,,,"Subscribe to the NVCA @SmartBrief &amp; get daily news in your inbox on #startups, #VC, #Entrepreneurship &amp; #DC. Sign u… https://t.co/HkqtACTg3T"
,,,,,,"Almost $15 billion in #VC dollars has been invested into emerging #startups so far in Q4, a 75% increase from this… https://t.co/KVtB8iI78q"
,,,,,,"RT @TrishaThadani: Will be moderating this panel on Immigrant entrepreneurship in the Trump era next week! Register here: https://t.co/eSJz…"
,,,,,,"Join NVCA &amp; @GE_Ventures for a #VentureCapital networking reception in #Houston on Dec 7, where #VC &amp; #CVC peers wi… https://t.co/sgEylFrrDr"
