NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
pjreddie,1809,308,"Graduate student in the @uwplse lab! Develop open source @DarknetForever. My dog and I are both vegan.",238832,1111,"RT @elizabeth_joh: [crumples up January constitutional law syllabus]

whatever’s on twitter that’s what we’re doing"
,,,,,,"RT @IjeomaOluo: Yeah so check this shit out: 

today I got a call from a major national paper I'd never worked with before, offering work..."
,,,,,,"Playing Semifinal Fantasy from @jtagmire, this game is dope! https://t.co/pWRsUh7SFs"
,,,,,,"@jtagmire Ok, 1 more, do all the bonuses go to winning team, even if the losing team won one of the trials?"
,,,,,,"@jtagmire Don't @ me @dougwoos"
,,,,,,"@jtagmire So you only get one dice of each type? Can't do e.g. 4 d4 for 16? Also, can leader throw match? Like only… https://t.co/8ZxDPWGKEt"
,,,,,,"@edersantana I mean, my ""favorite"" is the Darknet reference network, but i have no strong feelings on this. Resnet-… https://t.co/x2pGqn379k"
,,,,,,"People bend over backwards trying to make any sort of sensible evaluation using MNIST. Like, what if we only train… https://t.co/eOgX2cg3G4"
,,,,,,"I have only two deeply held beliefs about computer vision:

1. People should stop using AlexNet
2. People should st… https://t.co/ilhxpOYGqm"
,,,,,,"@Cloe_Shasha @nytimes @sydbrownstone So, yeah, we should be reasonable and thorough in our response to sexual haras… https://t.co/ojpIvk4vE6"
,,,,,,"@Cloe_Shasha @nytimes @sydbrownstone Editorial boards seem to have invented this particular ""feminazi"" slogan just… https://t.co/8sxW7WU6GJ"
,,,,,,"@Cloe_Shasha @nytimes This nytimes piece obliterates the straw man that we should lose our collective minds and thr… https://t.co/xs4oYsaLCV"
,,,,,,"@RichardFausset In the Fox News poll you cite only 8% of non-white voters said they were not interested in the race… https://t.co/7K2mf5mJpW"
,,,,,,"@RichardFausset Sorry, what part is bullshit? That you wrote the article about the ""polite, low-key Nazi next door""… https://t.co/1IGGqv5BEO"
,,,,,,"@NikkitaOliver @TheStranger One thing that jumps out at me from the cited article:

""The city has stored belongings… https://t.co/FSLCYJ0FbW"
,,,,,,"Some great insight here into the debate about sexual harassment claims and due process. Also, @USATODAY should be a… https://t.co/1YoSF2nJWu"
,,,,,,"@alfranken It is insane that we live in a world where we have to say this. This is obvious.

Minnesotans deserve be… https://t.co/Aqaj07wpDf"
,,,,,,".@alfranken, I grew up in Minneapolis and was an intern in your first election campaign. I called constituents, mar… https://t.co/WRQTGKNTVU"
,,,,,,"RT @corvidresearch: After a marathon #CrowOrNo last week I think folks could use a special challenge this week. Looking forward to seeing y…"
