NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
profgeraintrees,6497,482,"Dean of the UCL Faculty of Life Sciences. And probably out running.",34093,152,"Distinct influence of specific versus global connectivity on the different Alzheimer’s disease biomarkers - new pap… https://t.co/6b9FSiFVkU"
,,,,,,"RT @DavidPriceUCL: The new @UCL Centre for Artifical Intellgence is launched here....

https://t.co/fhGw1f2S5e

A brave new world!"
,,,,,,"RT @hugospiers: Consistency and flexibility in solving spatial tasks: different horses show different cognitive styles
https://t.co/WIEFANA…"
,,,,,,"RT @conradhackett: Richest 10% of Americans take a larger slice of the economic pie than they did in 1913, at peak of the Gilded Age
https:…"
,,,,,,"RT @adam_tooze: No robots please, we’re British. Remarkable data from the OECD https://t.co/vkFbXD0pYO https://t.co/QaAqyWM6Gg"
,,,,,,"Excellent to see strong support for international students and the role of UK higher education on a global stage https://t.co/GuKp99XzrJ"
,,,,,,"RT @DieterLukas: We are excited that we have a preprint of our study on “Women’s visibility in academic seminars” https://t.co/2FQpCsFiPY o…"
,,,,,,"RT @ConnectomeLab: Two fellowships in Health Data Research are available at Newcastle University

https://t.co/m63o75pznO"
,,,,,,"RT @fermatslibrary: 23456789 is the largest prime number with consecutive increasing digits"
,,,,,,"RT @maya_sen: Punchline: Paper shows gender-neutral parental clock stops *increases* male tenure rates at 1st dept employed by ~18% but *re…"
,,,,,,"RT @GreenUCL: We're so proud to have received Outstanding Contribution to Environmental Sustainability (Large Business) Award! Thank you @c…"
,,,,,,"RT @MICROBIOLOGYUCL: Lectureship in Bacteriology in the Institute for Structural &amp; Molecular Biology, UCL/Birkbeck https://t.co/s7u80PseN7"
,,,,,,"RT @nature: Reported in @NatureElectron, a novel system for monitoring a person’s vital signs offers many advantages over currently used te…"
,,,,,,"RT @markdhumphries: I just published “A not entirely serious future history of neuroscience” https://t.co/5LpcdXtgp1"
,,,,,,"The image-forming mirror in the eye of the scallop https://t.co/wF4nrosHlN"
,,,,,,"How machine learning creates new professions — and problems via @FT
 https://t.co/44IQ7LCpCr"
,,,,,,"Apple launches study to identify irregular heart rhythms with the Apple Watch https://t.co/wuKtTjRVUl"
,,,,,,"RT @wellcometrust: Thank you to everyone who has already completed &amp; shared our #PhD survey! If not, please share your views with us on PhD…"
,,,,,,"RT @jdportes: Quarterly migration stats: sharp fall in EU migration.  My very quick reaction below: ""it cannot be good news that the UK is…"
,,,,,,"@DrBaldeweg @wi_john @NHS_HealthEdEng Congratulations on your appointment Stephanie - and that's great to hear. Wou… https://t.co/4I7jculXKQ"
,,,,,,"@wi_john Especially @NHS_HealthEdEng who could more fully embrace working towards the fliexibikity and support requ… https://t.co/XG9sqjqHyU"
,,,,,,"Digital pill offers chance of new life to old drugs via @FT
 https://t.co/H1CspVxbhL"
,,,,,,"UK government to book £800m loss from student loan sale via @FT
 https://t.co/gpBqEuuxhp"
,,,,,,"@jo_jenkinson @wi_john I'm not so sure. If it were solely a supply (of CSLA etc) problem then one would not expect… https://t.co/1oHHVQdqOp"
,,,,,,"RT @ActonLab: PhD applications now open, if you're interested in joining our lab or any of the other fantastic groups @MRC_LMCB have a look…"
,,,,,,"@hIPS_CM_lab @The_MRC @OfficialNIHR A good question, and not one for which we know the answer. We've started some r… https://t.co/0fM1gIozJp"
,,,,,,"RT @wellcometrust: Are you a current/former #PhD student? Or a supervisor, administrator, employer or just interested in PhD training? We a…"
,,,,,,"Fascinating new @the_mrc survey of UK early career clinical and health research fellowships. More early career fell… https://t.co/ihaR2D6zB1"
,,,,,,"Facebook faces the tragedy of the commons via @FT
 https://t.co/OdLehMtTgg"
,,,,,,"Highest-paid university vice-chancellor in UK resigns after pay pressure via @FT
 https://t.co/D1SnK3jKhw"
,,,,,,"Scientists discover new optimism in fight against Alzheimer’s via @FT
 https://t.co/0mQVn6n2Cb"
,,,,,,"RT @Phil_Baty: A leading UK VC has broken ranks on staff pension plans. Says he's ""mystified"" by UUK support for the removal of the defined…"
,,,,,,"Using deep learning and Google Street View to estimate the demographic makeup of neighborhoods across the United St… https://t.co/oewvUXdd0J"
,,,,,,"Oxford university to issue first ever bond via @FT
 https://t.co/FatuK2giKy"
,,,,,,"RT @uclnews: UCL has been chosen to train Foreign &amp; Commonwealth Office diplomats and staff. Read more here: https://t.co/R2JpjMhhZJ https:…"
,,,,,,"RT @UCLTRO: Don't miss the @UCL_NerveEng networking event today! #neuroscience #Engineering #regenerativemedicine https://t.co/rqmPAwRxWp"
,,,,,,"Four key challenges raised by the UK’s new industrial strategy via @FT
 https://t.co/QcOT5VZM5W"
,,,,,,"RT @HenriquesLab: Want to be at the cutting edge of imaging for cell biology? Check our PhD programme. https://t.co/3eg8ZXAjyA"
,,,,,,"RT @adeelrazi: Our new on characterizing dynamics in effective connectivity for resting state fMRI https://t.co/vo0NUN2mL2 https://t.co/Fcr…"
,,,,,,"RT @DeepMindAI: Introducing Population Based Training: a new method for automatically performing online hyperparameter adaptation and model…"
,,,,,,"RT @wellcometrust: PhDs"
,,,,,,"RT @SebastianEPayne: RIP Industrial Strategy https://t.co/6nydtSVNJx"
,,,,,,"So here's the Industrial Strategy White Paper. Four 'grand challenges' of AI, clean growth, future mobility and soc… https://t.co/5CgNrlBzZE"
,,,,,,"RT @MSDintheUK: Dr Roger Perlmutter, President, MSD Research Laboratories on our plan to establish a Discovery Centre in London #InventingF…"
,,,,,,"RT @PeterSimpsonUK: Not such good news https://t.co/v1y1QjFkfm"
,,,,,,"RT @GdnHigherEd: Do universities have a problem with promoting their BAME staff?
https://t.co/deujegXvIq"
,,,,,,"RT @Reza_Zadeh: Imposing custom emotions and facial characteristics on faces using Generative Adversarial Networks. Can make input faces an…"
,,,,,,"RT @simongerman600: Awesome #map shows 35 Chinese cities with economies as large as whole countries. Be honest, how many of these 35 cities…"
,,,,,,"Big pharma to unveil £1bn boost for May’s post-Brexit vision via @FT
 https://t.co/b3hwpcZK6h"
,,,,,,"Scientists shrug off failures in hunt for Alzheimer’s treatments via @FT
 https://t.co/7gWSAQqxyR"
,,,,,,"Growing number of young NHS staff pull out of pensions via @FT https://t.co/wbCM2eqL2z https://t.co/nBlpYstnbu"
,,,,,,"RT @MaromBikson: A heater/cooler wrist-band from @MIT changes perception - not actually core temperature. So seems also a compelling platfo…"
,,,,,,"Aviva offers equal parental leave for men via @FT
 https://t.co/5shrxiZChZ"
,,,,,,"No, not really provided schemes sufficiently large and diversified as with any portfolio. See paras 5.3-5.14 here… https://t.co/gRHJ51XOJR"
,,,,,,"Yes but significant barriers identified, see paras 5.3 onwards here https://t.co/dZqQJ7t3Ib https://t.co/0R5P4Iw6MF"
,,,,,,"RT @JoJohnsonUK: Digital is part of the answer and the UK can help. Our Newton Fund is digitising the British Library's extraordinary colle…"
,,,,,,"A terrific essay about generalist specialists https://t.co/mou7ZnHcRq via the wonderful @ExponentialView"
,,,,,,"RT @azeem: 🔮 I write a newsletter called Exponential View

I think you'll like it a lot.

Sign up: https://t.co/64JqHF38iQ"
,,,,,,"RT @paul1kirby: Stark picture: the location of the UK’s tech and creative sectors. In excellent @LSEGrowthCom report on the economic geogra…"
,,,,,,"UK will allow pension funds to invest in start-ups, says Greg Clark via @FT
 https://t.co/DaVYGFUyga"
,,,,,,"RT @helixcentre: Paediatric meds are weight-based. But often there is no time to weigh children during emergency care. A new digital tool f…"
,,,,,,"RT @UCLPALS: Congratulations to @UCLPALS Professor @SusanMichie who has once again been listed in the top 1% in the latest Psychology/Psych…"
,,,,,,"RT @DavidNichols0n: An excellent and well balanced analysis @ClareGerada  https://t.co/mHWZQvrls3"
,,,,,,"RT @pearsekeane: This is a must read. Identifying real world use cases for AI in healthcare not trivial. #AI #Healthcare #cliniciandriven #…"
,,,,,,"RT @UCLEnterprise: Very proud to see our @ucl #start-up @bio_bean_UK working with @shelllivewireuk to change the world! #makethefuture #inn…"
,,,,,,"RT @AnneEUrai: John Krakauer: “We’re in the grips of a totalizing belief in data and techniques” https://t.co/JbqhyLP7lA"
,,,,,,"RT @dotrun_uk: More innovation needed from top tech companies https://t.co/sQ5Icfe1xp via @FT #innovation"
,,,,,,"RT @HenriquesLab: Our new bioRxiv manuscript with Ed Cohen and Raimund Ober is out. Characterising photoswitching. Check it out... https://…"
,,,,,,"Europe’s €77bn research budget in the spotlight via @FT
 https://t.co/2OVUlzxlVK"
