NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ramyzab,1756,3517,"Diary of a brown man | Multiplatform Editor, @CNNTech | Tweets are my own mess and no one else's.",658433,478,"@RSorokanich don’t you see, bob? I am the sunset now."
,,,,,,"@HeyLisaMichelle i resent that, as I exercise sound journalistic judgement in everything i tweet"
,,,,,,"@HeyLisaMichelle For reference: https://t.co/J4IyVjCQtX"
,,,,,,"Who looks more like an alien? cc: @HeyLisaMichelle"
,,,,,,"Much same. Extremely same. https://t.co/yyj6yPvPlV"
,,,,,,"Coming tomorrow: Why all men should work from home"
,,,,,,"RT @ashleyfeinberg: lotta bad men working through a lot of weird shit on twitter dot com today"
,,,,,,"it begins... https://t.co/NpfvF4FFZM"
,,,,,,"@schiste oh god please don’t put me on the wiki shit list i was just joking!"
,,,,,,"BREAKING: Men should’ve never been given power"
,,,,,,"jimmy at wikipedia is that cousin who starts a gofundme to help him pay rent. i love you but stop asking me for money bro"
,,,,,,"Whole lotta gang shit 👶🏼🤓 https://t.co/esQpA76kwn https://t.co/JNfVQQzXMF"
,,,,,,"RT @ZamarripaHelen: I SWEAR IF Y’ALL DONT INVITE THE BULLDOG OVER 😤😤😤 https://t.co/taSkD44sFx"
,,,,,,"sorry dude the statute of limitations on links i click in response to things i write is a firm 2 years https://t.co/HBKOPUZTbw"
,,,,,,"@HeyLisaMichelle @HeySamantha it’s spicy and it smells like farts but it doesn’t taste like farts and you can put it in a taco"
,,,,,,"@HeyLisaMichelle @HeySamantha i’ll save you the time, it’s not a burger"
,,,,,,".@HeySamantha is eating kimchi at work so i’m publicly shaming her"
,,,,,,"circling back here, did anyone find banksy? this is urgent. https://t.co/BOfKhBvBhP"
,,,,,,"RT @Oatmeal: Flesh vs Flush. https://t.co/2nv2eBdmJ2"
,,,,,,"not buying yr cheese but solid effort https://t.co/eM7cSazx3i"
,,,,,,"Damn RIP lil peep"
,,,,,,"feeling stronger every day, thanks fb https://t.co/1FJe2a5UD3"
,,,,,,"my sincerest apologies if i’ve tried talking to you about bitcoin recently. i promise i’m not usually this annoying."
,,,,,,"doesn’t hold a candle to sam’s “worth fighting for” speech in two towers https://t.co/zweu1b5x15 https://t.co/DKyPoXT300"
,,,,,,"RT @parksandrecnbc: RIP Li'l Sebby  
              _| \ _/ | _
        , (  ( \ \ ' '- \ \ \ \
      , ( ( ) )             ' ) ) \
   , ( (…"
,,,,,,"This painting by Britney Spears sold for $10,000 this week. Never give up on your dreams. https://t.co/FsK5YrQhqT"
,,,,,,"@heatherkelly hey reporting from the bath tub is my beat find yr own"
,,,,,,"Bae: Come over.

Me: Nah, I'm playing Super Mario Odyssey 

Bae: My parents aren't home

Me: https://t.co/YbFWnwRYLs"
,,,,,,"The main reason I use @wag 🎃👻🐶 https://t.co/lcJwwwrwSo https://t.co/45WYQUm7u7"
,,,,,,"RT @HeyLisaMichelle: if Monday morning doesn't scare you then maybe my latest vid with @ramyzab and @frankpallotta will 🖤☠️🧠🔪 https://t.co/…"
,,,,,,"Keeping these streets safe one important phone call at a time https://t.co/1WjTVX07uS https://t.co/k1GLtfCas6"
,,,,,,"Boo 👻🎃 https://t.co/DRNcZbH7qt"
,,,,,,"@Agmoseman @NYCTSubway @PopMech Go utes!"
,,,,,,"@Agmoseman @NYCTSubway One fixed subway coming right up!"
,,,,,,"Any time you feel like you hate your social media job, remember: you could be managing the @NYCTSubway twitter account"
,,,,,,"Remember when evangelicals used to knock on your door and face rejection head-on? Now they just mail you their book… https://t.co/pLtvDwWZj6"
,,,,,,"If somebody don’t give me their league pass login imma have to start watching the knicks. This is a threat."
,,,,,,"@frankpallotta “don’t dress for the job you have. dress for the job that’ll kill ya."""
,,,,,,"🖤🖤🖤 https://t.co/v01wJuHVSD https://t.co/pnMbUWY4kt"
,,,,,,"a boogie jumped @LILBTHEBASEDGOD and now my gf calls him “a booger”"
,,,,,,"Don’t talk to me or my son ever again 🍣 https://t.co/B4iZT9b0sG https://t.co/aKAoj9hOVN"
,,,,,,"I’ve become one of those New Yorkers who dresses his dog up for the Halloween dog parade."
,,,,,,"@derpoltergeist ...in an odd meter time signature?"
,,,,,,"GOD IS GOOD https://t.co/ouYAFxUGpp"
,,,,,,"@FacePlusPalm  https://t.co/yxX0nyfIyx"
,,,,,,"Whomst would like to watch the Wizards opener at my place tonight?"
,,,,,,"@RaeWitte my neighbor’s apartment 😒"
,,,,,,"Today is the first day of the only sport season that matters."
,,,,,,"Friends &amp; dogs: a 2017 theme https://t.co/YJXeFU0SrM https://t.co/8jeZDg3gxK"
,,,,,,"A gentle reminder https://t.co/EtRZwlagBw https://t.co/xhcPzeEh65"
,,,,,,"We never even got to name u 😢 https://t.co/yP4SuzqW2h"
,,,,,,"Finally some sense in the world. @HeyLisaMichelle @rulaoftheworld https://t.co/eacIE55reO"
,,,,,,"@PopSci lemme guess is it kangaroos"
,,,,,,".@rulaoftheworld @MattLeeNBC almost as bad as going through a mutual friend https://t.co/A6lNA2FAg7"
,,,,,,"@PopMech idk what you’re talking about this seems totally reasonable"
,,,,,,"Shout out to 90% of you and a stern fuck you to 1/10 of my friends https://t.co/HwfchhKksx"
,,,,,,"RT @MarcSnetiker: https://t.co/oHMjF33rKt"
,,,,,,"Pizza face and a gropey mummy. It must be October. https://t.co/nGz9Fx3LX2 https://t.co/GiQnfgFBUa"
,,,,,,"703 in the building 🤘🏽 https://t.co/Fki5lUMpub https://t.co/FwnH5NJakj"
,,,,,,"RIP Mark. Honored to have worked with you if even for a short time. https://t.co/K9QsBPd9Nk"
,,,,,,"“Ground control to jelly bomb” I hate myself. https://t.co/qtxvq0vMgL"
,,,,,,"@Moss_Cohen @jack__regan Lol sorry @jack__regan! Hi @jack_regan 👋🏽"
,,,,,,"And I got a colorful aura like I got neon guts. 📸: @jack__regan https://t.co/XvNhoDEYoC https://t.co/sYGRe0JQch"
,,,,,,"RT @HublotDreams: Dip Set Anthem &gt; The National Anthem https://t.co/Kbc2opkw98"
,,,,,,"@ericafink @HeyLisaMichelle Hi @ericafink 👋🏽"
,,,,,,"@HeyLisaMichelle WELL WHICH IS IT??"
,,,,,,"special thanks to roland for giving us a reason to put whitney houston and kanye west in a CNN Tech video https://t.co/46jHtjYQo2"
,,,,,,"@RaeWitte plug your phone in like an adult"
,,,,,,"some of y'all be posting screenshots with 3% battery have you no shame?"
,,,,,,"Robots in 2017: “hold my beer."" https://t.co/ftxbbHkJ9y"
,,,,,,"RT @jack_regan: .@Roland_US has revived the legendary 808 drum machine after 34 years. @Ramyzab and I made a thing https://t.co/Y11MNecN7J"
,,,,,,"Feedback on my shrug much appreciated https://t.co/ANjoAPOVoV"
,,,,,,"EVERYBODY GO SEE SOLANGE TOMORROW OH MY FUCKING GOD"
,,,,,,"Update: https://t.co/ZcwKVQpth2"
,,,,,,"It is absolutely bonkers that I get live notifications every time my dog pees what a time to be alive https://t.co/IwmZ7ffAKW"
,,,,,,"Was never a huge fan of tom petty’s music but anyone who touches so many people with his art should be treasured. RIP."
,,,,,,"Literally all 3 what is this a joke to you? @frankpallotta back me up https://t.co/JaErySCGmK"
,,,,,,"where’s the fun in that? https://t.co/iEOiwqg6Vt"
,,,,,,"@ohaileigh  https://t.co/T51ajC6Tmp"
,,,,,,"*cashier gives me change*

*wallet fumbling ensues*

*person behind me in line sighs*

*in the distance, sirens.*"
,,,,,,"@RSorokanich AIR FORCE 1s ONLY"
