NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
reidhoffman,477861,12306,"Entrepreneur. Investor. Strategist.",257591,6783,"Today, take a refresh on the lessons from @MastersofScale episode Learn From Every 'No'. @TristanWalker shares his… https://t.co/TioutErzEc"
,,,,,,"RT @pahlkadot: Exciting news about @codeforamerica and the Chan Zuckerberg Initiative and other partners https://t.co/wmS39HBqED"
,,,,,,"RT @byron_auguste: GOOD NEWS. Gratified that Chan Zuckerberg Initiative placed its confidence in @OpptyatWork to remove barriers to strivin…"
,,,,,,"RT @SlaughterAM: @byron_auguste @OpptyatWork @FIInational @codeforamerica As a proud @OpptyatWork board member, I could not be more thrille…"
,,,,,,"RT @DavidBrin: Listen to @mastersofscale, a new podcast about tech-innovation &amp; #VentureCapital by LinkedIn cofounder @reidhoffman
https://…"
,,,,,,"RT @BillKristol: It's obviously time for a 28th Amendment to the Constitution: ""Until we can figure out what the hell is going on, only Ame…"
,,,,,,"Track coach Darryl Woodson: Speed isn't manufactured by how fast your feet move. It's how much force per step. List… https://t.co/huGoVbM623"
,,,,,,"RT @EFF: It is worth reflecting on just how wildly unsupported by the public and wrong the FCC is on its effort to end an Open Internet. #N…"
,,,,,,"RT @deprimer: It’s insane that she has to publish an op-ed to make this point. 

https://t.co/0LecrPE3Yq"
,,,,,,"Good chance to get some attention for early stage entrepreneurship projects!   https://t.co/R4to7lip2Y"
,,,,,,"Help Reid Hoffman get more signatures - 98824 still needed! https://t.co/udxXjV5ZLm"
,,,,,,"RT @AdamMitcheson: The recent @reidhoffman @mastersofscale podcast with @peterthiel is one of if not the best yet. The fact that two people…"
,,,,,,"Thoughtful, eloquent, and spot-on leadership from @MelindaGates in this essay. Much more work to do. https://t.co/AO3L5lvQwB"
,,,,,,"This weekend, tune in and hear Slack founder @Stewart on storytelling and pivots, graceful exits, and how to slash… https://t.co/KJ5OJIcK0l"
,,,,,,"Another gem from this week's @MastersofScale? @Stewart's advice to always end things well with your employees. This… https://t.co/ZsSn4zo4D0"
,,,,,,"How did @Stewart start with two video game companies and end up with @Flickr and @Slack? He knows when to pivot. Yo… https://t.co/Km7zcdXk6g"
,,,,,,"RT @erikbryn: Some graduate students could face tax increases of up to $10,000 by taxing their tuition awards as income.

It is almost as i…"
,,,,,,"RT @byron_auguste: Rising wages are a feature (not a bug) of healthy markets:
- wide range of skills in demand
- efficient configuration of…"
,,,,,,".@Stewart tells the untold, messy story behind the pivots that created Flickr and Slack. #MastersOfScale https://t.co/WDx0tX2BaM"
,,,,,,"RT @GreylockVC: In your company’s darkest moment, know this: You CAN pivot from failure to success. But only if you slash and burn everythi…"
,,,,,,"RT @byron_auguste: ""Move fast and fix things"" is the most inspiring mandate I've heard all year! 👍🏾 @pahlkadot  @codeforamerica . Much grat…"
,,,,,,"Pivoting your entire company can be, well, terrifying. If you push past the fear, the results can be incredible.

T… https://t.co/w3Ba4PX0k6"
,,,,,,"RT @markpinc: I love @mastersofscale. Congrats @reidhoffman and thx for surfacing so many lessons."
,,,,,,"RT @ApplePodcasts: Excellent advice for entrepreneurs, @mastersofscale is back for season 2. Learn how to take your business from zero to g…"
,,,,,,"RT @ericschmidt: Masters of scale season 2 is live today.  Enjoyed my discussion with @reidhoffman, and now new lessons for entrepreneurshi…"
,,,,,,"RT @byron_auguste: We sometimes speak as if our technology is a force of nature.
..Its not. We use, we choose.💡

We often act as if our sys…"
,,,,,,"RT @JGreenblattADL: Brilliant insightful conversation on reimagining social media for good. Thanks @reidhoffman @LinkedIn @GreylockVC @mast…"
,,,,,,"Years before Diane Greene became Google’s Cloud Chief, she laid the foundations of cloud computing as Co-founder of… https://t.co/9hdNL59JAr"
,,,,,,"Mark Zuckerberg gave a terrible pitch. But @PeterThiel and I invested in Facebook anyway. Learn why on Ep. 11 (“Esc… https://t.co/B9pNPMfsJj"
,,,,,,"RT @OpptyatWork: Today, we extend our deepest thanks to all our veterans, servicemembers, veterans and military spouses. #VeteransDay #Tech…"
,,,,,,"RT @byron_auguste: Thanks @ValerieJarrett 🙏🏾 and @reidhoffman @OpptyatWork ""clears a lane"", but real heroes? 

Strivers across 🇺🇸 who 'swea…"
,,,,,,"How sailing, crabbing, and women's ice hockey helped Diane Greene build @VMware. #MastersOfScale https://t.co/Yr1YYxgIb4"
,,,,,,"Tune in now to watch my interview with Cheddar about @MastersofScale: https://t.co/pCLq9kqNPt"
,,,,,,"RT @GreylockVC: .@businessinsider lists the 19 hottest SF startups to watch in 2018 including @figmadesign, @askspoke, @crew_app, @gladly a…"
,,,,,,"The best business ideas? They come at you sideways. On today’s episode of @MastersofScale — yes, two in one week! —… https://t.co/aeI85GeAZm"
,,,,,,"RT @BillKristol: The terrible truth: In Trump’s Republican Party, Roy Moore—politically demagogic and morally bankrupt—seems to be not a bu…"
,,,,,,"RT @McAndrew: Well said! https://t.co/maQNS3udF1"
,,,,,,"RT @andrewrsorkin: This is a great listen. Fascinating convo. Nice @reidhoffman! https://t.co/1ZR1dtMAlQ"
,,,,,,"RT @jerrychen: Thank you veterans for your service. Proud to be working with Navy vets @RMBXdrew @SeabeeCEO and all the veterans at @rhumbi…"
,,,,,,"RT @byron_auguste: Our plan is? Oh. OK, I'll start:
✅Re-configure defunct shopping malls👷🏼as:
✅Small business incubators👩🏾‍🍳
✅Maker's space…"
,,,,,,"RT @VanJones68: MAJOR shoutout for a legend, from a legend. @reidhoffman praises innovative problem solving of @byron_auguste ! #AwesomeSqu…"
,,,,,,"RT @davemorin: Really impressed with the quality of @reidhoffman’s new @mastersofscale podcast. Listen to his conversation with @peterthiel…"
,,,,,,"""I don't believe you have to be the singular owner of a market to be successful.”
—Rockstar banker-turned-baker… https://t.co/WJ7sqTQxKt"
,,,,,,"Our middle class was built on talent + work + opportunity. 

I'm proud to invest in @byron_auguste  vision to let a… https://t.co/FmLwhvFWhB"
,,,,,,"“We needed to achieve escape velocity.” Great clip from Peter Thiel on this week’s @mastersofscale podcast. Full ep… https://t.co/e8w8dSBCZm"
,,,,,,"RT @joshelman: This is a great listen between two friends who met in college and went on to have incredible impact in the world https://t.c…"
,,,,,,"RT @byron_auguste: Even more true today! 👀
So much talent everywhere. Let's get opportunity to match!
@OpptyatWork https://t.co/sTLPm824Mb"
,,,,,,"RT @sama: Excited for the new season of Masters of Scale with @reidhoffman--enjoyed being a guest! https://t.co/xdYYBkVsuB"
,,,,,,"RT @byron_auguste: If you're not seeing talent everywhere, better get your eyes checked. 👀 
My @VentureBeat @OpptyatWork article says:
http…"
,,,,,,"“Competition is for losers.” @PeterThiel says this and I mostly agree. We talk competition, startups and PayPal (bu… https://t.co/xx7lugNmXE"
,,,,,,"RT @lindarottenberg: Share the stories that can help entrepreneurs everywhere. New season of Masters of Scale #podcast - now live! https://…"
,,,,,,"RT @bchesky: New season of @mastersofscale with @reidhoffman starts today and entrepreneurs will find the series invaluable"
,,,,,,"RT @GreylockVC: Tomorrow on #Greymatter: @crazyfoo &amp; @wadechambers share advice for coaching engineering leaders. Subscribe today https://t…"
,,,,,,"RT @Joi: Listen to @reidhoffman talk to more people about interesting things. New season of Masters of Scale #podcast https://t.co/bGVnOPQ7…"
,,,,,,"Share the stories that can help entrepreneurs everywhere. New season of Masters of Scale #podcast - now live!… https://t.co/LyS6rTjW72"
,,,,,,"Masters of Scale: New Season https://t.co/56BjPY7gAf"
,,,,,,"“Competition is for losers.”

I talk with @PeterThiel about escaping the competition at @PayPal and @Facebook.… https://t.co/YdLaP0EtHo"
,,,,,,"I rarely agree with my friend @peterthiel but always respect him. Thrilled he's on tomorrow's @mastersofscale seaso… https://t.co/wZWFSxGlvu"
,,,,,,"RT @swissmiss: I want to hide out on a secret island until I have listened to every episode of @mastersofscale. https://t.co/3cTq9KuAaS"
,,,,,,"Masters of Scale podcast returns tomorrow! Help us reach entrepreneurs who can use it with our Thunderclap campaign.…https://t.co/f5onnVJzb0"
,,,,,,"RT @OpptyatWork: 1:30pm TODAY at #Techonomy17! Uncertain, Unstable, Changing Nature of Work panel w/ great insights from our CEO @byron_aug…"
,,,,,,"RT @berggruenInst: “Democracy is not a spectator sport, it requires alert, thoughtful and engaged citizens, and they are scarce.” https://t…"
,,,,,,"RT @GreylockVC: Building a defensible business model. @jerrychen shares a deck on why systems of intelligence are The New Moats. https://t.…"
,,,,,,"A great set of companies to work for, including Airbnb Convoy Inc Dropbox Rubrik, Inc. and Blend . Congrats all! https://t.co/SjMbUtMj1Z"
,,,,,,"RT @GreylockVC: Top 25 startups to work for according to @LinkedIn including @blendlabsinc @convoyteam @rubrikInc @Dropbox &amp; @Airbnb https:…"
,,,,,,"RT @byron_auguste: Our technology is not scary. Our complacency is.

People are more adaptable than we realize, but institutions are more f…"
,,,,,,"RT @byron_auguste: If you're wondering what the ""school-to-prison pipeline"" really means, consider this fact: https://t.co/LkzXuxr7wE"
,,,,,,"RT @BarackObama: Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this year’s hu…"
,,,,,,"RT @byron_auguste: Diverse paths for working learners to skill-up? Reliable infrastructure? Start-up friendly culture? Broadband?
50,000 jo…"
,,,,,,"RT @MikeBloomberg: “Trump can make big promises to miners. He can hold photo ops with them. But he can’t save coal.” –@Vox https://t.co/GIv…"
,,,,,,"RT @nprpolitics: @TrumpGolfLA .@NPREmbedded published a story about those claims on Wednesday. https://t.co/42G6nnvkl3"
,,,,,,"RT @timoreilly: @pierre @NateSilver538 And I’m even more alarmed by the witch hunt by media outlets that fed on the partisan frenzy and lik…"
,,,,,,"RT @Independent: Three-quarters of the UK public say Brexit is going badly, exclusive poll reveals https://t.co/3K51M3rHsI"
