NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
rsiilasmaa,9393,1252,"I am founder and chairman of F-Secure. For the last five years I have led Nokia's reinvention as the company's chairman. In my heart, I am an entrepreneur.",62994,10595,"@barftolmai En puhunut sotimisesta mitään. Tarkoitin kansakunnan vaivalloista pyrkimystä itsenäisyyteen suurvallan… https://t.co/ZNMM3p7fGs"
,,,,,,"8/ With the growing popularity of higher and higher quality streamed TV formats, and especially, increasing use of… https://t.co/Da4uge6rFt"
,,,,,,"7/ Of course the global Internet backbone is actually comprised of lots of “smaller” (terabit-class) systems; FP4 w… https://t.co/divjHGlBaf"
,,,,,,"6/ The node would take about 10 ""racks"" of space - about the size of one two-car garage (and consume a lot of power 😃)."
,,,,,,"5/ With our FP4 processor in a maximum system configuration, a single Internet router can move more than half of gl… https://t.co/jR3FC9JCix"
,,,,,,"4/ Why does this matter?  In 2016 global average Internet bandwidth was about 106 “ExaBytes” per month (source: Bel… https://t.co/XWnjTD0pQ3"
,,,,,,"3/ The result?  A single FP4 can do 64 billion memory lookups per second.  While doing this FP4 has a voracious app… https://t.co/pg2tPeS8k8"
,,,,,,"@nokia 2/ Nokia's latest Internet processor is named FP4; it is the most advanced Internet processor ever built.  E… https://t.co/3t4aPsxBkb"
,,,,,,"1/ @nokia has com out with the fastest “internet processor”, FP4.

The Internet runs on special processors that are… https://t.co/zBV5GPJzSw"
,,,,,,"Let what has happened in the US be a wake up call for the rest of the world. We will follow unless we work together… https://t.co/mfoUayWF4W"
,,,,,,"RT @FSecure: Come see us at #Slush17 and talk about our dozens of open positions:

https://t.co/l0vtogYaFw https://t.co/9YjBxjMwP0"
,,,,,,"RT @lpolovets: Silicon Valley Dictionary:

AI: hard-coded decision tree
ML: human labor behind a web UI
Serial founder: masochist
Operator-…"
,,,,,,"RT @ndemassieux: Not sur that all CEOs will embrace #MachineLearning and #AI the same way than @rsiilasmaa but his blogpost is to be read b…"
