NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
satyanadella,1529697,155,"CEO of Microsoft Corporation",73146,79198,"Thank you to the educators &amp; students who participated in the #skypeathon – traveling 14,512,448 virtual miles! We’… https://t.co/gZjkcto3MJ"
,,,,,,"Partnering with @TomTom to offer @Azure Location Based Services – using the power of the cloud and IoT to connect s… https://t.co/VzhXB9rJts"
,,,,,,"RT @Azure: Microsoft and @SAP join forces to give customers a trusted path to #digitaltransformation in the cloud. https://t.co/lbUxYg7kZ9…"
,,,,,,"RT @tmyerson: Excited to get @Surface Book 2 into the hands of customers starting today!  And of course we ❤️ seeing the positive experienc…"
,,,,,,"Nearly 70 million @Minecraft #HourofCode sessions to date have introduced students around the world to coding and h… https://t.co/DvzwYhxJcn"
,,,,,,"Empowering every developer to build for the intelligent cloud and the intelligent edge #MSFTConnect  https://t.co/M1kuTQZpRL"
,,,,,,"Thanks for having me @JoshuaBaer and @CapitalFactory – fantastic to see the energy and innovation in the Austin sta… https://t.co/oKvqPpJJO8"
,,,,,,"@billmcraven @Microsoft @UTAustin @BobMetcalfe Thanks very much @billmcraven - an honor to meet you and spend time at @UTAustin"
,,,,,,"RT @Microsoft: Cameron, a university lecturer, is using #AI and accessible technology to achieve his life's goals. #InclusionInAction https…"
,,,,,,"Looking forward to the new season of Masters of Scale – always enjoy the perspective from @reidhoffman and his gues… https://t.co/8bYbMqbMVb"
,,,,,,"@ImRo45 Thanks @ImRo45 - always fun and inspiring watching you play!"
,,,,,,"RT @MSFTnews: Chief people officer Kathleen Hogan: How tech can speed your company’s cultural transformation https://t.co/kCBi8IGLph https:…"
,,,,,,"RT @LinkedIn: Today we're introducing Resume Assistant, a new way to craft your resume in Microsoft Word using LinkedIn insights: https://t…"
,,,,,,"RT @XboxP3: Proud of the team on the global launch of Xbox One X, giving devs the most powerful console to create and gamers the best place…"
,,,,,,"@anilkumble1074 @MicrosoftIndia Thanks very much, Anil. Always fun talking cricket and technology with you!"
,,,,,,"Thanks @bhash Look forward to partnering to build the connected vehicle platform of the future wtih Azure &amp; AI https://t.co/SS64dl4pnY"
,,,,,,"My heart goes out to all those impacted by the unthinkable and senseless violence in Texas today"
,,,,,,"Our hearts and thoughts are with the victims, their loved ones, and all those in New York City impacted by this horrific act of violence."
,,,,,,"RT @Microsoft: We’re partnering with @BGCA_Clubs to create new computer science learning opportunities for kids. https://t.co/joZLtMk2Vl"
,,,,,,"RT @Azure: We're giving customers unprecedented access to supercomputing capabilities w/ @cray_inc. Learn about #CrayinAzure: https://t.co/…"
,,,,,,"A look at how inclusive design can help students of all abilities learn and  collaborate in new ways https://t.co/NHmIgHmX1c"
,,,,,,"The moments that change our lives can also be a catalyst to empower others. https://t.co/PB9MDzpU2V"
,,,,,,"Always a pleasure to learn from you @PeteCarroll – you inspire me both on &amp; off the field. Thanks for sharing your… https://t.co/eTttLEhGPR"
,,,,,,"RT @BradSmi: Today we announced an exciting partnership w the @packers bringing world-class digital innovation &amp; expertise to #WI https://t…"
,,,,,,"RT @markrussinovich: Excited about bringing Azure Blockchain to our government cloud: https://t.co/fZhd88cqhf"
,,,,,,"Empowering the creator in all of us https://t.co/p29nbd0TJ6"
,,,,,,"RT @FortuneMagazine: Microsoft claims another cloud win as Symantec moves onto Azure https://t.co/SM8yR6OD1K"
,,,,,,"I’m always amazed by the ingenuity and creativity of educators and students using #MinecraftEdu – so cool to see ho… https://t.co/rByOy23MHR"
,,,,,,"@NandanNilekani @Microsoft Thanks very much @NandanNilekani - always a pleasure connecting with you"
,,,,,,"@TeamGleason Thanks so much Steve, for all of the inspiration, learnings and input you've provided to me and to our… https://t.co/fsbtqOH9Fw"
,,,,,,"RT @MSFTResearch: .@Microsoft &amp; @awscloud introduce new #deeplearning interface called Gluon &amp; will add support for Cognitive Toolkit https…"
,,,,,,"RT @MSFTnews: The financial services industry banks on the Microsoft Cloud for digital transformation https://t.co/FIw1qDyOCt #Sibos2017"
,,,,,,"@miller_cricket Thanks Andrew, was great fun chatting cricket with you"
,,,,,,"RT @jennylayfluffy: Meet the incredible talent that's a part of @Microsoft thanks to our Autism Hiring Program: 'Widening the spectrum' htt…"
,,,,,,"RT @MSFTResearch: .@Microsoft &amp; @fbOpenSource welcome @AMD, @ARM, @Huawei, @IBM, @Intel &amp; @Qualcomm to ONNX and #AI #interoperability https…"
,,,,,,"Thanks for sharing your #HitRefresh story, Melinda. I love the perspective and learning you and your team took away… https://t.co/vYtz23q9tj"
,,,,,,"Congratulations @harryshum on your induction to @theNAEng - thank you for your leadership and contributions to the… https://t.co/BA3Gc9LJBy"
,,,,,,"RT @MSFTnews: Microsoft Business AI tops the SQuAD leader board https://t.co/32nI2xxq7P https://t.co/JzgxlPMcZM"
,,,,,,"RT @judsonalthoff: Excited to share that @BankofAmerica has selected @MSCloud to support business &amp; cultural transformation https://t.co/6I…"
,,,,,,"Congratulations Carol! Your work has inspired so many, including me, to adopt a “learn-it-all” mindset. https://t.co/acKeZhzLBl"
,,,,,,"The first spatial operating system spanning the intelligent cloud to the intelligent edge. https://t.co/R6s0FMq4f4"
,,,,,,"@Willow_Bay @Microsoft Thanks very much, Willow. I enjoyed our conversation."
,,,,,,"My heart &amp; thoughts are with all the people, families &amp; responders in Las Vegas impacted by this horrific &amp; senseless violence."
,,,,,,"RT @ringer: Before he became the owner of the Clippers, Steve Ballmer was the coach of a third-grade powerhouse https://t.co/mPI1qw7Wfy"
,,,,,,"Another incredible example of DNA data storage https://t.co/xNquWAdlzN"
,,,,,,"RT @tmyerson: Great read if you want to understand just how @Microsoft_Green is working to improve sustainability in the tech industry. htt…"
,,,,,,"RT @chriscapossela: Ford Designers use HoloLens to Design Better Cars https://t.co/m52iNsbbZq via @WIRED"
,,,,,,"@CathyBessant @AmerBanker Congratulations @CathyBessant and all of the leaders recognized!"
,,,,,,"@Steven_Ballmer @Microsoft Thanks very much Steve, I appreciate all I’ve learned from you and all you’ve done for Microsoft."
,,,,,,"RT @BradSmi: An important step towards advancing #STEM &amp; CS in American schools -- and a big win for our nation's young people.. https://t.…"
,,,,,,"#HitRefresh is out today, I hope it starts a meaningful dialogue &amp; chance to learn from others’ hit refresh moments https://t.co/ufTassSzpb"
,,,,,,"@BillGates Thank you Bill, not only for writing the Foreword of the book, but also for your insight and guidance over the years. #hitrefresh"
,,,,,,"RT @geekwire: One year later, Microsoft AI and Research grows to 8k people in massive bet on artificial intelligence
https://t.co/BQtgdNRen…"
,,,,,,"Great look at how our partner @Ford is envisioning the future of car design with @HoloLens https://t.co/r0b7Nwo536"
,,,,,,"@PeteCarroll @Microsoft Thanks @PeteCarroll - great addition to my office! #AlwaysCompete #GoHawks #12s https://t.co/kDqwletH6v"
,,,,,,"Our thoughts are with our employees &amp; all those impacted in Mexico &amp; the Caribbean, today and in the ongoing relief &amp; recovery efforts."
,,,,,,"@bethcomstock Really looking forward to it, Beth!"
,,,,,,"RT @MSFTnews: .@DevonEnergy uses #Microsoft365 to empower employees to be more productive while increasing operational efficiency https://t…"
,,,,,,"Thank you @Steven_Ballmer for all you've done for Microsoft &amp; the global community. Honored to recognize you &amp; mark… https://t.co/bFEJeeeFoL"
,,,,,,"RT @MSFTnews: Microsoft Azure becomes first cloud to offer new data security capabilities with Azure confidential computing https://t.co/Hm…"
,,,,,,"RT @OfficeNews: Guest access in @MicrosoftTeams is now rolling out to all Office 365 commercial and education customers. https://t.co/tzPwq…"
,,,,,,"Welcome @createcultivate to @Microsoft – thrilled to have you here for #CreateCultivateSEA https://t.co/92q64OojXw"
,,,,,,"RT @OfficeNews: Microsoft and @Adobe expand their strategic partnership to drive e-signatures and collaboration in the Cloud. https://t.co/…"
,,,,,,"Early copies of #HitRefresh just arrived. Here’s why I wrote it: https://t.co/1MUhAhnKlb on @LinkedIn"
