NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
scarletfu,31069,1141,"Anchoring Bloomberg Markets, What'd You Miss (2-5pm) & ETF IQ (Weds 1230-1pm) on Bloomberg TV. My interests: charts, higher ed, demographics, TV shows, sports.",273406,741,"couldn't agree more. he's 1 of my favorites too https://t.co/Qa4OHc3zIM"
,,,,,,"@SethAbramson fascinating times, thanks for sharing your insight and taking the time to speak w/ us!"
,,,,,,"RT @SethAbramson: PS3/ MEDIA UPDATE: I'll be interviewed on Bloomberg TV at 2:40 EST, for those interested."
,,,,,,"RT @WallStCynic: To Recap: “We had nothing to do with Russia!” “There were no meetings with Russians” “The meetings were about adoptions.”…"
,,,,,,"RT @ObsoleteDogma: This was *while Trump was a candidate* https://t.co/sWxVPWndpI"
,,,,,,"USD TUMBLES, YIELDS DROP, STOCKS FALL ON REPORT FLYNN TO TESTIFY VERSUS TRUMP"
,,,,,,"RT @EricBalchunas: Gotta give credit to the Tax Reform ETF, it's doing exactly what it promises: popping on tax reform optimism.. $TAXR htt…"
,,,,,,"RT @StevenTDennis: There is a huge, behind the scenes fight in the Senate right now, with hundreds of billions at stake.
*Ted CRUZ* leading…"
,,,,,,"RT @davidgura: ""The wave of sexual assault, harassment and misconduct allegations ... is also stirring up debate in the field of national s…"
,,,,,,"RT @EricBalchunas: Here are the latest fund flows as we enter the home stretch:
ETFs: +$410b (record)
Index MFs: +$210b (record)
Active MFs…"
,,,,,,"RT @TheTerminal: Join @EricBalchunas and @ScarletFu today for ""ETF IQ"", where it's all ETFs, all the time.  Live on TV &lt;GO&gt; at 12:30 PM ET.…"
,,,,,,"RT @JChatterleyBBG: Gabelli's Chris Marangi talks AT&amp;T, TWX, DoJ, FCC, media consolidation and more! @scarletfu https://t.co/QpHhfeh12v"
,,,,,,"... and #ETFIQ continues the '80s theme. https://t.co/5E5UlaYCQj"
