NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
sciencemagazine,1075958,1454,"The world's leading outlet for cutting-edge research in all areas of science. Follow @NewsfromScience for stories from our news team.",7863,6869,"""Flink"", short for ""functional living ink"", could be used to 3D-print biosensors and microbial fuel cells. More in… https://t.co/nkn6PB2vgv"
,,,,,,"Talking legendary yeti, prehistoric farming, and much more in the newest episode of our Science Podcast: https://t.co/eiAqD5B7f6"
,,,,,,"In @SciSignal: the inner workings of the calcium channel Orai1 https://t.co/obgNBmA2YD https://t.co/Fbari4VDGe"
,,,,,,"Who has your vote for this year's #BOTY17?

Time is running out -- make your pick today: https://t.co/dnZU8032H6"
,,,,,,"The role of osteoblasts in mobilizing neutrophils to foster tumor growth: https://t.co/V7xRBaKFac https://t.co/IrlnORj3hl"
,,,,,,"RT @NewsfromScience: Nine nations and the European Union have reached a deal to place the central Arctic Ocean off-limits to commercial fis…"
,,,,,,"This week's Policy Forum: guiding principles for the sponsors and supporters of gene drive research… https://t.co/LjtpXTim1A"
,,,,,,"New designs for self-folding scaffolds in @ScienceAdvances could extend the functions of printed lattice structures… https://t.co/vMP7XCP56O"
,,,,,,"Scallops have 200 fine-tuned eyes that reflect like a telescope. Read the research: ($) https://t.co/NCsoWgGt71 https://t.co/8tWQ58hPYz"
,,,,,,"Little is known about how pterosaurs bred -- but a giant cache of fossilized eggs in China is providing valuable in… https://t.co/i9M800WMge"
,,,,,,"How pterosaurs grew up, quicker estimates for earthquake magnitudes, and a special feature on surging glaciers in o… https://t.co/YcQf3zn7Y1"
,,,,,,"Archaea are known for being able to survive in extreme locations -- but microbiologists are also looking for them a… https://t.co/WJ4WcnrlWA"
,,,,,,"Have you made your pick for the scientific Breakthrough of the Year yet? Voting for round one closes Sunday: https://t.co/dnZU8032H6 #BOTY17"
,,,,,,"RT @NewsfromScience: Prehistoric women shouldered a major share of the digging and hauling in early agricultural societies, a new study fin…"
,,,,,,"RT @ScienceTM: The new issue of Science Translational Medicine is out now!  https://t.co/IjisrSSNwg https://t.co/HCCcWRRI5U"
,,,,,,"This week's Policy Forum: four steps for sustainably managing water resources ($) https://t.co/z1FTMq5cRn https://t.co/6rGcAtBypH"
,,,,,,"RT @NewsfromScience: Microbes engineered to host two additional genetic bases could produce over 150 different amino acids: https://t.co/Tg…"
,,,,,,"This week's Editorial: the interdisciplinary goals of the new International Science Council https://t.co/VHALIAAbsk https://t.co/f1AuV02pfY"
,,,,,,"RT @NewsfromScience: ""Yeti"" remains aren't actually from the abominable snowman -- but they are teaching us more about bears: https://t.co/…"
,,,,,,"As pesticide resistance continues to rise, what steps can be taken to combat mosquito-borne disease?… https://t.co/fPNH8inM29"
,,,,,,"Share your scientific New Year's resolution with #NextGenSci by Friday for your chance to be published in Science: https://t.co/WOfjRgBgl3"
,,,,,,"RT @scisignal: The new issue of Science Signaling is out now!  https://t.co/QWkwpWw1Kw https://t.co/KTjX4o8PTT"
,,,,,,"@SBAmin This should now be fixed; let us know if you're still having any issues. Thanks for the notification!"
,,,,,,"Why do Earth's equatorial Kelvin waves head east? ($) https://t.co/MfAVODLzLs https://t.co/7MXDU26xTn"
,,,,,,"Which skills from your Ph.D. could help you the most in your career? Take a look: https://t.co/JRNdfbULPi @ScienceCareers"
,,,,,,"RT @ScienceCareers: Working Life: ""Most undergraduates are completely new to research, so it is crucial to explain the broader context for…"
,,,,,,"Quantum phenomena, 8,000-year-old dog leashes, and more in the newest episode of our Science Podcast: https://t.co/oyBS92oh2o"
,,,,,,"RT @aaas: Voting is now open for the @sciencemagazine Breakthrough of the Year's People Choice Award! Learn more and vote: https://t.co/zww…"
,,,,,,"RT @NewsfromScience: Bees stick pollen on their hairy legs to carry it back to the hive: https://t.co/lvYag6uNlH"
,,,,,,"A detailed comparative analysis of human, chimpanzee and macaque brains reveals elements that make the human brain… https://t.co/3lzFuHaAd9"
,,,,,,"In @ScienceAdvances: how drought and precipitation declines disrupted the Biblical city of Tel Dan… https://t.co/oXfO9pjClD"
,,,,,,"Cast your vote for this year's scientific breakthrough of the year: https://t.co/dnZU8032H6 #BOTY17"
,,,,,,"In @ScienceTM: why CAR T cell therapies sometimes fail in treating a particular type of leukemia… https://t.co/qye05BVnnK"
,,,,,,"RT @NewsfromScience: Voting is open for the 2017 @sciencemagazine Breakthrough of the Year! Make your pick for the People's Choice award to…"
,,,,,,"This week's Working Life: what being a mentor taught one researcher about being a better scientist https://t.co/55rmlPVWoO"
,,,,,,"""Where the Wild Coffee Grows"" explores the origins -- and weak points -- of the crop behind one of the world's most… https://t.co/qfNbf7KLSg"
,,,,,,"An EU ban on wild birds reduced their trade, but led to the creation of new trade routes elsewhere. Read the resear… https://t.co/VKZU22QAmC"
,,,,,,"A new type of metamaterial undergoes a surprising twist when compressed, blurring the boundary between materials an… https://t.co/gPWAhiZcc0"
,,,,,,"In @SciRobotics: newly engineered tiny robots are able to navigate complex biological environments with high precis… https://t.co/FSy3l4WodR"
,,,,,,"A new report in @ScienceAdvances tracks long-term trends in our increasingly brightening Earth:… https://t.co/YfzAp100Rx"
,,,,,,"An atom smasher being built in Michigan could shine light on the cosmic origins of gold: ($) https://t.co/H2QluUCTTP https://t.co/8Yp99EWMEo"
,,,,,,"Recent research is pointing the way towards the future of plastics recycling: https://t.co/oeQZaJWQ76 https://t.co/568KHeCUGI"
,,,,,,"Infants understand that more desirable rewards require more effort, a new Science study finds: ($)… https://t.co/0S5QH0Ym55"
,,,,,,"Neural circuitry, goal-oriented babies, and strangely twisted metamaterials in our new issue:… https://t.co/UU9Qwnlzhj"
,,,,,,"What are scientists thankful for this Thanksgiving? @ScienceCareers asked, you answered: https://t.co/GIwNvZBFYE"
,,,,,,"Results from the High-Altitude Water Cherenkov gamma-ray observatory suggest an exotic origin for cosmic positrons:… https://t.co/qYJwPYbqSI"
,,,,,,"RT @NewsfromScience: Armed with tough computer chips, scientists are ready to return to the hell of Venus: https://t.co/0VpRqB4HiM https://…"
,,,,,,"What would your New Year's resolution be for your scientific field? Your answer could be published in a future issu… https://t.co/sc8OTGwzkF"
,,,,,,"What’s the difference between a scientist and an engineer? https://t.co/UFaoKfXzH2 @ScienceCareers @adam_ruben"
,,,,,,"How writing haiku
made me better at science:
this week's Working Life 

https://t.co/7fFjYYzz7e https://t.co/U0dtbEYKFa"
,,,,,,"RT @scisignal: The new issue of Science Signaling is out now!  https://t.co/z8KukBvivV https://t.co/bOYDLQrHuh"
,,,,,,"Does author order in scientific papers accurately convey research contributions? A new @ScienceAdvances report digs… https://t.co/RjgklP79B6"
,,,,,,"The bones of the 42,000-year-old Mungo Man are being repatriated, capping a decades-long battle: ($)… https://t.co/2TufLUYKY2"
,,,,,,"RT @NewsfromScience: The alkali fly has a one-of-a-kind coat that helps it survive one of the world's saltiest lakes: https://t.co/MQLFu0uj…"
,,,,,,"What are the major roadblocks to plant-based plastics? https://t.co/uno0gJs0Fs https://t.co/9ohpgg8Isx"
,,,,,,"A new book revisits early cultural conceptions of ""Patient Zero and the Making of the AIDS Epidemic"": https://t.co/qhCWRKtWyM @SciMagBooks"
,,,,,,"What can the battle over CRISPR teach us about the future of scientific patents? ($) https://t.co/aasLNs8Edr https://t.co/YYsFx4vAsE"
,,,,,,"""Humanity must urgently rethink the way we make and use plastics."" This week's Editorial: https://t.co/2E7sZ7bre9 https://t.co/fBRD5shKq1"
,,,,,,"In @SciImmunology: the role of naïve T cell death in antitumor activity https://t.co/RlTj9rkMGW https://t.co/vSID53aV2p"
,,,,,,"Learn more about the emergence of writing systems in the newest episode of the Science Podcast: https://t.co/hb33s0W5zT"
,,,,,,"In @ScienceTM: a new method for tracking how genetic changes affect cancer development and treatment resistance… https://t.co/Bc7TtBeYzq"
,,,,,,"RT @NewsfromScience: Boston University has concluded that geologist David Marchant engaged in sexual harassment while working at an Antarct…"
,,,,,,"RT @SciImmunology: Tumors take advantage of naïve T cells, depleting their stock &amp; overall #immunity against #cancer, says @UMich study htt…"
,,,,,,"A new @ScienceAdvances study forecasts how specific areas of melting ice could affect rising sea levels near a give… https://t.co/yKXEwj6sJj"
,,,,,,"RT @NewsfromScience: Scientists want your help tracking mosquitoes—and all you need is a cellphone: https://t.co/wpX0NFuwzP https://t.co/9a…"
,,,,,,"Young investigators in cancer research are encouraged to apply for the 2018 @AAAS Martin and Rose Wachtel Cancer Re… https://t.co/9qiKCWUZ8R"
,,,,,,"Scientists: what are your New Year's resolutions for your field? Share your thoughts in our newest #NextGenSci: https://t.co/WOfjRgBgl3"
,,,,,,"RT @NewsfromScience: These may be the world’s first images of dogs—and they’re wearing leashes: https://t.co/hAahd8xBbt https://t.co/UfuJEi…"
,,,,,,"Natural selection shaped the rise and fall of passenger pigeon genomic diversity. Read the research:… https://t.co/OJdSSgViNb"
,,,,,,"In @SciSignal: a new potential therapeutic target could improve mouse models of T cell acute lymphoblastic leukemia… https://t.co/Ggre2qckkE"
,,,,,,"What power grids can teach us about cascading failures -- and how to curtail them: ($) https://t.co/4ntfJ9oBRf https://t.co/LIHDZNMJR0"
,,,,,,"Building better plastics, understanding why power grids fail, and what passenger pigeons tell us about contemporary… https://t.co/6l3ZDjVpti"
,,,,,,"Ph.D.s pursue a variety of careers after graduating. A new classification system attempts to reflect that:… https://t.co/St3OoPFAmA"
,,,,,,"RT @NewsfromScience: ""It’s the closest thing you’re going to get to a YouTube video.""

Engravings in Saudi Arabia appear to depict humans a…"
,,,,,,"How are fly brains inspiring better search algorithms? Read the research: ($) https://t.co/5N2OvBoXiQ https://t.co/uQtVaOvgWI"
,,,,,,"A new book explores humanity's future ""Living with Robots"": https://t.co/wZgD6YIBO1 @SciMagBooks"
,,,,,,"RT @NewsfromScience: Ross 128 b, an exoplanet found just 11 light-years away, could be in a friendly location for alien life: https://t.co/…"
,,,,,,"Recent research is uncovering the connections between olfaction, metabolism, and aging: ($) https://t.co/c7mG1PQoNH https://t.co/mY5mOKBfB0"
,,,,,,"How are temperature changes affecting Bermuda's coral reefs? Read the research in @ScienceAdvances:… https://t.co/FdYrZz3uG3"
,,,,,,"RT @scisignal: The new issue of Science Signaling is out now! https://t.co/9ddzgNBQQj https://t.co/ZffA2GQ1LR"
,,,,,,"""Building trust in science and fostering scientific excellence is central to UNESCO's work."" This week's Editorial:… https://t.co/CvBgezevTp"
,,,,,,"Clonal hematopoesis affects more people over 70 than previously thought -- and it can double their risk for heart d… https://t.co/HcacMOtMXQ"
,,,,,,"In @SciImmunology: a new cancer vaccine turns up the heat on melanoma in mice https://t.co/c1CIfRIxsw https://t.co/7W9XxqNfdY"
,,,,,,"Canada's Cordilleran Ice Sheet may have retreated 1,000 years earlier than previously thought: ($)… https://t.co/LAjLcBIpGB"
,,,,,,"""Fighting for my Dream"": this week's Working Life https://t.co/ef1fIpEzX7"
,,,,,,"A new @ScienceAdvances paper on deep-sea fish is challenging our understanding of how visual systems evolved:… https://t.co/0dEHC08guA"
,,,,,,"This week's Science Podcast covers the latest scientific research, news -- and scientific research on the news: https://t.co/hJ8a6gF7L0"
,,,,,,"In @SciSignal: new frontiers in understanding fragile X syndrome https://t.co/p0xbHFomdw https://t.co/RXoKyAA2Vd"
