NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
scott_e_reed,4851,910,"Research Scientist at Google Deepmind",35748,1044,"RT @soumithchintala: Because this study is getting so much twittention, and evaluates Wasserstein GAN, I'lll try get one thing straight:
-…"
,,,,,,"RT @goodfellow_ian: @GiorgioPatrini FWIW, many of the papers citing the original GAN paper *are* improvements or extend GANs to solve new t…"
,,,,,,"RT @jaschasd: Learning to sample using deep neural networks! Hamiltonian Monte Carlo + Real NVP == trainable MCMC sampler that generalizes,…"
,,,,,,"RT @vkrakovna: Our new paper presenting a set of open source environments to illustrate long-term AI safety problems... https://t.co/Wgr8Vq…"
,,,,,,"RT @stewartbrand: I will buckle down to work as soon as I finish reading the Internet."
,,,,,,"RT @avdnoord: Introducing Parallel WaveNet, or how to generate 500,000 audio samples per second :). This is our generative Text-To-Speech m…"
,,,,,,"RT @OriolVinyalsML: Almost 3000x speedup with Parallel WaveNet (Google Speech production model). Brought to you by @avdnoord et al. Drastic…"
,,,,,,"RT @DeepSpiker: Neat idea and a great paper from @avdnoord et all! And yes, it maximises likelihoods. https://t.co/dgCYoYNmCL"
,,,,,,"RT @avdnoord: Audio samples here: https://t.co/AOk0G57KRP"
,,,,,,"RT @sapinker: Dershowitz gives moderate talk on Israel @ Berkeley -&gt; subjected to vicious anti-Semitism  https://t.co/ZRI4k5SbPa via @Evolu…"
,,,,,,"RT @poolio: Ridiculously good looking GAN results from Karras et al. (NVIDIA) by progressively growing the network: https://t.co/1orw5jCn5m…"
,,,,,,"@gdb Could he join full-time as a researcher after graduating high school? I think that would be awesome actually."
,,,,,,"@AnnakaHarris @dgelles @nytimes @susankgreenland Well done!"
,,,,,,"RT @AnnakaHarris: .@dgelles created a wonderful mindfulness guide for children in @NYTimes that feat my work w/ @susankgreenland: https://t…"
,,,,,,"RT @OpenAI: AIs which develop faking, tackling, blocking, kicking through self-play: https://t.co/Ml4AAqFa67"
,,,,,,"RT @kastnerkyle: I hate linking to the article but it is IMO a demonstration of what is wrong with tech press these days https://t.co/sPZa8…"
,,,,,,"RT @demishassabis: WaveNet: the best text-to-speech system in the world. So proud of the team, from research to full-scale production in a…"
,,,,,,"@avdnoord Awesome!!!"
,,,,,,"RT @avdnoord: WaveNet is now on your phone :). We have made it 1000x faster since the original paper one year ago. https://t.co/TEhxqYr2Zg…"
,,,,,,"RT @dorrismccomics: pitch https://t.co/BMmiX6N93l"
,,,,,,"RT @dpkingma: Amazing talk/paper by Jose Miguel Lobato et al on design of novel molecules (drugs, LEDs, etc) using Grammar VAEs: https://t.…"
