NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
slashML,5484,6,"Official Twitter Feed For https://t.co/5qp68DBh9K",319,1324,"Has anyone here ever hired a self-taught person? If so, how did it go? To those of you who are in a position to hir… https://t.co/TsM59Yktoc"
,,,,,,"Amazon Macie: A machine learning service https://t.co/ItlzXx0Jp3"
,,,,,,"Convolutional Neural Networks for Sentence Classification(TextCNN) implements by Tensorflow 1.4 https://t.co/hQUPHh9c1d"
,,,,,,"NIPS - Tips on conference going without tickets? https://t.co/syU6HROB45"
,,,,,,"I like to run a big fat resnet when I wake up in the morning https://t.co/IxZcrzfVSj"
,,,,,,"ICLR OpenReview Explorer: Sort/filter papers by average review score (plus some pretty charts) https://t.co/a6cntFm62v"
,,,,,,"Nepotism in ML https://t.co/v8i3H3IEQ7"
,,,,,,"PC build for ML Research https://t.co/beeQQpT6Qg"
,,,,,,"Essential Guide to keep up with AI/ML/CV https://t.co/4G8B0fNlf1"
,,,,,,"What is Natural Language Processing? Get started https://t.co/mF8KsTefDo"
,,,,,,"TopoSketch https://t.co/zgCCToteIo"
,,,,,,"What is the most significant thing you've learned in the past month ? https://t.co/qPQLWZKOUf"
,,,,,,"TOROS N2 - lightweight approximate Nearest Neighbor library which runs faster even with large datasets https://t.co/cCH4Jv48le"
,,,,,,"The Intelligent Plant https://t.co/9HyGtTtJzr"
,,,,,,"How do you interpret this ResNet on CIFAR-10 database? https://t.co/1DeBLuvmQM"
,,,,,,"Learning to Learn without Gradient Descent by Gradient Descent https://t.co/DHXjEqVzhQ"
,,,,,,"Keras text classification library https://t.co/EOjLjgcdcq"
,,,,,,"ICLR Reviews have been posted https://t.co/Ll8CXlsVq9"
,,,,,,"Good methods for seasonal time series classification? https://t.co/rz00SWcYvU"
,,,,,,"Google's large scale GAN-Tuning paper unfairly dismissed WGAN https://t.co/kAh4XH4Ud7"
,,,,,,"HoME: a Household Multimodal Environment https://t.co/kO7cpfxXZV"
,,,,,,"Looking for papers on treating regression as classification vs. just regression https://t.co/XsraH3XPiw"
,,,,,,"Satoshi Battleship Bot Challenge https://t.co/C2nU3Rm7st"
,,,,,,"A Year in Computer Vision https://t.co/sHmZouSfLs"
,,,,,,"High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs https://t.co/FXbK9bhgSZ"
,,,,,,"Relation Networks for Object Detection (a fully end-to-end object detector) https://t.co/7LVi2x0QA8"
,,,,,,"Google Introduces AIY Vision Kit: On-device neural network acceleration, providing powerful computer vision without… https://t.co/1Wo5X3WNbK"
,,,,,,"Deep Learning Head Pose Estimation using PyTorch https://t.co/hSDxTrEtxm"
,,,,,,"Costly hyperparameter optimization methods may be worthless https://t.co/4tHNbj5wG4"
,,,,,,"Model-based Reinforcement Learning with Neural Network Dynamics https://t.co/OhUwHTEcbZ"
,,,,,,"The impact of mutation on genetic algorithm https://t.co/msdpAJKjjP"
,,,,,,"""Deep Image Prior"": deep super-resolution, inpainting, denoising without learning on a dataset and pretrained netwo… https://t.co/iFIOr8upVx"
,,,,,,"visualizing optimizers on toy problems https://t.co/M5ec8I5O1U"
,,,,,,"My first blog post: a summary of ""First-order Methods Almost Always Avoid Saddle Points"" https://t.co/KLYut1YknT"
,,,,,,"Announcing the Initial Release of Mozilla’s Open Source Speech Recognition Model and Voice Dataset https://t.co/gTDo7KjIW9"
,,,,,,"Clustering of Time Series Subsequences is Meaningless: Implications for Previous and Future Research https://t.co/17el97Sw4y"
,,,,,,"Does machine learning with a GeForce GTX GPU in a Linux virtual machine work? https://t.co/qx4qDGICaC"
,,,,,,"Glossary: Machine Learning Terminology For Beginners https://t.co/7QZoUhwFR2"
,,,,,,"Would anyone find useful a ""Github"" for trained models? https://t.co/wxjK95ZgSs"
,,,,,,"Roger Grosse's ""Theorem 2"" challenge: exponential families, Bregman divergences and duality (inFERENCe) https://t.co/s2S5ST38ex"
,,,,,,"Dynamic Routing Between Capsules - full PyTorch implementation with visualizations https://t.co/T153lEAXSB"
,,,,,,"Glance at Reinforcement Learning - Introductory Course https://t.co/XRqv2ZM2Fj"
,,,,,,"Learning to Segment Every Thing https://t.co/VlG5YpQCQb"
,,,,,,"Parfit — hyper-parameter optimization with visualizations for Sklearn https://t.co/7UzT24ZEz6"
,,,,,,"Are GANs Created Equal? A Large-Scale Study https://t.co/wg04X7TkoC"
,,,,,,"Probability assessment for the output node https://t.co/DgNV1TbpAT"
,,,,,,"CNTK 2.3: Better ONNX, NCCL2, Improved C# API, Network Optimization API (SVD, quantization), etc. https://t.co/H4B3TJ788r"
,,,,,,"Dress code at NIPS? https://t.co/Xt77acWbF2"
,,,,,,"DeepMind Pycolab: A highly-customisable gridworld game engine https://t.co/fsDwLm3AAJ"
,,,,,,"Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples https://t.co/uKlbxV9JtR"
,,,,,,"Distilling a Neural Network Into a Soft Decision Tree https://t.co/Bmcj1H0MmD"
,,,,,,"CondenseNet: An Efficient DenseNet using Learned Group Convolutions https://t.co/c9DneXqPyd"
,,,,,,"Population based training of neural networks | DeepMind https://t.co/BJcRExiSGU"
,,,,,,"ICLR Reviews https://t.co/oGBN0hLenn"
,,,,,,"Distributed TensorFlow: A Gentle Introduction https://t.co/l3xLoHut21"
,,,,,,"Sequence Modeling With Connectionist Temporal Classiﬁcation https://t.co/5IDpCQ1Ng3"
,,,,,,"On the Impossibility of Supersized Machines https://t.co/GtLIjslmFB"
,,,,,,"The impossibility of intelligence explosion https://t.co/edZIx37Gbc"
,,,,,,"IVE-GAN: Invariant Encoding Generative Adversarial Networks https://t.co/3gsK04eZme"
,,,,,,"What are the openly available courses/videos on online learning https://t.co/D86jZLFMbK"
,,,,,,"Amazon Launches ML Solutions Lab - Connecting Amazon ML Engineers With AWS Customers https://t.co/m4IyYnwvkt"
,,,,,,"Finding Magic: The Gathering archetypes with Latent Dirichlet Allocation https://t.co/yzu64sYk0S"
,,,,,,"Deep Learning on embedded devices. https://t.co/XXnFLdjNAl"
,,,,,,"Dataset with audio of voice and labeled ""important"" sections https://t.co/CSa8RWCYgm"
,,,,,,"Multiple sequence prediction (LSTM) https://t.co/qq7FGrKW0a"
,,,,,,"StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation https://t.co/5XtuZXIGkT"
,,,,,,"Parametric tSNE implemented in Python using Tensorflow https://t.co/1BLiD4rtB3"
,,,,,,"Why do we use gumbel softmax instead of simple softmax for discrete cases? https://t.co/X82rK8mCTe"
,,,,,,"Tutorial: Making AI Art with Style Transfer using Keras https://t.co/bwHRGzCOFb"
,,,,,,"CNN in numpy https://t.co/CLIwHHxrRq"
,,,,,,"OSQP: a new first-order solver for large-scale quadratic programs https://t.co/l7wc2R5Ibd"
,,,,,,"Crayon: A framework for using Tensorboard with a RESTful API in any language https://t.co/ulOzThhrcy"
,,,,,,"What is the best method for sentence classification that has full of short text? I tried attention on top of LSTM a… https://t.co/POOgxh44yg"
,,,,,,"How does posterior collapse in VAEs happen? https://t.co/8UVEfeU68f"
,,,,,,"Cycling Power Predictions II: Physics-Inspired Feature Engineering https://t.co/Kp8mvZcbwQ"
,,,,,,"What are the advantages and disadvantages of having multiple GPUs in a personal Deep Learning machines? https://t.co/i7dkhMQLCx"
,,,,,,"What is Gaussian MLP Policy https://t.co/ANHPndbDYH"
,,,,,,"(really a question): Best host &amp; guest combo for (mostly) ML work and (some) gaming for new machine? https://t.co/yZ0dHxvPft"
,,,,,,"Visual Medium for Mathematical Exploration - Michael Nielsen https://t.co/D3L97AJsMd"
,,,,,,"Speeding up DQN on PyTorch: How to Solve Pong in 30 Minutes https://t.co/RNBAlL7ZyK"
,,,,,,"Deep learning starters pack https://t.co/D1BM28rlMl"
,,,,,,"Coupled Ensembles of Neural Networks https://t.co/2G0wxzDneV"
,,,,,,"I made a movie recommendation system in C as my first ML project in University https://t.co/iGLhpxX2pq"
,,,,,,"Trial and error approach to deep learning: image classification on CIFAR-10 https://t.co/Sgf3JYZrXi"
,,,,,,"An empirical study on evaluation metrics of generative adversarial networks https://t.co/x4RLPJFgHo"
,,,,,,"- Application or Practicality of Machine Learning on A Small Dataset https://t.co/puAg0Q5Qg2"
,,,,,,"Can CNN Autoencoders be used to reduce the dimensionality of a large, partially labelled datasets (for use in end t… https://t.co/EGmUQSjkNN"
,,,,,,"Those who are working professionally in ML and/or academics who have completed graduate-level coursework in ML: Are… https://t.co/mEaVTEvhI4"
,,,,,,"Tensorflow implementation of Graph Convolutional Network https://t.co/637wddDFvo"
,,,,,,"Direct Future Prediction - Supervised Learning for Reinforcement Learning (with Keras Implementation) https://t.co/zyA6byFKLH"
,,,,,,"New Nature journal: Nature Machine Intelligence https://t.co/XCHfeBRcHx"
,,,,,,"Probabilistic graphical models: parameter estimation and inference algorithms https://t.co/X4yNpoK5Nn"
,,,,,,"Leela Zero: a community open source project for machine learning in Go software. Call for help! https://t.co/6QZYfmQBwV"
,,,,,,"AANN: Auto-Encoder with tied weights and abs activations for structured representations https://t.co/vUhb3uiStL"
,,,,,,"Mastering the Dungeon: Grounded Language Learning by Mechanical Turker Descent https://t.co/CJArKuFonP"
,,,,,,"Shift: A Zero FLOP, Zero Parameter Alternative to Spatial Convolutions https://t.co/tUhLN8nOuH"
,,,,,,"Capsule Networks (CapsNets) – Tutorial https://t.co/7Idk9JcNcd"
,,,,,,"High-fidelity speech synthesis with WaveNet | DeepMind https://t.co/y04GV7Qr8Y"
,,,,,,"Complete Draft Published - Reinforcement Learning: An Introduction, by Sutton and Barto https://t.co/61cRSxcOA5"
,,,,,,"A lot of AI &amp; ML is built around the internet. Help fight to keep this technology free! https://t.co/okjMbXDMEh"
,,,,,,"MinimalRNN: Toward More Interpretable and Trainable Recurrent Neural Networks https://t.co/MEQaYsfpff"
,,,,,,"fMoW challenge ($100k in prizes) team release competitive baseline mid-challenge and research paper https://t.co/fOsUuxwxCh"
,,,,,,"Anyone care to link the PDF for 'Building machines that learn and think for themselves' from Deepmind published abo… https://t.co/6JUJxzPCS6"
,,,,,,"Do the weights trained from a dataset also come under the same license terms as the dataset? https://t.co/7CgSWy7DIb"
,,,,,,"Knowledge Concentration: Learning 100K Object Classifiers in a Single CNN https://t.co/1fS67xDmH6"
,,,,,,"Has anyone tried out the Split-brain autoencoder? https://t.co/VOH23mURBe"
,,,,,,"Non-local Neural Networks https://t.co/J3xZgeUju3"
,,,,,,"Nvidia's iOS App Mug Life Brings Your Photos to Life with 3D Animation https://t.co/94fv8KgFpd"
,,,,,,"Calculating Influence function for any Tensorflow models https://t.co/xVydH1bALV"
,,,,,,"Implementation of Neural Tensor Network for Knowledge-base completion in Python using Keras. https://t.co/MUkb3Eu0Nd"
,,,,,,"Understanding the Mixture of Softmaxes (MoS) https://t.co/d2dFQtxYiP"
,,,,,,"Optimization Algorithms: Math and Code https://t.co/Mz4G7OKlLH"
,,,,,,"Chainer Implementation of ""Neural Programmer-Interpreters"" https://t.co/9qdUaxamDZ"
,,,,,,"Time-Contrastive Networks: Self-Supervised Learning from Video https://t.co/HWB0Ven8re"
,,,,,,"Deep Learning Toolkit for Medical Image Analysis https://t.co/tUnqMSZlNc"
,,,,,,"If I'm interested in investing (financially) in deep learning, are there any companies/funds worth looking into? https://t.co/H8PMZktD6u"
,,,,,,"Spectral Normalization for Generative Adversarial Networks, ""first GAN to ever fit all 1000 ImageNet classes in one… https://t.co/xP2u2jZ40Q"
,,,,,,"Predicting Cryptocurrency Prices With Deep Learning https://t.co/vIIAjoiLwS"
,,,,,,"GCP lowers GPU pricing by up to 36%: K80 at 40c/hr and P100 at $1.46/hr https://t.co/bGkNzN0NyM"
,,,,,,"L2 Regularization versus Batch and Weight Normalization https://t.co/rwk6jeFAy0"
