NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
sleepinyourhat,3072,10289,"Faculty at @nyuling and @NYUDataScience. Occasionally rambles about urbanist, surrealist, or culinary matters.",225962,927,"@BayesForDays Don't see why not... ask!"
,,,,,,"My undergrad department is hiring in computational linguistics!
https://t.co/if7IPPrapa"
,,,,,,"RT @BrooklynSpoke: NYPD's only way to respond to threats against walking and biking is to make walking and biking miserable. https://t.co/K…"
,,,,,,"RT @yfreemark: Here's the @RegionalPlan 4th plan website: https://t.co/uHJRJFKTS8 Here are the subway line expansions the organization prop…"
,,,,,,"RT @haldaume3: while I'm pretty sure I've probably done this once or twice out of foolishness, I totally agree with @Smerity here https://t…"
,,,,,,"Retweeting mostly for the glorious abbreviation AppAmaGooBookSoft. https://t.co/jsXvvxK2d3"
,,,,,,"RT @HillaryClinton: Sometimes it’s hard to know what to do after a loss. Not this time. 
This tax bill is only going to get worse as people…"
,,,,,,"RT @WorkingFamilies: This fight isn't over. Join our team of @WorkingFamilies activists to stop the #GOPTaxScam: https://t.co/hYn5bXxReB 6/…"
,,,,,,"@NYWFP @NYCMayor @nychange @People4Bernie @MoveOn @CPDAction @strongforall @WorkingFamilies @ResistHere Also, there… https://t.co/72lu1kO8fS"
,,,,,,"RT @sleepinyourhat: @NYWFP @NYCMayor @nychange @People4Bernie @MoveOn @CPDAction @strongforall @WorkingFamilies @ResistHere  https://t.co/v…"
,,,,,,"@NYWFP @NYCMayor @nychange @People4Bernie @MoveOn @CPDAction @strongforall @WorkingFamilies @ResistHere  https://t.co/vBqyCT36Lf"
,,,,,,"RT @StreetsblogNYC: Why is NYPD obstructing sidewalks and bike lanes like this? Where are all the barriers going? The city hasn't released…"
,,,,,,"Impressive news recap. https://t.co/KhL8dOuMSU"
,,,,,,"RT @ChrisGPotts: Wow, in this comment on @_shrdlu_'s  post – https://t.co/0VRd0kt5UL – I said it might be a long time before NLP could dige…"
,,,,,,"RT @arthur_spirling: TODAY!  4pm, @NYUDataScience - be there! https://t.co/CkIV0ruHXy"
,,,,,,"RT @SICKOFWOLVES: OUR NATIONAL BIRD IS KNOWN FOR CONSUMING SO MUCH SCAVENGED MEAT THAT IT CANT FLY SO WE SHOULD HAVE SEEN THIS ENDING COMING"
