NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
taylorswift13,85726498,106,"The old Taylor can't come to the phone right now.",1493988,4693130,"Absolutely stunning. https://t.co/6itJC1bk6W"
,,,,,,"RT @taylornation13: https://t.co/WWpP1tpRmU"
,,,,,,"This week has been unforgettable. I love you guys. Thanks a million 😉 https://t.co/qjspCA7NJ7"
,,,,,,"The Making of #Delicate ✨ #reputation #TaylorSwiftNow https://t.co/tn78pMCoVV"
,,,,,,"#reputaylurking #reputation  ❤️ https://t.co/CbTqn2F6Xs"
,,,,,,"#reputaylurking #reputation  ❤️ https://t.co/JhZNUZ7MxK"
,,,,,,"#reputaylurking #reputation  ❤️ https://t.co/f4135JnNhM"
,,,,,,"#reputaylurking #reputation  ❤️ https://t.co/JtblVbBa5u"
,,,,,,"#reputaylurking #reputation  ❤️ https://t.co/sAtTLVzfw3"
,,,,,,"#reputaylurking #reputation  ❤️ https://t.co/pOEpn6Dk5p"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/2OV2DvvIyN"
,,,,,,"RT @jimmyfallon: Taylor Swift performs 'New Year's Day' from her new album Reputation #FallonTonight https://t.co/20GPtmFWzf"
,,,,,,"RT @etnow: Taylor Swift defends her 'reputation' as a great 'SNL' musical guest with 2 epic performances. https://t.co/BGvqX6H1Sn https://t…"
,,,,,,"RT @people: Taylor Swift Takes SNL Stage with Snake-Shaped Mic In Hand — then Goes Acoustic https://t.co/cnH2ESn93x"
,,,,,,"RT @Metro_Ents: Taylor Swift slays the first live performances of the Reputation era on #SNL https://t.co/gYKn3UjLBW"
,,,,,,"RT @usweekly: Taylor Swift slays on 'SNL' and Tiffany Haddish makes history: see the best moments https://t.co/ZdWzK8e3Qj"
,,,,,,"RT @InStyle: Watch Taylor Swift crush her performances from last night's SNL. https://t.co/7zSCBEerxB"
,,,,,,"THANK YOU SO MUCH!! AHHHH!!! PS, I ADORED your CMA performance 👏👏👏 https://t.co/RGEvOTYEhd"
,,,,,,"Tonight.

📷: Mary Ellen Matthews https://t.co/mbQdDHz5Dn"
,,,,,,"My cousins in St. Louis sent this to me. I LOVE YOU @LauraKHettiger
https://t.co/OvC349nq8y"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/WPWiwPodY1"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/hEGz0GQFqc"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/PRkjzCmoAc"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/NPcA5WsgVL"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/hxD5n2KrxW"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/9n2rvbzXph"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/K3tUWVvmpd"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/18sg97Oshp"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/3p2sIX7WGU"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/z5HoBkxUQy"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/O8sznXy3vX"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/sygCHKoJvu"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/tDWpcN4MGx"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/eS6JDjsWuF"
,,,,,,"#reputaylurking #reputation ❤️ https://t.co/rOXGOsBDae"
,,,,,,"RT @babyhaim: give me dress all day everyday....dress dress dress dress yes yes yes yes @taylorswift13 https://t.co/0RfSI1QHpY"
,,,,,,"RT @latimes: Taylor Swift's talent remains intact on ""Reputation,"" her most focused, most cohesive album yet https://t.co/9OWWyhLppb https:…"
,,,,,,"RT @robsheff: good lord I love this album https://t.co/pUVZtUg4t5"
,,,,,,"#reputation is out now. Let the games begin. https://t.co/oExj2XFGvH https://t.co/GzA6cTEwjf"
,,,,,,"RT @taylornation13: Get an exclusive first listen of ‘New Year’s Day’ at 9:29p ET tonight on @ABC and hang with us as we countdown to #repu…"
,,,,,,"Waiting for #reputation like...

https://t.co/oExj2XFGvH https://t.co/LCCRtKnQXz"
,,,,,,"ABC tonight during Scandal #reputation #TGIT https://t.co/kOhx1vAXoV"
,,,,,,"In NYC for SNL rehearsals. I️ LOVE YOU @littlebigtown and CMAs. https://t.co/3QT7bX6yOe"
,,,,,,"RT @GMA: CMA Awards Song of the Year: ""Better Man"" - @taylorswift13 

@CountryMusic #cmaawards2017 #CMAawards https://t.co/QJlUQXHh64"
,,,,,,"Two days until #reputation. 
https://t.co/oExj2XFGvH https://t.co/z4bk0thC5c"
,,,,,,"Three new behind-the-scenes videos available now.

Only on @AppleMusic: https://t.co/nNtHaYzZrp https://t.co/a4E6cNaD3B"
,,,,,,"RT @courtneyforce: Let the games begin! Running a @taylorswift13 FunnyCar w/ @AdvanceAuto &amp; @BigMachine at @NHRA Finals! Taylors #reputatio…"
,,,,,,"Forgot to show the back of the Target magazines 😂 on Friday you can get your hands on this quality reading material… https://t.co/r626FRMtI2"
,,,,,,"3 days until #reputation. 

https://t.co/oExj2XFGvH https://t.co/sjr8hMqPxV"
,,,,,,"Two unique magazines. Poetry, paintings, lyrics &amp; polaroids.
Available Friday: https://t.co/fPhRA1wB6F https://t.co/frFIILyrqa"
,,,,,,"Inside the reputation Secret Sessions - https://t.co/aotQtPBzer"
,,,,,,"The #CallItWhatYouWant lyric video is out now! Watch it here: https://t.co/FKYJ3dADib"
,,,,,,"“Call It What You Want” available now. @applemusic
Pre-order #reputation: https://t.co/oExj2XFGvH https://t.co/EWxoTpSzIT"
,,,,,,"Call It What You Want. Midnight Eastern. https://t.co/nTmlQUzmFN"
,,,,,,"RT @ATT: ⏰ The Making of a Song premieres 11/13 on @DIRECTVNOW, only from AT&amp;T! https://t.co/emXplX8gjo #TaylorSwiftNOW https://t.co/VIXXYd…"
,,,,,,"#ReadyForItMusicVideo https://t.co/HYBhBqNVo3"
,,,,,,"There are no words to express the helplessness and sorrow my broken heart feels for the victims in Vegas and their families."
,,,,,,https://t.co/EIXRjnE9Gw
,,,,,,"RT @RollingStone: All 115 of Taylor Swift's songs, ranked https://t.co/mdD4f04rQ8 https://t.co/Bm317v6fib"
,,,,,,"RT @TheEllenShow: #LookWhatYouMadeMeDo @TaylorSwift13 https://t.co/8rUDDtwbdH"
,,,,,,😍😍😍 https://t.co/oIAruxj8ZH
,,,,,,"😃☎️ @ATT https://t.co/I6mCnlan8g https://t.co/mjjELwz7L8"
,,,,,,"Some real tough questions I had for Olivia. https://t.co/VeLIN3iYRY"
