NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
thomaskipf,2235,1017,"PhD student @ University of Amsterdam; Ex-Physicist; Tweeting about deep learning, graph theory, large-scale inference; Prev: Apple, MPI Brain",16738,4256,"RT @iatitov: New ERC-funded PhD positions @EdinburghNLP in semantic parsing / machine reading / multilingual NLP:  https://t.co/P8PHqEFpyT…"
,,,,,,"RT @OriolVinyalsML: Almost 3000x speedup with Parallel WaveNet (Google Speech production model). Brought to you by @avdnoord et al. Drastic…"
,,,,,,"Graph neural nets make their way into computer vision: https://t.co/0BtV8n5qq1 - learn interaction graph (data-depe… https://t.co/bpDW834Uwo"
,,,,,,"@mshanak As far as I know, no recordings are available, unfortunately"
,,,,,,"@visarga There are certainly connections between self-attention, graph propagation (as in graph neural nets or GCNs… https://t.co/O4MRzuQszb"
,,,,,,"@iskander @kchonyc Something along these lines should work: \phi(x) = \frac{\sum_i x_i e^{\alpha x_i}}{\sum_i e^{\a… https://t.co/5cYVWv6df9"
,,,,,,"@RotekSong @santoroAI There’s also this graph neural network paper for few shot learning from a few weeks ago: https://t.co/ekpCGuAiDQ"
,,,,,,"@iskander @kchonyc In approximation: softmax + temperature"
,,,,,,"@ameliovr Absolutely! We plan to release the code as soon as the paper is accepted at a conference (hopefully later this year)"
,,,,,,"@riceasphait Note that the dataset splits are not the same as in the paper. The result might therefore be misleadin… https://t.co/twBseKebQZ"
,,,,,,"@riceasphait Very helpful implementation, thanks for your effort!"
,,,,,,"RT @MPI_IS: Apply now! Cambridge - Tübingen PhD Fellowships in Machine Learning https://t.co/gnjNpT98Uq https://t.co/yp7Tdxzm6X"
,,,,,,"Code release for “Bayesian Compression for Deep Learning” (by @ChrLouizos, @karen_ullrich and @wellingmax) https://t.co/olSyNFJndr"
,,,,,,"RT @yasamanbb: We recently finished a paper, ""Deep Neural Networks as Gaussian Processes,"" https://t.co/74Le2kXbd7. Training without ""train…"
,,,,,,"Correction: the original reference for neighborhood attention is https://t.co/kzbmswrB9P by OpenAI"
,,,,,,"Neighborhood attention for relational reasoning by DeepMind https://t.co/ev3Ya9tHe5 5/5"
,,,,,,"Attentive graph neural nets for multi-agent reinforcement learning https://t.co/LhIuFalOcL 4/5"
,,,,,,"Graph attention networks (special case of mixture model CNNs from Bengio lab – prob. unaware of original work) https://t.co/nHpKfy5WF9 3/5"
,,,,,,"Mixture model CNNs https://t.co/63Q7GpYZM7. Similar to multi-head self-attention https://t.co/yYUeXefUSR, but for graphs 2/5"
,,,,,,"Attentive graph neural nets are one of my favorite developments recently. Some noteworthy papers along these lines... 1/5"
,,,,,,"RT @yaringal: Bayesian Deep Learning workshop @NipsConference CFP:
Deadline is *this Friday 3 November*
ICLR submissions welcomed!
https://…"
,,,,,,"RT @yaroslavvb: A new mode in @TensorFlow makes it act a lot like @PyTorch -- https://t.co/xeH9Lwjugw"
,,,,,,"RT @hardmaru: Mixup: Beyond Empirical Risk Minimization. Use random linear interpolation for data &amp; labels to increase robustness of networ…"
,,,,,,"@SaggitariusA Interesting, looks like it could depend on type of GPU + CUDA version. Better take it with a grain of salt then."
,,,,,,"New, much improved version of our Graph Convolutional Matrix Completion paper is now on arXiv (with @vdbergrianne)… https://t.co/lIuLaeqCBy"
,,,,,,"@joostbastings @hardmaru Thanks! It is kept to the bare minimum - there's of course a lot that can be done to make the model more flexible."
,,,,,,"@hardmaru Here it is: https://t.co/8s3L2Kwehn"
,,,,,,"PyTorch implementation of Graph Convolutional Networks (with sparse mx support) - faster than in TensorFlow on GPU… https://t.co/UPo2hU0OHC"
,,,,,,"+ subtle differences between the two implementations that could influence the result. Nonetheless good news for practical purposes"
,,,,,,"Of course there are caveats: the number (~5x) is in comparison to the TensorFlow implementation in https://t.co/lq2YyAGVi6, mileage may vary"
,,,,,,"@hardmaru I'll put it on GitHub in a sec (doing some final cleanup)"
,,,,,,"Re-implemented graph convolutional nets in PyTorch as an afternoon project today: massive speed-up (~5x on Cora) co… https://t.co/2ZRcKRB1fI"
