NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
waitbutwhy,148120,429,http://t.co/ME98gSGRKS,262850,80425,"RT @livequiet: “Hi” or “Hey”? “Best” or “Regards”? And do we add an exclamation point or two? https://t.co/uBgKvvH9Fj by @waitbutwhy"
,,,,,,"RT @juliagalef: It's disconcerting how many people seem to parse the question ""Do you think X should be legal?"" as ""Do you personally appro…"
,,,,,,"Fun live convo I had with @tferriss last week at the NYC launch event for his new book, Tribe of Mentors. We covere… https://t.co/9CJTLMaHvD"
,,,,,,"It's holiday time, which means it's ""Tim reminds you that there's a WBW store"" time! For guaranteed pre-Christmas d… https://t.co/GMwmBiTFwe"
,,,,,,"The world is over https://t.co/7PBnj5wKaO"
,,,,,,"RT @eeosh: Tim Urban in a nutshell: @tferriss asks about his predictions for the future. 3 mins later, he's just getting to the Industrial…"
,,,,,,"RT @tweetsauce: A billonth of a century is 3.155 seconds. So, to within half a percent, a nanocentury passes every π seconds."
,,,,,,"I've known @Liv_Boeree for a while—one of the smartest people I know and actually as much of an excitable child abo… https://t.co/9OScpCvPFj"
,,,,,,"RT @juanbuis: can someone explain why japanese game show 'slippery stairs' hasn't made its way to our part of the world yet https://t.co/cd…"
,,,,,,"I’ll be here, talking about my chapter in the book. Come by if you’re in NY! https://t.co/64uvC73eWA"
,,,,,,"RT @oneyoufeed: Hear Tim Urban talk about his famous blog, @waitbutwhy
https://t.co/klpOxEyOI1
#1YF #waitbutwhy #timurban #procrastination…"
,,,,,,"A little exercise. https://t.co/9nF6NPgOkc"
,,,,,,"RT @MaxCRoser: English words that derive from the names of places in Europe.

[Source: https://t.co/YRq6dUm2mt] https://t.co/fFKSKjfVWX"
,,,,,,"@miimser Apparently. And to make things worse, my friend later used this pic as the cover for his rap album. https://t.co/0YtjnSZ94F"
,,,,,,"I was walking through Brooklyn and came across this crew. I took a picture as I walked by and they all did this. Mi… https://t.co/qoUxej69sd"
,,,,,,"RT @finnscave: Had a blast chatting Grand Theft Life &amp; riding sidecar w @waitbutwhy on one of my favorite podcasts, Invest like the Best w…"
,,,,,,"RT @FOSI: What would online #bullying look like in the real world? Outstanding PSA from @MonicaLewinsky. #ClickWithCompassion https://t.co/…"
,,,,,,"@SpaceX The Mars city you might live in in a couple decades: https://t.co/8H0vPl2OVR"
,,,,,,"Lot of talk about @SpaceX's Big Fucking Rocket today. Here's the full story: https://t.co/9JsZOdNEUb"
,,,,,,"If you like dinosaurs, this will make you very happy. https://t.co/WTISgHtbWJ @kenlacovara"
,,,,,,"@Tricertops @finnscave https://t.co/qt3mYdMWIR"
,,,,,,"Some well-articulated thoughts from @finnscave about 2 archaic practices that make life harder for small businesses: https://t.co/bFwutYUtUO"
,,,,,,"@rexparker Best part of puzzles is picturing you being furious about the puzzle as I do it and predicting what will… https://t.co/50dNj8h2nW"
,,,,,,"@JGS952 Yup - biggest post ever (by like 50%) is almost complete."
,,,,,,"When I visited Kurdish Iraq and asked people what they'd wish for if they had a genie the most common answer was ""an independent Kurdistan."""
,,,,,,"Rooting for the Kurds to get their independence in this referendum. I explain the whole situation here: https://t.co/wXDIt8z70b"
,,,,,,https://t.co/gmAfStVbrN
,,,,,,"Parents of school-age kids should listen to this man. https://t.co/wzhFi3jqHO @ThisIsSethsBlog"
,,,,,,"Every relationship has some blue. Every relationship has some yellow. https://t.co/3xE10jMX9u https://t.co/l5dilWY6Po"
,,,,,,"@dalexandruignat I tend to run into brainstormer's block and outliner's block more than writer's block, but I gener… https://t.co/7tmrXxwqu8"
,,,,,,"@jdlien This drawing is, yes. One of many themes from previous WBW posts that I'm getting into in this post."
,,,,,,"Favorite one: https://t.co/A7gnvAZlZ9"
,,,,,,"Recently become addicted to listening to this while I write: https://t.co/hZBtAfJRaO If my writing tone is odd for the next post this is why"
,,,,,,"@theOG_burn @harishanand1995 Yes."
,,,,,,"@harishanand1995 I wish. Oh the joy to be writing about something as fun as VR."
,,,,,,"A drawing for a gigantic post I'm mired in..."
,,,,,,"If you're ever wondering why our society is the way it is, just remember that as children we're all taught to obey… https://t.co/B8GL3SIxYj"
,,,,,,"I've seen these 100 times but this one is especially ridiculous. https://t.co/l2mxdC5Ie7"
,,,,,,"Con Ed CEO: We need a company tag line.
CMO: Hm yeah. How about ""Nothing matters""?
CEO: Doesn't quite work. Can you… https://t.co/byFymM1ahQ"
,,,,,,"For those who want a brush up, the full story behind what @TeslaMotors is doing and why: https://t.co/GpINTH2Bed https://t.co/EHN6AE2hDj"
,,,,,,"Hershey's Kiss business plan complete! Congrats @TeslaMotors. https://t.co/TycU7UhEEq"
,,,,,,"Before you look, try to place Gandhi, Freud, Nietzsche, Twain, Tolstoy, Marx, and Darwin in order by birth decade.… https://t.co/j8u7SLBO04"
,,,,,,"RT @hankgreen: 55 million years ago, titanoboas were an apex predator. They were 50 feet long, over 2500 pounds. It could have easily eaten…"
,,,,,,"@Liv_Boeree IMAGINE making that fold. Never ever ever could I."
,,,,,,"My friend and sometimes collaborator @udimsumulosesum has launched a deeply funny podcast: https://t.co/JpBArYIB1U @spptforthispod"
,,,,,,"More and more companies are taking the hint and ditching the past to join @TeslaMotors in the present. https://t.co/AgenUGsifu?"
,,,,,,"Here's what good or bad fortune feels like from Step 1 (where you're less conscious) vs Step 2 (a more aware state)… https://t.co/gIyJ57VvAj"
,,,,,,"The Total Package. https://t.co/GNqA70pxKg https://t.co/3JTRa926Bd"
,,,,,,"A reader named Calder Hansen emailed me his design for the Mars flag. Kind of love it. https://t.co/BzWPG4QZdO https://t.co/Si4pSOUCTi"
,,,,,,"For people without a technical background interested in working in AI, a guide to working in AI policy and strategy: https://t.co/joDa0OKyCE"
,,,,,,"The ""no I'LL pay"" fight over the check is one of the most inane parts of our culture. https://t.co/RvJzKTwrKA https://t.co/EFiFgSquff"
,,,,,,"Fun game: give everyone you know an apple rating (e.g. bad skin, bad flesh, and good core would be a ""BAD-BAD-GOOD""… https://t.co/yB48hctqsM"
,,,,,,"Proof that jinxes are real: I just arrived at my destination to learn that my checked bag didn't make it. First tim… https://t.co/1JPiDL0TC5"
,,,,,,"RT @james_clear: ""The real problem of humanity ... we have Palaeolithic emotions; medieval institutions; and godlike technology."" -E. O. Wi…"
,,,,,,"@mvdwrd Well sure - but going in at final call #2 means that you still end up in a short line at the end of the tube. Affects no one."
,,,,,,"@mvdwrd I've thought about the self-entitle asshole component before and have decided that this doesn't qualify bc… https://t.co/uEx04xFFZ6"
,,,,,,"@AttorneyFrey I have had a cartoon in my head for that exact INANE situation for a long time. Just waiting for the right post."
,,,,,,"@calipitchel While we're here, I don't get the supreme aversion to checking a bag when it's free. It's a luxury ser… https://t.co/X3eKhYL7J4"
,,,,,,"@calipitchel Yeah that's a concern but I usually check a bag and just take a little bag. And if not, being late jus… https://t.co/xvIIzcyl97"
