NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
yablak,198,1,"Google Brain",9977,66,"@AstroKatie Diaspora by Greg Egan"
,,,,,,"RT @erikbryn: Open enrollment has started for health coverage at https://t.co/a6nJPBAUCb

Retweet if you want more Americans to have health…"
,,,,,,"@mat_kelcey you're at corl?  Lunch?"
,,,,,,"RT @PyTorch: Pyro, a probabilistic programming language on top of @PyTorch from Uber AI Labs
https://t.co/pSS2koFLDG
https://t.co/Zy7qDAKVxg"
,,,,,,"@ericjang11 https://t.co/jsyPYNnTkw"
,,,,,,"@katecrawford learned via black box optimisation.  Are the distilled models no longer black box? (3/3)"
,,,,,,"@katecrawford the payout was based on hinged linear models and (relatively) easy to read.  But the parameters of these models were (2/3)"
,,,,,,"@katecrawford @marcua the issue is much more subtle than that.  When we sold indexed weather insurance to farmers at climate corp, (1/3)"
,,,,,,"RT @clmt: Amazing work from NVIDIA Research (Tero Karras et al) https://t.co/g60caEkK85 . Taking GANs to the next level: https://t.co/5H0jJ…"
,,,,,,"RT @britmarling: I put pen to paper about my own experience in hopes that it would give myself + others solace, strength + context
https://…"
,,,,,,"@AstroKatie seems like there's an equivalent situation with quantum phys. but people are more used to the unintuitiveness of wave duality."
,,,,,,"RT @hardmaru: Nervana Systems released Coach, a Deep RL library. Even if you don't use it, the docs are a great reference point. https://t.…"
,,,,,,"@dustinvtran @soumithchintala @KaiLashArul biggest challenges: numerical stability, special functions, npy broadcasting+batch support."
,,,,,,"@dustinvtran @soumithchintala @KaiLashArul glad you like it!  we've found tf.distributions to be a great building block."
,,,,,,"RT @OriolVinyalsML: Quite addicting to witness self-play improvements over time. Go #AlphaGoZero! https://t.co/SlFRUuxLPi https://t.co/8BqB…"
,,,,,,"@martin_wicke this is why i introduce subtle and hard to find bugs in all my ML code..."
,,,,,,"@hardmaru i saw a lime bike at the YouTube office in San Bruno today!  no gbikes there."
,,,,,,"@poolio and the new suggested regularization looks easy enough to implement. they're saying new state of the art on mnist😄"
,,,,,,"@mat_kelcey +1 you'd make a killing. but do a 2 week instead"
,,,,,,"@MusicSF @wjarek and Trump is the sith lord."
,,,,,,"RT @ericjang11: One weird trick to get 10x training speed. Placeholders hate him! https://t.co/8tcTvi9lho"
