NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
yago,38610,364,"God first, Family second... Runner up at Dos Equis. aka Porfirio Rubirosa",7460567,109,"RT @elonmusk: Got to regulate AI/robotics like we do food, drugs, aircraft &amp; cars. Public risks require public oversight. Getting rid of th…"
,,,,,,"Ur the greatest for this tweet https://t.co/eLroZsEdMT"
,,,,,,"RT @Kaepernick7: Today, I was on Alcatraz Island at the Indigenous People’s Sunrise Gathering, in solidarity with those celebrating their c…"
,,,,,,"RT @BarackObama: From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz"
,,,,,,"Serious inquires only... https://t.co/h1KEJpggPW"
,,,,,,"😂 https://t.co/FXP2HdXTfl"
,,,,,,"RT @DrewUnga: 1) Graduated from Berkeley with a degree in social welfare.

2) Attended graduate school during his NFL hiatus.

3) Was famou…"
,,,,,,"RT @ShaunKing: If you are struggling to understand why Trump has criticized LaVar Ball &amp; Marshawn Lynch more than Roy Moore, it’s because c…"
,,,,,,"RT @Cristiano: Score goals with me wherever you go with the new FIFA Mobile season 📱🎮⚽ Download for free now! https://t.co/PcGJr6l7eB https…"
,,,,,,"Is I️t just me or do you guys also see 2 guys and between them 3 adidas stripes walking around following them... we… https://t.co/WDzzvSC8nq"
,,,,,,"RT @tedlieu: You can believe Jeff Sessions' testimony under oath before the US Senate. Or you can believe Sessions' testimony under oath be…"
,,,,,,"RT @elonmusk: Tesla Semi Truck unveil to be webcast live on Thursday at 8pm! This will blow your mind clear out of your skull and into an a…"
,,,,,,"RT @bhorowitz: Really interesting post from @FeliciaHorowitz on our visit to the refugee camps in Jordan https://t.co/Gt9fzEybQ4"
,,,,,,"Another one.... https://t.co/a5Kery2SOo"
,,,,,,"Sheldon don’t play around boy.... 401 ganksta https://t.co/MUcRsZ0Ozo"
,,,,,,"RT @sparrowmedia: For a failed urine test Meek Mill was sentenced to more jail time than:

Darren Wilson - Michael Brown's killer
Timothy L…"
,,,,,,"Lmao https://t.co/ECMx8X4acW"
,,,,,,"This is crazy this guy is not right https://t.co/qjk61sQAhs"
,,,,,,"RT @bhorowitz: A visit with his majesty King Abdullah II. We brought him a signed copy of @Oprah ‘s book #WisdomOfSundays @FeliciaHorowitz…"
,,,,,,"RT @Cristiano: Building projects with green steel is a real innovation. @egyptian_steel
@AhmedAbuHashima https://t.co/3joVu2xNO0"
,,,,,,"Wow https://t.co/Qi6JcL54w9"
,,,,,,"RT @musicbizworld: Kobalt Capital raises $600m fund to spend on buying music copyrights -
https://t.co/Qf5CpdhEPl"
,,,,,,"RT @bhorowitz: Post is now live on @a16z with the right title and the paragraph that Quartz edited out: https://t.co/XzfHH26bVc"
,,,,,,"RT @ChrisLyons: Amazon just bought three domain names related to cryptocurrency.  https://t.co/mYY7QmAxHE"
,,,,,,"Beast post @bhorowitz @chancetherapper  https://t.co/6gTpSMRoq2"
,,,,,,"Bro😂😩  https://t.co/S1PnHiw9wg"
,,,,,,"RT @Genius: almost forgot how hard jay-z bodied this “grammy family” freestyle 😩 😩 😩 https://t.co/2bO1CvmXex"
,,,,,,"RT @getpeid: 🃏 https://t.co/LMfBAxIRL0"
,,,,,,"RT @Vitalyzdtv: You like the new video? 😈 https://t.co/eXXQMxgWQ9"
,,,,,,".@Stranger_Things type of bird it’s top secret they won’t let us know... https://t.co/NcvRGCdjMr"
,,,,,,"This is hilarious https://t.co/mEEES3h6PB"
,,,,,,"RT @SportsCenter: Marshawn Lynch is staying busy during his one-game suspension. (via beastmode/Instagram) https://t.co/TTsNAv6TMx"
,,,,,,"RT @HenryLouisAaron: Congratulations to Giancarlo Stanton and Jose Altuve for being selected as the NL and AL 2017 Hank Aaron Award winners."
,,,,,,"RT @shervin: With @Virgin @HyperloopOne cities become neighborhoods of each other. Allows cities to specialize. People become free to live-…"
,,,,,,"RT @Cristiano: Not bad 11 😉😉😉😉😂😂 https://t.co/Ww0rCnU3Cv"
,,,,,,"RT @netflix: It's basically Bad Boys in Mordor. @BrightNetflix is coming, December 22. https://t.co/1Qdbzdb5n5"
,,,,,,"RT @elonmusk: On the list of people who should absolutely *not* be allowed to develop digital superintelligence...
https://t.co/reNZ50FGNC"
,,,,,,"RT @realmadrid: 😃🏆👏 #TheBest
⭐ @Cristiano
#HalaMadrid https://t.co/H1a65EbuCM"
,,,,,,"RT @Cristiano: Amazing feeling to have won this award again. Want to dedicate to my family, my friends, my teammates and coaches from both…"
,,,,,,"RT @Cristiano: 👌 https://t.co/Ue5mENXs6i"
,,,,,,"RT @elonmusk: It all comes full circle https://t.co/zqiCDLhFWy"
,,,,,,"RT @FeliciaHorowitz: Leaders are neither born nor made;
they are found.A journey that all leaders go through, but 1 that almost nobody talk…"
,,,,,,"RT @bhorowitz: A great honor to be featured on one of my favorite blogs by the thoughtful and inspiring @tylercowen https://t.co/aHVcttokSY"
,,,,,,"RT @FeliciaHorowitz: Over the summer, I was reflecting on my life and I realized that I have only 29 summers left… https://t.co/YjyQ5uIakb"
,,,,,,"RT @chancetherapper: Racism is NOT enacted through name calling or ways of thinking, it comes through laws and policies and tangible system…"
,,,,,,"Wow bro if I was his son in starting a gofundme for everything I wouldn't even ask him for a hug as a son 😂https://t.co/g9vMKbHdPC"
,,,,,,"RT @common: ""Slavery has never been abolished from America's way of thinking"" Nina Simone. https://t.co/igpBEXWxpK"
,,,,,,"Happy gday to my bro @Boi1da legend!"
