NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ylecun,69647,773,,70822,13323,"RT @ipeirotis: Tenure-track faculty opening at Stern/NYU: https://t.co/WLej9TTrlt Come and join us!"
,,,,,,"RT @drewconway: Imagine someone caring so deeply about a federal organization that they would sue the government to be able to run it. 

Th…"
,,,,,,"RT @togelius: We are hiring at NYU Computer Science and Engineering! 
We have an open-rank faculty position in machine learning open. I wou…"
,,,,,,https://t.co/p8seVMHz1x
,,,,,,https://t.co/oYwKPPZv2I
,,,,,,"@ian_soboroff @goodfellow_ian What you see as flag planting, I see as noisy estimates in a stochastic optimization… https://t.co/sz0dMOYgFJ"
,,,,,,"@martin_trapp @goodfellow_ian No. Or rather, we shouldn't try to make them."
,,,,,,"Facebook papers and activities at NIPS. https://t.co/p8mPgiSWjs"
,,,,,,https://t.co/AHHpIhNlgi
,,,,,,"Excellent article in Le Monde about the recent revolution  in language translation brought about by deep learning..… https://t.co/JM3rKToFgU"
,,,,,,"@KyleCranmer @hmason @NvidiaAI Nothing wrong with that ;-)"
,,,,,,"RT @fchollet: New post: the impossibility of intelligence explosion https://t.co/66kliumxI3"
,,,,,,"RT @neiltyson: A Lunar Eclipse flat-Earther’s have never seen. https://t.co/HuApDwa85n"
,,,,,,"RT @KyleCranmer: Link to my slides for my Inaugural Lecture as Chaire Georges Lemaître at @UCLouvain_be 
Did you know he:
- was a Catholic…"
,,,,,,"RT @ryan_p_adams: I'm getting pretty tired of reading ""to our knowledge, this is the first algorithm that &lt;combines two really obvious thin…"
,,,,,,"RT @erichorvitz: Postdoctoral position at @PartnershipAI @terahlyons https://t.co/kVw2eSPegY"
,,,,,,https://t.co/dJirbh866y
,,,,,,"Giving a seminar at Brown University today at 4:00pm, jointly organized by the Center for Statistical Science and... https://t.co/OjlzDPGtS3"
,,,,,,"RT @glouppe: Brilliant conversation between @EtienneKlein and @ylecun: can intelligence be artificial? (in French) Feels refreshing to see…"
,,,,,,"New York City before the1970 Clean Air Act and the creation of the Environment Protection Agency: 
the Great Smog... https://t.co/ZaQuB3CFsP"
,,,,,,"Podcast de l'émission ""La Pensée Scientifique"" animé par Étienne Klein sur France Culture dans laquelle nous... https://t.co/OJVp0F9VXy"
,,,,,,"Un entretien avec Erwan Cariou sur l'intelligence artificielle publié dans Libération aujourd'hui. https://t.co/1FwO2TpQrm"
,,,,,,"RT @erikbryn: This article, ""AI's Implications for Productivity, Wages, and Employment"", includes charts from the panel discussion at the M…"
,,,,,,"RT @arthur_spirling: Congrats to my @NYUDataScience colleague Prof @kchonyc who just passed 10k citations on GS! Pretty good going for a 20…"
,,,,,,"@davidwhogg @Astro_Wright If it is a spaceship, it's a broken one."
,,,,,,"RT @mustafasuleymn: Enjoyed writing this piece for the FT on how we need to harness tech to have positive impact in the world... https://t.…"
,,,,,,"It was fun to sit down with Andrew and hat about deep learning and my personal trajectory.
The video will be up soo… https://t.co/725iKJFWgT"
,,,,,,"The story behind face detection technology on Apple devices.
How they went from using Viola-Jones to using a... https://t.co/rqHYPAKTuk"
,,,,,,"The 2nd generation Tesla Roadster will do 0 to 60mph in an unmatched 1.9 seconds

Linear extrapolation: the 4th... https://t.co/cEwaLmieQr"
,,,,,,"@jackclarkSF Dude, that brain needs some cheering up."
,,,,,,"@roydanroy This tuition is charged to government grants. It's a semi-disguised way for the government to funnel add… https://t.co/eSxyf5UkFH"
,,,,,,"Some things are worth repeating every few years. https://t.co/kO3CJncW4X"
,,,,,,"Une interview de moi par Serge Abiteboul dans blog Binaire du journal Le Monde.... https://t.co/m5NvXNtLl0"
,,,,,,"At the IHES Gala dinner where Jennifer Chayes and I are keynote speaker so hosted by Richard and Laetitia Garriott de Cayeux."
,,,,,,"On peut maintenant transferrer des sous par Messenger en France. https://t.co/vGicirROLu"
,,,,,,"RT @mark_riedl: GOP tax plan punishes people for trying to get advanced degrees. https://t.co/eFiNogIPn5"
,,,,,,"@BAPearlmutter There are other coefficients in the formula."
,,,,,,"RT @erikbryn: What kind of person thinks it's good for America to take money from grad students to pay for tax cuts at the top of the incom…"
,,,,,,"RT @rodneyabrooks: Well done Joanna.  Speak truth to utter stupidity!!!! https://t.co/mTqMDkxDz4"
,,,,,,"@davidwhogg One would hope that once you have paid for an angle, the complementary angle is complimentary."
,,,,,,"""Simplifying"" input images can counter adversarial attacks. https://t.co/Yc9J0TrNoA"
,,,,,,"Translation without parallel text. Cool work. https://t.co/06b3QmOq07"
,,,,,,"Article in TechCrunch about an awesome work from the FAIR-Tel Aviv team about producing avatars that look like a... https://t.co/UooQQWYEIC"
,,,,,,"RT @erikbryn: Cool debate! 
@GaryMarcus vs. @ylecun on ""Does AI Need More Innate Machinery?""
with David Chalmers intro
#AI #2MA
https://t.c…"
,,,,,,"Video of the panel in which Yoshua Bengio, Geoffrey Hinton and I answer questions moderated by Joelle Pineau (who... https://t.co/MmVm4srzZT"
,,,,,,"Justin Johnson presents the work on visual reasoning he did at FAIR at ICCV 2017.

Given an input image and a... https://t.co/i9m3Zz9YlZ"
,,,,,,https://t.co/b3ZDkB7UQv
,,,,,,"RT @erichorvitz: Carol Rose, exec director of @ACLU_Mass opens @PartnershipAI partners mtg in Berlin with moving comments on technology and…"
,,,,,,"RT @nicmorbia: Very happy to be in Berlin representing @Accenture as we join the partnership on AI organization #AI

https://t.co/4d1iNkoYwZ"
,,,,,,"@ryan_p_adams Emacs FTW"
,,,,,,"RT @erichorvitz: @ylecun presents summary of breakout discussions to @PartnershipAI partners in Berlin. https://t.co/lzFiAfl8Fg"
,,,,,,"RT @erichorvitz: Gearing up to open 1st all-partners meeting of @PartnershipAI Reps from industry, academia, civil society converge on Berl…"
,,,,,,https://t.co/cUE8e5wKul
,,,,,,"Chief AI Officer: how many companies will have such a position 5 years from now?... https://t.co/ivUtdLI0Hr"
,,,,,,"RT @PartnershipAI: .@PartnershipAI announces founding Executive Director, @terahlyons and 21 new partners #AI Read more here: https://t.co/…"
,,,,,,"RT @erichorvitz: Welcoming @terahlyons as the Executive Director of the Partnership on AI  https://t.co/vixycT36IY @PartnershipAI @compcomc…"
,,,,,,"Video of the debate between Gary Marcus and me around the question ""Does AI need more innate machinery?""

Tim... https://t.co/jmh8JRPxTc"
,,,,,,https://t.co/yVXGdmf1yC
,,,,,,"Terah Lyons, the new Executive Director of the Partnership on AI, poses in front of the MNIST dataset! https://t.co/Nfi9V6gzo4"
,,,,,,"Je serais L'Invité D'Ali Badou, en direct sur France Inter, vendredi à 7h50.... https://t.co/pYVaLMARMQ"
,,,,,,"RT @NYUDataScience: Do you want to become a #DataScientist? https://t.co/jVea3QmPXW"
,,,,,,https://t.co/NgB75f4fkU
,,,,,,"PyTorch implementations of various RL procedures: Advantage Actor Critic (A2C), Proximal Policy Optimization... https://t.co/uCZ1PDzJkn"
,,,,,,"@clmt On s'est raté"
,,,,,,"I'll be discussing AI with Prof Marissa Hollister today at 5:00pm EST.

Is AI coming for your job?

The event... https://t.co/SNPEJunhtu"
,,,,,,"Joan Bruna gives the concluding talk at the Re*Work Deep Learning Summit in Montreal.
""Divide and conquer networks"""
,,,,,,"A NIPS workshop on machine learning on mobile devices, co-organized by people from Google, Amazon and my friend... https://t.co/fELKNvs5Wr"
,,,,,,https://t.co/T6Qvn8tk0Q
,,,,,,https://t.co/8rFo0wHEPy
,,,,,,"Bernard Charlès (Dassault Systèmes), Stéphane Mallat (Collège de France), and Harry Shum (Microsoft) become... https://t.co/lXQ30qbGDi"
,,,,,,"RT @StanDehaene: Thank you Wiley -- I am honored and pleased that you are making those papers freely available to all (including Précis of…"
,,,,,,"RT @KyleCranmer: I’m taking a knee to protest racial injustice and police brutality.  #ScientistsTakeAKnee https://t.co/zev1asFigi"
,,,,,,"RT @soumithchintala: Can you identify fish (size, number, species) from video?
Interesting competition for sustainable fishing:
https://t.c…"
,,,,,,"RT @soumithchintala: NVIDIA releases an open-source Deep Learning Inference chip design (based on Xavier), with full verilog source:
https:…"
,,,,,,"@boredyannlecun My opinion of a paper is rarely correlated with its acceptance at a conference. In fact, it's negatively correlated."
,,,,,,"video of a panel discussion at CCN 2017. https://t.co/GoUAupMdwO"
,,,,,,"RT @NYUDataScience: How do #DataScientists teach machines to understand words - not just read them? Some (like @sleepinyourhat) use somethi…"
,,,,,,https://t.co/yeOCMW9XbG
,,,,,,"I'll be discussing AI for social good at the Computer History Museum tomorrow, together with Eric Horvitz and... https://t.co/XImiI8DTeW"
,,,,,,"@boredyannlecun @Numenta But it's impact on society would be considerably larger. Not in a good way."
,,,,,,"@JannaLevin To much gravitational waves."
,,,,,,"Joelle Pineau, Who leads FAIR Montréal, is ""person of the week"" in Québécois newspaper La Presse.... https://t.co/V5aophAiFH"
,,,,,,"Un article dans Le Monde sur mon entretien public à l'Opéra Bastille dans le cadre de l'événement Le Monde... https://t.co/NibdAsXEa6"
,,,,,,"RT @IgorCarron: .@marc_mezard introducing @ylecun who will talk about the power and limits of Deep Learning. https://t.co/k2sKuvgZnj"
,,,,,,"RT @erichorvitz: Looking forward to this event with @ylecun @gregcorrado and @markoff @ComputerHistory @PartnershipAI @TheOfficialACM @MSFT…"
,,,,,,"Démarrage dans 30 minutes.... https://t.co/gX6UnUFaO1"
,,,,,,"NYU CDS! https://t.co/5eBXbodK8g"
,,,,,,"Sur BFMTV ce matin. https://t.co/FPmFHDAxNt"
,,,,,,"Ce matin, en direct sur BFMTV. https://t.co/5HSRx11h1X"
,,,,,,"Excellente interview de Mike Schroepfer dans le journal montréalais l'Actualité.... https://t.co/fEdLhNg8At"
,,,,,,"Intelligence artificielle: pourquoi Facebook a choisi Montréal https://t.co/Ho1qDas65k"
,,,,,,"Fairseq, now in PyTorch! 
The open-source convolutional sequence-to-sequence engine from FAIR is now available in... https://t.co/E5tCqHV3eZ"
,,,,,,"@jackclarkSF @GaryMarcus And who will decides who wins? If it's Hinton I'm in. If it's Pinker I'm out."
,,,,,,"@soumithchintala Registrations for NIPS 2019 will be full before NIPS 2018 takes place."
,,,,,,"RT @sapinker: Geoff Hinton may be the most brilliant living cognitive scientist- I've learned from (&amp; often disagreed with) him on many top…"
,,,,,,"RT @CIFAR_News: .@Facebook announces major #AI commitment to CIFAR https://t.co/dG9kacunGL"
,,,,,,"More pictures of the FAIR-Montréal launch. https://t.co/YGoZ803FYy"
,,,,,,"Welcome to FAIR Joelle Pineau, Pascal Vincent, Mike Rabbat and Nicolas Balas, the founding team of FAIR-Montréal. https://t.co/lbFReqObZX"
,,,,,,"Nutz! https://t.co/PKzkUnolYA"
,,,,,,"More about Joelle Pineau and the new FAIR-Montreal lab from the press office of McGill University. https://t.co/Oxzirmcy1N"
,,,,,,"McGill student gathered near the faculty club to greet Justin Trudeau. They were somewhat disappointed, but in a... https://t.co/61mhBjThLK"
,,,,,,https://t.co/gXdVfy0Vwh
,,,,,,"Black in AI is new organization that is organizing a workshop at the next NIPS conference.

Moustapha Cisse (from... https://t.co/Ygpy3z3yxr"
,,,,,,"RT @AmirSariri: World's most prominent economists and G Hinton, @ylecun and @rsalakhu at the @nberpubs Economics of AI conference! #Toronto…"
