NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
60Minutes,932919,467,"The most successful news magazine in TV history, offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news.",27536,41207,"Tonight, we profile 60 Minutes itself, inside stories about the broadcast’s history and some of its greatest interv… https://t.co/joQ6dQh0PK"
,,,,,,"1968 outtake: What viewers didn’t see in the first 60 Minutes broadcast was Harry Reasoner tossing a cigarette acro… https://t.co/TrJAlmn2cR"
,,,,,,"""Good evening. This is 60 Minutes. It’s a kind of a magazine for television.” 50 years ago, that’s how this broadca… https://t.co/REHNBhaV5t"
,,,,,,"""We never underestimate the intelligence of the audience,"" Steve Kroft on #50yearsof60. This Sunday, the broadcast… https://t.co/AYPXCE3Mia"
,,,,,,"This Sunday, in honor of the broadcast's 50th Anniversary Season, we profile 60 Minutes itself: inside stories abou… https://t.co/risvQsu7aF"
,,,,,,"The Isle of Eigg: Just off Scotland, a tiny island with one main road is a testament to human independence.… https://t.co/Jv5vW32lcw"
,,,,,,"Dr. Basel Termanini, VP of the Syrian-American Medical Society tells #60Minutes the society has donated 120 ambulan… https://t.co/Oe6RahMaiE"
,,,,,,"""So what are they talkin' about this week?"" ""Mainly you."" #60Minutes was apparently the talk of the island on our r… https://t.co/uHNgFotkvk"
,,,,,,"The residents of Eigg have no grand ambitions for development. The owners don’t want hotels or a golf course or hun… https://t.co/xVZS66qalG"
,,,,,,"Eigg is not always served sunny-side up. Gusts of wind get up to 100 MPH. The boats might not get in for a week, so… https://t.co/CBy2n6uRro"
,,,,,,"The island has no formal government, no offices, no court system, no police, and the doctor only comes on Tuesday.… https://t.co/KWRKAmrSvN"
,,,,,,"Eigg has a tiny, but unique power grid that runs almost entirely on renewable energy. It’s the first time that’s ev… https://t.co/LdzYpDkRSd"
,,,,,,"When it comes to essentials, there is basically one of everything on Eigg--1 primary school for 5 kids, 1 grocery s… https://t.co/mJTwu4cGGv"
,,,,,,"Jobs are hard to find on Eigg--you kind of have to create your own. 1 resident edits a sports journal; 1 is a handy… https://t.co/5Q2ihStbyU"
,,,,,,"To celebrate 20 years of ownership, the Eiggers had a blowout they call a Ceilidh with music, dancing and drink. We… https://t.co/VCEJlbrRWz"
,,,,,,"No one in Scotland had ever tried a community buyout before, &amp; certainly not 64 residents with no cash or credit. B… https://t.co/RhctUvP2j2"
,,,,,,"The Eigg residents hatched a plan--they would try to buy the island themselves. “We wouldn’t have to do very much t… https://t.co/RWoJpui29J"
,,,,,,"Schellenberg realized things weren’t quite working out with Eigg’s residents, so he sold the island to a German who… https://t.co/OgS71Bm07s"
,,,,,,"Schellenberg treated the island like a personal playground while most of his tenants lived in poverty. A rebellion… https://t.co/pLPrxa1WIK"
,,,,,,"In the mid 70s, the entire island of Eigg was purchased by an Englishman named Keith Schellenberg. Under Scotland’s… https://t.co/ARIMPj4UZl"
,,,,,,"While Eigg doesn’t have many permanent residents, it does get its share of tourists--12,000 visitors ferried over l… https://t.co/lutwHi25yA"
,,,,,,"3 miles wide and 6 miles long, Eigg is a craggy isle populated mostly by sheep. Eigg has one source of public trans… https://t.co/IbXPMyFS61"
,,,,,,"Syria's dictator is trying to quash the remnants of rebellion by bombing hospitals. Still, brave doctors in the cou… https://t.co/EbJoHAy0kK"
,,,,,,"The Syrian-American Medical Society says that, over six years of war, it has delivered more than 100K babies and su… https://t.co/yR6NNhw8s9"
,,,,,,"Saving lives is just one part of the challenge. For every life saved, there is a lifetime of recovery. Dr. Ghanem r… https://t.co/861Fi4NPuu"
,,,,,,"The Syrian-American Medical Society is building more sophisticated underground hospitals now, including one in an e… https://t.co/hlN9tR48yO"
,,,,,,"Before it’s fall last Dec., Aleppo’s underground hospitals were hard to destroy. Assad tried to root them out using… https://t.co/3jhY7OEyum"
,,,,,,"Dr. Termanini says more than 800 medical professionals have been killed in attacks on Syrian hospitals. “Those are… https://t.co/sx4r7GMNNM"
,,,,,,"Dr. Samer Attar, a surgeon from Chicago, is one of many to enlist with the Syrian-American Medical Society, which h… https://t.co/xchPC9HOWp"
,,,,,,"Targeting hospitals started the Geneva Conventions 153 years ago. It led to the creation of the Red Cross. Since 20… https://t.co/1F6KuDJArh"
,,,,,,"An estimated 400K people have been killed in Syria’s civil war. President Bashar al-Assad has committed nearly ever… https://t.co/4XZiPjzJg0"
,,,,,,"José Andrés has some 30 popular restaurants across the United States, but he's barely stepped foot in them for two… https://t.co/hzP8Z5fcYD"
,,,,,,".@chefjoseandres spent Thanksgiving in Puerto Rico, continuing to feed people one plate at a time. #60Minutes #50yearsof60"
,,,,,,"#60Minutes follows José Andrés as he feeds the citizens of the devastated island of Puerto Rico. How his cooking ha… https://t.co/eTrUt2GVoz"
,,,,,,"Andrés’ presence hasn’t been without controversy--he called FEMA HQ in San Juan the most inefficient place on earth… https://t.co/MW52lVKkJB"
,,,,,,"Andrés has inspired others in Puerto Rico. In a church perched in the mountains of Naguabo, Pastor Eliomar Santana… https://t.co/82KG1fTkfN"
,,,,,,"At the height of the emergency, Andrés had 18 kitchens going at once, and used trucks, cars and anyone he could fin… https://t.co/Nb5Vp2OWoF"
,,,,,,"“Americans should be receiving one plate a day of hot food. That’s not too much to ask in America.” --José Andrés t… https://t.co/C0uXb6lrRe"
,,,,,,"With the help of private donations and money from the federal government, Andrés’ non-profit organization World Cen… https://t.co/hWssSyk9rk"
,,,,,,"“The problem was the urgency of now. It’s a very simple thing when you’re a cook. When you’re hungry, you gather th… https://t.co/gosUvLGl6i"
,,,,,,"Andrés came up with his own plan to feed as many of the island’s nearly 3.5 million people as possible. He started… https://t.co/PMU6n9rzUr"
,,,,,,"When @chefjoseandres arrived in Puerto Rico shortly after Hurricane Maria, he and his team made about a thousand me… https://t.co/XdGQ86txEL"
,,,,,,"While you wait for the broadcast to begin, feast on four videos from holidays past with Rooney's sharpest comments… https://t.co/0Ul2FQS2rf"
,,,,,,"60 Minutes will air after football tonight, except on the West Coast."
,,,,,,"RT @JeffFager: Their hospitals are bombed by the regime but that hasn’t stopped the doctors we met from helping people in Syria https://t.c…"
,,,,,,"RT @andersoncooper: How did one of the greatest chefs in America, @chefjoseandres, create an aid organization that served millions of meals…"
,,,,,,"Syrian President Bashar al-Assad has committed nearly every war crime in the books to retain control of Syria. His… https://t.co/CY52jhh7J2"
,,,,,,"Tonight we take you to the Isle of Eigg, an ungroomed masterpiece of nature just three miles wide, six miles long a… https://t.co/pjwBx8EDCh"
,,,,,,"Tonight, celebrity chef José Andrés has prepared more hot meals in Puerto Rico than any of the other bigger, more e… https://t.co/AMOeW1bArl"
,,,,,,"#60Minutes goes on adventure to a place with no police, no judges and no crime--an enchanting island worth visiting… https://t.co/rsXi31Ye7t"
,,,,,,"Risking life to save lives in Syria: A Chicago surgeon puts his life on the line to save victims of Syria's civil w… https://t.co/awl3tCzGJX"
,,,,,,"RT @CBSNews: NEW: CBS News terminates Charlie Rose following allegations of sexual misconduct. ""There is absolutely nothing more important,…"
,,,,,,"Just off the Scottish Coast is a unique island that's one-of-a-kind and a light year from the hustle of modern life… https://t.co/Nwh6jdOk0I"
,,,,,,"Exec. Producer Jeff Fager narrates the story of how Andy Rooney ended up at #60Minutes (and much more) in the Fifty… https://t.co/GSktB6aILk"
,,,,,,"Keeping the Voyagers going: From an ordinary office in California, project manager Suzy Dodd and her team operate a… https://t.co/OdbGRC5TVa"
,,,,,,"19 of the 22 players that made up the professional soccer team from Chapeco, Brazil were killed when their plane cr… https://t.co/QggWNnsPWm"
,,,,,,"Every home game this season at the 71st minute, the crowd serenades both the new players and the old with “Vamos Ch… https://t.co/hQdN4XvmXK"
,,,,,,"For the widows of Chapecoense, it’s been tough to watch new players wearing their husband’s numbers. They say the c… https://t.co/hd6EvwP4t9"
,,,,,,"Chapecoense’s president, known to all as Maninho, says he never seriously considered taking a season off to regroup. #60Minutes #50yearsof60"
,,,,,,"Not long after the crash, the club decided--for the good of the community and for financial reasons--Chapecoense would continue competing."
,,,,,,"The widows each received payouts worth about 3 years salary from the club and the Brazilian Soccer Federation, but… https://t.co/FXbdodDi4W"
,,,,,,"Five days after the crash, the players’ wives were on Chapecoense’s field, not for a game, but for a funeral.… https://t.co/ZxiyiFu4Xe"
,,,,,,"Families, including the players’ wives, were told the airline had an invalid insurance policy. #60Minutes #50yearsof60"
,,,,,,"The flight’s pilot has received the bulk of the blame for the accident from various investigations. He took off wit… https://t.co/UMDb4tRdcN"
,,,,,,"Neto was in a coma for 9 days. Ruschel sustained a spinal cord injury. Follmann lost his right leg below the knee.… https://t.co/MeFuDRrAWg"
,,,,,,"Miraculously, 3 players-- Jakson Follmann, Helio Neto and Alan Ruschel--survived the crash. “There was no sound at… https://t.co/I3TfIeepT5"
,,,,,,"Five days later, they chartered a flight from an airline called La Mia. How big of a moment was this for Chapeco? A… https://t.co/IbmhLMzeue"
,,,,,,"Last season, the little club punching above its weight secured a spot in the finals of the Copa Sudamericana--one o… https://t.co/aPkHSFIf1U"
,,,,,,"With great pride, Chape fans will tell you their club has no Pelés. Instead, the team took on the characteristics o… https://t.co/9XCEgCKtc2"
