NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
32Red,9212,499,"Online Casino from 32Red - sign up TODAY for £10 Free - No Deposit Needed! 
18+ https://t.co/nQbyjdZUIa",14736,1677,"NH Chase
Presenting Percy 12/1 from 33/1
 
RSA
Presenting Percy 11/1 from 14/1"
,,,,,,"JLT

Death Duty 8/1 from 10/1

RSA

Death Duty 10/1 from 12/1"
,,,,,,"Mares’ Hurdle

Apples Jade 6/4 from 5/2"
,,,,,,"Supreme Novices’

Mengli Khan 7/1 from 12/1"
,,,,,,"Triumph Hurdle

Espoir D’Allen 10/1 from 14/1"
,,,,,,"A
R
S
E
N
A
😂
😂
😂
😂😂😂😂"
,,,,,,"David De Gea has made 14 saves today. https://t.co/9B8BYEawep"
,,,,,,"70% of the Earth is covered by water. 

David De Gea covers the rest..."
,,,,,,"⏰ Kick Off: Arsenal 0-0 Man Utd

⏰ 11th Minute: Arsenal 0-2 Man Utd

Arsenal Fans: https://t.co/I5G4cqieNY"
,,,,,,"Welsh National
Beware The Bear 14/1 from 25/1
Bishops Road 20/1 from 25/1"
,,,,,,"RSA
Elegant Escape 25/1 First Show
Black Corton 25/1 from 16/1
 
National Hunt Chase
Elegant Escape 16/1 from 40/1… https://t.co/U4rFxvcOvB"
,,,,,,"Mares Novice Hurdle
Dame Rose 14/1 First Show"
,,,,,,"Supreme Novices’ Hurdle
Kalashnikov 25/1 First Show
 
Ballymore Novices’ Hurdle
Kalashnikov 20/1 First Show"
,,,,,,"Plenty of specials and bold type on today's racing, including price-boosts of all Nico de Boinville rides. Good luck."
,,,,,,"Here’s @PaddyBrennan81 with thoughts on his three rides at @NewburyRacing later today. https://t.co/G8Qlf0ik2a"
,,,,,,"Three rides for @adrianheskin this afternoon at @NewburyRacing - here’s his thoughts. https://t.co/m5XVjPzXZL"
,,,,,,"Some intriguing Premier League action to look forward to on Saturday - here's the latest odds:… https://t.co/8nvmawkweg"
,,,,,,"According to Fifa's coefficient rating, Russia have got the easiest group in the World Cup. https://t.co/JjQORS4FW4"
,,,,,,"Complete group draw for the 2018 World Cup, then: https://t.co/07i1kh0EF2"
,,,,,,"Final team confirmed for Group G: Panama join Belgium, England and Tunisia. Looks good on paper..."
,,,,,,"Here's @PaddyBrennan81 with thoughts on his three rides at @NewburyRacing on Saturday https://t.co/G8Qlf0zVqK"
