NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
BBCWorld,21976790,8,"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",41831,39394,"Potsdam bomb 'was attempt to extort' from DHL shipping company https://t.co/Yt4rQZaYM8"
,,,,,,"This is the moment the demolition of the Pontiac Silverdome... didn't go to plan. https://t.co/KXHIdx9NaH"
,,,,,,"Albania homes destroyed by deadly floods https://t.co/S6GG7HESwJ"
,,,,,,"Egyptian politician Ahmed Shafiq vanishes after deportation https://t.co/kyOpiB9S8k"
,,,,,,"RT @BBCSport: When smog stops play.

Sri Lanka players wore face masks to combat the pollution that disrupted the third Test against India…"
,,,,,,"These cherry trees in Tokyo are getting a new lease of life, thanks to a very unique donation. https://t.co/jybv2WHuDh"
,,,,,,"Pontiac Silverdome stadium fails to implode in Detroit https://t.co/yNrq4ItYdG"
,,,,,,"Russia-Trump: President hits out at FBI over Russia inquiry https://t.co/LudfW34s67"
,,,,,,"Afghan leader Ashraf Ghani apologises for headscarf remark https://t.co/nNYXdyQFin"
,,,,,,"Cooking oil lights up Japan's cherry trees https://t.co/u69th0yWl7"
,,,,,,"Saudi Arabia is seeing dramatic developments after decades of slow change.

Why has it suddenly happened?… https://t.co/3JNs2sH6RB"
,,,,,,"RT @bbcworldservice: ""If President Trump opts out, we opt in."" 

Why @MayorOfLA and other mayors from across North America are meeting to m…"
,,,,,,"Ireland has 'no desire' to delay Brexit - deputy PM https://t.co/CC0YUsdXlG"
,,,,,,"ABC's Brian Ross suspended for erroneous report on Flynn plea deal https://t.co/HFQFgvdfPU"
,,,,,,"India v Sri Lanka Test match halted by smog in Delhi https://t.co/U4mu2V1RMS"
,,,,,,"North Korea denounces US 'nuclear war mania' https://t.co/OLhZn8NoHw"
,,,,,,"RT @BBCNews: These kids are about to get the ultimate Christmas surprise, live on Ireland's biggest TV event of the year 😭 https://t.co/DTF…"
,,,,,,"RT @BBCBusiness: What do unicorns, zebras and sharks have to do with your money? Find out more by exploring our A-Z of Business Beasts. Ful…"
,,,,,,"Ireland's Late Late Toy Show surprise https://t.co/DHtnx9ucal"
,,,,,,"North Korea: US in race to address threat, says HR McMaster https://t.co/Vwpur3RXEd"
,,,,,,"South Korea boat collision leaves 13 dead https://t.co/J0GFUb4QYG"
,,,,,,"Metropolitan Opera investigates sex abuse claims against James Levine https://t.co/j5WGyWlqRK"
,,,,,,"Meet one of the nominees in Liberia's hunt for most trustworthy official https://t.co/Hmo8jR1cNF"
,,,,,,"From war wounded to medal winner: Ukrainian soldier's journey https://t.co/XgMHLXq7c8"
,,,,,,"UK social mobility board quits in protest https://t.co/LWdlu83VMY"
,,,,,,"Fresh heart https://t.co/InPKv8ZCQf"
,,,,,,"Pop apocalypse https://t.co/eE4noHWNK7"
,,,,,,"Reality Check https://t.co/FmtOMXIjTG"
,,,,,,"Trump my crib https://t.co/GZoHVDSGYR"
,,,,,,"Winds of change https://t.co/TOMTrWBbeV"
,,,,,,"Yemen conflict: Saudi-led coalition welcomes Saleh talks offer https://t.co/eBaiX0ctxb"
,,,,,,"Zimbabwe's Mnangagwa replaces ministers after outcry https://t.co/1so6etNGSb"
,,,,,,"Trump says Flynn's Russia dealings lawful https://t.co/rVRBhhyB9X"
,,,,,,"How Pussy Riot turned to protest art 

https://t.co/BZIptDmFSL https://t.co/YuW8oKEnFN"
,,,,,,"Alternative for Germany: Police and protesters clash over meeting https://t.co/t3xPmfVjQ7"
,,,,,,"UAE 'deports' Egypt presidential hopeful Ahmed Shafiq https://t.co/lEje7LLsYC"
,,,,,,"Egyptian lawyer jailed for saying women in ripped jeans should be raped https://t.co/HGENEk76vh"
,,,,,,"Completely blind backpacker travelling around the world https://t.co/s7O34io2bg"
,,,,,,"RT @BBCJonSopel: A win is a win is a win. And last night in the Senate, @realDonaldTrump scored  a big one on overhauling tax system  https…"
,,,,,,"Triple talaq: India considers jail for 'instant divorce' https://t.co/1cqi8o3w47"
,,,,,,"ICYMI: Hanks' thanks for 126p car https://t.co/iwZQ45Gbz4"
,,,,,,"Yemen: ex-President Saleh offers talks to Saudi-led coalition https://t.co/bOKLQRtze6"
