NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
CVWickham,1749,144,"Part-time professor, full-time Stats, #rstats and cats.",911,1683,"My new @DataCamp class is out! Working with dates and times in R https://t.co/RekwDyq08o"
,,,,,,"Kiwis overseas: NZ will not automatically send you voting papers, but you can get them online from today https://t.co/yNQ46YNJPF"
,,,,,,"RT @hadleywickham: Applications now open for diversity scholarships to attend rstudio::conf(2018)! https://t.co/ToeIHOrQNe #rstats"
,,,,,,"RT @hadleywickham: Some thoughts on contributing to the #tidyverse by @jimhester_: https://t.co/vGB3pTOPsM #rstats"
,,,,,,"RT @visnut: Anyone interested or know anyone interested in doing a PhD on tour methods, focus on physics data needs?"
,,,,,,"Interactive graphics with @visnut  CC341 right now @ #JSM2017 https://t.co/0LofxAEMVT"
,,,,,,"@yurikim Not that I know of..."
,,,,,,"Seconded! Monday 6-8pm  H-Key Ballroom 1. We have 🌮🍺🍷! https://t.co/4bHUzdOWza"
,,,,,,"@umairdurrani87 @RLadiesLondon Keynote"
,,,,,,"@kerry_benjamin1 Unfortunately I don't think so ... But maybe @JulieJosseStat or @HeathrTurnr knows."
,,,,,,"Thanks for having me @RLadiesLondon ! I had a great time at my first #Rladies meetup. Materials @ https://t.co/S9U5NUPUBE"
,,,,,,"RT @RLadiesLondon: For each _Wickham do _a meetup_! @CVWickham opening #wickhammonth at #rladies London with the purrr tutorial https://t.c…"
,,,,,,"Super excited to have inspired a new contributor to the R community! https://t.co/49NbylHKkt Keep up the good work @munkholt"
,,,,,,"@mmmpork We only just got back from our day out. Lets catch up in PDX some time."
,,,,,,"@NeilForrest @MangoTheCat ☹️ I'll be in London next week @RLadiesLondon"
,,,,,,"@NeilForrest @MangoTheCat My husband and I had a talk about no more plush @MangoTheCat s, so I've been avoiding tem… https://t.co/P4UrUny32B"
,,,,,,"RT @andrewtheen: Any current students at Oregon public universities out there? Would love to talk to you for a story on student debt. Follo…"
,,,,,,"@holgerbrandl Yes! And check out map_df() which will do the binding for you."
,,,,,,"@IsabellaGhement @nj_tierney slides.pdf or https://t.co/W1N0MI9KUo for a direct link"
,,,,,,"If you missed it, #useR2017 purrr tutorial slides and code are at https://t.co/S9U5NUPUBE"
,,,,,,"@old_man_chester @DJAnderson_07 Yes! We shouldn't have 50% of the times we've met be halfway around the world from where we all live."
,,,,,,"Slides from my talk about contributing to R at the #useR2017 newbies session are at https://t.co/Layt7mM1xx"
,,,,,,"@richierocks Looks like his head is all better"
,,,,,,"@bhaskar_vk Thanks for the tip! We have 7 days total, so we'll make an effort to see some places beyond Brussels."
,,,,,,"OSU is hiring a Data Analytics Program Director: https://t.co/PjtWS97Jhw Flexibility of academia + maintain connections with industry."
,,,,,,"Is anyone bringing a non-conference attending friend to #user2017? My husband would love a buddy to explore Brussels with ..."
,,,,,,"@KVittingSeerup Doesn't look like it.  That was @StatGarrett's work (combining some stuff with tibbles if I remembe… https://t.co/oRblD2zMWr"
,,,,,,"Escorting my 1st PhD student at commencement today. Proud of you @cwcomiskey !🎓 https://t.co/YWGwft7ipe"
,,,,,,"@gdequeiroz @cascadiarconf It was great to meet you too!"
