NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
EmilyWWeiss,21707,1347,"Founder & CEO, Glossier Inc",1013861,3397,"Hard to put it into words but @sunhee_beauty did well... https://t.co/SJleNzz8dz"
,,,,,,"Katrina Lake, my hero. @stitchfix"
,,,,,,"And we are LIVE in the UK! https://t.co/gEhBIaH6BC"
,,,,,,"RT @taylordelpriore: Impromptu trip to @glossier,got in an elevator w/my idol @EmilyWWeiss,bonded with her and 2 other girls in elevator bc…"
,,,,,,"? @mvonsteen is that you? https://t.co/VFDRlBr9cA"
,,,,,,"RT @TimesFashion: By day she was a Vogue assistant. By night she wrote a blog. Now @EmilyWWeiss is the CEO of a cult beauty brand https://t…"
,,,,,,"SZA better win a whole bunch of Grammies for this album."
,,,,,,"How Glossier Hacked Social Media to Build A Cult-Like Following https://t.co/8KNsJGzPu0"
,,,,,,"RT @FastCompany: What every brand needs to connect better with audiences right now https://t.co/MxRr2kmcD1 https://t.co/INP4ABkudu"
,,,,,,"Hi London let's play https://t.co/gCwUBKP7uL"
,,,,,,"RT @ariannahuff: Love this piece on @glossier's @EmilyWWeiss https://t.co/CYhJnOK0ta"
,,,,,,"RT @Katie_Roof: Full interview with @EmilyWWeiss @Ty_Haney https://t.co/h1An7TmfeM"
,,,,,,"@_Brezus @glossier Haloscope! In moonstone"
,,,,,,"RT @LSH: omgomgomgomg &gt;&gt; @Glossier’s @EmilyWWeiss and Outdoor Voices’ Tyler Haney to talk shop at #TCDisrupt https://t.co/twnGuZ241k"
,,,,,,"RT @fatmascara: We pondered the important things with @emilywweiss on Ep 52: The democratization of beauty;… https://t.co/lPEFG0FmzH"
,,,,,,"RT @glossier: ""I really see Glossier as the first beauty lifestyle brand.""—@emilywweiss cc @violetgrey https://t.co/aolJvXJLsQ"
,,,,,,"RT @TIME: How the founder of Glossier built a successful beauty brand https://t.co/EQzZHrVGIW https://t.co/ZBvEMYOJcK"
,,,,,,"RT @glossier: Ready for tomorrow.  https://t.co/qXgSscJMjg https://t.co/bfnNCOZcK1"
,,,,,,https://t.co/L5sb39taFV
