NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Footy_Jokes02,29871,4,"@Footy_Jokes backup account.

Jokes - Memes (Parody)

Mail: Footyjokesglobal@gmail.com",17395,7638,"Man United players reaction when they heard Lacazette was starting.  https://t.co/OCtphkQC4e"
,,,,,,"He really dodged that shot like Neo in the Matrix 😂😂😂😂 https://t.co/QoUVgSRn0A"
,,,,,,"World Cup draw:

Group A - 🇷🇺🇺🇾🇪🇬🇸🇦
Group B - 🇵🇹🇪🇸🇮🇷🇲🇦
Group C - 🇫🇷🇵🇪🇩🇰🇦🇺
Group D - 🇦🇷🇭🇷🇮🇸🇳🇬
Group E - 🇧🇷🇨🇭🇨🇷🇷🇸
Gro… https://t.co/J62bD8661j"
,,,,,,"""Gattuso, what do you think of Tottenham and Liverpool?"" https://t.co/ZcwhVM4ua1"
,,,,,,"What happened between Neymar and Cavani when PSG got a penalty last night.. https://t.co/VDNGnuiy9t"
,,,,,,"Outstanding stewarding https://t.co/rlaZd6sGPx"
,,,,,,"18-year-old Justin Kluivert with this unbelievable hat-trick for @AFCAjax. 😱🔥👏
(🎥 @goal)
 https://t.co/O3k8FMipQe"
,,,,,,"When you fart BT graphics 😂😂 https://t.co/MS159WntBu"
,,,,,,"Gary Lineker: ""Who won the Champions League in 2006?"" 🤔

Steven Gerrard: ""I can't remember, I was probably still dr… https://t.co/rnPwngvzAO"
,,,,,,"The one and only Pep Guardiola! 
(🎥: @Mindfootballnes )

https://t.co/XJnb0F2NLc"
,,,,,,"Thiago Silva's christmas gift to Kylian Mbappé 🐸😂 #Donatello https://t.co/AAmyeAN0Cg"
,,,,,,"Gryffindor at Hufflepuff away... https://t.co/4mtEU4z9zR"
,,,,,,"Ronaldinho sends a defender to the floor... just from a drop of the shoulder. 🔥👏 https://t.co/CwsXxg7KC2"
,,,,,,"Throwback to this classic 'Football Italia' advert from back in the day. https://t.co/1QX7KzyuEB"
,,,,,,"Throwback to when Luis Suárez starred in this brilliant advert in Uruguay. https://t.co/bnIumukIGQ"
,,,,,,"Patrice Evra dedicates his Monday to Paul Pogba 😂🔴🇫🇷 https://t.co/KsCnQxHO8T"
,,,,,,"Meanwhile in Egypt...goalkeeper saves outside the area, no player complains, ref says play on.. 👀😂 https://t.co/seRIw6aWbg"
,,,,,,"Throwback to when Messi and Godin were perfectly synchronised. https://t.co/YEZBPFjHd9"
,,,,,,"An Italian magazine voted this the worst 20 seconds of football ever played. https://t.co/RjQiAxJ2il"
,,,,,,"When Zlatan Ibrahimovic met his idol Ronaldo De Lima.. https://t.co/q8a3IiQzNt"
,,,,,,"The most savage nutmeg of the season 😂🔥 https://t.co/D3Jql9OuAV"
,,,,,,"🗣 ""Lions, they don't recover like humans."" 

- Zlatan Ibrahimović. 😂👏

🎥 @btsportfootball
 https://t.co/HG8KSz5k66"
,,,,,,"Goal of the season contender from @AlvechurchTV. 😱🔥

Unbelievable Tekkers! 😳👏https://t.co/LsWGXBy50v"
,,,,,,"A belter of a free cock 😂😂😂 https://t.co/GUU4aD8nSE"
,,,,,,"Utter filth. 😷 https://t.co/EAv1L3jADy"
,,,,,,"When the kids a few years above you steal your ball at break time and won't give it back. https://t.co/nwfEb2HCr6"
,,,,,,"Referee Jon Moss nutmegging Alexis Sanchez is the best thing you’ll see today... https://t.co/Em2mSJDWnI"
,,,,,,"That turn 😳👏 https://t.co/6dLg5YSauM"
,,,,,,"The face you make when you know the damage you can do but it’s not worth it 😂 https://t.co/lsGyNJoMYY"
,,,,,,"VIDEO: De Rossi's furious reaction when asked to 'warm up'. Scenes.. https://t.co/3srUHE5fCn"
,,,,,,"Italian fans booed the Swedish national anthem tonight, meanwhile Buffon clapped them. Respect. https://t.co/zGo8Kj0kpg"
,,,,,,"The three Pogba's. 🕺🏾 https://t.co/trYLrdvopz"
,,,,,,"That goalkeeper absolutely destroyed him...🔥💀
 https://t.co/K4o0QZCUZL"
,,,,,,"She just ended that goalkeepers career. https://t.co/Qt0nFKPjMy"
,,,,,,"Isco on the training ground with his son will lighten up your Saturday morning.

https://t.co/4WlIMv87zj"
,,,,,,"Xavi has retired. A great footballer, but the ultimate ladies man. 

🎥 @FCBarcelona https://t.co/85NkGj6k5c"
,,,,,,"When you're on a date but football is life 😂😂 https://t.co/oTWkbgmKq5"
,,,,,,"Jorge Campos was joy to watch... https://t.co/MgLlC8vBlR"
,,,,,,"Still get goosebumps watching this video  https://t.co/09OVSGgtyq"
,,,,,,"Football ❤️ https://t.co/lRXOaZmknX"
,,,,,,"""This is why controllers get smashed"" 👿⚽️ https://t.co/M790TlO4pa"
,,,,,,"Throwback to when Villarreal invited a young fan suffering from cancer to play a few minutes with the club. Class. https://t.co/ztz7U9CJy0"
,,,,,,"When you finally meet your biological father!! https://t.co/naXgQsNTQO"
,,,,,,"Class level - 💯 https://t.co/yjhxNuoPNN"
,,,,,,"We could watch this over and over. 🔥⚽ https://t.co/sGoIlLpgSZ"
,,,,,,"There's no respect in football anymore. 💀😱 https://t.co/j0jL9FmUC1"
,,,,,,"Own goal of the year 
https://t.co/DhaBUWIXwh"
,,,,,,"Throwback to when Cristiano Ronaldo thought he came 2nd but instead he was 3rd behind Messi. 😂 https://t.co/DYstnY7BvR"
,,,,,,"Lingard getting outpaced by the 39 yrs old referee Anthony Taylor

https://t.co/ApAJY14r6J"
,,,,,,"Never forget that time Jim Carrey showed up at Exeter City 😂 https://t.co/K5ReTgVsCU"
,,,,,,"Fans are shocked at what Alexis Sanchez did at full time vs Man City.. https://t.co/j3ym682Cld"
,,,,,,"What the hell was Aguero carrying as he was subbed!!? https://t.co/2lvr9JW5FV"
,,,,,,"I'm crying 😂😭😂

https://t.co/mKNxisbaiD"
,,,,,,"Girls that play football! https://t.co/C4r3BQh9YO"
,,,,,,"The quickest yellow card ever
(🎥: @NEPgrunz )

https://t.co/zWKYo5OXAC"
,,,,,,"When you’re having just the worst day.. https://t.co/PZZQLEm6iv"
,,,,,,"Tweet of the week. https://t.co/st4MF7MKp3"
,,,,,,"VIDEO: Patrice Evra has been sent off for Marseille before the game kicked-off 😳 https://t.co/LmBsNq7rXM"
,,,,,,"Olympiacos player fouled Messi multiple times then apologized.

Messi's response was epic: https://t.co/xalaTdWw70 https://t.co/717YRy5dPi"
,,,,,,"Five years ago Giroud and Coquelin threw their shirts into the crowd, not knowing that the game went to extra time
https://t.co/urb1FMKDpN"
,,,,,,"Barça fans are furious after the club posted this tweet about Neymar. https://t.co/sxBnGgkIP0"
,,,,,,"How Mourinho helped Martial to score the winner against Tottenham. Brilliant! https://t.co/RZIo27jwdP"
,,,,,,"Jose Mourinho to his haters  https://t.co/OyFkKtu7C5"
,,,,,,"Lionel Messi reveals the best English player he has ever faced!

Beckham ❌
Lampard ❌
Gerrard ❌

Guess who? 😮… https://t.co/ROAEfdGkCH"
,,,,,,"Messi has swapped shirts only once with a Real Madrid player.

Ronaldo ❌
Casillas ❌
Ramos ❌
Guess who?… https://t.co/sYeoomWKUQ"
,,,,,,"The worst player in FIFA 18... who's not even a professional athlete https://t.co/q00LBXztra"
,,,,,,"Nobody can believe what David De Gea has done to his hair!.. 😮 https://t.co/AcOLhitool"
,,,,,,"Barca's new kit for 2018-19 has been leaked online. https://t.co/7n73MDMFVz"
,,,,,,"Cristiano Ronaldo wins the FIFA Best Men's player award 2017! https://t.co/ia3edXsVgT"
,,,,,,"VIDEO: When Neymar forgets football and starts wrestling 🙈 https://t.co/3HxhbrEhbA"
,,,,,,"Sunday League at its finest...
https://t.co/fU61ixXIGj"
,,,,,,"David Luiz was pissed at Morata https://t.co/fhVyBfpBBc"
,,,,,,"Can't believe Neymar did this at Messi's wedding! https://t.co/v1IsVSYcbk"
,,,,,,"Leo Messi did at the 10th minute of the game became a huge talking point instead 🤔 🤔 🤔 https://t.co/voKKJl01BX"
,,,,,,"When you get a chance to have a photo with Arsene Wenger but you press the wrong button 😂😂 https://t.co/kUmkom4jg0"
,,,,,,"Lukaku consoling Mile Svilar following his mistake is probably the best thing you'll see all day. 

Great sportsman… https://t.co/eitByjZxkv"
,,,,,,"VIDEO: Sanchez misbehaves with Wenger in training. Sad to see! https://t.co/lZZYJwz2UG"
,,,,,,"I don't think this guy quite understand the concept of red cards... https://t.co/hyoJGyWhQH"
,,,,,,"Zinedine Zidane picks his Ballon d'Or winner and it's not Cristiano Ronaldo..  https://t.co/LZOBcyTOKN"
,,,,,,"Cristiano Ronaldo trolled 😂 https://t.co/wF6oslN3qj"
,,,,,,"Cristiano Ronaldo's favourite Real Madrid team mate has been revealed.

Bale? Nope
Ramos? Nope
Modric? Nope… https://t.co/exkYzqul0i"
,,,,,,"Karma.. That celebration 😂 https://t.co/UlhMaVI9AG"
,,,,,,"Didier Drogba will never stop being class  https://t.co/Pl5fjZsMSm"
,,,,,,"Kevin Trapp has got the hottest girlfriend in Football! 🔥🔥 https://t.co/3DmAcqB090"
,,,,,,"Lionel Fishy? 😂🐟 https://t.co/AVRXsXYBKv"
,,,,,,"Julian Draxler sends Arsenal fans crazy!.. https://t.co/new8BnYg41"
,,,,,,"RT @SKYSP0RTSHD: BREAKING: Brendan Rodgers handed the most shocking news involving his wife.. 😥 https://t.co/ATR4wX3Hay https://t.co/i49nrr…"
