NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
HieuHaoHoa499x,20,29,Designer,0,17,"Pls, 😩
Làm cả tháng éo đủ tiền đi đám cưới luôn 😪 https://t.co/1rpsevSbha"
,,,,,,"[Clip] Wedding,
thời gian thấm thoát thoi đưa,
Thế là chúng nó đã lừa đc nhau ))
Chúc mừng hp 2 đứa Ngọc Thắng... https://t.co/ZG7zxBLULQ"
,,,,,,"[Clip] Wedding,
thời gian thấm thoát thoi đưa,
Thế là chúng nó đã lừa đc nhau :)))
Chúc mừng hp 2 đứa Thắng Ngân... https://t.co/dtZQSfjYO0"
,,,,,,"[Happy Wedding] Bùi Thị Thuý Ngân - Thái Ngọc Thắng: https://t.co/nfKaVKG1pf qua @YouTube"
,,,,,,"Oh I Oh I Oh I Oh I  🎵🎶
#ShapeOfYou https://t.co/WP5mNONjQZ"
,,,,,,https://t.co/qBMOftEPyZ
,,,,,,"hay ko tả đc :v"
,,,,,,https://t.co/hhHeCBgxML
,,,,,,"Havana &lt;3 &lt;3 
Best cmn song , ☺️😊
#jfla #iloveU https://t.co/rVFQI8ZsOi"
,,,,,,"[Happy Wedding] Hiệu Vũ - Thu Thùy 
Chúc mừng hạnh phúc anh chị ^^! &lt;3
bộ ảnh cưới của a nghịch quá, 😂
:D ai lấy... https://t.co/XybQc2VqOu"
,,,,,,"[Happy Wedding] Vũ Hiệu - Thu Thùy: https://t.co/Fca1lfjuaJ qua @YouTube"
,,,,,,"Cô gái ấy 😊😊 ....
Ae đâu hết rồi https://t.co/CRVYX7IhGD"
,,,,,,"one day.... :| 😐 https://t.co/7lhTaPm5fQ"
,,,,,,"Cứ thế này thì mấy mà chết — đang cảm thấy mệt mỏi"
,,,,,,https://t.co/QckfrI0iYp
,,,,,,"hmmm https://t.co/OeI5sqkZae"
,,,,,,"Khi a Tùng lỡ mồm 😂😂 https://t.co/23u5iSctOP"
,,,,,,"đang cảm thấy buồn"
,,,,,,"Túy Âm - Xesi x Masew x Nhatnguyen https://t.co/SBKjX17KtA qua @YouTube"
,,,,,,"Reporter vào thả tim cho #nam đz mau ra video nào 😝😝 https://t.co/UmPstvEzeH"
