NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
MorningExp,73541,41523,"Top stories and highlights from @HLNTV's Morning Express with @RobinMeade. M-F 6a-10aET",6004,1105,"Hoping to keep the holiday weight off?  It might be worth posting on Instagram.
https://t.co/XqvRXUVxaQ"
,,,,,,"Are these hot toys on your shopping list? https://t.co/XMm2gBQ0Op"
,,,,,,"Take a tour of Russia's abandoned Space shuttles
https://t.co/zDr8pkzQvX"
,,,,,,"The sex harassment scandals are prompting difficult conversations with kids 
https://t.co/ZAjyZTeDen"
,,,,,,"RT @UnfilteredSE: Reminder: Starting Monday, we move to 5ET/2PT on @HLNTV. https://t.co/tCnu6xj6F7"
,,,,,,"RT @CoyWire: Thx for bringing 🐶 puppies &amp; a 😻 kitten @AtlantaHumane. It's a privilege for @RobinMeade @AndyScholesCNN &amp; me to help you help…"
,,,,,,"#Dogs vs. #Cats -- #Science says when it comes to smarts, one of these furry friends has an edge! https://t.co/58ebsPcXlW"
,,,,,,"#Yeti hunters stand down. Science says the mystery of the #Bigfoot of the Himalayas has been solved. @CNN:… https://t.co/wizFZ4doSc"
,,,,,,"There is a lot at stake tomorrow when the @AuburnTigers and @universityofga Bulldogs meet at the SEC Championship g… https://t.co/KWytO20DwW"
,,,,,,"Looking for something to binge watch in front of the Christmas tree?  Here's what's streaming this month.
https://t.co/MpcQdaitz0"
,,,,,,"What flavor is GOLD? @Hersheys wants you to find out! https://t.co/Rj3hYyRx5T"
,,,,,,"Rancher Ammon Bundy, part of the #OregonStandoff over grazing rights on Federal land is now out of a Las Vegas jail… https://t.co/CvkSkgewUX"
,,,,,,"These mystery(?) paintings ROCK! #art #montana https://t.co/CblvIUcJRb"
,,,,,,"President Trump to hold campaign-style rally near Alabama just days ahead of state's special election where embattl… https://t.co/Nn5KUK5xXH"
,,,,,,"Prince Harry and @meghanmarkle mark #WorldAIDSDay with first joint royal visit:  https://t.co/jcrHuapnCt https://t.co/chPw1c7xRQ"
,,,,,,"RT @RobinMeade: Meet some kids I got to know, who are bouncing around in some new kicks thanks to a cool charity that wants to make sure ev…"
,,,,,,"UPDATE: Vegas police release video showing heist at the Bellagio casino. https://t.co/YD9V5DLFSH"
,,,,,,".@TimTebow tells @CoyWire “#Georgia...is gonna play with a chip” against #Auburn Saturday at the #SECChampionship.… https://t.co/4FUr2Cufny"
,,,,,,"RT @RobinMeade: President Trump's former national security adviser is expected to plead guilty to making false statements about conversatio…"
,,,,,,"BREAKING: Former Trump national security adviser Michael Flynn charged with ""willfully and knowingly"" making ""false… https://t.co/L6kjh2Bnfc"
,,,,,,"RT @RobinMeade: BREAKING NEWS: Justice Dept. considering bringing Federal charges against Mexican man acquitted of murder in #KateSteinel's…"
,,,,,,"December 1, 1955. On this day Rosa Parks is arrested in Montgomery, Alabama for not giving up her seat on a public… https://t.co/VF7Wh6hHDQ"
,,,,,,"Matt Gonzalez, the defense attorney for Jose Ines Garcia Zarate, says critics should think before weighing in on th… https://t.co/gCFLVYRGon"
,,,,,,"House Democratic Leader Nancy Pelosi on Thursday called on Rep. John Conyers to resign following allegations of sex… https://t.co/Py3m1dcekj"
,,,,,,"It was the shocking affair that nearly toppled a presidency. This 2-part episode features interviews with Bill Clin… https://t.co/BZcG0Fvy2B"
,,,,,,".@FLOTUS flips the switch to light the 95th National #ChristmasTree in Washington D.C. https://t.co/Px7TvBXTXU"
,,,,,,"Jim Nabors, probably best known as for his portrayal of Gomer Pyle has died. He was 87. https://t.co/eVnf8SZrIX https://t.co/OOVkrg7N90"
,,,,,,"East Coast shaker: A magnitude 4.1 earthquake struck Thursday afternoon near Dover, Delaware, and was felt from New… https://t.co/4V1DsJeap8"
,,,,,,"Bette Midler says #MeToo. Singer/Actress claims Geraldo Rivera groped her in the 70's. https://t.co/uzkuCzg9nb"
,,,,,,"Jacksonville, North Carolina community holds candlelight vigil to support family of missing 3-year-old Mariah Woods… https://t.co/2CQo6qsjvh"
,,,,,,"Watch for drama this morning as Republican leaders try to ge their tax plan passed in the Senate.… https://t.co/WgbHIQgj10"
,,,,,,"A Mexican man will be deported after he was found not guilty in the killing of #KateSteinle, whose death while out… https://t.co/6ocafk1AHV"
,,,,,,"@Kantrarevlis This is cool! Did  you draw this?"
,,,,,,"Following a Twitter spat, @jimmykimmel responds to @MooreSenate: ""I accept the invitation. I will come down there.""… https://t.co/7YahSFVR0R"
,,,,,,"When is Velcro NOT Velcro? Company that owns the patent says they're sick of us calling ALL rippable fasteners Velc… https://t.co/B21HWYnpjX"
,,,,,,"RT @cnnbrk: Jury finds undocumented immigrant charged with the killing of a San Francisco woman not guilty, a case at the center of the san…"
