NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
appannie,24567,3196,"Build a better app business. App Annie delivers data and insights to succeed in the app economy.",591,426,"@seatinmol Glad you're getting good use out of our insights!"
,,,,,,"@Lampl Thanks Burt!"
,,,,,,"App Annie has reached over 1M registered members! We’re thankful for our members who rely upon App Annie to navigat… https://t.co/jwaeTmiSeU"
,,,,,,"@GrowCo Thank you!"
,,,,,,"App Annie has reached over 1M registered members! We’re thankful for our members who rely upon App Annie to navigat… https://t.co/ryCgdZQjqN"
,,,,,,".@appannie dives deep into @Snapchat’s usage numbers for some lessons any mobile marketer should be aware of:… https://t.co/3GQTaDIs3X"
,,,,,,"RT @MobileMktrDaily: Americans will spend nearly 45M hours on Android shopping apps alone during #BlackFriday week, @appannie found  https:…"
,,,,,,"RT @button: Are ads on mobile impactful for brands? According to consumers, they rarely or never *intentionally* click on them. More insigh…"
,,,,,,"We’re fast approaching some of the busiest weeks in mobile retail. Here are 3 strategies to help retailers finish t… https://t.co/EwovxfqL09"
,,,,,,"Marketers are investing in mobile apps &amp; 63% of our survey respondents expecting app marketing budgets to increase: https://t.co/iHRyetNFF9"
,,,,,,"With over 40 million hours spent in apps in the US alone, 2017 Black Friday will push mobile shopping to record lev… https://t.co/B5tYY7l3xZ"
,,,,,,"Hear from our CEO and Co-Founder, @bschmitt, on how his unique global background shaped his vision for the company https://t.co/wJFLqEoUZH"
,,,,,,"Watch App Annie President @KrantzTed on stage at @ForbesCMO with EA's VP of Global Marketing, John Buchanan, discus… https://t.co/3WuZgkpioo"
,,,,,,"Top 5 digital-first shopping apps by time spent in H1 2017: 
#1 Amazon
#2 Amazon Shopping
#3 Wish
#4 Etsy
#5 Zulily https://t.co/c1MWZXYBo8"
,,,,,,"It’s no surprise that mobile video ads generate the most revenue, but when you look at gaming vs. non-gaming, the a… https://t.co/blcfd4tqte"
,,,,,,"Install penetration and open rate are two key metrics in #mobilemarketing. Make sure you know how to use them (incl… https://t.co/kODgjsVHnV"
,,,,,,"App Annie has made the @Deloitte Tech Fast 500 yet again! The award recognizes the fastest growing, most cutting-ed… https://t.co/b5xpIOa7A8"
,,,,,,"App Annie's CEO and Co-Founder @bschmitt reveals his entrepreneurial journey and how he took his company global https://t.co/Xk7C87gYEo"
,,,,,,"Find out from our CEO &amp; co-founder @bschmitt what it takes to grow a forward-leaning business quickly: https://t.co/11EdyUs9My"
,,,,,,"App Annie shares with @MishCastillo via @CNBC, best practices for making your way up to the top with app store opti… https://t.co/IZIzYYogvc"
,,,,,,".@Adjust turned to App Annie for expertise on App Store Optimization in the Complete Guide to Mobile Marketing. Che… https://t.co/MJshlS6X5G"
,,,,,,"Time spent in apps nearly doubled over the past 2 years. On average, consumers will spend 2 hours per day in apps. https://t.co/suzplKNxe3"
,,,,,,"On average, American mobile users spent nearly 50 minutes in shopping apps every month.  https://t.co/57icvFFrvp"
,,,,,,"Smartphone users are spending 7x more time in mobile apps than they are in mobile web https://t.co/cwKm9s7n5I"
,,,,,,"RT @adjustcom: Deep dive into #ASO with @appannie! Get expert tips on how to increase the visibility of your app. Free copy here:
 https://…"
,,,,,,"RT @DaveSchoools: “People spend 2.25 hrs a day in apps on average.” -@appannie #CDXForum"
,,,,,,"RT @DeloitteDigital: Time spent in apps is expected to grow to 3.5 trillion hours in 2021. John Buchanan, @EA is talking mobile app marketi…"
,,,,,,"App Annie SVP @dlevitas w/ Zach Held, Bank of America, &amp; Doug Chavez, Banana Republic, on how to engage w/ the… https://t.co/eYUfqrhbHq"
,,,,,,"App Annie President @KrantzTed speaking with John Buchanan of EA on the power of #mobile and apps at @forbescmo… https://t.co/BAmGdMdZ5T"
,,,,,,"Watch App Annie's MD EMEA @nberaudo live on stage now at #NOAH17 London talking about the global app economy! https://t.co/Q5Sh08Rg8g"
,,,,,,"Successful retailers are earning sales via mobile channels — app users convert at 3x the rate of mobile web users: https://t.co/EOs30V2ndd"
,,,,,,"Marketers are investing in mobile apps &amp; 63% of our survey respondents expecting app marketing budgets to increase: https://t.co/RXkxXxQVEf"
,,,,,,"Uncover how businesses are building customer loyalty in apps over mobile browsers: https://t.co/GjkFhScvC8"
,,,,,,"Find out from our CEO &amp; co-founder @bschmitt what it takes to grow a forward-leaning business quickly: https://t.co/nkeTX6nEEH"
,,,,,,"Sign-up for our Quality Over Quantity webinar and learn how to improve ROI on your user acquisition efforts… https://t.co/Dj9Lv5ZsmK"
,,,,,,"Top 5 digital-first shopping apps by time spent in H1 2017: 
#1 Amazon
#2 Amazon Shopping
#3 Wish
#4 Etsy
#5 Zulily https://t.co/fDOpfa4Ffr"
,,,,,,"On average, American mobile users spent nearly 50 minutes in shopping apps every month.  https://t.co/mVq9Xiispn"
,,,,,,"In South Korea, Mexico, Japan, and India, power users spend over four hours per day in apps https://t.co/YM0xLesrNq"
,,,,,,"In Q3 2017, the iOS App Store &amp; Google Play each reached record levels for worldwide downloads and consumer spend… https://t.co/4M8Y16STtm"
,,,,,,"App Annie's CEO and Co-Founder @bschmitt reveals his entrepreneurial journey and how he took his company global https://t.co/G7lol5uko0"
,,,,,,"Time spent in top traditional retailer apps — Walmart, Cartwheel, Kohls, Home Depot and Kroger — grew 29% in H1 2017 https://t.co/CVlLcHdjWf"
,,,,,,"In an interview with CEO Forum, @bschmitt shares how companies are transforming thanks to mobile apps https://t.co/hZ3Chn9zGE"
,,,,,,"A big thank you from the App Annie team to everyone who attended Decode London last night! #AADecode https://t.co/SulkkBnI1a"
,,,,,,"And it's a wrap! Now for the champagne...  ! #AADecode https://t.co/iYosVAdYz3"
,,,,,,"Delta passengers’ boarding passes will automatically be sent out 24 hours prior to a flight via Delta’s mobile app: https://t.co/puDftmQEKt"
,,,,,,"“Moving people around our app economy during a big game prevents them going elsewhere” - @SkyBet’s Ben Fox #AADecode"
,,,,,,"‘Ahead of big sporting events is our sweet spot for user acquisition’ @SkyBet’s Ben Fox at #DecodeApps"
,,,,,,"'Black Friday tends to be our best day in terms of usage' - Head of @Rovio’s London Studio @Sorrell #AADecode #gaming #BlackFriday"
,,,,,,"It’s not just what our customers are doing that matters, it’s why! - Head of @Rovio’s London Studio @Sorrell #AADecode"
,,,,,,"""We track usage metrics to determine the success of our app"" Head of @Rovio’s London Studio @Sorrell and @SkyBet’s… https://t.co/GhpRQlzQ6W"
,,,,,,"‘IOS’ makes up roughly 60% of our customers’ -  @SkyBet’s Ben Fox at #DecodeApps London’17"
,,,,,,"""100% of our revenue comes from people currently playing the game"" - Head of @Rovio’s London Studio @Sorrell #AADecode"
,,,,,,"Apps are enabling a seamless and stress free journey - @thetrainline’s Director of Product @daveslocombeat at… https://t.co/Y6KocMLvBw"
,,,,,,"“Our customers' expectations are shaped by apps outside of the finance sector"" @LloydsBankBiz’s Head of Mobile Stev… https://t.co/5qrXP2cWP2"
,,,,,,"“Reinvent the banking experience through apps” @LloydsBankBiz’s Head of Mobile Steven Hicks #AADecode London’17 https://t.co/werSHZ1XXj"
,,,,,,"RT @agnieszkafrost: App engagement growth in uk @appannie #AADecode Haymarket_Media https://t.co/s9qynSLN4f"
,,,,,,"“Over 2 hours a day are spent in apps” - @AppAnnie’s @nberaudo at #AADecode London'17 https://t.co/jZywSUiX1p"
,,,,,,"@AppAnnie’s @PSBarnes introduces the show! #AADecode London 2017 https://t.co/zqqmqLbkoV"
,,,,,,"The countdown to @AppAnnie's #DecodeApps London begins! https://t.co/Xv78fmJiqm"
,,,,,,"@taylorswift13 releasing an app with @glumobile focused on connecting fans with the artist  https://t.co/3V2DDjybH1"
,,,,,,"App Annie's CEO and Co-founder @bschmitt  w/ @StevenLevy on iPhone's impact on economy &amp; society at 7PM.  https://t.co/BrTFkVnJBH  #CHMLive"
,,,,,,"U.S. consumers are spending 10 hours per year in shopping apps: https://t.co/hCGJfIZK72"
,,,,,,"Wells Fargo customers will now be able to perform card-free mobile transactions at more than 40% of its ATMs https://t.co/xDt45YaZz1"
,,,,,,"Alibaba shopping app AliExpress has grown 80% year-over-year between 2016 and 2017:  https://t.co/xKV4DeeDnX"
,,,,,,"Smartphone users are spending 7x more time in mobile apps than they are in mobile web https://t.co/vcO0v5kvUI"
,,,,,,"Twitter will be adding a new feature highlighting to users what's ""happening now"" https://t.co/0K0Ndx6xGb"
