NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
classicshirts,65367,50147,"Classic Football Shirts. The World's largest collection of original football shirts. Worldwide Shipping",7006,4962,"🎁 Giveaway number 3 - Spain Player Issue 🎁 

#Retweet and #Follow us to enter - Good Luck

Get a closer look at wha… https://t.co/zAF68WgeUW"
,,,,,,"Behind the scenes: New shirt clearance

Find all our new clearance here - https://t.co/aCCXVFVzGp https://t.co/UAdKrLXNbU"
,,,,,,"Manchester City 1981-82 home by Umbro

Original #MCFC classics - https://t.co/BRHVNduyfo https://t.co/FSmn8MLxI4"
,,,,,,"Gustavo Tomas has entered the #CFSCollectorsClub with his Portugal National Team collection

View the collection he… https://t.co/CYfOShs7Gl"
,,,,,,"RT @destradefromonj: @classicshirts Naoki Matsuda https://t.co/GqxCTA8Apc"
,,,,,,"RT @classicshirts: Player Advent Calendar: Who would you have at #3? https://t.co/YU2JQP0XH4"
,,,,,,"RT @maxiestefa: @classicshirts Sorín https://t.co/5MOKJeAY0z"
,,,,,,"RT @thewayweplay11: Getting slightly addicted to buying classic football shirts. Also seem to be fixated on Italy.
@classicshirts https://t…"
,,,,,,"@MarcosG_Delgado Giveaway number 1 winner - @MarcosG_Delgado

DM us for your prize"
,,,,,,"Player Advent Calendar: Who would you have at #3? https://t.co/YU2JQP0XH4"
,,,,,,"🇲🇾 https://t.co/8oGZ6JHWD4"
,,,,,,"Happy Birthday Michael Essien https://t.co/VINVpkf0Dd"
,,,,,,"You could win this Match Worn and Signed Juan Mata shirt and support the #CommonGoal movement

View the details her… https://t.co/JjrQpeTfAL"
,,,,,,"RT @classicshirts: David Batty doesn't do Friendlies https://t.co/bDbzimcwD2"
,,,,,,"RT @classicshirts: 🎁 Giveaway number 2 - one of these Red Star shirts 🎁 

#Retweet and #Follow us to enter - Good Luck https://t.co/G7fXirH…"
,,,,,,"Turkish club clearance

Grab a bargain here - https://t.co/T4vMFtHpb3 https://t.co/XGkOKGxkNq"
,,,,,,"Real Madrid 1996-97 third by Kelme

More #RealMadrid classics - https://t.co/Yl0hbLo91R https://t.co/DwoogFQ0sw"
,,,,,,"🎁 Giveaway number 2 - one of these Red Star shirts 🎁 

#Retweet and #Follow us to enter - Good Luck https://t.co/G7fXirHMGZ"
,,,,,,"@BrandonUrtel @ManUtd It could be yours on our site"
,,,,,,"If today's game was in 1999-00

#ARSMUN https://t.co/0NIDChnJJe"
,,,,,,"France Euro 84 home by Adidas https://t.co/pZ2BAq5iz1"
,,,,,,"Full kit wonder: Liverpool 1989-91 home by Adidas https://t.co/SigaKnISN6"
,,,,,,"RT @VargasSanin: @classicshirts Ivan Cordoba https://t.co/L46OK8s7Aa"
,,,,,,"RT @richowenhodges: @classicshirts  https://t.co/3JPc0CXC3q"
,,,,,,"RT @classicshirts: 🎁 Giveaway number 1 - £50 CFS Gift Card 🎁

#Retweet and #Follow us to enter - Good Luck

Xmas Gift Cards available here…"
,,,,,,"RT @classicshirts: Player Advent Calendar: Who would you have at #2? https://t.co/AziX7Tg4Fi"
,,,,,,"RT @labetocha: @classicshirts With out a doubt the “Emperor” Claudio Suarez... https://t.co/awyIbd1G5a"
,,,,,,"RT @Rhys_Gerallt: @classicshirts The Lehendakari himself @GaizkaToquero_2 https://t.co/XPCljEtdc7"
,,,,,,"RT @ErkanSahinoglou: @classicshirts Andres Escobar of Colombia 🇨🇴 https://t.co/cW3bTywoaC"
,,,,,,"RT @GaryMilligen: @classicshirts  https://t.co/zz36XF0Mar"
,,,,,,"RT @maxiestefa: @classicshirts Bermudez https://t.co/QoVENdSBrU"
,,,,,,"Player Advent Calendar: Who would you have at #2? https://t.co/AziX7Tg4Fi"
,,,,,,"If Chelsea v Newcastle United was in 2001-02

#CHENEW https://t.co/8vaS2mg0k4"
,,,,,,"David Batty doesn't do Friendlies https://t.co/bDbzimcwD2"
,,,,,,"Happy Birthday David Batty https://t.co/icTKWshLdb"
,,,,,,"RT @classicshirts: 🎁 Giveaway number 1 - £50 CFS Gift Card 🎁

Like and Share this post to enter - Good Luck

Xmas Gift Cards available here…"
,,,,,,"🎁 Giveaway number 1 - £50 CFS Gift Card 🎁

Like and Share this post to enter - Good Luck

Xmas Gift Cards available… https://t.co/w6atFqNyjk"
