NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
claybavor,21607,2660,"VP, Virtual and Augmented Reality at Google",16513,22397,"RT @normalvr: Check out Google's new Poly API SDK that's out today! We've been blobbing with it for an upcoming project. It's incredibly fu…"
,,,,,,"The Poly API is out today. Programmatic access to thousands of high-quality 3D models. Works with Unity, Unreal, AR… https://t.co/t6YAVM5AtK"
,,,,,,"We're helping non-profits, advocates, and creators create VR video to raise awareness for their causes with Daydrea… https://t.co/ZCS4Xzkdgx"
,,,,,,"RT @mrdoob: The Chrome/Daydream experience is starting to be pretty smooth... 🤤 #webvr #webgl https://t.co/NPLYDEXjGi"
,,,,,,"@vackwak Noted. Not supported yet. Stay tuned."
,,,,,,"The Jump camera geometry and stitching algorithms were designed in tandem, each influencing the other. Along the wa… https://t.co/EAWpZ1zFGh"
,,,,,,"We've come a long way from our early Jump camera prototypes in 2015. Here's one of our first, a 3D print in resin +… https://t.co/lvONDNDHQT"
,,,,,,"The second-generation Jump VR camera, the Yi Halo, is shipping now. 8K resolution. Integrated battery. Seamless sti… https://t.co/aQFagiKNgX"
,,,,,,"RT @iquilezles: Procedural image (3 kb approx): raymarched ladybug. Runs SLOW! No meshes, just maths. Also, no ambient occlusion, no global…"
,,,,,,"@DannyBittman Beautiful."
,,,,,,"In the category of things that look rendered but aren’t. https://t.co/ioSZwoxKwn"
,,,,,,"My awesome father-in-law @wfmeehan wrote a book on non-profit managament. 25 years of insight distilled into 200 pa… https://t.co/C2LsMNodMl"
,,,,,,"@googlevr @htcvive @tiltbrush Have been using and loving my pre-release @Lenovo standalone headset, running Daydrea… https://t.co/DfU5dS2Hi7"
,,,,,,"Lots of @GoogleVR experiences available on @HTCVive: Blocks, @Tiltbrush, Google Earth VR, and Job Simulator, with more to come."
,,,,,,"Confirmed, no Daydream standalone from HTC, but we remain great partners. https://t.co/t3RvgJIMUp"
,,,,,,"RT @Reza_Zadeh: Reconstructing Visual Experiences from Brain Activity Evoked by Natural Movies. Rudimentary ""Mind-reading"". Very early, but…"
,,,,,,"Audio Factory remains one of the best demonstrations of spatial audio out there. You can have a listen here:… https://t.co/qU9yHSez4N"
,,,,,,"If you're building cross-platform AR or VR content, the new Resonance Audio SDK is for you. High quality, mobile-op… https://t.co/190xhKmLFU"
,,,,,,"@r00tuzr Yes, import / export to and from Tilt Brush and Blocks works great."
,,,,,,"@alonsoholmes Thanks! Any feedback on the remaining rough edges?"
,,,,,,"@suffiyanz It’s on the way. You can sign up for the preview here: https://t.co/gJZB9YR485"
,,,,,,"With Poly, our mission is to organize the world's 3D information and make it universally accessible and useful.… https://t.co/ElRK4xI13d"
,,,,,,"@manuvr235 Thank you!"
,,,,,,"One of the very first uploads to Poly. Beautiful work by @3Donimus. https://t.co/TaYATBWdSM https://t.co/IsXocvxZW2"
,,,,,,"@3Donimus Good feedback. Thanks."
,,,,,,"Tilt Brush, Blocks, Poly. There's a trend here. Our goal is to make 3D creation easy, and for everyone."
,,,,,,"If you're building for AR or VR, building just got a lot easier. Meet Poly: a place to find and download 3D objects… https://t.co/YU8Pd8ZbSu"
,,,,,,"@3Donimus @jasontoff @googlevr Very meta! Thank you. :)"
,,,,,,"The new Daydream View has an ultra-light heatsink built in. Phones actually run *cooler* in the headset than they d… https://t.co/BJzdLs7idC"
,,,,,,"The new Daydream View hits shelves today. It's really, really comfortable, and the new optics are amazing. Also, lo… https://t.co/KbCjO6iACM"
,,,,,,"Excited to be working with Samsung to bring ARCore to even more Galaxy devices. S8+ and Note8 coming soon. Future p… https://t.co/faktR9Fb9v"
,,,,,,"This is how Portrait Mode on the new Pixel 2 works.   https://t.co/Hqk6kQbyxp https://t.co/zjFECHT4DR"
,,,,,,"The Pixel 2's wonderful camera in action. https://t.co/UXreMfs9iG"
,,,,,,"Here's how we got scenes from Google Earth with millions of polygons and GBs of textures running in mobile VR.… https://t.co/2uiJP3dOPP"
,,,,,,"@gtjuggler Loved it! One of the first games built with Quickdraw 3D, if I recall?"
,,,,,,"To design the lenses for the new Daydream View, we simulated 40 quadrillion individual light rays. https://t.co/VtpT0mLPIj"
,,,,,,"The Google keynote is over... but someone has decided to stick around. https://t.co/J358k6nqCk"
,,,,,,"Big upgrade to Daydream View. It's even more comfortable, has all-new high performance optics, and there's tons to… https://t.co/zfeCiFApiy"
,,,,,,"AR stickers coming to the Pixel 2 camera. Hello from San Francisco! https://t.co/DRhhE3xm63"
,,,,,,"The camera in every Pixel 2 is individually calibrated to optimize it for AR. Dramatically improves tracking performance with ARCore."
,,,,,,"100 stunning images from the Cassini space probe. https://t.co/etHgfBd2yq https://t.co/DgFPMSZlfs"
,,,,,,"Google Earth VR with Street View imagery from 85 countries is live. Biggest update since launch.… https://t.co/fr48eI8czV"
,,,,,,"RT @Google: There's a new 🐦 on the block. Tweet with Gisele, a 3D-feathered #MySuperG that's #MadeWithBlocks by character effects artist @r…"
,,,,,,"Portals between Scotland and San Francisco with #ARCore. https://t.co/viIdpPWFAB"
,,,,,,"RT @dpid: Shattering reality with #ARCore #PixelXL https://t.co/IGNU6OEikb"
,,,,,,"@dpid @motorsep Nice! The shadows make a huge difference."
,,,,,,"@dpid @motorsep Would love to see this with shadows."
,,,,,,"RT @dpid: Stress testing #arcore plane tracking. I'm pretty impressed so far. https://t.co/Prf5PPdR0g"
