NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
medical_xpress,50522,9884,"Latest research news on health and medicine",1812,2070,"Don't miss a beat! Here are yesterday's top stories on MedicalXpress:

https://t.co/r4u2z5cOFy"
,,,,,,"First baby from a #uterus #transplant in the US born in Dallas https://t.co/Tx4a0ff0CW"
,,,,,,"New imaging study reveals how saturated #fattyacids damage #cells https://t.co/q2rnfUu2qo @columbia @PNASNews"
,,,,,,"Under #pressure: Novel technology to model pressure-induced cellular injuries in the #brain https://t.co/OsE1OuaBCc @MUSCHealth"
,,,,,,"Medical note system could boost #patients' engagement in their health care https://t.co/GczqPAwt4g @AnnalsofIM"
,,,,,,"Study links common male medical condition and #vasculardisease https://t.co/kwFYEIkKs8 @sumedicine"
,,,,,,"Why do we see similarities across languages? #Humanbrain may be responsible https://t.co/VF0ulxwUhS @uofa @PsychScience"
,,,,,,"Location, location, location: Immunization delivery site matters https://t.co/ApdiIW9grP @sciimmunolog"
,,,,,,"Study links #childabuse, high #school dropout https://t.co/lVFzXUz84B"
,,,,,,"Study suggests a way to stop HIV in its tracks https://t.co/1CZxe3FtNl @PNASNews"
,,,,,,"Missing DNA fragments hold clue to predicting childhood #leukaemia relapse https://t.co/pnRBEtDRs3"
,,,,,,"Teens get more #sleep when #school starts later https://t.co/ZT1zgNofqI @penn_state"
,,,,,,"FDA approves first-of-a-kind #test for #cancer gene profiling https://t.co/uit4UDFDxN"
,,,,,,"#Protein associated with ALS points to possible targets for therapeutic intervention https://t.co/NI1y4VJbSr @ualberta @NatureComms"
,,,,,,"Researchers validate five new #genes responsible for #AmyotrophicLateralSclerosis https://t.co/ibYlMwjAlU"
,,,,,,"Experts argue for payors to make better use of genomic testing for #cancer #patients https://t.co/zH1JuRanWX @sciencemagazine"
,,,,,,"Blocking gene expression improves outcomes in #blood disease in models https://t.co/ukPeJDD3MQ @northwesternu @jclinicalinvest"
,,,,,,"#Harmfuleffects of being overweight underestimated https://t.co/bdmMDuiCLh @TheLancet"
,,,,,,"Don't miss a beat! Here are yesterday's top stories on MedicalXpress:

https://t.co/kbCqCsbL56"
,,,,,,"Genetic link found between the immune system and #lymphoma https://t.co/vysxskGXo5 @icrnews @NatureComms"
,,,,,,"3-D-printed prosthetic implants could improve treatment for hearing loss https://t.co/0sGSYvOyVu @rsna"
,,,,,,"Targeted treatment could prevent spread of pancreatic #cancer, heart damage https://t.co/3D1nOzb2om @UCHealthNews"
,,,,,,"Study finds reading information aloud to yourself improves #memory https://t.co/aO1g6yvYgW"
,,,,,,"Researchers find #bacteria tied to #esophagealcancer https://t.co/Qlh6kKk8SP @nyulangone @aacr"
,,,,,,"#Cannabis linked to bipolar symptoms in young adults https://t.co/DFlhnh1S99 @warwickuni"
,,,,,,"Rising levels of HIV #drug #resistance https://t.co/012fRn3L9U @uclnews @TheLancetInfDis"
,,,,,,"Some chemicals in smoke may be even more dangerous than previously thought https://t.co/0MG2ZkaUpm @CUAnschutz"
,,,,,,"#Diet success may depend on your DNA https://t.co/XgIxoEisrb @tamu"
,,,,,,"#Fishoil component preconditions vision cells to survive future injury or disease https://t.co/23qLmvVRdn @lsu"
,,,,,,"An anti-aging #protein could be targeted to rejuvenate #immunecells https://t.co/gBrXKRIw1s @gladstonelabs @JExpMed"
,,,,,,"What gives poetry its aesthetic appeal? New research has well-versed answer https://t.co/QLR4gQcoSj"
,,,,,,"Caught in the act: Papillomaviruses promote non-melanoma #skin #cancer https://t.co/FSx60cdabr @DKFZ"
,,,,,,"Discovery puts the brakes on #HIV's ability to infect https://t.co/jG6gyY8Bxc @UDelaware @NatureComms"
,,,,,,"Researchers map ##brainactivity to improve prosthetic design https://t.co/qFM2bM8Ngn @PLOSONE"
,,,,,,"Bat cave study sheds new light on origin of #SARSvirus https://t.co/7IpbNfx2cZ @plos"
,,,,,,"Communication between #lungtumors and bones contributes to #tumor progression https://t.co/vPCGdkyCnv @sciencemagazine"
,,,,,,"Global longitudinal study confirms obesity increases #dementia risk https://t.co/UXmC5Qk7Hd @uclnews"
,,,,,,"Recurring nightmares could reflect your daily frustrations https://t.co/B08vavigiJ"
,,,,,,"Helping the brain prune bad habits—Fasudil promotes goal-directed behavior in #mice https://t.co/IcriHkSZAf @EmoryUniversity @NatureComms"
,,,,,,"#Skin #pigmentation is far more genetically complex than previously thought https://t.co/ovROLkGkcz @CellCellPress"
,,,,,,"Two-drug combination may boost immunotherapy responses in #lungcancer patients https://t.co/ul3iaz1C7X @CellCellPress"
,,,,,,"Behavior not indicative of #pain in stressed #babies https://t.co/EA7mxcybYU @uclnews @currentbiology"
,,,,,,"Invasive cells in head and #neck tumors predict #cancer spread https://t.co/xEOr9yXcdi @masseyeandear @CellCellPress"
,,,,,,"Do your ears hang low? The complex genetics behind earlobe attachment https://t.co/Cqp5nsi9mA @AJHGNews"
,,,,,,"Skipping #breakfast disrupts 'clock #genes' that regulate body weight https://t.co/wkjqjdzbgQ"
,,,,,,"#Treatment cuts #migraine days by half https://t.co/VbaGbLHwb1 @kingscollegelon @nejm"
,,,,,,"Research finds #patients with #post-traumaticstressdisorder respond differently to certain sounds https://t.co/xttDWiPhRF @SciReports"
,,,,,,"New #dengue vaccine could worsen #disease in some people https://t.co/BeD0svtMwJ"
,,,,,,"Study reveals ##cancertherapy's double-edged sword... and how to blunt it https://t.co/vh0EB2cP7x @RockUPress @JExpMed"
,,,,,,"Going to the gym in later life could lower #dementia risk https://t.co/k6ksnUjXXO @ANUmedia"
,,,,,,"Study reads between the lines in #children's #vocabulary differences https://t.co/DPrUpqoCJT"
,,,,,,"Combining machine and nanoparticles for better transplant outcome https://t.co/hPBk224Z6e @yale @sciencetm"
,,,,,,"Researchers devise improved gene-editing process for Duchenne #musculardystrophy https://t.co/phCheU3jUw @sciencetm"
,,,,,,"Don't miss a beat! Here are yesterday's top stories on MedicalXpress:

https://t.co/GrTSNEdL9Y"
