NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
zumepizza,899,1765,"#PizzaNerds obsessed with delivering the best food in the universe! 🍅🍕🚗 Download our app or order online at https://t.co/pbjKYBJbtX.",95,343,"Give yourself an early present with the ingredients that make our December pizza so tasty. Brussels sprouts, bacon,… https://t.co/uO2VKm296p"
,,,,,,"Happy Friday and first day of December! Who's ready for the holidays?! 🙌 🎉 https://t.co/qhKO0GUdZO"
,,,,,,"This is Nacho average pizza! The Nachorizo is out of this world with Chorizo, Blue Corn Tortilla Chips, and Pickled… https://t.co/c8ctQqybwC"
,,,,,,"@indinero @JustworksHR  https://t.co/acahYsPKYa"
,,,,,,"How are you giving back this #GivingTuesday? We're proud to partner with @foodrunners to help feed the hungry in th… https://t.co/2o1k1UtH0m"
,,,,,,"You don't have to tear yourself away from the internet for sustenance. Have dinner delivered on us! Get free delive… https://t.co/Dz0ON5IcaC"
,,,,,,"There are some awesome Cyber Monday deals, Prince Harry and Meghan Markle are engaged, and you don't have to feel g… https://t.co/WDFPtvyTv6"
,,,,,,"50 startups that will boom in 2018, according to VCs https://t.co/Hjf9gvlvLr via @businessinsider"
,,,,,,"When Robots Invade the Kitchen https://t.co/rkfv6vMuK1 via @WIRED"
,,,,,,"Proud to be featured in “50 Startups to Boom in 2018” via @businessinsider 
 https://t.co/nRBN4RIRp4"
,,,,,,"RT @chriswfarmer: Congrats to @zumepizza and  @Frame_io!! https://t.co/bQAXSU1A1d"
,,,,,,"Happy Black Friday! Just a reminder - when you need a break from shopping, pizza will be there for you. https://t.co/Mw4BRyUG44"
,,,,,,"Happy Thanksgiving! We're thankful for 1) pizza, 2) friends and family, and 3) all you amazing Zumers. 🍕🦃😋"
,,,,,,"Happy Thanksgiving Zumers! We're thankful for YOU!!! 🍕🦃❤️"
,,,,,,"Only got room for one cook in the kitchen? We can prepare dinner for you, while you do your holiday thing for tomor… https://t.co/YxP1tvOY6a"
,,,,,,"Today, we're thankful for our awesome Pielots, Captains, employees, and Kitchen Team who make Zume happen!… https://t.co/MoFltvzUCA"
,,,,,,"We're thankful for the farmers that provide us with fresh, local pizza ingredients! #weekofthanks"
,,,,,,"RT @annsikrol: Ofcourse we get a presentation of @zumepizza that uses robots in their production. Great case! Note the @ABBRobotics robot b…"
,,,,,,"Today, we're thankful for our friends and family who always supported our pizza dreams! #weekofthanks"
,,,,,,"We're thankful that we can cuddle up with a hot slice of pizza on a cold night. #weekofthanks"
,,,,,,"@vabchlove We're stoked that you received it! It ain't easy being cheesy!"
,,,,,,"RT @AlexShikany: Great message of how #robots and #automation are net job creators by Alex Garden of @zumepizza at @ABBRobotics closing a g…"
,,,,,,"Today, we're thankful for the deliciousness that is the Nachorizo Chef's Choice!"
,,,,,,"Binge watching #StrangerThings and ordering pizza. #FridayFeeling"
