NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
CampusLondon,34364,6695,"Google's space for London's startup community. Register as a member at https://t.co/8W0UbNceZB and subscribe to our newsletter at https://t.co/pbp9g6IQrJ",1931,1204,"RT @atomico: It's HERE! The State of European Tech Report - the single most comprehensive, data-driven story of European technology today -…"
,,,,,,"RT @sarahdrinkwater: So proud of @CampusLondon partners @CodeFirstGirls - even more partners signed up to upskill 20k women into tech https…"
,,,,,,"Join us on Friday to celebrate the close of @LeWagonLondon's latest bootcamp. A great chance to meet ambitious tech… https://t.co/2zSvdNm8JW"
,,,,,,"Figure out which type of funding is right for your startup. Join @maxthelion, CEO @pusher, for our next Campus AMA… https://t.co/cK5M07VOX9"
,,,,,,"Get feedback on your app before the release. Start here: https://t.co/VnHXnpKwlx #MondayMotivation https://t.co/fAjAoGPDtB"
,,,,,,"Join us next Friday at #CampusLondon in support of @resurgospear for 'Founders for Opportunity':… https://t.co/nBsRIZz5oc"
,,,,,,"""Seeing form abandonment or low number of leads? Make the forms in your app user friendly. If it's hard to fill out… https://t.co/SrhBJkiZcr"
,,,,,,"""Users want to see benefits over features. Tell them how it will improve their life, right away."" Campus Expert, Pa… https://t.co/ze1zH0f7dr"
,,,,,,"""Users of Google Play base their decisions on creative. Focus on fresh, bright content."" Campus Expert, Panos, on d… https://t.co/GJ3EeSMwab"
,,,,,,"If your startup if focused on broadcasting sport, get your application in for the @TechHub x @btsport… https://t.co/bgtrKzU3Ul"
,,,,,,"Bias = A systematic deviation from full ground truth. Understanding what bias is in an important step to making sur… https://t.co/1eW72sAa4J"
,,,,,,"RT @sarahdrinkwater: Technology should be for everyone. Talking bias in AI training data &amp; how startups can avoid it #CampusExpertsSummit @…"
,,,,,,"Check your bias from day one. Here's a list of all the biases to watch out for when collecting and annotating your… https://t.co/VsqTqj45Wu"
,,,,,,"Digging into human biases and #ML, and discussing how to tackle these challenges, with Alicia, an Instructional Des… https://t.co/OZWajHSn9c"
,,,,,,"Campus Experts visited @TechHub today and mentored London's startups. #CampusExpertsSummit https://t.co/L8rkiK0yU9"
,,,,,,"Campus Expert, Bee, shows off how Cloud Vision API can recognize faces...especially this guy. https://t.co/kQAW2obJXM"
