NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DaniCMBelg,252,300,"Machine Learning research applied to the health domain @MSFTResearch and @DOM_Imperial. #WiML2017 organizer.",8116,241,"RT @vdignum: Please endorse the Bechdel test for academic&amp;tech conferences:
1) two women speaking
2) in the same panel or session
3) not ab…"
,,,,,,"Looking forward to #WiML2017 mentorship tables on Monday with an amazing line up of mentors. Have you decided which… https://t.co/c3Iw8pTDbb"
,,,,,,"280 characters are insufficient to express how excited we are that @WiMLworkshop !starts in 1 week!!!!! We have an… https://t.co/Wm94DpkvHq"
,,,,,,"RT @LordsAICom: Did you see our sessions on all things #AI, #healthcare, #data, and the #NHS yesterday? If not, catch up on them over lunch…"
,,,,,,"RT @minouye271: Latest from our &amp; @DrKatHolt labs!

Dynamics of the upper airway microbiome in the pathogenesis of asthma-associated persis…"
,,,,,,"RT @MSFTResearch: Microsoft Azure for Research is awarding cloud-computing resources to drive exploration and discovery of secondary #genom…"
,,,,,,"RT @WiMLworkshop: We are looking for more volunteers for the @WiMLworkshop!
Please apply here: https://t.co/NnIqClfQcV
#nips2017 @BrownSara…"
,,,,,,"RT @royalsociety: Preserving people's privacy, identity, agency &amp; equality - four ethical priorities for neurotechnologies &amp; #AI. Opinion p…"
,,,,,,"RT @zacharylipton: We need a machine learning thesaurus:

""positive definite kernel"", ""reproducing kernel"", ""Mercer kernel"", ""admissable ke…"
,,,,,,"RT @shakir_za: The video of our UAI 2017 tutorial on Deep Generative Models is now online 🎬. https://t.co/H0I33hZ8ii https://t.co/gv5yz3YiLt"
,,,,,,"RT @mpd37: Looking forward to seeing the Indaba in Kenya, Rwanda, Botswana, Senegal, Cameroon, ... https://t.co/QjFgBHDUNp"
,,,,,,"RT @TheLancet: Digital medicine: The digitised clinical trial - the future of #clinicaltrials? @EricTopol https://t.co/ks3hjtaShV https://t…"
,,,,,,"RT @WHO: Climate change threatens your health.
#ClimateChange is expected to cause 250,000 additional deaths per year between 2030-2050.
We…"
,,,,,,"RT @WiMLworkshop: Do you want to help WiML by volunteering during the workshop?
Please apply here:
https://t.co/KMB3Ex5lWe
#nips2017 @RaiaH…"
,,,,,,"RT @Smerity: In deep learning, when we lose accurate baselines, we lose our ability to accurately measure our progress over time
https://t.…"
,,,,,,"RT @WHO: Today, nearly one in three persons globally suffers from at least one form of #malnutrition https://t.co/EuT9RYHARH #NutritionDeca…"
,,,,,,"RT @red_abebe: speaker list up our #blackinai workshop https://t.co/oONpCxk5N4! Full prgm w amazing submissions coming soon! #AI #NIPS2017…"
,,,,,,"@kieranrcampbell Congratulations!"
,,,,,,"RT @StatMLPapers: Rethinking generalization requires revisiting old ideas: statistical mechanics approaches and complex learning beh… https…"
,,,,,,"RT @WiMLworkshop: We opened up more spots for the WiML workshop! 
https://t.co/2cBLvtV8zr 
#nips2017 @RaiaHadsell @negar_rz @DaniCMBelg"
,,,,,,"@WiMLworkshop  registration is now open! This year @WiML will be take place over 2 days. Hope to see you there! https://t.co/lvVel4WcD0"
,,,,,,"RT @HetanShah: It is #AdaLovelaceDay - her mum educated her in maths so she’d avoid the ‘poetic’ ways of her father Byron https://t.co/ioNi…"
,,,,,,"RT @goodfellow_ian: The @nips symposium on interpretable ML has a call for papers: https://t.co/MWB5kArp0x"
,,,,,,"RT @deborahhanus: ✍️ Abstracts &amp; travel grants to the 1st #BlackinAI workshop at #nips2017 are due Fri 10/13. ⏳ Apply and/or share (as appl…"
,,,,,,"RT @WiMLworkshop: We are so excited and honored to have Tamara Broderick, Joelle Pineau, Hanna Wallach and Nina Mishra as invited speakers…"
,,,,,,"RT @red_abebe: Submission and travel award app deadline is in just one week! #AI #nips2017 #MachineLearning #BlackinAI https://t.co/lVeAyj7…"
,,,,,,"RT @deborahhanus: Don’t look for just one mentor. Create an advisory board for your life. Insightful advice from @thefriley at the @ghc @Sq…"
,,,,,,"RT @mpd37: ""You need to be very explicit when writing down your model - we are here to do science!"" Great statement by @shakir_za"
,,,,,,"RT @shakir_za: At Machine Learning network at .@imperialcollege Sebastian Nowozin tells us about Probabilistic Deep Learning. #MLIC https:/…"
,,,,,,"RT @UKSINet: Today's #NobelPrize demonstrates why #collaboration is necessary for scientific discovery. Read @JeremyFarrar: https://t.co/vN…"
,,,,,,"RT @hardsci: Reminder: most experiments draw inferences about an unobserved relationship between two unobserved variables https://t.co/cDWT…"
,,,,,,"RT @MSFTResearchCam: Microsoft launches new healthcare division based on artificial intelligence software https://t.co/GlTW2Va1Gm via @tele…"
,,,,,,"RT @d_spiegel: Just about all I can say about risk and uncertainty communication https://t.co/sLANFLFBOQ https://t.co/3HID798VLq"
,,,,,,"RT @MSFTResearchCam: We're holding an open evening for women in engineering, Sep 27. Talks, tech demos &amp; chat with our team. Register at ht…"
,,,,,,"RT @DrTedros: We welcome this agreement, it will make possible to reach millions of people with better, more affordable #HIV drugs https://…"
,,,,,,"Thanks @saramagliacane for inviting me to @caus_am, being a great hostess and for the signed copy of your thesis! https://t.co/05XH4g80eP"
,,,,,,"RT @NandoDF: #TheBigIssue - Artificial Intelligence Indaba in Africa - good memories. https://t.co/mSLEA8PywT"
,,,,,,"RT @DeepIndaba: We reflect on an energising week gone by celebrating the contribution of the African Women In Machine Learning. .@WiMLworks…"
,,,,,,"RT @LablanchePy: For those who didn't have a chance to attend #DLIndaba17 https://t.co/dMtw5OcwPx"
,,,,,,"RT @caus_am: Great talk today by @DaniCMBelg at #AMLab on latent variable modelling in #healthcare ... she says the next big thing in #ML i…"
,,,,,,"Imraan Patel @DeepIndaba in South Africa. Let's not speak about a brain drain but about brain circulation."
,,,,,,"Amazing panel on putting Africa at the forefront of ML @DeepIndaba https://t.co/WCjMq5GMoA"
,,,,,,"RT @EricTopol: The Global (195 countries) Burden of Diseases: 5 new papers @TheLancet w/ great graphics on death &amp; disability #OA https://t…"
,,,,,,"@SaintlyVi @konstantina_pll @AnimaAnandkumar @DeepIndaba And I've been really inspired by the great women I've met… https://t.co/BBMeBjtU3S"
,,,,,,"RT @shakir_za: Africans must be part of the coming advances in ML. This is our vision for .@DeepIndaba. Share your thoughts with us. #Afric…"
,,,,,,"Great keynote @DeepIndaba with @AnimaAnandkumar on learning to scale https://t.co/r7iCIy7kum"
,,,,,,"RT @negar_rz: NIPS is sold out at the same speed that Stromae concert tickets were sold out for his concert at Montreal Bell Center! https:…"
,,,,,,"RT @NandoDF: Danielle Belgrave on ML in healthcare @DeepIndaba https://t.co/U8eBLnJJ9e"
,,,,,,"Awesome women in Joburg @DeepIndaba they rock https://t.co/lPEJdrhICl"
,,,,,,"RT @DeepIndaba: At #DLIndaba17 George Konidaris teaches us about advanced reinforcement learning. https://t.co/AB0gTTANKp"
,,,,,,"RT @DeepIndaba: .@WiMLworkshop deadline closes tmrrw. Women at #DLIndaba17 submit an abstract; funding available. https://t.co/yos70xd7MV A…"
,,,,,,"RT @vukosi: What a turnout at the Deep Learning Indaba. On a Sunday!!! #DLIndaba17 https://t.co/mkfXrCShR9"
,,,,,,"RT @deborahhanus: More time!⏳ Getting a travel grant to #WiML2017 &amp; #nips2017 for one page of writing is too good a deal to not try for and…"
,,,,,,"WiML abstract deadline closes tomorrow at 11:59 PST. Looking forward to a great @WiMLworkshop 
this year!
https://t.co/rriVk15gpT"
,,,,,,"RT @royalsociety: What are the potential socio-economic impacts of #machinelearning over the next decade? Report: https://t.co/iGZSZWnior…"
,,,,,,"9 days left to @WiMLworkshop abstract submission deadline https://t.co/L3JIxnczLM"
,,,,,,"RT @WiMLworkshop: Just 16 days left until abstracts are due for WiML Workshop 2017! (Due date: September 8)
https://t.co/agynI8bV6z"
,,,,,,"RT @shakir_za: The .@DeepIndaba is proudly hosted at .@WitsUniversity. This is their motivation and vision. Looking forward to being there…"
,,,,,,"RT @deborahhanus: Interested in #machinelearning &amp; #healthcare? Check out the #mlhc2017 livestream: https://t.co/FWhe1uTA76 &amp; program: http…"
,,,,,,"RT @kdnuggets: How #AI Will Impact #Healthcare https://t.co/lL6qDHTj6x via @ProductiBytes https://t.co/kSjxPyEAUL"
,,,,,,"RT @WiMLworkshop: Abstract submission is now open!
12th @WiMLworkshop
Co-located with NIPS 2017, 
December 4 and 7, 2017
https://t.co/cC4Mb…"
,,,,,,"@DrKatHolt @minouye271 I know...finally! :)"
,,,,,,"@deborahhanus @Rebecca__Howard Ha! 2 months later is actually a great track record! :)"
